# grid=1025x1025x1025, np=2 (2,1,1), dt= 1.000E-03, Tmax=11, solver_kind=pascal
rank,t_step,event,time_sec
0,1,rhs, 2.864653700E-02
0,1,solve_z, 1.053512110E-01
0,1,solve_y, 1.251553860E-01
0,1,solve_x, 1.759896150E-01
0,1,etc, 1.777000000E-06
0,1,comm, 1.201750000E-03
0,2,rhs, 2.867493800E-02
0,2,solve_z, 1.032079600E-01
0,2,solve_y, 1.235128530E-01
0,2,solve_x, 1.755515870E-01
0,2,etc, 1.889000000E-06
0,2,comm, 1.205950000E-03
0,3,rhs, 2.867504000E-02
0,3,solve_z, 1.055352380E-01
0,3,solve_y, 1.227621570E-01
0,3,solve_x, 1.764761560E-01
0,3,etc, 1.775000000E-06
0,3,comm, 1.176268000E-03
0,4,rhs, 2.867165300E-02
0,4,solve_z, 1.047485500E-01
0,4,solve_y, 1.209949110E-01
0,4,solve_x, 1.752072520E-01
0,4,etc, 1.822000000E-06
0,4,comm, 1.176480000E-03
0,5,rhs, 2.867033300E-02
0,5,solve_z, 1.054967750E-01
0,5,solve_y, 1.207920750E-01
0,5,solve_x, 1.755493080E-01
0,5,etc, 1.736000000E-06
0,5,comm, 1.182843000E-03
0,6,rhs, 2.865659700E-02
0,6,solve_z, 1.034824960E-01
0,6,solve_y, 1.242198130E-01
0,6,solve_x, 1.763776440E-01
0,6,etc, 1.705000000E-06
0,6,comm, 1.179101000E-03
0,7,rhs, 2.864321800E-02
0,7,solve_z, 1.035516720E-01
0,7,solve_y, 1.225927890E-01
0,7,solve_x, 1.764720230E-01
0,7,etc, 1.831000000E-06
0,7,comm, 1.170728000E-03
0,8,rhs, 2.865460000E-02
0,8,solve_z, 1.051670220E-01
0,8,solve_y, 1.269952910E-01
0,8,solve_x, 1.765688820E-01
0,8,etc, 1.746000000E-06
0,8,comm, 1.174366000E-03
0,9,rhs, 2.871978400E-02
0,9,solve_z, 1.035773930E-01
0,9,solve_y, 1.234869540E-01
0,9,solve_x, 1.761962930E-01
0,9,etc, 1.814000000E-06
0,9,comm, 1.173641000E-03
0,10,rhs, 2.864153100E-02
0,10,solve_z, 1.034085300E-01
0,10,solve_y, 1.227781430E-01
0,10,solve_x, 1.753947440E-01
0,10,etc, 1.738000000E-06
0,10,comm, 1.186735000E-03
1,1,rhs, 2.865042600E-02
1,1,solve_z, 1.036628860E-01
1,1,solve_y, 1.206734990E-01
1,1,solve_x, 1.759831530E-01
1,1,etc, 2.039000000E-06
1,1,comm, 1.203162000E-03
1,2,rhs, 2.868103700E-02
1,2,solve_z, 1.032592010E-01
1,2,solve_y, 1.260463740E-01
1,2,solve_x, 1.755107060E-01
1,2,etc, 1.915000000E-06
1,2,comm, 1.193510000E-03
1,3,rhs, 2.863944200E-02
1,3,solve_z, 1.052287540E-01
1,3,solve_y, 1.210014590E-01
1,3,solve_x, 1.764380240E-01
1,3,etc, 1.833000000E-06
1,3,comm, 1.174344000E-03
1,4,rhs, 2.865220400E-02
1,4,solve_z, 1.052170100E-01
1,4,solve_y, 1.250110380E-01
1,4,solve_x, 1.752343550E-01
1,4,etc, 1.842000000E-06
1,4,comm, 1.172470000E-03
1,5,rhs, 2.866013200E-02
1,5,solve_z, 1.055233390E-01
1,5,solve_y, 1.253958630E-01
1,5,solve_x, 1.755340860E-01
1,5,etc, 1.864000000E-06
1,5,comm, 1.176631000E-03
1,6,rhs, 2.868402700E-02
1,6,solve_z, 1.047738660E-01
1,6,solve_y, 1.230129610E-01
1,6,solve_x, 1.764718150E-01
1,6,etc, 1.864000000E-06
1,6,comm, 1.173182000E-03
1,7,rhs, 2.864214200E-02
1,7,solve_z, 1.028470720E-01
1,7,solve_y, 1.209652970E-01
1,7,solve_x, 1.765408250E-01
1,7,etc, 1.818000000E-06
1,7,comm, 1.171711000E-03
1,8,rhs, 2.864252000E-02
1,8,solve_z, 1.054474690E-01
1,8,solve_y, 1.223279310E-01
1,8,solve_x, 1.766127730E-01
1,8,etc, 1.833000000E-06
1,8,comm, 1.179572000E-03
1,9,rhs, 2.867410800E-02
1,9,solve_z, 1.051624720E-01
1,9,solve_y, 1.248659950E-01
1,9,solve_x, 1.762669060E-01
1,9,etc, 1.813000000E-06
1,9,comm, 1.171155000E-03
1,10,rhs, 2.866407900E-02
1,10,solve_z, 1.052078530E-01
1,10,solve_y, 1.221650910E-01
1,10,solve_x, 1.753742530E-01
1,10,etc, 1.873000000E-06
1,10,comm, 1.183997000E-03
