# grid=1025x1025x1025, np=8 (2,2,2), dt= 1.000E-03, Tmax=11, solver_kind=filtered_v2
rank,t_step,event,time_sec
0,1,rhs, 7.280303000E-03
0,1,solve_z, 3.925895900E-02
0,1,solve_y, 4.499798700E-02
0,1,solve_x, 4.142845200E-02
0,1,etc, 1.911000000E-06
0,1,comm, 5.563660000E-04
0,2,rhs, 7.279524000E-03
0,2,solve_z, 3.888393100E-02
0,2,solve_y, 4.459452400E-02
0,2,solve_x, 4.145955300E-02
0,2,etc, 2.361000000E-06
0,2,comm, 5.498780000E-04
0,3,rhs, 7.275001000E-03
0,3,solve_z, 3.918568500E-02
0,3,solve_y, 4.619720800E-02
0,3,solve_x, 4.150553200E-02
0,3,etc, 1.788000000E-06
0,3,comm, 5.393590000E-04
0,4,rhs, 7.286042000E-03
0,4,solve_z, 3.911936400E-02
0,4,solve_y, 4.518189300E-02
0,4,solve_x, 4.094562700E-02
0,4,etc, 4.015000000E-06
0,4,comm, 6.607280000E-04
0,5,rhs, 7.298817000E-03
0,5,solve_z, 3.924806500E-02
0,5,solve_y, 4.490807200E-02
0,5,solve_x, 4.142627900E-02
0,5,etc, 1.841000000E-06
0,5,comm, 5.324090000E-04
0,6,rhs, 7.295243000E-03
0,6,solve_z, 3.905001900E-02
0,6,solve_y, 4.553581000E-02
0,6,solve_x, 4.102609500E-02
0,6,etc, 1.777000000E-06
0,6,comm, 5.394570000E-04
0,7,rhs, 7.286146000E-03
0,7,solve_z, 3.920273200E-02
0,7,solve_y, 4.527150300E-02
0,7,solve_x, 4.118274100E-02
0,7,etc, 1.757000000E-06
0,7,comm, 5.425080000E-04
0,8,rhs, 7.299905000E-03
0,8,solve_z, 3.873040900E-02
0,8,solve_y, 4.511386500E-02
0,8,solve_x, 4.124835500E-02
0,8,etc, 1.748000000E-06
0,8,comm, 5.345480000E-04
0,9,rhs, 7.284847000E-03
0,9,solve_z, 3.934300400E-02
0,9,solve_y, 4.595764500E-02
0,9,solve_x, 4.113033800E-02
0,9,etc, 2.002000000E-06
0,9,comm, 5.779630000E-04
0,10,rhs, 7.282692000E-03
0,10,solve_z, 3.933464800E-02
0,10,solve_y, 4.491428100E-02
0,10,solve_x, 4.112554600E-02
0,10,etc, 1.768000000E-06
0,10,comm, 5.327250000E-04
1,1,rhs, 7.283513000E-03
1,1,solve_z, 3.930175800E-02
1,1,solve_y, 4.581967900E-02
1,1,solve_x, 4.152728600E-02
1,1,etc, 1.957000000E-06
1,1,comm, 5.560080000E-04
1,2,rhs, 7.277428000E-03
1,2,solve_z, 3.891294800E-02
1,2,solve_y, 4.509230300E-02
1,2,solve_x, 4.119605500E-02
1,2,etc, 1.823000000E-06
1,2,comm, 5.478480000E-04
1,3,rhs, 7.282689000E-03
1,3,solve_z, 3.923551000E-02
1,3,solve_y, 4.596628600E-02
1,3,solve_x, 4.117438000E-02
1,3,etc, 1.785000000E-06
1,3,comm, 5.418930000E-04
1,4,rhs, 7.278045000E-03
1,4,solve_z, 3.902209300E-02
1,4,solve_y, 4.539279200E-02
1,4,solve_x, 4.151287400E-02
1,4,etc, 1.767000000E-06
1,4,comm, 6.510040000E-04
1,5,rhs, 7.268669000E-03
1,5,solve_z, 3.928888400E-02
1,5,solve_y, 4.576207400E-02
1,5,solve_x, 4.134744000E-02
1,5,etc, 1.758000000E-06
1,5,comm, 5.295250000E-04
1,6,rhs, 7.282159000E-03
1,6,solve_z, 3.916877700E-02
1,6,solve_y, 4.547617600E-02
1,6,solve_x, 4.171514100E-02
1,6,etc, 1.760000000E-06
1,6,comm, 5.387980000E-04
1,7,rhs, 7.279892000E-03
1,7,solve_z, 3.919918700E-02
1,7,solve_y, 4.494554800E-02
1,7,solve_x, 4.156334400E-02
1,7,etc, 1.792000000E-06
1,7,comm, 5.427800000E-04
1,8,rhs, 7.277403000E-03
1,8,solve_z, 3.874947200E-02
1,8,solve_y, 4.459925200E-02
1,8,solve_x, 4.166610400E-02
1,8,etc, 1.722000000E-06
1,8,comm, 5.347300000E-04
1,9,rhs, 7.282707000E-03
1,9,solve_z, 3.927550900E-02
1,9,solve_y, 4.550612200E-02
1,9,solve_x, 4.149942200E-02
1,9,etc, 1.702000000E-06
1,9,comm, 5.781780000E-04
1,10,rhs, 7.286474000E-03
1,10,solve_z, 3.927081000E-02
1,10,solve_y, 4.597311300E-02
1,10,solve_x, 4.153212500E-02
1,10,etc, 1.702000000E-06
1,10,comm, 5.325950000E-04
2,1,rhs, 7.305517000E-03
2,1,solve_z, 3.908560500E-02
2,1,solve_y, 4.540071800E-02
2,1,solve_x, 4.123207900E-02
2,1,etc, 1.967000000E-06
2,1,comm, 5.065380000E-04
2,2,rhs, 7.273916000E-03
2,2,solve_z, 3.895698400E-02
2,2,solve_y, 4.503833500E-02
2,2,solve_x, 4.142033300E-02
2,2,etc, 1.847000000E-06
2,2,comm, 4.955050000E-04
2,3,rhs, 7.273113000E-03
2,3,solve_z, 3.863177400E-02
2,3,solve_y, 4.566821600E-02
2,3,solve_x, 4.142443900E-02
2,3,etc, 1.776000000E-06
2,3,comm, 4.853470000E-04
2,4,rhs, 7.268158000E-03
2,4,solve_z, 3.854855400E-02
2,4,solve_y, 4.481263900E-02
2,4,solve_x, 4.158100300E-02
2,4,etc, 1.715000000E-06
2,4,comm, 5.431120000E-04
2,5,rhs, 7.287164000E-03
2,5,solve_z, 3.925150200E-02
2,5,solve_y, 4.487747300E-02
2,5,solve_x, 4.145795100E-02
2,5,etc, 1.843000000E-06
2,5,comm, 4.831660000E-04
2,6,rhs, 7.287866000E-03
2,6,solve_z, 3.884738600E-02
2,6,solve_y, 4.498705800E-02
2,6,solve_x, 4.161800400E-02
2,6,etc, 1.716000000E-06
2,6,comm, 4.943740000E-04
2,7,rhs, 7.285067000E-03
2,7,solve_z, 3.882245300E-02
2,7,solve_y, 4.491463800E-02
2,7,solve_x, 4.174000400E-02
2,7,etc, 1.733000000E-06
2,7,comm, 4.953740000E-04
2,8,rhs, 7.283532000E-03
2,8,solve_z, 3.918474400E-02
2,8,solve_y, 4.565480100E-02
2,8,solve_x, 4.153460000E-02
2,8,etc, 1.823000000E-06
2,8,comm, 4.878300000E-04
2,9,rhs, 7.291401000E-03
2,9,solve_z, 3.879633800E-02
2,9,solve_y, 4.498728700E-02
2,9,solve_x, 4.140940100E-02
2,9,etc, 1.646000000E-06
2,9,comm, 5.308150000E-04
2,10,rhs, 7.284416000E-03
2,10,solve_z, 3.874251700E-02
2,10,solve_y, 4.489149200E-02
2,10,solve_x, 4.154026700E-02
2,10,etc, 1.690000000E-06
2,10,comm, 4.872660000E-04
3,1,rhs, 7.307334000E-03
3,1,solve_z, 3.909765000E-02
3,1,solve_y, 4.580747100E-02
3,1,solve_x, 4.164003800E-02
3,1,etc, 1.973000000E-06
3,1,comm, 5.055130000E-04
3,2,rhs, 7.274716000E-03
3,2,solve_z, 3.895342800E-02
3,2,solve_y, 4.496988300E-02
3,2,solve_x, 4.126657000E-02
3,2,etc, 1.837000000E-06
3,2,comm, 4.934690000E-04
3,3,rhs, 7.277298000E-03
3,3,solve_z, 3.857814500E-02
3,3,solve_y, 4.491942500E-02
3,3,solve_x, 4.176320100E-02
3,3,etc, 1.727000000E-06
3,3,comm, 4.848220000E-04
3,4,rhs, 7.300194000E-03
