# grid=257x257x257, np=8 (2,2,2), dt= 1.000E-03, Tmax=11, solver_kind=pascal
rank,t_step,event,time_sec
0,1,rhs, 1.301130000E-04
0,1,solve_z, 1.049386000E-03
0,1,solve_y, 1.054185000E-03
0,1,solve_x, 1.053221000E-03
0,1,etc, 2.201000000E-06
0,1,comm, 1.718360000E-04
0,2,rhs, 1.274850000E-04
0,2,solve_z, 1.024670000E-03
0,2,solve_y, 1.020225000E-03
0,2,solve_x, 1.041149000E-03
0,2,etc, 2.206000000E-06
0,2,comm, 1.417740000E-04
0,3,rhs, 1.268560000E-04
0,3,solve_z, 1.044202000E-03
0,3,solve_y, 1.047545000E-03
0,3,solve_x, 1.052069000E-03
0,3,etc, 2.150000000E-06
0,3,comm, 1.341210000E-04
0,4,rhs, 1.281950000E-04
0,4,solve_z, 1.035295000E-03
0,4,solve_y, 1.044043000E-03
0,4,solve_x, 1.057103000E-03
0,4,etc, 1.922000000E-06
0,4,comm, 1.290570000E-04
0,5,rhs, 1.272030000E-04
0,5,solve_z, 1.038413000E-03
0,5,solve_y, 1.048160000E-03
0,5,solve_x, 1.041627000E-03
0,5,etc, 1.883000000E-06
0,5,comm, 1.274740000E-04
0,6,rhs, 1.269340000E-04
0,6,solve_z, 1.029011000E-03
0,6,solve_y, 1.040719000E-03
0,6,solve_x, 1.041665000E-03
0,6,etc, 2.011000000E-06
0,6,comm, 1.430520000E-04
0,7,rhs, 1.278600000E-04
0,7,solve_z, 1.034006000E-03
0,7,solve_y, 1.045836000E-03
0,7,solve_x, 1.034363000E-03
0,7,etc, 1.768000000E-06
0,7,comm, 1.292150000E-04
0,8,rhs, 1.271660000E-04
0,8,solve_z, 1.018048000E-03
0,8,solve_y, 1.030629000E-03
0,8,solve_x, 1.030385000E-03
0,8,etc, 1.873000000E-06
0,8,comm, 1.310920000E-04
0,9,rhs, 1.276500000E-04
0,9,solve_z, 1.032915000E-03
0,9,solve_y, 1.048441000E-03
0,9,solve_x, 1.050158000E-03
0,9,etc, 1.912000000E-06
0,9,comm, 1.295910000E-04
0,10,rhs, 1.278420000E-04
0,10,solve_z, 1.029800000E-03
0,10,solve_y, 1.047546000E-03
0,10,solve_x, 1.048008000E-03
0,10,etc, 1.867000000E-06
0,10,comm, 1.286580000E-04
1,1,rhs, 1.126780000E-04
1,1,solve_z, 1.070504000E-03
1,1,solve_y, 1.077432000E-03
1,1,solve_x, 1.071179000E-03
1,1,etc, 2.058000000E-06
1,1,comm, 1.718960000E-04
1,2,rhs, 1.107640000E-04
1,2,solve_z, 1.065009000E-03
1,2,solve_y, 1.054713000E-03
1,2,solve_x, 1.067454000E-03
1,2,etc, 1.925000000E-06
1,2,comm, 1.416490000E-04
1,3,rhs, 1.110090000E-04
1,3,solve_z, 1.068104000E-03
1,3,solve_y, 1.067923000E-03
1,3,solve_x, 1.079738000E-03
1,3,etc, 2.331000000E-06
1,3,comm, 1.346810000E-04
1,4,rhs, 1.112440000E-04
1,4,solve_z, 1.057127000E-03
1,4,solve_y, 1.069953000E-03
1,4,solve_x, 1.079649000E-03
1,4,etc, 1.870000000E-06
1,4,comm, 1.284550000E-04
1,5,rhs, 1.106750000E-04
1,5,solve_z, 1.061340000E-03
1,5,solve_y, 1.077738000E-03
1,5,solve_x, 1.066849000E-03
1,5,etc, 1.935000000E-06
1,5,comm, 1.272500000E-04
1,6,rhs, 1.106220000E-04
1,6,solve_z, 1.054902000E-03
1,6,solve_y, 1.070217000E-03
1,6,solve_x, 1.064349000E-03
1,6,etc, 1.862000000E-06
1,6,comm, 1.433200000E-04
1,7,rhs, 1.114370000E-04
1,7,solve_z, 1.061307000E-03
1,7,solve_y, 1.080920000E-03
1,7,solve_x, 1.156311000E-03
1,7,etc, 1.834000000E-06
1,7,comm, 1.291500000E-04
1,8,rhs, 1.096240000E-04
1,8,solve_z, 1.059354000E-03
1,8,solve_y, 1.075034000E-03
1,8,solve_x, 1.066251000E-03
1,8,etc, 1.908000000E-06
1,8,comm, 1.312400000E-04
1,9,rhs, 1.107140000E-04
1,9,solve_z, 1.057609000E-03
1,9,solve_y, 1.083002000E-03
1,9,solve_x, 1.159927000E-03
1,9,etc, 1.983000000E-06
1,9,comm, 1.298690000E-04
1,10,rhs, 1.112260000E-04
1,10,solve_z, 1.052434000E-03
1,10,solve_y, 1.065558000E-03
1,10,solve_x, 1.083872000E-03
1,10,etc, 1.938000000E-06
1,10,comm, 1.283140000E-04
2,1,rhs, 1.132350000E-04
2,1,solve_z, 1.061862000E-03
2,1,solve_y, 1.053477000E-03
2,1,solve_x, 1.084100000E-03
2,1,etc, 2.110000000E-06
2,1,comm, 1.682080000E-04
2,2,rhs, 1.102530000E-04
2,2,solve_z, 1.048514000E-03
2,2,solve_y, 1.064118000E-03
2,2,solve_x, 1.072328000E-03
2,2,etc, 1.947000000E-06
2,2,comm, 1.357350000E-04
2,3,rhs, 1.097530000E-04
2,3,solve_z, 1.056926000E-03
2,3,solve_y, 1.061788000E-03
2,3,solve_x, 1.081120000E-03
2,3,etc, 1.900000000E-06
2,3,comm, 1.299800000E-04
2,4,rhs, 1.106360000E-04
2,4,solve_z, 1.037587000E-03
2,4,solve_y, 1.052511000E-03
2,4,solve_x, 1.073852000E-03
2,4,etc, 1.829000000E-06
2,4,comm, 1.255040000E-04
2,5,rhs, 1.098240000E-04
2,5,solve_z, 1.053535000E-03
2,5,solve_y, 1.056694000E-03
2,5,solve_x, 1.081417000E-03
2,5,etc, 1.898000000E-06
2,5,comm, 1.231390000E-04
2,6,rhs, 1.107280000E-04
2,6,solve_z, 1.059688000E-03
2,6,solve_y, 1.055667000E-03
2,6,solve_x, 1.067797000E-03
2,6,etc, 1.930000000E-06
2,6,comm, 1.341120000E-04
2,7,rhs, 1.104570000E-04
2,7,solve_z, 1.040120000E-03
2,7,solve_y, 1.070808000E-03
2,7,solve_x, 1.153854000E-03
2,7,etc, 1.889000000E-06
2,7,comm, 1.249500000E-04
2,8,rhs, 1.108740000E-04
2,8,solve_z, 1.057458000E-03
2,8,solve_y, 1.046204000E-03
2,8,solve_x, 1.068353000E-03
2,8,etc, 1.895000000E-06
2,8,comm, 1.242960000E-04
2,9,rhs, 1.105230000E-04
2,9,solve_z, 1.050516000E-03
2,9,solve_y, 1.077295000E-03
2,9,solve_x, 1.166636000E-03
2,9,etc, 1.834000000E-06
2,9,comm, 1.316120000E-04
2,10,rhs, 1.103970000E-04
2,10,solve_z, 1.053888000E-03
2,10,solve_y, 1.058754000E-03
2,10,solve_x, 1.091577000E-03
2,10,etc, 1.924000000E-06
2,10,comm, 1.252670000E-04
3,1,rhs, 1.123360000E-04
3,1,solve_z, 1.048029000E-03
3,1,solve_y, 1.039372000E-03
3,1,solve_x, 1.080942000E-03
3,1,etc, 2.035000000E-06
3,1,comm, 1.662420000E-04
3,2,rhs, 1.100630000E-04
3,2,solve_z, 1.033517000E-03
3,2,solve_y, 1.039783000E-03
3,2,solve_x, 1.070786000E-03
3,2,etc, 1.981000000E-06
3,2,comm, 1.350890000E-04
3,3,rhs, 1.099820000E-04
3,3,solve_z, 1.023793000E-03
3,3,solve_y, 1.030793000E-03
3,3,solve_x, 1.082855000E-03
3,3,etc, 1.877000000E-06
3,3,comm, 1.289350000E-04
3,4,rhs, 1.100090000E-04
3,4,solve_z, 1.021080000E-03
3,4,solve_y, 1.026347000E-03
3,4,solve_x, 1.078103000E-03
3,4,etc, 1.869000000E-06
3,4,comm, 1.247280000E-04
3,5,rhs, 1.090490000E-04
3,5,solve_z, 1.030257000E-03
3,5,solve_y, 1.036575000E-03
3,5,solve_x, 1.086917000E-03
3,5,etc, 1.909000000E-06
3,5,comm, 1.231800000E-04
3,6,rhs, 1.110470000E-04
3,6,solve_z, 1.049097000E-03
3,6,solve_y, 1.040326000E-03
3,6,solve_x, 1.068287000E-03
3,6,etc, 1.874000000E-06
3,6,comm, 1.334700000E-04
3,7,rhs, 1.100580000E-04
3,7,solve_z, 1.026103000E-03
3,7,solve_y, 1.037005000E-03
3,7,solve_x, 1.037513000E-03
3,7,etc, 1.882000000E-06
3,7,comm, 1.242560000E-04
3,8,rhs, 1.095550000E-04
3,8,solve_z, 1.051605000E-03
3,8,solve_y, 1.033499000E-03
3,8,solve_x, 1.063113000E-03
3,8,etc, 1.882000000E-06
3,8,comm, 1.257090000E-04
3,9,rhs, 1.097040000E-04
3,9,solve_z, 1.037370000E-03
3,9,solve_y, 1.028939000E-03
3,9,solve_x, 1.069500000E-03
3,9,etc, 1.786000000E-06
3,9,comm, 1.319550000E-04
3,10,rhs, 1.102650000E-04
3,10,solve_z, 1.043335000E-03
3,10,solve_y, 1.041873000E-03
3,10,solve_x, 1.062333000E-03
3,10,etc, 1.806000000E-06
3,10,comm, 1.251500000E-04
4,1,rhs, 1.296990000E-04
4,1,solve_z, 1.090463000E-03
4,1,solve_y, 1.080604000E-03
4,1,solve_x, 1.077978000E-03
4,1,etc, 2.046000000E-06
4,1,comm, 1.711100000E-04
4,2,rhs, 1.272750000E-04
4,2,solve_z, 1.110105000E-03
4,2,solve_y, 1.074662000E-03
4,2,solve_x, 1.078286000E-03
4,2,etc, 2.018000000E-06
4,2,comm, 1.424020000E-04
4,3,rhs, 1.271610000E-04
4,3,solve_z, 1.075826000E-03
4,3,solve_y, 1.089906000E-03
4,3,solve_x, 1.084200000E-03
4,3,etc, 1.910000000E-06
4,3,comm, 1.332220000E-04
4,4,rhs, 1.273140000E-04
4,4,solve_z, 1.067266000E-03
4,4,solve_y, 1.078311000E-03
4,4,solve_x, 1.089209000E-03
4,4,etc, 1.988000000E-06
4,4,comm, 1.301880000E-04
4,5,rhs, 1.263030000E-04
4,5,solve_z, 1.077513000E-03
4,5,solve_y, 1.076949000E-03
4,5,solve_x, 1.075111000E-03
4,5,etc, 1.946000000E-06
4,5,comm, 1.347570000E-04
4,6,rhs, 1.265090000E-04
