# grid=513x513x513, np=1 (1,1,1), dt= 1.000E-03, Tmax=11, solver_kind=filtered_v2
rank,t_step,event,time_sec
0,1,rhs, 7.603343000E-03
0,1,solve_z, 2.745823500E-02
0,1,solve_y, 3.444970000E-02
0,1,solve_x, 3.101253300E-02
0,1,etc, 1.603000000E-06
0,1,comm, 2.025000000E-06
0,2,rhs, 7.338993000E-03
0,2,solve_z, 2.832327200E-02
0,2,solve_y, 3.358426200E-02
0,2,solve_x, 3.080668800E-02
0,2,etc, 1.513000000E-06
0,2,comm, 2.123000000E-06
0,3,rhs, 7.277804000E-03
0,3,solve_z, 2.729838100E-02
0,3,solve_y, 3.478135400E-02
0,3,solve_x, 3.073514300E-02
0,3,etc, 1.504000000E-06
0,3,comm, 1.844000000E-06
0,4,rhs, 7.274151000E-03
0,4,solve_z, 2.819500600E-02
0,4,solve_y, 3.359574300E-02
0,4,solve_x, 2.970661300E-02
0,4,etc, 1.463000000E-06
0,4,comm, 1.721000000E-06
0,5,rhs, 7.284751000E-03
0,5,solve_z, 2.721107800E-02
0,5,solve_y, 3.356152900E-02
0,5,solve_x, 2.949315500E-02
0,5,etc, 2.625000000E-06
0,5,comm, 1.774000000E-06
0,6,rhs, 7.286132000E-03
0,6,solve_z, 2.723106200E-02
0,6,solve_y, 3.358414900E-02
0,6,solve_x, 3.059546600E-02
0,6,etc, 1.454000000E-06
0,6,comm, 1.696000000E-06
0,7,rhs, 7.280983000E-03
0,7,solve_z, 2.811179500E-02
0,7,solve_y, 3.366812000E-02
0,7,solve_x, 2.969150300E-02
0,7,etc, 1.470000000E-06
0,7,comm, 1.752000000E-06
0,8,rhs, 7.270544000E-03
0,8,solve_z, 2.719961800E-02
0,8,solve_y, 3.374958600E-02
0,8,solve_x, 2.972949300E-02
0,8,etc, 1.460000000E-06
0,8,comm, 1.703000000E-06
0,9,rhs, 7.300855000E-03
0,9,solve_z, 2.823488900E-02
0,9,solve_y, 3.511526400E-02
0,9,solve_x, 2.973999500E-02
0,9,etc, 1.456000000E-06
0,9,comm, 1.878000000E-06
0,10,rhs, 7.280684000E-03
0,10,solve_z, 2.814807700E-02
0,10,solve_y, 3.439527100E-02
0,10,solve_x, 2.972106400E-02
0,10,etc, 1.459000000E-06
0,10,comm, 1.713000000E-06
