study,case,np,backend,rho,grid,cells,wall_per_step_s,rhs,solve_x,solve_y,solve_z,comm
refine,128x128x128,2,filtered_v2,025,129x129x129,2146689,1.876102e-02,1.284043e-02,1.766234e-03,1.399246e-03,2.704232e-03,5.088520e-05
refine,128x128x128,2,filtered_v2,040,129x129x129,2146689,1.870247e-02,1.324569e-02,1.648511e-03,1.373083e-03,2.383760e-03,5.142205e-05
refine,128x128x128,2,pascal,025,129x129x129,2146689,1.905421e-02,1.294993e-02,1.802063e-03,1.473753e-03,2.781404e-03,4.706285e-05
refine,128x128x128,2,pascal,040,129x129x129,2146689,1.945731e-02,1.330991e-02,1.677493e-03,1.446684e-03,2.973094e-03,5.012425e-05
refine,128x128x256,2,filtered_v2,025,129x129x257,4276737,3.956996e-02,2.685285e-02,4.155537e-03,3.192689e-03,5.303869e-03,6.501280e-05
refine,128x128x256,2,filtered_v2,040,129x129x257,4276737,3.793359e-02,2.588591e-02,4.044232e-03,2.787728e-03,5.149607e-03,6.610960e-05
refine,128x128x256,2,pascal,025,129x129x257,4276737,3.774350e-02,2.569056e-02,3.802250e-03,2.723118e-03,5.460916e-03,6.665245e-05
refine,128x128x256,2,pascal,040,129x129x257,4276737,4.665948e-02,3.458857e-02,3.733403e-03,2.686071e-03,5.589267e-03,6.216785e-05
refine,128x128x512,2,filtered_v2,025,129x129x513,8536833,7.667701e-02,5.168061e-02,9.536425e-03,5.667297e-03,9.716993e-03,7.568600e-05
refine,128x128x512,2,filtered_v2,040,129x129x513,8536833,7.755250e-02,5.205737e-02,9.638011e-03,5.800787e-03,9.983409e-03,7.292280e-05
refine,128x128x512,2,pascal,025,129x129x513,8536833,7.838563e-02,5.153482e-02,9.411778e-03,5.447638e-03,1.191912e-02,7.228075e-05
refine,128x128x512,2,pascal,040,129x129x513,8536833,8.943649e-02,5.159652e-02,1.439504e-02,1.140771e-02,1.196404e-02,7.318435e-05
refine,256x256x1024,2,filtered_v2,025,257x257x1025,67700225,6.287035e-01,4.159898e-01,8.134061e-02,5.432462e-02,7.687573e-02,1.727382e-04
refine,256x256x1024,2,filtered_v2,040,257x257x1025,67700225,6.326936e-01,4.164121e-01,8.248365e-02,5.507549e-02,7.855509e-02,1.672963e-04
refine,256x256x1024,2,pascal,025,257x257x1025,67700225,6.445163e-01,4.175178e-01,8.012817e-02,5.343028e-02,9.325876e-02,1.813068e-04
refine,256x256x1024,2,pascal,040,257x257x1025,67700225,6.419484e-01,4.163559e-01,7.922078e-02,5.361046e-02,9.257969e-02,1.815456e-04
refine,256x256x256,2,filtered_v2,025,257x257x257,16974593,1.581235e-01,1.039745e-01,2.081770e-02,1.376892e-02,1.938183e-02,1.805151e-04
refine,256x256x256,2,filtered_v2,040,257x257x257,16974593,1.590834e-01,1.039554e-01,2.085152e-02,1.373687e-02,2.037232e-02,1.673012e-04
refine,256x256x256,2,pascal,025,257x257x257,16974593,1.608654e-01,1.036108e-01,2.038150e-02,1.363819e-02,2.304351e-02,1.913837e-04
refine,256x256x256,2,pascal,040,257x257x257,16974593,1.626129e-01,1.045569e-01,2.054850e-02,1.383964e-02,2.348952e-02,1.783657e-04
refine,256x256x512,2,filtered_v2,025,257x257x513,33883137,3.162310e-01,2.088411e-01,4.092460e-02,2.779291e-02,3.849443e-02,1.779087e-04
refine,256x256x512,2,filtered_v2,040,257x257x513,33883137,3.163559e-01,2.078955e-01,4.091511e-02,2.750017e-02,3.987127e-02,1.737949e-04
refine,256x256x512,2,pascal,025,257x257x513,33883137,3.223786e-01,2.080793e-01,4.015894e-02,2.749408e-02,4.647097e-02,1.753102e-04
refine,256x256x512,2,pascal,040,257x257x513,33883137,3.218813e-01,2.079930e-01,4.019314e-02,2.712296e-02,4.640017e-02,1.719890e-04
refine,64x64x128,2,filtered_v2,025,65x65x129,545025,4.603120e-03,3.228101e-03,3.968885e-04,3.334493e-04,6.213437e-04,2.333755e-05
refine,64x64x128,2,filtered_v2,040,65x65x129,545025,4.754902e-03,3.231397e-03,4.118043e-04,4.103618e-04,6.773091e-04,2.402965e-05
refine,64x64x128,2,pascal,025,65x65x129,545025,4.894255e-03,3.233382e-03,4.126253e-04,4.106833e-04,8.125806e-04,2.498390e-05
refine,64x64x128,2,pascal,040,65x65x129,545025,4.815273e-03,3.190828e-03,3.782622e-04,3.267241e-04,8.960840e-04,2.337485e-05
refine,64x64x256,2,filtered_v2,025,65x65x257,1085825,9.003134e-03,6.461463e-03,7.885761e-04,6.859596e-04,1.043845e-03,2.328980e-05
refine,64x64x256,2,filtered_v2,040,65x65x257,1085825,9.074614e-03,6.443569e-03,7.969968e-04,6.986879e-04,1.110699e-03,2.466180e-05
refine,64x64x256,2,pascal,025,65x65x257,1085825,9.555577e-03,6.431443e-03,1.073909e-03,6.762193e-04,1.348441e-03,2.556555e-05
refine,64x64x256,2,pascal,040,65x65x257,1085825,9.513801e-03,6.445757e-03,9.535156e-04,6.380018e-04,1.452445e-03,2.408215e-05
refine,64x64x64,2,filtered_v2,025,65x65x65,274625,2.457965e-03,1.621628e-03,2.775353e-04,1.680094e-04,3.673288e-04,2.346325e-05
refine,64x64x64,2,filtered_v2,040,65x65x65,274625,2.478894e-03,1.606623e-03,1.968637e-04,1.654526e-04,4.878691e-04,2.208505e-05
refine,64x64x64,2,pascal,025,65x65x65,274625,3.367925e-03,1.606328e-03,9.983449e-04,1.961618e-04,5.429351e-04,2.415535e-05
refine,64x64x64,2,pascal,040,65x65x65,274625,2.552891e-03,1.619124e-03,2.056997e-04,1.815529e-04,5.234551e-04,2.305985e-05
strong,128x128x1024,2,filtered_v2,025,129x129x1025,17057025,1.577424e-01,1.040224e-01,2.175604e-02,1.156440e-02,2.032767e-02,7.188120e-05
strong,128x128x1024,2,filtered_v2,040,129x129x1025,17057025,1.571024e-01,1.037205e-01,2.090127e-02,1.179547e-02,2.060805e-02,7.708150e-05
strong,128x128x1024,2,pascal,025,129x129x1025,17057025,1.591676e-01,1.036928e-01,1.970362e-02,1.126974e-02,2.442667e-02,7.476570e-05
strong,128x128x1024,2,pascal,040,129x129x1025,17057025,1.603690e-01,1.042452e-01,2.009391e-02,1.143603e-02,2.451467e-02,7.926780e-05
strong,128x128x1024,4,filtered_v2,025,129x129x1025,17057025,8.064684e-02,5.201018e-02,1.179203e-02,6.352545e-03,1.037305e-02,1.190302e-04
strong,128x128x1024,4,filtered_v2,040,129x129x1025,17057025,8.076791e-02,5.290624e-02,1.093114e-02,6.336513e-03,1.046376e-02,1.302622e-04
strong,128x128x1024,4,pascal,025,129x129x1025,17057025,8.230507e-02,5.211233e-02,1.135442e-02,5.815497e-03,1.290793e-02,1.148939e-04
strong,128x128x1024,4,pascal,040,129x129x1025,17057025,9.188827e-02,5.896799e-02,1.221665e-02,7.153772e-03,1.342607e-02,1.237802e-04
strong,128x128x1024,8,filtered_v2,025,129x129x1025,17057025,4.504790e-02,2.754943e-02,7.004066e-03,3.838116e-03,6.482489e-03,1.738036e-04
strong,128x128x1024,8,filtered_v2,040,129x129x1025,17057025,4.475112e-02,2.743121e-02,7.098577e-03,3.541189e-03,6.504422e-03,1.757199e-04
strong,128x128x1024,8,pascal,025,129x129x1025,17057025,4.825208e-02,2.786516e-02,7.066660e-03,3.592379e-03,9.545561e-03,1.823158e-04
strong,128x128x1024,8,pascal,040,129x129x1025,17057025,4.777387e-02,2.722353e-02,6.766369e-03,3.705271e-03,9.896428e-03,1.822690e-04
strong,256x256x2048,2,filtered_v2,025,257x257x2049,135334401,1.258917e+00,8.322831e-01,1.605842e-01,1.108654e-01,1.550095e-01,1.750330e-04
