# grid=129x129x129, np=2 (1,1,2), dt= 2.441E-04, Nt=30, solver_kind=filtered_v2
rank,t_step,event,time_sec
0,1,rhs, 1.276457700E-02
0,1,solve_z, 2.711581000E-03
0,1,solve_y, 1.395116000E-03
0,1,solve_x, 1.844341000E-03
0,1,comm, 7.053400000E-05
0,2,rhs, 1.282473200E-02
0,2,solve_z, 2.721340000E-03
0,2,solve_y, 1.405395000E-03
0,2,solve_x, 1.796800000E-03
0,2,comm, 6.718800000E-05
0,3,rhs, 1.283736500E-02
0,3,solve_z, 2.725909000E-03
0,3,solve_y, 1.397880000E-03
0,3,solve_x, 1.768446000E-03
0,3,comm, 6.279000000E-05
0,4,rhs, 1.283486100E-02
0,4,solve_z, 2.717062000E-03
0,4,solve_y, 1.382041000E-03
0,4,solve_x, 1.767685000E-03
0,4,comm, 4.787100000E-05
0,5,rhs, 1.283453000E-02
0,5,solve_z, 2.707213000E-03
0,5,solve_y, 1.394675000E-03
0,5,solve_x, 1.842457000E-03
0,5,comm, 5.488400000E-05
0,6,rhs, 1.284271600E-02
0,6,solve_z, 2.723134000E-03
0,6,solve_y, 1.377281000E-03
0,6,solve_x, 1.787653000E-03
0,6,comm, 5.639700000E-05
0,7,rhs, 1.283593300E-02
0,7,solve_z, 2.719406000E-03
0,7,solve_y, 1.380788000E-03
0,7,solve_x, 1.737498000E-03
0,7,comm, 5.624700000E-05
0,8,rhs, 1.283940900E-02
0,8,solve_z, 2.715249000E-03
0,8,solve_y, 1.383053000E-03
0,8,solve_x, 1.723601000E-03
0,8,comm, 5.738900000E-05
0,9,rhs, 1.283780700E-02
0,9,solve_z, 2.716460000E-03
0,9,solve_y, 1.472223000E-03
0,9,solve_x, 1.763737000E-03
0,9,comm, 5.804100000E-05
0,10,rhs, 1.283628400E-02
0,10,solve_z, 2.720909000E-03
0,10,solve_y, 1.393984000E-03
0,10,solve_x, 1.759139000E-03
0,10,comm, 4.759000000E-05
0,11,rhs, 1.283987100E-02
0,11,solve_z, 2.718595000E-03
0,11,solve_y, 1.382181000E-03
0,11,solve_x, 1.725183000E-03
0,11,comm, 5.699800000E-05
0,12,rhs, 1.283176500E-02
0,12,solve_z, 2.712684000E-03
0,12,solve_y, 1.407369000E-03
0,12,solve_x, 1.779377000E-03
0,12,comm, 5.426400000E-05
0,13,rhs, 1.284983900E-02
0,13,solve_z, 2.716571000E-03
0,13,solve_y, 1.424091000E-03
0,13,solve_x, 1.731897000E-03
0,13,comm, 4.942400000E-05
0,14,rhs, 1.284072200E-02
0,14,solve_z, 2.702885000E-03
0,14,solve_y, 1.397220000E-03
0,14,solve_x, 1.746615000E-03
0,14,comm, 5.089700000E-05
0,15,rhs, 1.284386800E-02
0,15,solve_z, 2.712283000E-03
0,15,solve_y, 1.380267000E-03
0,15,solve_x, 1.706087000E-03
0,15,comm, 5.099700000E-05
0,16,rhs, 1.294847700E-02
0,16,solve_z, 2.666305000E-03
0,16,solve_y, 1.386199000E-03
0,16,solve_x, 1.776401000E-03
0,16,comm, 3.759100000E-05
0,17,rhs, 1.282506200E-02
0,17,solve_z, 2.669501000E-03
0,17,solve_y, 1.397671000E-03
0,17,solve_x, 1.730995000E-03
0,17,comm, 2.994700000E-05
0,18,rhs, 1.283975000E-02
0,18,solve_z, 2.679500000E-03
0,18,solve_y, 1.389305000E-03
0,18,solve_x, 1.739982000E-03
0,18,comm, 3.271200000E-05
0,19,rhs, 1.283541200E-02
0,19,solve_z, 2.662919000E-03
0,19,solve_y, 1.394675000E-03
0,19,solve_x, 1.714934000E-03
0,19,comm, 3.274200000E-05
0,20,rhs, 1.282787700E-02
0,20,solve_z, 2.665133000E-03
0,20,solve_y, 1.443497000E-03
0,20,solve_x, 1.742357000E-03
0,20,comm, 3.139000000E-05
1,1,rhs, 1.280224900E-02
1,1,solve_z, 2.710610000E-03
1,1,solve_y, 1.332567000E-03
1,1,solve_x, 1.739401000E-03
1,1,comm, 5.586600000E-05
1,2,rhs, 1.279313200E-02
1,2,solve_z, 2.720478000E-03
1,2,solve_y, 1.334721000E-03
1,2,solve_x, 1.743990000E-03
1,2,comm, 5.470400000E-05
1,3,rhs, 1.280259900E-02
1,3,solve_z, 2.725187000E-03
1,3,solve_y, 1.341033000E-03
1,3,solve_x, 1.739261000E-03
1,3,comm, 5.373300000E-05
1,4,rhs, 1.280143700E-02
1,4,solve_z, 2.716361000E-03
1,4,solve_y, 1.328298000E-03
1,4,solve_x, 1.745503000E-03
1,4,comm, 5.250000000E-05
1,5,rhs, 1.281168700E-02
1,5,solve_z, 2.706572000E-03
1,5,solve_y, 1.328629000E-03
1,5,solve_x, 1.739612000E-03
1,5,comm, 5.136800000E-05
1,6,rhs, 1.280843100E-02
1,6,solve_z, 2.722532000E-03
1,6,solve_y, 1.330723000E-03
1,6,solve_x, 1.747386000E-03
1,6,comm, 5.585700000E-05
1,7,rhs, 1.280008500E-02
1,7,solve_z, 2.718795000E-03
1,7,solve_y, 1.329801000E-03
1,7,solve_x, 1.742487000E-03
1,7,comm, 5.649700000E-05
1,8,rhs, 1.280226900E-02
1,8,solve_z, 2.714608000E-03
1,8,solve_y, 1.334881000E-03
1,8,solve_x, 1.746024000E-03
1,8,comm, 6.364100000E-05
1,9,rhs, 1.280654700E-02
1,9,solve_z, 2.715809000E-03
1,9,solve_y, 1.358305000E-03
1,9,solve_x, 1.741845000E-03
1,9,comm, 5.820000000E-05
1,10,rhs, 1.279247000E-02
1,10,solve_z, 2.720318000E-03
1,10,solve_y, 1.332296000E-03
1,10,solve_x, 1.743078000E-03
1,10,comm, 4.698900000E-05
1,11,rhs, 1.279789000E-02
1,11,solve_z, 2.717963000E-03
1,11,solve_y, 1.330443000E-03
1,11,solve_x, 1.757175000E-03
1,11,comm, 4.952500000E-05
1,12,rhs, 1.280291000E-02
1,12,solve_z, 2.712062000E-03
1,12,solve_y, 1.327287000E-03
1,12,solve_x, 1.742827000E-03
1,12,comm, 4.465500000E-05
1,13,rhs, 1.282194600E-02
1,13,solve_z, 2.715860000E-03
1,13,solve_y, 1.330843000E-03
1,13,solve_x, 1.746254000E-03
1,13,comm, 4.612800000E-05
1,14,rhs, 1.280698800E-02
1,14,solve_z, 2.702294000E-03
1,14,solve_y, 1.340271000E-03
1,14,solve_x, 1.743860000E-03
1,14,comm, 4.810100000E-05
1,15,rhs, 1.279991400E-02
1,15,solve_z, 2.711411000E-03
1,15,solve_y, 1.326555000E-03
1,15,solve_x, 1.723721000E-03
1,15,comm, 4.763000000E-05
1,16,rhs, 1.279660800E-02
1,16,solve_z, 2.665684000E-03
1,16,solve_y, 1.322948000E-03
1,16,solve_x, 1.731095000E-03
1,16,comm, 3.161000000E-05
1,17,rhs, 1.279552600E-02
1,17,solve_z, 2.668951000E-03
1,17,solve_y, 1.329451000E-03
1,17,solve_x, 1.745413000E-03
1,17,comm, 3.046800000E-05
1,18,rhs, 1.280197800E-02
1,18,solve_z, 2.678909000E-03
1,18,solve_y, 1.336775000E-03
1,18,solve_x, 1.747396000E-03
1,18,comm, 3.122000000E-05
1,19,rhs, 1.280362200E-02
1,19,solve_z, 2.662488000E-03
1,19,solve_y, 1.337136000E-03
1,19,solve_x, 1.741195000E-03
1,19,comm, 2.966700000E-05
1,20,rhs, 1.280248900E-02
1,20,solve_z, 2.664532000E-03
1,20,solve_y, 1.331745000E-03
1,20,solve_x, 1.739211000E-03
1,20,comm, 3.038700000E-05
