# grid=129x129x257, np=2 (1,1,2), dt= 2.441E-04, Nt=30, solver_kind=pascal
rank,t_step,event,time_sec
0,1,rhs, 2.587980000E-02
0,1,solve_z, 5.512419000E-03
0,1,solve_y, 2.637584000E-03
0,1,solve_x, 3.646669000E-03
0,1,comm, 8.223600000E-05
0,2,rhs, 2.589654200E-02
0,2,solve_z, 5.806817000E-03
0,2,solve_y, 2.646521000E-03
0,2,solve_x, 3.704769000E-03
0,2,comm, 8.872900000E-05
0,3,rhs, 2.588154300E-02
0,3,solve_z, 5.521446000E-03
0,3,solve_y, 2.651210000E-03
0,3,solve_x, 3.595000000E-03
0,3,comm, 8.110400000E-05
0,4,rhs, 2.587969000E-02
0,4,solve_z, 5.488093000E-03
0,4,solve_y, 2.637975000E-03
0,4,solve_x, 3.898026000E-03
0,4,comm, 6.435200000E-05
0,5,rhs, 2.591623000E-02
0,5,solve_z, 6.084484000E-03
0,5,solve_y, 2.734448000E-03
0,5,solve_x, 4.367506000E-03
0,5,comm, 8.831700000E-05
0,6,rhs, 2.592695000E-02
0,6,solve_z, 5.479887000E-03
0,6,solve_y, 2.682850000E-03
0,6,solve_x, 3.730157000E-03
0,6,comm, 6.392100000E-05
0,7,rhs, 2.625705600E-02
0,7,solve_z, 5.465810000E-03
0,7,solve_y, 2.650639000E-03
0,7,solve_x, 3.663811000E-03
0,7,comm, 6.528300000E-05
0,8,rhs, 2.590365500E-02
0,8,solve_z, 5.526385000E-03
0,8,solve_y, 2.637334000E-03
0,8,solve_x, 3.642791000E-03
0,8,comm, 5.547500000E-05
0,9,rhs, 2.627710400E-02
0,9,solve_z, 5.534711000E-03
0,9,solve_y, 2.663604000E-03
0,9,solve_x, 3.687035000E-03
0,9,comm, 4.670800000E-05
0,10,rhs, 2.588977900E-02
0,10,solve_z, 5.549228000E-03
0,10,solve_y, 2.641802000E-03
0,10,solve_x, 3.668099000E-03
0,10,comm, 3.803200000E-05
0,11,rhs, 2.590208300E-02
0,11,solve_z, 5.738047000E-03
0,11,solve_y, 2.631312000E-03
0,11,solve_x, 3.590202000E-03
0,11,comm, 5.689800000E-05
0,12,rhs, 2.590694200E-02
0,12,solve_z, 5.547425000E-03
0,12,solve_y, 2.648084000E-03
0,12,solve_x, 3.638723000E-03
0,12,comm, 5.754900000E-05
0,13,rhs, 2.589560000E-02
0,13,solve_z, 5.566261000E-03
0,13,solve_y, 2.651090000E-03
0,13,solve_x, 4.144403000E-03
0,13,comm, 5.897200000E-05
0,14,rhs, 2.587739600E-02
0,14,solve_z, 5.506247000E-03
0,14,solve_y, 2.682119000E-03
0,14,solve_x, 3.831129000E-03
0,14,comm, 5.566500000E-05
0,15,rhs, 2.592269200E-02
0,15,solve_z, 5.505044000E-03
0,15,solve_y, 2.641541000E-03
0,15,solve_x, 3.586805000E-03
0,15,comm, 6.060500000E-05
0,16,rhs, 2.655273700E-02
0,16,solve_z, 5.540772000E-03
0,16,solve_y, 2.644838000E-03
0,16,solve_x, 3.653302000E-03
0,16,comm, 6.198700000E-05
0,17,rhs, 2.589446800E-02
0,17,solve_z, 5.517668000E-03
0,17,solve_y, 2.635100000E-03
0,17,solve_x, 3.654363000E-03
0,17,comm, 3.551700000E-05
0,18,rhs, 2.628126200E-02
0,18,solve_z, 5.542936000E-03
0,18,solve_y, 2.646330000E-03
0,18,solve_x, 3.594349000E-03
0,18,comm, 4.467400000E-05
0,19,rhs, 2.591210100E-02
0,19,solve_z, 5.563124000E-03
0,19,solve_y, 2.647633000E-03
0,19,solve_x, 3.675344000E-03
0,19,comm, 3.483700000E-05
0,20,rhs, 2.586041300E-02
0,20,solve_z, 5.765268000E-03
0,20,solve_y, 2.675997000E-03
0,20,solve_x, 3.695581000E-03
0,20,comm, 5.496400000E-05
1,1,rhs, 3.441055500E-02
1,1,solve_z, 5.513440000E-03
1,1,solve_y, 2.664495000E-03
1,1,solve_x, 3.485753000E-03
1,1,comm, 7.342900000E-05
1,2,rhs, 3.460466400E-02
1,2,solve_z, 5.807538000E-03
1,2,solve_y, 2.674725000E-03
1,2,solve_x, 3.508957000E-03
1,2,comm, 7.948100000E-05
1,3,rhs, 3.438918500E-02
1,3,solve_z, 5.522487000E-03
1,3,solve_y, 2.685816000E-03
1,3,solve_x, 3.521942000E-03
1,3,comm, 8.319800000E-05
1,4,rhs, 3.441907100E-02
1,4,solve_z, 5.489405000E-03
1,4,solve_y, 2.860427000E-03
1,4,solve_x, 3.829054000E-03
1,4,comm, 7.952100000E-05
1,5,rhs, 3.544271300E-02
1,5,solve_z, 6.088080000E-03
1,5,solve_y, 2.759816000E-03
1,5,solve_x, 3.788809000E-03
1,5,comm, 9.224500000E-05
1,6,rhs, 3.441274900E-02
1,6,solve_z, 5.481470000E-03
1,6,solve_y, 2.670837000E-03
1,6,solve_x, 3.555365000E-03
1,6,comm, 5.979400000E-05
1,7,rhs, 3.478493600E-02
1,7,solve_z, 5.467063000E-03
1,7,solve_y, 2.667461000E-03
1,7,solve_x, 3.524286000E-03
1,7,comm, 6.237800000E-05
1,8,rhs, 3.442576400E-02
1,8,solve_z, 5.528228000E-03
1,8,solve_y, 2.665127000E-03
1,8,solve_x, 3.480243000E-03
1,8,comm, 6.127700000E-05
1,9,rhs, 3.479857100E-02
1,9,solve_z, 5.536123000E-03
1,9,solve_y, 2.670507000E-03
1,9,solve_x, 3.571697000E-03
1,9,comm, 5.297000000E-05
1,10,rhs, 3.441217800E-02
1,10,solve_z, 5.549299000E-03
1,10,solve_y, 2.668393000E-03
1,10,solve_x, 3.545006000E-03
1,10,comm, 3.920400000E-05
1,11,rhs, 3.460238900E-02
1,11,solve_z, 5.739339000E-03
1,11,solve_y, 2.660367000E-03
1,11,solve_x, 3.486935000E-03
1,11,comm, 5.855100000E-05
1,12,rhs, 3.443636400E-02
1,12,solve_z, 5.547134000E-03
1,12,solve_y, 2.675997000E-03
1,12,solve_x, 3.527643000E-03
1,12,comm, 5.492400000E-05
1,13,rhs, 3.439927400E-02
1,13,solve_z, 5.567623000E-03
1,13,solve_y, 2.668372000E-03
1,13,solve_x, 3.976504000E-03
