# grid=257x257x2049, np=2 (1,1,2), dt= 3.815E-06, Nt=30, solver_kind=pascal
rank,t_step,event,time_sec
0,1,rhs, 8.354372620E-01
0,1,solve_z, 1.857035360E-01
0,1,solve_y, 1.083502660E-01
0,1,solve_x, 1.606144340E-01
0,1,comm, 1.899200000E-04
0,2,rhs, 8.403933910E-01
0,2,solve_z, 1.867848560E-01
0,2,solve_y, 1.092732060E-01
0,2,solve_x, 1.606236520E-01
0,2,comm, 1.737900000E-04
0,3,rhs, 8.303079150E-01
0,3,solve_z, 1.872093510E-01
0,3,solve_y, 1.097493190E-01
0,3,solve_x, 1.589292180E-01
0,3,comm, 1.543530000E-04
0,4,rhs, 8.366382300E-01
0,4,solve_z, 1.876736730E-01
0,4,solve_y, 1.090585690E-01
0,4,solve_x, 1.601318590E-01
0,4,comm, 2.531110000E-04
0,5,rhs, 8.376028090E-01
0,5,solve_z, 1.867036320E-01
0,5,solve_y, 1.098661810E-01
0,5,solve_x, 1.597621480E-01
0,5,comm, 1.614160000E-04
0,6,rhs, 8.386101700E-01
0,6,solve_z, 1.866019490E-01
0,6,solve_y, 1.097469550E-01
0,6,solve_x, 1.605953280E-01
0,6,comm, 1.620680000E-04
0,7,rhs, 8.402870100E-01
0,7,solve_z, 1.864684970E-01
0,7,solve_y, 1.093041940E-01
0,7,solve_x, 1.596231040E-01
0,7,comm, 1.661850000E-04
0,8,rhs, 8.379639240E-01
0,8,solve_z, 1.873541150E-01
0,8,solve_y, 1.099040630E-01
0,8,solve_x, 1.596256290E-01
0,8,comm, 1.544130000E-04
0,9,rhs, 8.362149170E-01
0,9,solve_z, 1.869908870E-01
0,9,solve_y, 1.096485780E-01
0,9,solve_x, 1.597828670E-01
0,9,comm, 1.474200000E-04
0,10,rhs, 8.363099870E-01
0,10,solve_z, 1.867823610E-01
0,10,solve_y, 1.102129480E-01
0,10,solve_x, 1.622227240E-01
0,10,comm, 2.772760000E-04
0,11,rhs, 8.352571000E-01
0,11,solve_z, 1.866450510E-01
0,11,solve_y, 1.100438670E-01
0,11,solve_x, 1.600411980E-01
0,11,comm, 1.568670000E-04
0,12,rhs, 8.384130960E-01
0,12,solve_z, 1.852994890E-01
0,12,solve_y, 1.096744070E-01
0,12,solve_x, 1.593502970E-01
0,12,comm, 1.586910000E-04
0,13,rhs, 8.405090810E-01
0,13,solve_z, 1.864875920E-01
0,13,solve_y, 1.088270700E-01
0,13,solve_x, 1.604285620E-01
0,13,comm, 1.656840000E-04
0,14,rhs, 8.384508770E-01
0,14,solve_z, 1.865010490E-01
0,14,solve_y, 1.097419450E-01
0,14,solve_x, 1.593941300E-01
0,14,comm, 1.666560000E-04
0,15,rhs, 8.387142460E-01
0,15,solve_z, 1.851109020E-01
0,15,solve_y, 1.090321190E-01
0,15,solve_x, 1.593162720E-01
0,15,comm, 1.573580000E-04
0,16,rhs, 8.375028100E-01
