# grid=257x257x2049, np=4 (1,1,4), dt= 3.815E-06, Nt=30, solver_kind=filtered_v2
rank,t_step,event,time_sec
0,1,rhs, 4.145372040E-01
0,1,solve_z, 8.791156400E-02
0,1,solve_y, 5.758161600E-02
0,1,solve_x, 8.327545900E-02
0,1,comm, 1.628390000E-04
0,2,rhs, 4.174598080E-01
0,2,solve_z, 8.341512400E-02
0,2,solve_y, 5.752332500E-02
0,2,solve_x, 8.247868700E-02
0,2,comm, 1.635310000E-04
0,3,rhs, 4.182578720E-01
0,3,solve_z, 8.167015300E-02
0,3,solve_y, 5.352360800E-02
0,3,solve_x, 7.959366400E-02
0,3,comm, 2.033350000E-04
0,4,rhs, 4.180660280E-01
0,4,solve_z, 8.224464400E-02
0,4,solve_y, 5.822294200E-02
0,4,solve_x, 8.336932700E-02
0,4,comm, 1.475200000E-04
0,5,rhs, 4.194582100E-01
0,5,solve_z, 8.399481400E-02
0,5,solve_y, 5.751941800E-02
0,5,solve_x, 8.258665200E-02
0,5,comm, 1.644920000E-04
0,6,rhs, 4.142956960E-01
0,6,solve_z, 8.402188500E-02
0,6,solve_y, 5.668620800E-02
0,6,solve_x, 8.188297800E-02
0,6,comm, 1.551650000E-04
0,7,rhs, 4.187573900E-01
0,7,solve_z, 8.315792600E-02
0,7,solve_y, 5.772088000E-02
0,7,solve_x, 8.319907400E-02
0,7,comm, 1.448050000E-04
0,8,rhs, 4.194314890E-01
0,8,solve_z, 8.374760500E-02
0,8,solve_y, 5.737849100E-02
0,8,solve_x, 8.307193300E-02
0,8,comm, 1.530100000E-04
0,9,rhs, 4.186565390E-01
0,9,solve_z, 8.288372600E-02
0,9,solve_y, 5.772033900E-02
0,9,solve_x, 8.151238500E-02
0,9,comm, 1.599540000E-04
0,10,rhs, 4.123344450E-01
0,10,solve_z, 8.233821100E-02
0,10,solve_y, 5.319149800E-02
0,10,solve_x, 7.901804300E-02
0,10,comm, 1.805920000E-04
0,11,rhs, 4.129093660E-01
0,11,solve_z, 8.481364700E-02
0,11,solve_y, 5.770425800E-02
0,11,solve_x, 8.397005700E-02
0,11,comm, 1.575890000E-04
0,12,rhs, 4.188712060E-01
0,12,solve_z, 8.351897100E-02
0,12,solve_y, 5.833775100E-02
0,12,solve_x, 8.296503000E-02
0,12,comm, 1.596530000E-04
0,13,rhs, 4.206739460E-01
0,13,solve_z, 8.356715200E-02
0,13,solve_y, 5.755719000E-02
0,13,solve_x, 8.326146300E-02
0,13,comm, 2.227130000E-04
0,14,rhs, 4.190328130E-01
0,14,solve_z, 8.367652000E-02
0,14,solve_y, 5.778661500E-02
0,14,solve_x, 8.280149000E-02
0,14,comm, 1.496340000E-04
0,15,rhs, 4.187347870E-01
0,15,solve_z, 8.387063800E-02
0,15,solve_y, 5.725900400E-02
0,15,solve_x, 8.216868000E-02
0,15,comm, 1.412580000E-04
0,16,rhs, 4.138431570E-01
0,16,solve_z, 8.070788800E-02
0,16,solve_y, 5.425884200E-02
0,16,solve_x, 8.006588000E-02
0,16,comm, 1.888980000E-04
0,17,rhs, 4.128433610E-01
0,17,solve_z, 8.361073500E-02
0,17,solve_y, 5.693678300E-02
0,17,solve_x, 8.265926000E-02
0,17,comm, 1.521180000E-04
0,18,rhs, 4.166667630E-01
0,18,solve_z, 8.284858900E-02
0,18,solve_y, 5.744210100E-02
0,18,solve_x, 8.277091200E-02
0,18,comm, 1.502550000E-04
0,19,rhs, 4.158266500E-01
0,19,solve_z, 8.365593100E-02
0,19,solve_y, 5.636379600E-02
0,19,solve_x, 8.228925800E-02
0,19,comm, 2.356070000E-04
0,20,rhs, 4.161334930E-01
0,20,solve_z, 8.191867600E-02
0,20,solve_y, 5.702165400E-02
0,20,solve_x, 8.179642300E-02
0,20,comm, 1.737500000E-04
1,1,rhs, 4.147849640E-01
1,1,solve_z, 8.789937100E-02
1,1,solve_y, 5.347793100E-02
1,1,solve_x, 8.065786300E-02
1,1,comm, 3.039670000E-04
1,2,rhs, 4.179101730E-01
1,2,solve_z, 8.340311100E-02
1,2,solve_y, 5.371612300E-02
1,2,solve_x, 8.181958800E-02
1,2,comm, 3.943880000E-04
1,3,rhs, 4.182647850E-01
1,3,solve_z, 8.166468300E-02
1,3,solve_y, 5.078505200E-02
1,3,solve_x, 7.777153800E-02
1,3,comm, 4.188940000E-04
1,4,rhs, 4.177447480E-01
1,4,solve_z, 8.223139800E-02
1,4,solve_y, 5.383796400E-02
1,4,solve_x, 8.204408300E-02
1,4,comm, 3.076640000E-04
1,5,rhs, 4.188967240E-01
1,5,solve_z, 8.398161800E-02
1,5,solve_y, 5.354429700E-02
1,5,solve_x, 8.071655400E-02
1,5,comm, 3.290450000E-04
1,6,rhs, 4.145289190E-01
1,6,solve_z, 8.401001300E-02
1,6,solve_y, 5.265488900E-02
1,6,solve_x, 8.049761900E-02
1,6,comm, 3.150280000E-04
1,7,rhs, 4.190720360E-01
1,7,solve_z, 8.314224600E-02
1,7,solve_y, 5.389397000E-02
1,7,solve_x, 8.070625500E-02
1,7,comm, 3.921940000E-04
1,8,rhs, 4.195957500E-01
1,8,solve_z, 8.373503100E-02
1,8,solve_y, 5.392955700E-02
1,8,solve_x, 8.113746300E-02
1,8,comm, 3.139460000E-04
1,9,rhs, 4.196441320E-01
1,9,solve_z, 8.287311500E-02
1,9,solve_y, 5.364712200E-02
1,9,solve_x, 7.956017100E-02
1,9,comm, 3.422590000E-04
1,10,rhs, 4.123132750E-01
1,10,solve_z, 8.232707000E-02
1,10,solve_y, 5.093819300E-02
1,10,solve_x, 7.841206300E-02
1,10,comm, 3.169910000E-04
1,11,rhs, 4.131539900E-01
1,11,solve_z, 8.479996100E-02
1,11,solve_y, 5.372617200E-02
1,11,solve_x, 8.104623000E-02
1,11,comm, 3.235940000E-04
1,12,rhs, 4.190671780E-01
1,12,solve_z, 8.350667800E-02
1,12,solve_y, 5.388010400E-02
1,12,solve_x, 8.042396900E-02
1,12,comm, 3.304470000E-04
1,13,rhs, 4.202801390E-01
1,13,solve_z, 8.355584100E-02
1,13,solve_y, 5.363637100E-02
1,13,solve_x, 8.053125300E-02
1,13,comm, 3.260880000E-04
1,14,rhs, 4.194419280E-01
1,14,solve_z, 8.366450700E-02
1,14,solve_y, 5.411858700E-02
1,14,solve_x, 8.069630600E-02
1,14,comm, 4.021130000E-04
1,15,rhs, 4.189667570E-01
1,15,solve_z, 8.385815400E-02
1,15,solve_y, 5.332646300E-02
1,15,solve_x, 8.072674400E-02
1,15,comm, 3.135950000E-04
1,16,rhs, 4.141007360E-01
1,16,solve_z, 8.069550400E-02
1,16,solve_y, 5.053368600E-02
1,16,solve_x, 7.828637400E-02
1,16,comm, 3.238740000E-04
1,17,rhs, 4.138371660E-01
1,17,solve_z, 8.359829100E-02
1,17,solve_y, 5.335077000E-02
1,17,solve_x, 8.088566600E-02
1,17,comm, 3.352760000E-04
1,18,rhs, 4.168703200E-01
1,18,solve_z, 8.283851000E-02
1,18,solve_y, 5.358289000E-02
1,18,solve_x, 8.078092700E-02
1,18,comm, 3.004200000E-04
1,19,rhs, 4.160972830E-01
1,19,solve_z, 8.364499000E-02
1,19,solve_y, 5.285057100E-02
1,19,solve_x, 7.947952700E-02
1,19,comm, 3.329120000E-04
1,20,rhs, 4.162212980E-01
1,20,solve_z, 8.190721300E-02
1,20,solve_y, 5.318997400E-02
1,20,solve_x, 7.975228500E-02
1,20,comm, 3.382910000E-04
2,1,rhs, 4.159885670E-01
2,1,solve_z, 8.788221900E-02
2,1,solve_y, 5.690799900E-02
2,1,solve_x, 8.073180300E-02
2,1,comm, 3.131240000E-04
2,2,rhs, 4.191774670E-01
2,2,solve_z, 8.338382400E-02
2,2,solve_y, 5.722290500E-02
2,2,solve_x, 8.178506200E-02
2,2,comm, 3.953500000E-04
2,3,rhs, 4.199291830E-01
2,3,solve_z, 8.164997500E-02
2,3,solve_y, 5.371670400E-02
2,3,solve_x, 7.898533000E-02
2,3,comm, 2.936970000E-04
2,4,rhs, 4.188659150E-01
2,4,solve_z, 8.221501700E-02
2,4,solve_y, 5.708606600E-02
2,4,solve_x, 8.040319000E-02
2,4,comm, 2.924240000E-04
2,5,rhs, 4.200217180E-01
2,5,solve_z, 8.395515800E-02
2,5,solve_y, 5.694262400E-02
2,5,solve_x, 8.130788600E-02
2,5,comm, 2.870440000E-04
2,6,rhs, 4.156259190E-01
2,6,solve_z, 8.399576500E-02
2,6,solve_y, 5.627092900E-02
2,6,solve_x, 7.917050200E-02
2,6,comm, 2.779080000E-04
2,7,rhs, 4.201948870E-01
2,7,solve_z, 8.312123600E-02
2,7,solve_y, 5.681149500E-02
2,7,solve_x, 8.101631300E-02
2,7,comm, 2.995390000E-04
2,8,rhs, 4.210336070E-01
2,8,solve_z, 8.372089400E-02
2,8,solve_y, 5.752265400E-02
2,8,solve_x, 8.142405700E-02
2,8,comm, 4.075230000E-04
2,9,rhs, 4.199288720E-01
2,9,solve_z, 8.284886000E-02
2,9,solve_y, 5.693589100E-02
2,9,solve_x, 8.035629100E-02
2,9,comm, 3.073530000E-04
2,10,rhs, 4.142504700E-01
2,10,solve_z, 8.232181900E-02
2,10,solve_y, 5.336089900E-02
2,10,solve_x, 7.829553100E-02
2,10,comm, 2.961120000E-04
2,11,rhs, 4.143606390E-01
2,11,solve_z, 8.477691800E-02
2,11,solve_y, 5.703699300E-02
2,11,solve_x, 8.108383100E-02
2,11,comm, 3.061000000E-04
2,12,rhs, 4.198920820E-01
2,12,solve_z, 8.347824400E-02
2,12,solve_y, 5.722979900E-02
2,12,solve_x, 8.169851700E-02
2,12,comm, 2.886170000E-04
2,13,rhs, 4.212983900E-01
2,13,solve_z, 8.353107400E-02
2,13,solve_y, 5.688547600E-02
2,13,solve_x, 8.141179300E-02
2,13,comm, 3.016820000E-04
2,14,rhs, 4.203102150E-01
2,14,solve_z, 8.364467900E-02
2,14,solve_y, 5.722095100E-02
2,14,solve_x, 8.135586700E-02
2,14,comm, 2.717450000E-04
2,15,rhs, 4.202641280E-01
2,15,solve_z, 8.383435900E-02
2,15,solve_y, 5.683731400E-02
2,15,solve_x, 8.086633800E-02
2,15,comm, 3.100080000E-04
2,16,rhs, 4.150847230E-01
2,16,solve_z, 8.068692800E-02
2,16,solve_y, 5.406193900E-02
2,16,solve_x, 7.860967700E-02
2,16,comm, 2.777270000E-04
2,17,rhs, 4.148234660E-01
2,17,solve_z, 8.357454600E-02
2,17,solve_y, 5.708248900E-02
2,17,solve_x, 8.104475700E-02
2,17,comm, 3.962020000E-04
2,18,rhs, 4.181497470E-01
2,18,solve_z, 8.281738000E-02
2,18,solve_y, 5.699872100E-02
2,18,solve_x, 8.096733000E-02
2,18,comm, 2.857420000E-04
2,19,rhs, 4.179808970E-01
2,19,solve_z, 8.361625600E-02
2,19,solve_y, 5.618293300E-02
2,19,solve_x, 8.020962300E-02
2,19,comm, 2.942680000E-04
2,20,rhs, 4.174460020E-01
2,20,solve_z, 8.187860900E-02
2,20,solve_y, 5.658935300E-02
2,20,solve_x, 8.065427700E-02
2,20,comm, 3.056400000E-04
3,1,rhs, 4.149335860E-01
3,1,solve_z, 8.784913600E-02
3,1,solve_y, 5.354843500E-02
3,1,solve_x, 8.123958700E-02
3,1,comm, 1.859430000E-04
3,2,rhs, 4.181263930E-01
3,2,solve_z, 8.335886700E-02
3,2,solve_y, 5.378951200E-02
3,2,solve_x, 8.251532700E-02
3,2,comm, 3.157390000E-04
3,3,rhs, 4.183207120E-01
3,3,solve_z, 8.163350400E-02
3,3,solve_y, 5.084819200E-02
3,3,solve_x, 8.015514000E-02
3,3,comm, 1.711250000E-04
3,4,rhs, 4.176740640E-01
3,4,solve_z, 8.218772500E-02
3,4,solve_y, 5.391913800E-02
3,4,solve_x, 8.138831900E-02
3,4,comm, 1.825760000E-04
3,5,rhs, 4.188857430E-01
3,5,solve_z, 8.392277700E-02
3,5,solve_y, 5.361679400E-02
3,5,solve_x, 8.342173700E-02
3,5,comm, 1.829270000E-04
3,6,rhs, 4.144328960E-01
3,6,solve_z, 8.397298300E-02
3,6,solve_y, 5.272730700E-02
3,6,solve_x, 8.007785300E-02
3,6,comm, 1.737490000E-04
3,7,rhs, 4.188459580E-01
3,7,solve_z, 8.309069800E-02
3,7,solve_y, 5.352083200E-02
3,7,solve_x, 8.139295800E-02
3,7,comm, 1.747410000E-04
3,8,rhs, 4.196027540E-01
3,8,solve_z, 8.369282000E-02
3,8,solve_y, 5.401108200E-02
3,8,solve_x, 8.140443000E-02
3,8,comm, 1.854920000E-04
3,9,rhs, 4.189525700E-01
3,9,solve_z, 8.282391200E-02
3,9,solve_y, 5.372597100E-02
3,9,solve_x, 8.135784100E-02
3,9,comm, 2.735090000E-04
3,10,rhs, 4.126127930E-01
3,10,solve_z, 8.228698400E-02
3,10,solve_y, 5.134615700E-02
3,10,solve_x, 7.964601400E-02
3,10,comm, 2.544720000E-04
3,11,rhs, 4.131326900E-01
3,11,solve_z, 8.474421600E-02
3,11,solve_y, 5.380076300E-02
3,11,solve_x, 8.187948100E-02
3,11,comm, 2.693510000E-04
3,12,rhs, 4.189158910E-01
3,12,solve_z, 8.344921900E-02
3,12,solve_y, 5.395623800E-02
3,12,solve_x, 8.200623100E-02
3,12,comm, 1.760940000E-04
3,13,rhs, 4.202196240E-01
3,13,solve_z, 8.349886300E-02
3,13,solve_y, 5.371226600E-02
3,13,solve_x, 8.148914100E-02
3,13,comm, 1.552150000E-04
3,14,rhs, 4.191794310E-01
3,14,solve_z, 8.360213800E-02
3,14,solve_y, 5.372401800E-02
3,14,solve_x, 8.160138300E-02
3,14,comm, 1.630790000E-04
3,15,rhs, 4.189036770E-01
3,15,solve_z, 8.380010400E-02
3,15,solve_y, 5.340243800E-02
3,15,solve_x, 8.154691900E-02
3,15,comm, 1.900000000E-04
3,16,rhs, 4.139546180E-01
3,16,solve_z, 8.066645900E-02
3,16,solve_y, 5.059468100E-02
3,16,solve_x, 7.901920500E-02
3,16,comm, 1.637210000E-04
3,17,rhs, 4.129896980E-01
3,17,solve_z, 8.354039100E-02
3,17,solve_y, 5.342258600E-02
3,17,solve_x, 8.106117800E-02
3,17,comm, 1.832370000E-04
3,18,rhs, 4.168326790E-01
3,18,solve_z, 8.279211200E-02
3,18,solve_y, 5.365659000E-02
3,18,solve_x, 8.087950300E-02
3,18,comm, 1.778870000E-04
3,19,rhs, 4.160348650E-01
3,19,solve_z, 8.359419400E-02
3,19,solve_y, 5.292341900E-02
3,19,solve_x, 8.007217200E-02
3,19,comm, 1.599740000E-04
3,20,rhs, 4.162273200E-01
3,20,solve_z, 8.185856100E-02
3,20,solve_y, 5.326232200E-02
3,20,solve_x, 8.199002100E-02
3,20,comm, 1.915530000E-04
