# grid=129x129x257, np=2 (1,1,2), dt= 2.441E-04, Nt=30, solver_kind=pascal
rank,t_step,event,time_sec
0,1,rhs, 2.591792300E-02
0,1,solve_z, 5.665250000E-03
0,1,solve_y, 2.766841000E-03
0,1,solve_x, 4.130929000E-03
0,1,comm, 9.078300000E-05
0,2,rhs, 2.609774400E-02
0,2,solve_z, 6.184366000E-03
0,2,solve_y, 2.801787000E-03
0,2,solve_x, 4.134686000E-03
0,2,comm, 1.012720000E-04
0,3,rhs, 2.592021700E-02
0,3,solve_z, 5.835694000E-03
0,3,solve_y, 2.782551000E-03
0,3,solve_x, 4.158230000E-03
0,3,comm, 1.023350000E-04
0,4,rhs, 2.590504900E-02
0,4,solve_z, 5.673365000E-03
0,4,solve_y, 2.763123000E-03
0,4,solve_x, 4.211261000E-03
0,4,comm, 7.931000000E-05
0,5,rhs, 2.612068800E-02
0,5,solve_z, 5.813853000E-03
0,5,solve_y, 2.734689000E-03
0,5,solve_x, 4.075484000E-03
0,5,comm, 6.305900000E-05
0,6,rhs, 2.583073700E-02
0,6,solve_z, 5.726276000E-03
0,6,solve_y, 2.767291000E-03
0,6,solve_x, 4.093397000E-03
0,6,comm, 6.780900000E-05
0,7,rhs, 2.582841300E-02
0,7,solve_z, 5.487153000E-03
0,7,solve_y, 2.744548000E-03
0,7,solve_x, 4.022283000E-03
0,7,comm, 7.210700000E-05
0,8,rhs, 2.679077900E-02
0,8,solve_z, 6.150140000E-03
0,8,solve_y, 2.871819000E-03
0,8,solve_x, 4.503987000E-03
0,8,comm, 6.477300000E-05
0,9,rhs, 2.579081200E-02
0,9,solve_z, 5.757936000E-03
0,9,solve_y, 2.785857000E-03
0,9,solve_x, 4.197395000E-03
0,9,comm, 6.127600000E-05
0,10,rhs, 2.576342000E-02
0,10,solve_z, 5.694376000E-03
0,10,solve_y, 2.749457000E-03
0,10,solve_x, 4.255135000E-03
0,10,comm, 7.321900000E-05
0,11,rhs, 2.605726700E-02
0,11,solve_z, 5.913842000E-03
0,11,solve_y, 2.770547000E-03
0,11,solve_x, 4.083449000E-03
0,11,comm, 5.918300000E-05
0,12,rhs, 2.590719200E-02
0,12,solve_z, 5.713442000E-03
0,12,solve_y, 2.767823000E-03
0,12,solve_x, 4.175965000E-03
0,12,comm, 6.320000000E-05
0,13,rhs, 2.593548600E-02
0,13,solve_z, 5.672454000E-03
0,13,solve_y, 2.762643000E-03
0,13,solve_x, 4.331429000E-03
0,13,comm, 6.197700000E-05
0,14,rhs, 2.610002800E-02
0,14,solve_z, 5.886881000E-03
0,14,solve_y, 2.782419000E-03
0,14,solve_x, 4.005030000E-03
0,14,comm, 5.988300000E-05
0,15,rhs, 2.593170900E-02
0,15,solve_z, 5.715035000E-03
0,15,solve_y, 2.768845000E-03
0,15,solve_x, 4.176245000E-03
0,15,comm, 4.572600000E-05
0,16,rhs, 2.591422600E-02
0,16,solve_z, 5.686230000E-03
0,16,solve_y, 2.770348000E-03
0,16,solve_x, 3.998117000E-03
0,16,comm, 4.671800000E-05
0,17,rhs, 2.630793300E-02
0,17,solve_z, 5.645363000E-03
0,17,solve_y, 2.779395000E-03
0,17,solve_x, 4.149174000E-03
0,17,comm, 6.522400000E-05
0,18,rhs, 2.590661200E-02
0,18,solve_z, 5.760511000E-03
0,18,solve_y, 2.772662000E-03
0,18,solve_x, 4.137882000E-03
0,18,comm, 6.190800000E-05
0,19,rhs, 2.589752400E-02
0,19,solve_z, 5.702742000E-03
0,19,solve_y, 2.972461000E-03
0,19,solve_x, 4.289190000E-03
0,19,comm, 5.396200000E-05
0,20,rhs, 2.593848200E-02
0,20,solve_z, 5.717830000E-03
0,20,solve_y, 2.764897000E-03
0,20,solve_x, 4.067097000E-03
0,20,comm, 5.783000000E-05
1,1,rhs, 2.558642400E-02
1,1,solve_z, 5.665140000E-03
1,1,solve_y, 2.858584000E-03
1,1,solve_x, 3.415832000E-03
1,1,comm, 8.970000000E-05
1,2,rhs, 2.576811900E-02
1,2,solve_z, 6.184416000E-03
1,2,solve_y, 2.869114000E-03
1,2,solve_x, 3.433125000E-03
1,2,comm, 1.002210000E-04
1,3,rhs, 2.557924000E-02
1,3,solve_z, 5.835063000E-03
1,3,solve_y, 2.870788000E-03
1,3,solve_x, 3.472440000E-03
1,3,comm, 7.973200000E-05
1,4,rhs, 2.557416000E-02
1,4,solve_z, 5.672965000E-03
1,4,solve_y, 2.851631000E-03
1,4,solve_x, 3.505583000E-03
1,4,comm, 6.255900000E-05
1,5,rhs, 2.578377900E-02
1,5,solve_z, 5.813271000E-03
1,5,solve_y, 2.812487000E-03
1,5,solve_x, 3.417205000E-03
1,5,comm, 6.374100000E-05
1,6,rhs, 2.552640000E-02
1,6,solve_z, 5.720426000E-03
1,6,solve_y, 2.841613000E-03
1,6,solve_x, 3.430660000E-03
1,6,comm, 5.536600000E-05
1,7,rhs, 2.552612900E-02
1,7,solve_z, 5.486782000E-03
1,7,solve_y, 2.829229000E-03
1,7,solve_x, 3.426031000E-03
1,7,comm, 5.443400000E-05
1,8,rhs, 2.665583400E-02
1,8,solve_z, 6.149469000E-03
1,8,solve_y, 2.936994000E-03
1,8,solve_x, 3.599851000E-03
1,8,comm, 6.153700000E-05
1,9,rhs, 2.544826100E-02
1,9,solve_z, 5.757916000E-03
1,9,solve_y, 2.850540000E-03
1,9,solve_x, 3.386526000E-03
1,9,comm, 4.805100000E-05
1,10,rhs, 2.545847100E-02
1,10,solve_z, 5.693925000E-03
1,10,solve_y, 2.845890000E-03
1,10,solve_x, 3.419840000E-03
1,10,comm, 5.741900000E-05
1,11,rhs, 2.572515700E-02
1,11,solve_z, 5.914383000E-03
1,11,solve_y, 2.848986000E-03
1,11,solve_x, 3.432534000E-03
1,11,comm, 5.014500000E-05
1,12,rhs, 2.557961100E-02
1,12,solve_z, 5.713111000E-03
1,12,solve_y, 2.846682000E-03
1,12,solve_x, 3.417666000E-03
1,12,comm, 5.803100000E-05
1,13,rhs, 2.558219500E-02
1,13,solve_z, 5.671953000E-03
1,13,solve_y, 2.857332000E-03
1,13,solve_x, 3.515100000E-03
1,13,comm, 5.648700000E-05
1,14,rhs, 2.577536200E-02
1,14,solve_z, 5.886801000E-03
1,14,solve_y, 2.845970000E-03
1,14,solve_x, 3.399070000E-03
1,14,comm, 4.988400000E-05
1,15,rhs, 2.561525900E-02
1,15,solve_z, 5.714734000E-03
1,15,solve_y, 2.852884000E-03
1,15,solve_x, 3.490183000E-03
1,15,comm, 5.463300000E-05
1,16,rhs, 2.560185300E-02
1,16,solve_z, 5.685760000E-03
1,16,solve_y, 2.854557000E-03
1,16,solve_x, 3.446470000E-03
1,16,comm, 5.024500000E-05
