# grid=129x129x513, np=4 (1,1,4), dt= 1.526E-05, Nt=30, solver_kind=filtered_v2
rank,t_step,event,time_sec
0,1,rhs, 2.609632600E-02
0,1,solve_z, 5.304423000E-03
0,1,solve_y, 2.899972000E-03
0,1,solve_x, 4.267326000E-03
0,1,comm, 8.075300000E-05
0,2,rhs, 2.639179700E-02
0,2,solve_z, 5.320654000E-03
0,2,solve_y, 2.890694000E-03
0,2,solve_x, 4.187464000E-03
0,2,comm, 8.652400000E-05
0,3,rhs, 2.624016900E-02
0,3,solve_z, 5.343316000E-03
0,3,solve_y, 2.910882000E-03
0,3,solve_x, 4.279308000E-03
0,3,comm, 1.047690000E-04
0,4,rhs, 2.608781000E-02
0,4,solve_z, 5.310164000E-03
0,4,solve_y, 2.907596000E-03
0,4,solve_x, 4.437358000E-03
0,4,comm, 1.161210000E-04
0,5,rhs, 2.611366900E-02
0,5,solve_z, 5.212328000E-03
0,5,solve_y, 2.888750000E-03
0,5,solve_x, 4.176934000E-03
0,5,comm, 8.880800000E-05
0,6,rhs, 2.624519900E-02
0,6,solve_z, 5.151503000E-03
0,6,solve_y, 2.893820000E-03
0,6,solve_x, 4.148079000E-03
0,6,comm, 8.738600000E-05
0,7,rhs, 2.682477900E-02
0,7,solve_z, 5.450841000E-03
0,7,solve_y, 3.025389000E-03
0,7,solve_x, 4.385269000E-03
0,7,comm, 9.157400000E-05
0,8,rhs, 2.612975000E-02
0,8,solve_z, 5.107800000E-03
0,8,solve_y, 2.885344000E-03
0,8,solve_x, 4.282774000E-03
0,8,comm, 9.222500000E-05
0,9,rhs, 2.640193700E-02
0,9,solve_z, 5.176611000E-03
0,9,solve_y, 2.893029000E-03
0,9,solve_x, 4.241336000E-03
0,9,comm, 7.519300000E-05
0,10,rhs, 2.610657600E-02
0,10,solve_z, 5.091489000E-03
0,10,solve_y, 2.881476000E-03
0,10,solve_x, 4.338891000E-03
0,10,comm, 7.901000000E-05
0,11,rhs, 2.610874000E-02
0,11,solve_z, 5.164387000E-03
0,11,solve_y, 2.894331000E-03
0,11,solve_x, 4.134975000E-03
0,11,comm, 7.814900000E-05
0,12,rhs, 2.609770900E-02
0,12,solve_z, 5.110184000E-03
0,12,solve_y, 2.891816000E-03
0,12,solve_x, 4.278727000E-03
0,12,comm, 7.899000000E-05
0,13,rhs, 2.611920000E-02
0,13,solve_z, 5.254007000E-03
0,13,solve_y, 2.925009000E-03
0,13,solve_x, 4.531988000E-03
0,13,comm, 6.420200000E-05
0,14,rhs, 2.628271100E-02
0,14,solve_z, 5.084586000E-03
0,14,solve_y, 2.893629000E-03
0,14,solve_x, 4.121879000E-03
0,14,comm, 5.630700000E-05
0,15,rhs, 2.626656000E-02
0,15,solve_z, 5.164738000E-03
0,15,solve_y, 2.890994000E-03
0,15,solve_x, 4.221829000E-03
0,15,comm, 5.018500000E-05
0,16,rhs, 2.610113600E-02
0,16,solve_z, 5.120234000E-03
0,16,solve_y, 2.878591000E-03
0,16,solve_x, 4.300759000E-03
0,16,comm, 5.643800000E-05
0,17,rhs, 2.605543900E-02
0,17,solve_z, 5.098673000E-03
0,17,solve_y, 2.899431000E-03
0,17,solve_x, 4.126719000E-03
0,17,comm, 6.132600000E-05
0,18,rhs, 2.631242600E-02
0,18,solve_z, 5.055401000E-03
0,18,solve_y, 2.879653000E-03
0,18,solve_x, 4.158660000E-03
0,18,comm, 6.018400000E-05
0,19,rhs, 2.608898200E-02
0,19,solve_z, 5.521044000E-03
0,19,solve_y, 2.882649000E-03
0,19,solve_x, 4.063750000E-03
0,19,comm, 5.713800000E-05
0,20,rhs, 2.639057400E-02
0,20,solve_z, 5.113120000E-03
0,20,solve_y, 2.881427000E-03
0,20,solve_x, 4.208002000E-03
0,20,comm, 7.386000000E-05
1,1,rhs, 2.610428200E-02
1,1,solve_z, 5.305375000E-03
1,1,solve_y, 2.967079000E-03
1,1,solve_x, 5.234881000E-03
1,1,comm, 1.224220000E-04
1,2,rhs, 2.638892100E-02
1,2,solve_z, 5.320123000E-03
1,2,solve_y, 2.955276000E-03
1,2,solve_x, 5.510463000E-03
1,2,comm, 1.262190000E-04
1,3,rhs, 2.622658300E-02
1,3,solve_z, 5.343437000E-03
1,3,solve_y, 2.957641000E-03
1,3,solve_x, 5.403120000E-03
1,3,comm, 1.294660000E-04
1,4,rhs, 2.609522500E-02
1,4,solve_z, 5.309693000E-03
1,4,solve_y, 2.924478000E-03
1,4,solve_x, 5.459567000E-03
1,4,comm, 1.503760000E-04
1,5,rhs, 2.612184500E-02
1,5,solve_z, 5.211055000E-03
1,5,solve_y, 2.943053000E-03
1,5,solve_x, 5.399093000E-03
1,5,comm, 1.230730000E-04
1,6,rhs, 2.627003600E-02
1,6,solve_z, 5.151212000E-03
1,6,solve_y, 2.952491000E-03
1,6,solve_x, 5.506255000E-03
1,6,comm, 1.236540000E-04
1,7,rhs, 2.683603000E-02
1,7,solve_z, 5.451652000E-03
1,7,solve_y, 2.998629000E-03
1,7,solve_x, 5.566360000E-03
1,7,comm, 1.558650000E-04
1,8,rhs, 2.611629400E-02
1,8,solve_z, 5.106908000E-03
1,8,solve_y, 2.926051000E-03
1,8,solve_x, 5.482621000E-03
1,8,comm, 1.288950000E-04
1,9,rhs, 2.641955000E-02
1,9,solve_z, 5.177743000E-03
1,9,solve_y, 2.930760000E-03
1,9,solve_x, 5.332777000E-03
1,9,comm, 1.071330000E-04
1,10,rhs, 2.610705600E-02
1,10,solve_z, 5.090457000E-03
1,10,solve_y, 2.936962000E-03
1,10,solve_x, 5.352283000E-03
1,10,comm, 1.124630000E-04
1,11,rhs, 2.610317000E-02
1,11,solve_z, 5.163947000E-03
1,11,solve_y, 2.942632000E-03
1,11,solve_x, 5.314301000E-03
1,11,comm, 1.141670000E-04
1,12,rhs, 2.609792900E-02
1,12,solve_z, 5.109904000E-03
1,12,solve_y, 2.932253000E-03
1,12,solve_x, 5.583773000E-03
