# grid=65x65x129, np=2 (1,1,2), dt= 9.766E-04, Nt=30, solver_kind=pascal
rank,t_step,event,time_sec
0,1,rhs, 1.201800000E-05
0,1,solve_z, 1.746730000E-04
0,1,solve_y, 4.518800000E-05
0,1,solve_x, 4.942400000E-05
0,1,etc, 1.412000000E-06
0,1,comm, 4.118200000E-05
0,1,tdma_z_comm, 1.169060000E-04
0,1,tdma_y_comm, 0.000000000E+00
0,1,tdma_x_comm, 0.000000000E+00
0,2,rhs, 1.210800000E-05
0,2,solve_z, 1.808420000E-04
0,2,solve_y, 4.494700000E-05
0,2,solve_x, 4.912400000E-05
0,2,etc, 1.492000000E-06
0,2,comm, 3.800700000E-05
0,2,tdma_z_comm, 1.224730000E-04
0,2,tdma_y_comm, 0.000000000E+00
0,2,tdma_x_comm, 0.000000000E+00
0,3,rhs, 1.235900000E-05
0,3,solve_z, 1.757640000E-04
0,3,solve_y, 4.528800000E-05
0,3,solve_x, 4.846300000E-05
0,3,etc, 1.402000000E-06
0,3,comm, 3.750600000E-05
0,3,tdma_z_comm, 1.197400000E-04
0,3,tdma_y_comm, 0.000000000E+00
0,3,tdma_x_comm, 0.000000000E+00
0,4,rhs, 1.186800000E-05
0,4,solve_z, 1.827850000E-04
0,4,solve_y, 4.539800000E-05
0,4,solve_x, 4.828200000E-05
0,4,etc, 1.402000000E-06
0,4,comm, 3.685500000E-05
0,4,tdma_z_comm, 1.251270000E-04
0,4,tdma_y_comm, 0.000000000E+00
0,4,tdma_x_comm, 0.000000000E+00
0,5,rhs, 1.205900000E-05
0,5,solve_z, 1.823940000E-04
0,5,solve_y, 4.532800000E-05
0,5,solve_x, 4.850300000E-05
0,5,etc, 1.442000000E-06
0,5,comm, 3.845700000E-05
0,5,tdma_z_comm, 1.235360000E-04
0,5,tdma_y_comm, 0.000000000E+00
0,5,tdma_x_comm, 0.000000000E+00
0,6,rhs, 1.254900000E-05
0,6,solve_z, 1.764340000E-04
0,6,solve_y, 4.535800000E-05
0,6,solve_x, 4.865300000E-05
0,6,etc, 1.382000000E-06
0,6,comm, 3.713600000E-05
0,6,tdma_z_comm, 1.191590000E-04
0,6,tdma_y_comm, 0.000000000E+00
0,6,tdma_x_comm, 0.000000000E+00
0,7,rhs, 1.213800000E-05
0,7,solve_z, 1.762840000E-04
0,7,solve_y, 4.567800000E-05
0,7,solve_x, 4.942400000E-05
0,7,etc, 1.402000000E-06
0,7,comm, 3.698500000E-05
0,7,tdma_z_comm, 1.207110000E-04
0,7,tdma_y_comm, 0.000000000E+00
0,7,tdma_x_comm, 0.000000000E+00
0,8,rhs, 1.212800000E-05
0,8,solve_z, 1.809110000E-04
0,8,solve_y, 4.478700000E-05
0,8,solve_x, 5.039600000E-05
0,8,etc, 1.392000000E-06
0,8,comm, 3.763700000E-05
0,8,tdma_z_comm, 1.210110000E-04
0,8,tdma_y_comm, 0.000000000E+00
0,8,tdma_x_comm, 0.000000000E+00
0,9,rhs, 1.218800000E-05
0,9,solve_z, 1.766250000E-04
0,9,solve_y, 4.511700000E-05
0,9,solve_x, 4.883300000E-05
0,9,etc, 1.393000000E-06
0,9,comm, 3.736600000E-05
0,9,tdma_z_comm, 1.196800000E-04
0,9,tdma_y_comm, 0.000000000E+00
0,9,tdma_x_comm, 0.000000000E+00
0,10,rhs, 1.256800000E-05
0,10,solve_z, 1.787980000E-04
0,10,solve_y, 4.591900000E-05
0,10,solve_x, 4.912400000E-05
0,10,etc, 1.402000000E-06
0,10,comm, 3.735600000E-05
0,10,tdma_z_comm, 1.215020000E-04
0,10,tdma_y_comm, 0.000000000E+00
0,10,tdma_x_comm, 0.000000000E+00
0,11,rhs, 1.216800000E-05
0,11,solve_z, 1.778570000E-04
0,11,solve_y, 4.425600000E-05
0,11,solve_x, 4.959500000E-05
0,11,etc, 1.402000000E-06
0,11,comm, 3.697600000E-05
0,11,tdma_z_comm, 1.204110000E-04
0,11,tdma_y_comm, 0.000000000E+00
0,11,tdma_x_comm, 0.000000000E+00
0,12,rhs, 1.192800000E-05
0,12,solve_z, 1.782070000E-04
0,12,solve_y, 4.547800000E-05
0,12,solve_x, 5.039600000E-05
0,12,etc, 1.422000000E-06
0,12,comm, 3.724600000E-05
0,12,tdma_z_comm, 1.221140000E-04
0,12,tdma_y_comm, 0.000000000E+00
0,12,tdma_x_comm, 0.000000000E+00
0,13,rhs, 1.256900000E-05
0,13,solve_z, 1.786890000E-04
0,13,solve_y, 4.528800000E-05
0,13,solve_x, 4.984500000E-05
0,13,etc, 1.382000000E-06
0,13,comm, 3.718600000E-05
0,13,tdma_z_comm, 1.201900000E-04
0,13,tdma_y_comm, 0.000000000E+00
0,13,tdma_x_comm, 0.000000000E+00
0,14,rhs, 1.223800000E-05
0,14,solve_z, 2.096550000E-04
0,14,solve_y, 4.496800000E-05
0,14,solve_x, 4.856300000E-05
0,14,etc, 1.402000000E-06
0,14,comm, 3.715600000E-05
0,14,tdma_z_comm, 1.207710000E-04
0,14,tdma_y_comm, 0.000000000E+00
0,14,tdma_x_comm, 0.000000000E+00
0,15,rhs, 1.232800000E-05
0,15,solve_z, 1.792490000E-04
0,15,solve_y, 4.488700000E-05
0,15,solve_x, 4.941400000E-05
0,15,etc, 1.422000000E-06
0,15,comm, 3.689500000E-05
0,15,tdma_z_comm, 1.226940000E-04
0,15,tdma_y_comm, 0.000000000E+00
0,15,tdma_x_comm, 0.000000000E+00
0,16,rhs, 1.228900000E-05
0,16,solve_z, 1.747930000E-04
0,16,solve_y, 4.514800000E-05
0,16,solve_x, 5.051600000E-05
0,16,etc, 1.402000000E-06
0,16,comm, 3.726700000E-05
0,16,tdma_z_comm, 1.185880000E-04
0,16,tdma_y_comm, 0.000000000E+00
0,16,tdma_x_comm, 0.000000000E+00
0,17,rhs, 1.255900000E-05
0,17,solve_z, 1.770850000E-04
0,17,solve_y, 4.501800000E-05
0,17,solve_x, 4.950400000E-05
0,17,etc, 1.412000000E-06
0,17,comm, 4.099200000E-05
0,17,tdma_z_comm, 1.204600000E-04
0,17,tdma_y_comm, 0.000000000E+00
0,17,tdma_x_comm, 0.000000000E+00
0,18,rhs, 1.228900000E-05
0,18,solve_z, 1.779770000E-04
0,18,solve_y, 4.579800000E-05
0,18,solve_x, 4.857300000E-05
0,18,etc, 1.422000000E-06
0,18,comm, 3.780600000E-05
0,18,tdma_z_comm, 1.210220000E-04
0,18,tdma_y_comm, 0.000000000E+00
0,18,tdma_x_comm, 0.000000000E+00
0,19,rhs, 1.202800000E-05
0,19,solve_z, 1.770660000E-04
0,19,solve_y, 4.506800000E-05
0,19,solve_x, 4.979500000E-05
0,19,etc, 1.413000000E-06
0,19,comm, 3.755600000E-05
0,19,tdma_z_comm, 1.196800000E-04
0,19,tdma_y_comm, 0.000000000E+00
0,19,tdma_x_comm, 0.000000000E+00
0,20,rhs, 1.210800000E-05
0,20,solve_z, 1.807110000E-04
0,20,solve_y, 4.547800000E-05
0,20,solve_x, 4.857300000E-05
0,20,etc, 1.432000000E-06
0,20,comm, 3.716600000E-05
0,20,tdma_z_comm, 1.227040000E-04
0,20,tdma_y_comm, 0.000000000E+00
0,20,tdma_x_comm, 0.000000000E+00
1,1,rhs, 1.245900000E-05
1,1,solve_z, 1.738610000E-04
1,1,solve_y, 4.547800000E-05
1,1,solve_x, 4.963400000E-05
1,1,etc, 1.472000000E-06
1,1,comm, 4.146200000E-05
1,1,tdma_z_comm, 1.164450000E-04
1,1,tdma_y_comm, 0.000000000E+00
1,1,tdma_x_comm, 0.000000000E+00
1,2,rhs, 1.221800000E-05
1,2,solve_z, 1.811120000E-04
1,2,solve_y, 4.492700000E-05
1,2,solve_x, 4.973500000E-05
1,2,etc, 1.492000000E-06
1,2,comm, 3.775600000E-05
1,2,tdma_z_comm, 1.215630000E-04
1,2,tdma_y_comm, 0.000000000E+00
1,2,tdma_x_comm, 0.000000000E+00
1,3,rhs, 1.247900000E-05
1,3,solve_z, 2.070410000E-04
1,3,solve_y, 4.498800000E-05
1,3,solve_x, 4.912300000E-05
1,3,etc, 1.473000000E-06
1,3,comm, 3.743600000E-05
1,3,tdma_z_comm, 1.186590000E-04
1,3,tdma_y_comm, 0.000000000E+00
1,3,tdma_x_comm, 0.000000000E+00
1,4,rhs, 1.223900000E-05
1,4,solve_z, 1.804710000E-04
1,4,solve_y, 4.597900000E-05
1,4,solve_x, 4.904400000E-05
1,4,etc, 1.492000000E-06
1,4,comm, 3.697500000E-05
1,4,tdma_z_comm, 1.231340000E-04
1,4,tdma_y_comm, 0.000000000E+00
1,4,tdma_x_comm, 0.000000000E+00
1,5,rhs, 1.222900000E-05
1,5,solve_z, 1.799900000E-04
1,5,solve_y, 4.539800000E-05
1,5,solve_x, 4.980400000E-05
1,5,etc, 1.502000000E-06
1,5,comm, 3.799700000E-05
1,5,tdma_z_comm, 1.218830000E-04
1,5,tdma_y_comm, 0.000000000E+00
1,5,tdma_x_comm, 0.000000000E+00
1,6,rhs, 1.253900000E-05
1,6,solve_z, 1.761340000E-04
1,6,solve_y, 4.561800000E-05
1,6,solve_x, 4.847300000E-05
1,6,etc, 1.512000000E-06
1,6,comm, 3.687500000E-05
1,6,tdma_z_comm, 1.180270000E-04
1,6,tdma_y_comm, 0.000000000E+00
1,6,tdma_x_comm, 0.000000000E+00
1,7,rhs, 1.226800000E-05
1,7,solve_z, 2.069500000E-04
1,7,solve_y, 4.541800000E-05
1,7,solve_x, 4.942400000E-05
1,7,etc, 1.493000000E-06
1,7,comm, 3.669500000E-05
1,7,tdma_z_comm, 1.201600000E-04
1,7,tdma_y_comm, 0.000000000E+00
1,7,tdma_x_comm, 0.000000000E+00
1,8,rhs, 1.212800000E-05
1,8,solve_z, 1.797200000E-04
1,8,solve_y, 4.465700000E-05
1,8,solve_x, 4.922400000E-05
1,8,etc, 1.512000000E-06
1,8,comm, 3.699600000E-05
1,8,tdma_z_comm, 1.208310000E-04
1,8,tdma_y_comm, 0.000000000E+00
1,8,tdma_x_comm, 0.000000000E+00
1,9,rhs, 1.230800000E-05
1,9,solve_z, 2.068910000E-04
1,9,solve_y, 4.655000000E-05
