# grid=65x65x257, np=2 (1,1,2), dt= 6.104E-05, Nt=30, solver_kind=filtered_v2
rank,t_step,event,time_sec
0,1,rhs, 1.576400000E-05
0,1,solve_z, 1.679120000E-04
0,1,solve_y, 5.108700000E-05
0,1,solve_x, 5.664500000E-05
0,1,etc, 1.423000000E-06
0,1,comm, 3.767600000E-05
0,1,tdma_z_comm, 1.345720000E-04
0,1,tdma_y_comm, 0.000000000E+00
0,1,tdma_x_comm, 0.000000000E+00
0,2,rhs, 1.571300000E-05
0,2,solve_z, 1.680820000E-04
0,2,solve_y, 5.112700000E-05
0,2,solve_x, 5.669500000E-05
0,2,etc, 1.402000000E-06
0,2,comm, 3.571400000E-05
0,2,tdma_z_comm, 1.349330000E-04
0,2,tdma_y_comm, 0.000000000E+00
0,2,tdma_x_comm, 0.000000000E+00
0,3,rhs, 1.591400000E-05
0,3,solve_z, 1.688330000E-04
0,3,solve_y, 5.117700000E-05
0,3,solve_x, 5.507300000E-05
0,3,etc, 1.372000000E-06
0,3,comm, 3.594400000E-05
0,3,tdma_z_comm, 1.359640000E-04
0,3,tdma_y_comm, 0.000000000E+00
0,3,tdma_x_comm, 0.000000000E+00
0,4,rhs, 1.582400000E-05
0,4,solve_z, 1.672400000E-04
0,4,solve_y, 4.957500000E-05
0,4,solve_x, 5.633400000E-05
0,4,etc, 1.382000000E-06
0,4,comm, 3.722600000E-05
0,4,tdma_z_comm, 1.335200000E-04
0,4,tdma_y_comm, 0.000000000E+00
0,4,tdma_x_comm, 0.000000000E+00
0,5,rhs, 1.557400000E-05
0,5,solve_z, 1.662690000E-04
0,5,solve_y, 5.216800000E-05
0,5,solve_x, 5.617400000E-05
0,5,etc, 1.382000000E-06
0,5,comm, 3.560400000E-05
0,5,tdma_z_comm, 1.329200000E-04
0,5,tdma_y_comm, 0.000000000E+00
0,5,tdma_x_comm, 0.000000000E+00
0,6,rhs, 1.556400000E-05
0,6,solve_z, 1.666300000E-04
0,6,solve_y, 5.099600000E-05
0,6,solve_x, 5.588400000E-05
0,6,etc, 1.412000000E-06
0,6,comm, 3.569300000E-05
0,6,tdma_z_comm, 1.338810000E-04
0,6,tdma_y_comm, 0.000000000E+00
0,6,tdma_x_comm, 0.000000000E+00
0,7,rhs, 1.589400000E-05
0,7,solve_z, 1.678720000E-04
0,7,solve_y, 5.057600000E-05
0,7,solve_x, 5.519300000E-05
0,7,etc, 1.382000000E-06
0,7,comm, 3.592400000E-05
0,7,tdma_z_comm, 1.346820000E-04
0,7,tdma_y_comm, 0.000000000E+00
0,7,tdma_x_comm, 0.000000000E+00
0,8,rhs, 1.574300000E-05
0,8,solve_z, 1.685130000E-04
0,8,solve_y, 5.136700000E-05
0,8,solve_x, 5.572400000E-05
0,8,etc, 1.412000000E-06
0,8,comm, 3.699500000E-05
0,8,tdma_z_comm, 1.349620000E-04
0,8,tdma_y_comm, 0.000000000E+00
0,8,tdma_x_comm, 0.000000000E+00
0,9,rhs, 1.593400000E-05
0,9,solve_z, 1.695750000E-04
0,9,solve_y, 5.110700000E-05
0,9,solve_x, 5.702600000E-05
0,9,etc, 1.393000000E-06
0,9,comm, 3.592400000E-05
0,9,tdma_z_comm, 1.363350000E-04
0,9,tdma_y_comm, 0.000000000E+00
0,9,tdma_x_comm, 0.000000000E+00
0,10,rhs, 1.555300000E-05
0,10,solve_z, 1.675720000E-04
0,10,solve_y, 5.029500000E-05
0,10,solve_x, 5.546300000E-05
0,10,etc, 1.411000000E-06
0,10,comm, 3.623500000E-05
0,10,tdma_z_comm, 1.344120000E-04
0,10,tdma_y_comm, 0.000000000E+00
0,10,tdma_x_comm, 0.000000000E+00
0,11,rhs, 1.591400000E-05
0,11,solve_z, 1.667500000E-04
0,11,solve_y, 5.043500000E-05
0,11,solve_x, 5.516200000E-05
0,11,etc, 1.362000000E-06
0,11,comm, 3.547300000E-05
0,11,tdma_z_comm, 1.334410000E-04
0,11,tdma_y_comm, 0.000000000E+00
0,11,tdma_x_comm, 0.000000000E+00
0,12,rhs, 1.563300000E-05
0,12,solve_z, 1.675120000E-04
0,12,solve_y, 5.119700000E-05
0,12,solve_x, 5.555400000E-05
0,12,etc, 1.372000000E-06
0,12,comm, 3.587400000E-05
0,12,tdma_z_comm, 1.338200000E-04
0,12,tdma_y_comm, 0.000000000E+00
0,12,tdma_x_comm, 0.000000000E+00
0,13,rhs, 1.561400000E-05
0,13,solve_z, 1.666900000E-04
0,13,solve_y, 5.111700000E-05
0,13,solve_x, 5.612400000E-05
0,13,etc, 1.412000000E-06
0,13,comm, 3.597400000E-05
0,13,tdma_z_comm, 1.334800000E-04
0,13,tdma_y_comm, 0.000000000E+00
0,13,tdma_x_comm, 0.000000000E+00
0,14,rhs, 1.558300000E-05
0,14,solve_z, 1.673310000E-04
0,14,solve_y, 5.044600000E-05
0,14,solve_x, 5.643500000E-05
0,14,etc, 1.412000000E-06
0,14,comm, 3.593400000E-05
0,14,tdma_z_comm, 1.343110000E-04
0,14,tdma_y_comm, 0.000000000E+00
0,14,tdma_x_comm, 0.000000000E+00
0,15,rhs, 1.559300000E-05
0,15,solve_z, 1.667000000E-04
0,15,solve_y, 5.058600000E-05
0,15,solve_x, 5.628500000E-05
0,15,etc, 1.382000000E-06
0,15,comm, 3.538300000E-05
0,15,tdma_z_comm, 1.337010000E-04
0,15,tdma_y_comm, 0.000000000E+00
0,15,tdma_x_comm, 0.000000000E+00
0,16,rhs, 1.557400000E-05
0,16,solve_z, 1.688430000E-04
0,16,solve_y, 5.031500000E-05
0,16,solve_x, 5.476200000E-05
0,16,etc, 1.382000000E-06
0,16,comm, 3.598400000E-05
0,16,tdma_z_comm, 1.356240000E-04
0,16,tdma_y_comm, 0.000000000E+00
0,16,tdma_x_comm, 0.000000000E+00
0,17,rhs, 1.601400000E-05
0,17,solve_z, 1.662490000E-04
0,17,solve_y, 5.172800000E-05
0,17,solve_x, 5.595400000E-05
0,17,etc, 1.413000000E-06
0,17,comm, 3.573400000E-05
0,17,tdma_z_comm, 1.332800000E-04
0,17,tdma_y_comm, 0.000000000E+00
0,17,tdma_x_comm, 0.000000000E+00
0,18,rhs, 1.559300000E-05
0,18,solve_z, 1.668010000E-04
0,18,solve_y, 5.020500000E-05
0,18,solve_x, 5.617400000E-05
0,18,etc, 1.382000000E-06
0,18,comm, 3.563300000E-05
0,18,tdma_z_comm, 1.339510000E-04
0,18,tdma_y_comm, 0.000000000E+00
0,18,tdma_x_comm, 0.000000000E+00
0,19,rhs, 1.565300000E-05
0,19,solve_z, 1.661290000E-04
0,19,solve_y, 5.266900000E-05
0,19,solve_x, 5.552400000E-05
0,19,etc, 1.382000000E-06
0,19,comm, 3.574300000E-05
0,19,tdma_z_comm, 1.332600000E-04
0,19,tdma_y_comm, 0.000000000E+00
0,19,tdma_x_comm, 0.000000000E+00
0,20,rhs, 1.591400000E-05
0,20,solve_z, 1.681730000E-04
0,20,solve_y, 5.097700000E-05
0,20,solve_x, 5.693500000E-05
0,20,etc, 1.393000000E-06
0,20,comm, 3.657500000E-05
0,20,tdma_z_comm, 1.346920000E-04
0,20,tdma_y_comm, 0.000000000E+00
0,20,tdma_x_comm, 0.000000000E+00
1,1,rhs, 1.590400000E-05
1,1,solve_z, 1.700450000E-04
1,1,solve_y, 4.944400000E-05
1,1,solve_x, 5.144700000E-05
1,1,etc, 1.503000000E-06
1,1,comm, 3.738600000E-05
1,1,tdma_z_comm, 1.340220000E-04
1,1,tdma_y_comm, 0.000000000E+00
1,1,tdma_x_comm, 0.000000000E+00
1,2,rhs, 1.594300000E-05
1,2,solve_z, 1.702960000E-04
1,2,solve_y, 4.938400000E-05
1,2,solve_x, 5.153700000E-05
1,2,etc, 1.482000000E-06
1,2,comm, 3.559400000E-05
1,2,tdma_z_comm, 1.339810000E-04
1,2,tdma_y_comm, 0.000000000E+00
1,2,tdma_x_comm, 0.000000000E+00
1,3,rhs, 1.599400000E-05
1,3,solve_z, 1.709070000E-04
1,3,solve_y, 4.915400000E-05
1,3,solve_x, 5.142700000E-05
1,3,etc, 1.472000000E-06
1,3,comm, 3.560400000E-05
1,3,tdma_z_comm, 1.346520000E-04
1,3,tdma_y_comm, 0.000000000E+00
1,3,tdma_x_comm, 0.000000000E+00
1,4,rhs, 1.579400000E-05
1,4,solve_z, 1.694350000E-04
1,4,solve_y, 4.905400000E-05
1,4,solve_x, 5.167700000E-05
1,4,etc, 1.482000000E-06
1,4,comm, 3.729600000E-05
1,4,tdma_z_comm, 1.330300000E-04
1,4,tdma_y_comm, 0.000000000E+00
1,4,tdma_x_comm, 0.000000000E+00
1,5,rhs, 1.595400000E-05
1,5,solve_z, 1.687630000E-04
1,5,solve_y, 4.952400000E-05
1,5,solve_x, 5.179800000E-05
1,5,etc, 1.482000000E-06
1,5,comm, 3.593400000E-05
1,5,tdma_z_comm, 1.325590000E-04
1,5,tdma_y_comm, 0.000000000E+00
1,5,tdma_x_comm, 0.000000000E+00
1,6,rhs, 1.605400000E-05
1,6,solve_z, 1.688630000E-04
1,6,solve_y, 4.948400000E-05
1,6,solve_x, 5.096600000E-05
1,6,etc, 1.472000000E-06
1,6,comm, 3.576300000E-05
1,6,tdma_z_comm, 1.329800000E-04
1,6,tdma_y_comm, 0.000000000E+00
1,6,tdma_x_comm, 0.000000000E+00
1,7,rhs, 1.598400000E-05
1,7,solve_z, 1.703850000E-04
1,7,solve_y, 4.975400000E-05
1,7,solve_x, 5.145700000E-05
1,7,etc, 1.502000000E-06
1,7,comm, 3.597400000E-05
1,7,tdma_z_comm, 1.336410000E-04
1,7,tdma_y_comm, 0.000000000E+00
1,7,tdma_x_comm, 0.000000000E+00
1,8,rhs, 1.595400000E-05
1,8,solve_z, 1.706460000E-04
1,8,solve_y, 4.954400000E-05
1,8,solve_x, 5.142700000E-05
1,8,etc, 1.473000000E-06
1,8,comm, 3.655500000E-05
1,8,tdma_z_comm, 1.343410000E-04
1,8,tdma_y_comm, 0.000000000E+00
1,8,tdma_x_comm, 0.000000000E+00
1,9,rhs, 1.598400000E-05
1,9,solve_z, 1.720390000E-04
1,9,solve_y, 4.944400000E-05
1,9,solve_x, 5.160700000E-05
1,9,etc, 1.482000000E-06
1,9,comm, 3.582400000E-05
1,9,tdma_z_comm, 1.357130000E-04
1,9,tdma_y_comm, 0.000000000E+00
1,9,tdma_x_comm, 0.000000000E+00
1,10,rhs, 1.607400000E-05
1,10,solve_z, 1.698840000E-04
1,10,solve_y, 4.957400000E-05
1,10,solve_x, 5.135700000E-05
1,10,etc, 1.473000000E-06
1,10,comm, 3.642400000E-05
1,10,tdma_z_comm, 1.331600000E-04
1,10,tdma_y_comm, 0.000000000E+00
1,10,tdma_x_comm, 0.000000000E+00
1,11,rhs, 1.580400000E-05
1,11,solve_z, 1.687630000E-04
1,11,solve_y, 4.921300000E-05
1,11,solve_x, 5.143700000E-05
1,11,etc, 1.472000000E-06
1,11,comm, 3.529300000E-05
1,11,tdma_z_comm, 1.326090000E-04
1,11,tdma_y_comm, 0.000000000E+00
1,11,tdma_x_comm, 0.000000000E+00
1,12,rhs, 1.614400000E-05
1,12,solve_z, 1.700960000E-04
1,12,solve_y, 4.955500000E-05
1,12,solve_x, 5.184800000E-05
1,12,etc, 1.473000000E-06
1,12,comm, 3.573400000E-05
1,12,tdma_z_comm, 1.332400000E-04
1,12,tdma_y_comm, 0.000000000E+00
1,12,tdma_x_comm, 0.000000000E+00
1,13,rhs, 1.588400000E-05
1,13,solve_z, 1.691130000E-04
1,13,solve_y, 4.977500000E-05
1,13,solve_x, 5.240800000E-05
1,13,etc, 1.472000000E-06
1,13,comm, 3.609500000E-05
1,13,tdma_z_comm, 1.332600000E-04
1,13,tdma_y_comm, 0.000000000E+00
1,13,tdma_x_comm, 0.000000000E+00
1,14,rhs, 1.600400000E-05
1,14,solve_z, 1.693340000E-04
1,14,solve_y, 4.953400000E-05
1,14,solve_x, 5.135800000E-05
1,14,etc, 1.482000000E-06
1,14,comm, 3.582400000E-05
1,14,tdma_z_comm, 1.328990000E-04
1,14,tdma_y_comm, 0.000000000E+00
1,14,tdma_x_comm, 0.000000000E+00
1,15,rhs, 1.579400000E-05
1,15,solve_z, 1.691740000E-04
1,15,solve_y, 4.918400000E-05
1,15,solve_x, 5.124700000E-05
1,15,etc, 1.472000000E-06
1,15,comm, 3.589400000E-05
1,15,tdma_z_comm, 1.325290000E-04
1,15,tdma_y_comm, 0.000000000E+00
1,15,tdma_x_comm, 0.000000000E+00
1,16,rhs, 1.608400000E-05
1,16,solve_z, 1.709160000E-04
1,16,solve_y, 4.888300000E-05
1,16,solve_x, 5.130700000E-05
1,16,etc, 1.482000000E-06
1,16,comm, 3.586300000E-05
1,16,tdma_z_comm, 1.347130000E-04
1,16,tdma_y_comm, 0.000000000E+00
1,16,tdma_x_comm, 0.000000000E+00
1,17,rhs, 1.631400000E-05
1,17,solve_z, 1.684330000E-04
1,17,solve_y, 4.908400000E-05
1,17,solve_x, 5.134700000E-05
1,17,etc, 1.503000000E-06
1,17,comm, 3.551300000E-05
1,17,tdma_z_comm, 1.328690000E-04
1,17,tdma_y_comm, 0.000000000E+00
1,17,tdma_x_comm, 0.000000000E+00
1,18,rhs, 1.588400000E-05
1,18,solve_z, 1.689940000E-04
1,18,solve_y, 4.910400000E-05
1,18,solve_x, 5.174700000E-05
1,18,etc, 1.483000000E-06
1,18,comm, 3.546300000E-05
