# grid=129x129x1025, np=2 (1,1,2), dt= 1.526E-05, Nt=30, solver_kind=filtered_v2
rank,t_step,event,time_sec
0,1,rhs, 1.296850000E-04
0,1,solve_z, 9.585490000E-04
0,1,solve_y, 3.462900000E-04
0,1,solve_x, 3.770460000E-04
0,1,etc, 1.372000000E-06
0,1,comm, 4.929400000E-05
0,1,tdma_z_comm, 8.756640000E-04
0,1,tdma_y_comm, 0.000000000E+00
0,1,tdma_x_comm, 0.000000000E+00
0,2,rhs, 1.291930000E-04
0,2,solve_z, 9.562650000E-04
0,2,solve_y, 3.452680000E-04
0,2,solve_x, 3.741920000E-04
0,2,etc, 1.402000000E-06
0,2,comm, 4.593900000E-05
0,2,tdma_z_comm, 8.717680000E-04
0,2,tdma_y_comm, 0.000000000E+00
0,2,tdma_x_comm, 0.000000000E+00
0,3,rhs, 1.289540000E-04
0,3,solve_z, 9.548130000E-04
0,3,solve_y, 3.441670000E-04
0,3,solve_x, 3.747820000E-04
0,3,etc, 1.372000000E-06
0,3,comm, 4.498700000E-05
0,3,tdma_z_comm, 8.710870000E-04
0,3,tdma_y_comm, 0.000000000E+00
0,3,tdma_x_comm, 0.000000000E+00
0,4,rhs, 1.294550000E-04
0,4,solve_z, 9.578270000E-04
0,4,solve_y, 3.452280000E-04
0,4,solve_x, 3.714580000E-04
0,4,etc, 1.382000000E-06
0,4,comm, 4.800200000E-05
0,4,tdma_z_comm, 8.743020000E-04
0,4,tdma_y_comm, 0.000000000E+00
0,4,tdma_x_comm, 0.000000000E+00
0,5,rhs, 1.287130000E-04
0,5,solve_z, 9.555140000E-04
0,5,solve_y, 3.435050000E-04
0,5,solve_x, 3.719180000E-04
0,5,etc, 1.372000000E-06
0,5,comm, 4.433700000E-05
0,5,tdma_z_comm, 8.719290000E-04
0,5,tdma_y_comm, 0.000000000E+00
0,5,tdma_x_comm, 0.000000000E+00
0,6,rhs, 1.291130000E-04
0,6,solve_z, 9.596600000E-04
0,6,solve_y, 3.440870000E-04
0,6,solve_x, 3.723790000E-04
0,6,etc, 1.382000000E-06
0,6,comm, 4.626900000E-05
0,6,tdma_z_comm, 8.753140000E-04
0,6,tdma_y_comm, 0.000000000E+00
0,6,tdma_x_comm, 0.000000000E+00
0,7,rhs, 1.292130000E-04
0,7,solve_z, 9.581980000E-04
0,7,solve_y, 3.454280000E-04
0,7,solve_x, 3.736810000E-04
0,7,etc, 1.402000000E-06
0,7,comm, 4.698100000E-05
0,7,tdma_z_comm, 8.750940000E-04
0,7,tdma_y_comm, 0.000000000E+00
0,7,tdma_x_comm, 0.000000000E+00
0,8,rhs, 1.285530000E-04
0,8,solve_z, 9.606220000E-04
0,8,solve_y, 3.456590000E-04
0,8,solve_x, 3.757240000E-04
0,8,etc, 1.392000000E-06
0,8,comm, 4.556800000E-05
0,8,tdma_z_comm, 8.757440000E-04
0,8,tdma_y_comm, 0.000000000E+00
0,8,tdma_x_comm, 0.000000000E+00
0,9,rhs, 1.289040000E-04
0,9,solve_z, 9.521390000E-04
0,9,solve_y, 3.451880000E-04
0,9,solve_x, 3.731100000E-04
0,9,etc, 1.362000000E-06
0,9,comm, 4.505800000E-05
0,9,tdma_z_comm, 8.699860000E-04
0,9,tdma_y_comm, 0.000000000E+00
0,9,tdma_x_comm, 0.000000000E+00
0,10,rhs, 1.294540000E-04
0,10,solve_z, 9.583980000E-04
0,10,solve_y, 3.449180000E-04
0,10,solve_x, 3.727090000E-04
0,10,etc, 1.422000000E-06
0,10,comm, 4.541800000E-05
0,10,tdma_z_comm, 8.730600000E-04
0,10,tdma_y_comm, 0.000000000E+00
0,10,tdma_x_comm, 0.000000000E+00
0,11,rhs, 1.286930000E-04
0,11,solve_z, 9.539220000E-04
0,11,solve_y, 3.420640000E-04
0,11,solve_x, 3.731700000E-04
0,11,etc, 1.403000000E-06
0,11,comm, 4.641900000E-05
0,11,tdma_z_comm, 8.705560000E-04
0,11,tdma_y_comm, 0.000000000E+00
0,11,tdma_x_comm, 0.000000000E+00
