# grid=129x129x1025, np=4 (1,1,4), dt= 3.815E-06, Nt=30, solver_kind=pascal
rank,t_step,event,time_sec
0,1,rhs, 6.798200000E-05
0,1,solve_z, 7.511970000E-04
0,1,solve_y, 2.268800000E-04
0,1,solve_x, 2.402100000E-04
0,1,etc, 1.532000000E-06
0,1,comm, 5.266900000E-05
0,1,tdma_z_comm, 1.193590000E-04
0,1,tdma_y_comm, 0.000000000E+00
0,1,tdma_x_comm, 0.000000000E+00
0,1,tdma_z_gpu, 4.961919961E-04
0,1,tdma_y_gpu, 0.000000000E+00
0,1,tdma_x_gpu, 0.000000000E+00
0,2,rhs, 6.821200000E-05
0,2,solve_z, 7.512780000E-04
0,2,solve_y, 2.289830000E-04
0,2,solve_x, 2.415830000E-04
0,2,etc, 1.512000000E-06
0,2,comm, 5.420200000E-05
0,2,tdma_z_comm, 1.234860000E-04
0,2,tdma_y_comm, 0.000000000E+00
0,2,tdma_x_comm, 0.000000000E+00
0,2,tdma_z_gpu, 4.925759900E-04
0,2,tdma_y_gpu, 0.000000000E+00
0,2,tdma_x_gpu, 0.000000000E+00
0,3,rhs, 6.757100000E-05
0,3,solve_z, 7.488740000E-04
0,3,solve_y, 2.263800000E-04
0,3,solve_x, 2.446770000E-04
0,3,etc, 1.482000000E-06
0,3,comm, 5.360000000E-05
0,3,tdma_z_comm, 1.211810000E-04
0,3,tdma_y_comm, 0.000000000E+00
0,3,tdma_x_comm, 0.000000000E+00
0,3,tdma_z_gpu, 4.951359965E-04
0,3,tdma_y_gpu, 0.000000000E+00
0,3,tdma_x_gpu, 0.000000000E+00
0,4,rhs, 6.757100000E-05
0,4,solve_z, 7.854590000E-04
0,4,solve_y, 2.284730000E-04
0,4,solve_x, 2.450380000E-04
0,4,etc, 1.492000000E-06
0,4,comm, 5.790700000E-05
0,4,tdma_z_comm, 1.560940000E-04
0,4,tdma_y_comm, 0.000000000E+00
0,4,tdma_x_comm, 0.000000000E+00
0,4,tdma_z_gpu, 4.984640134E-04
0,4,tdma_y_gpu, 0.000000000E+00
0,4,tdma_x_gpu, 0.000000000E+00
0,5,rhs, 6.763200000E-05
0,5,solve_z, 7.443770000E-04
0,5,solve_y, 2.283220000E-04
0,5,solve_x, 2.434650000E-04
0,5,etc, 1.462000000E-06
0,5,comm, 5.660500000E-05
0,5,tdma_z_comm, 1.177670000E-04
0,5,tdma_y_comm, 0.000000000E+00
0,5,tdma_x_comm, 0.000000000E+00
0,5,tdma_z_gpu, 4.931839965E-04
0,5,tdma_y_gpu, 0.000000000E+00
0,5,tdma_x_gpu, 0.000000000E+00
0,6,rhs, 6.766200000E-05
0,6,solve_z, 7.514870000E-04
0,6,solve_y, 2.303950000E-04
0,6,solve_x, 2.430640000E-04
0,6,etc, 1.532000000E-06
0,6,comm, 5.505300000E-05
0,6,tdma_z_comm, 1.248070000E-04
0,6,tdma_y_comm, 0.000000000E+00
0,6,tdma_x_comm, 0.000000000E+00
0,6,tdma_z_gpu, 4.954879927E-04
0,6,tdma_y_gpu, 0.000000000E+00
0,6,tdma_x_gpu, 0.000000000E+00
0,7,rhs, 6.717100000E-05
0,7,solve_z, 7.483030000E-04
0,7,solve_y, 2.269400000E-04
0,7,solve_x, 2.417730000E-04
0,7,etc, 1.502000000E-06
0,7,comm, 6.014000000E-05
0,7,tdma_z_comm, 1.132200000E-04
0,7,tdma_y_comm, 0.000000000E+00
0,7,tdma_x_comm, 0.000000000E+00
0,7,tdma_z_gpu, 4.930880051E-04
0,7,tdma_y_gpu, 0.000000000E+00
0,7,tdma_x_gpu, 0.000000000E+00
0,8,rhs, 6.776200000E-05
0,8,solve_z, 7.534410000E-04
0,8,solve_y, 2.280220000E-04
0,8,solve_x, 2.426040000E-04
0,8,etc, 1.472000000E-06
0,8,comm, 5.266900000E-05
0,8,tdma_z_comm, 1.232650000E-04
0,8,tdma_y_comm, 0.000000000E+00
0,8,tdma_x_comm, 0.000000000E+00
0,8,tdma_z_gpu, 4.969920116E-04
0,8,tdma_y_gpu, 0.000000000E+00
0,8,tdma_x_gpu, 0.000000000E+00
0,9,rhs, 6.769200000E-05
0,9,solve_z, 7.470810000E-04
0,9,solve_y, 2.286530000E-04
0,9,solve_x, 2.426040000E-04
0,9,etc, 1.553000000E-06
0,9,comm, 5.429200000E-05
0,9,tdma_z_comm, 1.203300000E-04
0,9,tdma_y_comm, 0.000000000E+00
0,9,tdma_x_comm, 0.000000000E+00
0,9,tdma_z_gpu, 4.928639960E-04
0,9,tdma_y_gpu, 0.000000000E+00
0,9,tdma_x_gpu, 0.000000000E+00
0,10,rhs, 6.778200000E-05
0,10,solve_z, 7.480420000E-04
0,10,solve_y, 2.263290000E-04
0,10,solve_x, 2.444270000E-04
0,10,etc, 1.483000000E-06
0,10,comm, 5.420200000E-05
0,10,tdma_z_comm, 1.200500000E-04
0,10,tdma_y_comm, 0.000000000E+00
0,10,tdma_x_comm, 0.000000000E+00
0,10,tdma_z_gpu, 4.952960070E-04
0,10,tdma_y_gpu, 0.000000000E+00
0,10,tdma_x_gpu, 0.000000000E+00
0,11,rhs, 6.760100000E-05
0,11,solve_z, 7.515580000E-04
0,11,solve_y, 2.280920000E-04
0,11,solve_x, 2.395690000E-04
0,11,etc, 1.453000000E-06
0,11,comm, 5.411200000E-05
0,11,tdma_z_comm, 1.227850000E-04
0,11,tdma_y_comm, 0.000000000E+00
0,11,tdma_x_comm, 0.000000000E+00
0,11,tdma_z_gpu, 4.928639922E-04
0,11,tdma_y_gpu, 0.000000000E+00
0,11,tdma_x_gpu, 0.000000000E+00
0,12,rhs, 6.753200000E-05
0,12,solve_z, 7.514380000E-04
0,12,solve_y, 2.292640000E-04
0,12,solve_x, 2.408110000E-04
0,12,etc, 1.492000000E-06
0,12,comm, 5.297900000E-05
0,12,tdma_z_comm, 1.172960000E-04
0,12,tdma_y_comm, 0.000000000E+00
0,12,tdma_x_comm, 0.000000000E+00
0,12,tdma_z_gpu, 4.981119903E-04
0,12,tdma_y_gpu, 0.000000000E+00
0,12,tdma_x_gpu, 0.000000000E+00
0,13,rhs, 6.753100000E-05
0,13,solve_z, 7.483430000E-04
0,13,solve_y, 2.271910000E-04
0,13,solve_x, 2.417120000E-04
0,13,etc, 1.533000000E-06
0,13,comm, 5.643500000E-05
0,13,tdma_z_comm, 1.192490000E-04
0,13,tdma_y_comm, 0.000000000E+00
0,13,tdma_x_comm, 0.000000000E+00
0,13,tdma_z_gpu, 4.954560017E-04
0,13,tdma_y_gpu, 0.000000000E+00
0,13,tdma_x_gpu, 0.000000000E+00
0,14,rhs, 6.748100000E-05
0,14,solve_z, 7.455180000E-04
0,14,solve_y, 2.265300000E-04
0,14,solve_x, 2.406920000E-04
0,14,etc, 1.532000000E-06
0,14,comm, 5.269000000E-05
0,14,tdma_z_comm, 1.190290000E-04
0,14,tdma_y_comm, 0.000000000E+00
0,14,tdma_x_comm, 0.000000000E+00
0,14,tdma_z_gpu, 4.924800079E-04
0,14,tdma_y_gpu, 0.000000000E+00
0,14,tdma_x_gpu, 0.000000000E+00
0,15,rhs, 6.714000000E-05
0,15,solve_z, 7.404710000E-04
0,15,solve_y, 2.312170000E-04
0,15,solve_x, 2.444270000E-04
0,15,etc, 1.502000000E-06
0,15,comm, 5.455200000E-05
0,15,tdma_z_comm, 1.075020000E-04
0,15,tdma_y_comm, 0.000000000E+00
0,15,tdma_x_comm, 0.000000000E+00
0,15,tdma_z_gpu, 4.943999872E-04
0,15,tdma_y_gpu, 0.000000000E+00
0,15,tdma_x_gpu, 0.000000000E+00
0,16,rhs, 6.779200000E-05
0,16,solve_z, 7.562240000E-04
0,16,solve_y, 2.276620000E-04
0,16,solve_x, 2.419530000E-04
0,16,etc, 1.542000000E-06
0,16,comm, 5.417100000E-05
0,16,tdma_z_comm, 1.205710000E-04
0,16,tdma_y_comm, 0.000000000E+00
0,16,tdma_x_comm, 0.000000000E+00
0,16,tdma_z_gpu, 4.988160022E-04
0,16,tdma_y_gpu, 0.000000000E+00
0,16,tdma_x_gpu, 0.000000000E+00
0,17,rhs, 6.784200000E-05
0,17,solve_z, 7.523190000E-04
0,17,solve_y, 2.286330000E-04
0,17,solve_x, 2.413630000E-04
0,17,etc, 1.492000000E-06
0,17,comm, 5.222900000E-05
0,17,tdma_z_comm, 1.238850000E-04
0,17,tdma_y_comm, 0.000000000E+00
0,17,tdma_x_comm, 0.000000000E+00
0,17,tdma_z_gpu, 4.950720118E-04
0,17,tdma_y_gpu, 0.000000000E+00
0,17,tdma_x_gpu, 0.000000000E+00
0,18,rhs, 6.742100000E-05
0,18,solve_z, 7.504060000E-04
0,18,solve_y, 2.268700000E-04
0,18,solve_x, 2.419130000E-04
0,18,etc, 1.492000000E-06
0,18,comm, 5.274900000E-05
0,18,tdma_z_comm, 1.226040000E-04
0,18,tdma_y_comm, 0.000000000E+00
0,18,tdma_x_comm, 0.000000000E+00
0,18,tdma_z_gpu, 4.959039930E-04
0,18,tdma_y_gpu, 0.000000000E+00
0,18,tdma_x_gpu, 0.000000000E+00
0,19,rhs, 6.854300000E-05
0,19,solve_z, 7.404110000E-04
0,19,solve_y, 2.322180000E-04
0,19,solve_x, 2.421430000E-04
0,19,etc, 1.482000000E-06
0,19,comm, 5.202800000E-05
0,19,tdma_z_comm, 1.144620000E-04
0,19,tdma_y_comm, 0.000000000E+00
0,19,tdma_x_comm, 0.000000000E+00
0,19,tdma_z_gpu, 4.939200012E-04
0,19,tdma_y_gpu, 0.000000000E+00
0,19,tdma_x_gpu, 0.000000000E+00
0,20,rhs, 6.751200000E-05
0,20,solve_z, 7.470310000E-04
0,20,solve_y, 2.269210000E-04
0,20,solve_x, 2.422840000E-04
0,20,etc, 1.513000000E-06
0,20,comm, 5.254900000E-05
0,20,tdma_z_comm, 1.165150000E-04
0,20,tdma_y_comm, 0.000000000E+00
0,20,tdma_x_comm, 0.000000000E+00
0,20,tdma_z_gpu, 4.965120060E-04
0,20,tdma_y_gpu, 0.000000000E+00
0,20,tdma_x_gpu, 0.000000000E+00
1,1,rhs, 6.903300000E-05
1,1,solve_z, 7.569160000E-04
1,1,solve_y, 2.312170000E-04
1,1,solve_x, 2.449170000E-04
1,1,etc, 1.593000000E-06
1,1,comm, 5.910900000E-05
1,1,tdma_z_comm, 1.236350000E-04
1,1,tdma_y_comm, 0.000000000E+00
1,1,tdma_x_comm, 0.000000000E+00
1,1,tdma_z_gpu, 4.969919911E-04
1,1,tdma_y_gpu, 0.000000000E+00
1,1,tdma_x_gpu, 0.000000000E+00
1,2,rhs, 6.853300000E-05
1,2,solve_z, 7.598200000E-04
1,2,solve_y, 2.268310000E-04
1,2,solve_x, 2.441370000E-04
1,2,etc, 1.633000000E-06
1,2,comm, 6.146200000E-05
1,2,tdma_z_comm, 1.220330000E-04
1,2,tdma_y_comm, 0.000000000E+00
1,2,tdma_x_comm, 0.000000000E+00
1,2,tdma_z_gpu, 4.988479866E-04
1,2,tdma_y_gpu, 0.000000000E+00
1,2,tdma_x_gpu, 0.000000000E+00
1,3,rhs, 6.848300000E-05
1,3,solve_z, 7.577070000E-04
1,3,solve_y, 2.289930000E-04
1,3,solve_x, 2.434550000E-04
1,3,etc, 1.773000000E-06
1,3,comm, 5.955900000E-05
1,3,tdma_z_comm, 1.157240000E-04
1,3,tdma_y_comm, 0.000000000E+00
1,3,tdma_x_comm, 0.000000000E+00
1,3,tdma_z_gpu, 4.997119969E-04
1,3,tdma_y_gpu, 0.000000000E+00
1,3,tdma_x_gpu, 0.000000000E+00
1,4,rhs, 6.849300000E-05
1,4,solve_z, 7.989790000E-04
1,4,solve_y, 2.287730000E-04
1,4,solve_x, 2.462490000E-04
1,4,etc, 1.642000000E-06
1,4,comm, 8.650480000E-04
1,4,tdma_z_comm, 1.606520000E-04
1,4,tdma_y_comm, 0.000000000E+00
1,4,tdma_x_comm, 0.000000000E+00
1,4,tdma_z_gpu, 4.941759855E-04
1,4,tdma_y_gpu, 0.000000000E+00
1,4,tdma_x_gpu, 0.000000000E+00
1,5,rhs, 6.881300000E-05
1,5,solve_z, 7.604610000E-04
1,5,solve_y, 2.284430000E-04
