# grid=257x257x1025, np=4 (1,1,4), dt= 1.526E-05, Nt=30, solver_kind=filtered_v2
rank,t_step,event,time_sec
0,1,rhs, 2.482120000E-04
0,1,solve_z, 9.425750000E-04
0,1,solve_y, 6.853790000E-04
0,1,solve_x, 7.265700000E-04
0,1,etc, 1.602000000E-06
0,1,comm, 5.815700000E-05
0,1,tdma_z_comm, 8.024050000E-04
0,1,tdma_y_comm, 0.000000000E+00
0,1,tdma_x_comm, 0.000000000E+00
0,2,rhs, 2.477920000E-04
0,2,solve_z, 9.491350000E-04
0,2,solve_y, 6.815130000E-04
0,2,solve_x, 7.285440000E-04
0,2,etc, 1.552000000E-06
0,2,comm, 6.117200000E-05
0,2,tdma_z_comm, 8.055990000E-04
0,2,tdma_y_comm, 0.000000000E+00
0,2,tdma_x_comm, 0.000000000E+00
0,3,rhs, 2.477820000E-04
0,3,solve_z, 9.363850000E-04
0,3,solve_y, 6.822140000E-04
0,3,solve_x, 7.250680000E-04
0,3,etc, 1.622000000E-06
0,3,comm, 5.660500000E-05
0,3,tdma_z_comm, 7.959050000E-04
0,3,tdma_y_comm, 0.000000000E+00
0,3,tdma_x_comm, 0.000000000E+00
0,4,rhs, 2.468710000E-04
0,4,solve_z, 9.484440000E-04
0,4,solve_y, 6.853690000E-04
0,4,solve_x, 7.178670000E-04
0,4,etc, 1.592000000E-06
0,4,comm, 5.749700000E-05
0,4,tdma_z_comm, 8.058700000E-04
0,4,tdma_y_comm, 0.000000000E+00
0,4,tdma_x_comm, 0.000000000E+00
0,5,rhs, 2.473610000E-04
0,5,solve_z, 9.390790000E-04
0,5,solve_y, 6.835960000E-04
0,5,solve_x, 7.243180000E-04
0,5,etc, 1.613000000E-06
0,5,comm, 5.619500000E-05
0,5,tdma_z_comm, 7.979870000E-04
0,5,tdma_y_comm, 0.000000000E+00
0,5,tdma_x_comm, 0.000000000E+00
0,6,rhs, 2.471920000E-04
0,6,solve_z, 9.408920000E-04
0,6,solve_y, 6.837870000E-04
0,6,solve_x, 7.304070000E-04
0,6,etc, 1.613000000E-06
0,6,comm, 5.829800000E-05
0,6,tdma_z_comm, 7.970560000E-04
0,6,tdma_y_comm, 0.000000000E+00
0,6,tdma_x_comm, 0.000000000E+00
0,7,rhs, 2.469010000E-04
0,7,solve_z, 9.373070000E-04
0,7,solve_y, 6.827650000E-04
0,7,solve_x, 7.269010000E-04
0,7,etc, 1.633000000E-06
0,7,comm, 5.755600000E-05
0,7,tdma_z_comm, 7.966860000E-04
0,7,tdma_y_comm, 0.000000000E+00
0,7,tdma_x_comm, 0.000000000E+00
0,8,rhs, 2.474520000E-04
0,8,solve_z, 9.488150000E-04
0,8,solve_y, 6.839570000E-04
0,8,solve_x, 7.262400000E-04
0,8,etc, 1.633000000E-06
0,8,comm, 6.018000000E-05
0,8,tdma_z_comm, 8.055690000E-04
0,8,tdma_y_comm, 0.000000000E+00
0,8,tdma_x_comm, 0.000000000E+00
0,9,rhs, 2.473820000E-04
