# grid=513x513x2049, np=4 (1,1,4), dt= 9.537E-07, Nt=30, solver_kind=pascal
rank,t_step,event,time_sec
0,1,rhs, 1.894053000E-03
0,1,solve_z, 7.278086000E-03
0,1,solve_y, 4.836411000E-03
0,1,solve_x, 5.160206000E-03
0,1,etc, 1.472000000E-06
0,1,comm, 8.535800000E-05
0,1,tdma_z_comm, 5.635030000E-03
0,1,tdma_y_comm, 0.000000000E+00
0,1,tdma_x_comm, 0.000000000E+00
0,2,rhs, 1.893593000E-03
0,2,solve_z, 7.262472000E-03
0,2,solve_y, 4.836721000E-03
0,2,solve_x, 5.155369000E-03
0,2,etc, 1.632000000E-06
0,2,comm, 8.653000000E-05
0,2,tdma_z_comm, 5.618575000E-03
0,2,tdma_y_comm, 0.000000000E+00
0,2,tdma_x_comm, 0.000000000E+00
0,3,rhs, 1.898030000E-03
0,3,solve_z, 7.298887000E-03
0,3,solve_y, 4.823561000E-03
0,3,solve_x, 5.131233000E-03
0,3,etc, 1.683000000E-06
0,3,comm, 8.547900000E-05
0,3,tdma_z_comm, 5.654198000E-03
0,3,tdma_y_comm, 0.000000000E+00
0,3,tdma_x_comm, 0.000000000E+00
0,4,rhs, 1.891049000E-03
0,4,solve_z, 7.263564000E-03
0,4,solve_y, 4.831734000E-03
0,4,solve_x, 5.169671000E-03
0,4,etc, 1.672000000E-06
0,4,comm, 8.498800000E-05
0,4,tdma_z_comm, 5.616772000E-03
0,4,tdma_y_comm, 0.000000000E+00
0,4,tdma_x_comm, 0.000000000E+00
0,5,rhs, 1.888895000E-03
0,5,solve_z, 7.280459000E-03
0,5,solve_y, 4.833956000E-03
0,5,solve_x, 5.157342000E-03
0,5,etc, 1.602000000E-06
0,5,comm, 8.423700000E-05
0,5,tdma_z_comm, 5.636911000E-03
0,5,tdma_y_comm, 0.000000000E+00
0,5,tdma_x_comm, 0.000000000E+00
0,6,rhs, 1.888535000E-03
0,6,solve_z, 7.240009000E-03
0,6,solve_y, 4.827337000E-03
0,6,solve_x, 5.173898000E-03
0,6,etc, 1.472000000E-06
0,6,comm, 8.601900000E-05
0,6,tdma_z_comm, 5.593176000E-03
0,6,tdma_y_comm, 0.000000000E+00
0,6,tdma_x_comm, 0.000000000E+00
0,7,rhs, 1.887584000E-03
0,7,solve_z, 7.290595000E-03
0,7,solve_y, 4.830591000E-03
0,7,solve_x, 5.147738000E-03
0,7,etc, 1.652000000E-06
0,7,comm, 8.570800000E-05
0,7,tdma_z_comm, 5.643101000E-03
0,7,tdma_y_comm, 0.000000000E+00
0,7,tdma_x_comm, 0.000000000E+00
0,8,rhs, 1.888986000E-03
0,8,solve_z, 7.243093000E-03
0,8,solve_y, 4.840637000E-03
0,8,solve_x, 5.187247000E-03
0,8,etc, 1.483000000E-06
0,8,comm, 8.455700000E-05
0,8,tdma_z_comm, 5.595840000E-03
0,8,tdma_y_comm, 0.000000000E+00
0,8,tdma_x_comm, 0.000000000E+00
0,9,rhs, 1.887113000E-03
0,9,solve_z, 7.277615000E-03
0,9,solve_y, 4.837531000E-03
0,9,solve_x, 5.146346000E-03
0,9,etc, 1.672000000E-06
0,9,comm, 8.536800000E-05
0,9,tdma_z_comm, 5.626498000E-03
0,9,tdma_y_comm, 0.000000000E+00
