# grid=129x129x129, np=2 (1,1,2), dt= 9.766E-04, Nt=30, solver_kind=pascal
rank,t_step,event,time_sec
0,1,rhs, 2.335500000E-05
0,1,solve_z, 2.040060000E-04
0,1,solve_y, 1.113070000E-04
0,1,solve_x, 1.138100000E-04
0,1,etc, 1.462000000E-06
0,1,comm, 4.244400000E-05
0,1,tdma_z_comm, 5.028600000E-05
0,1,tdma_y_comm, 0.000000000E+00
0,1,tdma_x_comm, 0.000000000E+00
0,1,tdma_z_gpu, 8.793599904E-05
0,1,tdma_y_gpu, 0.000000000E+00
0,1,tdma_x_gpu, 0.000000000E+00
0,2,rhs, 2.335500000E-05
0,2,solve_z, 2.091340000E-04
0,2,solve_y, 1.116280000E-04
0,2,solve_x, 1.119780000E-04
0,2,etc, 1.462000000E-06
0,2,comm, 4.151200000E-05
0,2,tdma_z_comm, 5.548300000E-05
0,2,tdma_y_comm, 0.000000000E+00
0,2,tdma_x_comm, 0.000000000E+00
0,2,tdma_z_gpu, 8.614399750E-05
0,2,tdma_y_gpu, 0.000000000E+00
0,2,tdma_x_gpu, 0.000000000E+00
0,3,rhs, 2.345600000E-05
0,3,solve_z, 2.072310000E-04
0,3,solve_y, 1.124680000E-04
0,3,solve_x, 1.121880000E-04
0,3,etc, 1.392000000E-06
0,3,comm, 4.120200000E-05
0,3,tdma_z_comm, 5.266000000E-05
0,3,tdma_y_comm, 0.000000000E+00
0,3,tdma_x_comm, 0.000000000E+00
0,3,tdma_z_gpu, 8.659199905E-05
0,3,tdma_y_gpu, 0.000000000E+00
0,3,tdma_x_gpu, 0.000000000E+00
0,4,rhs, 2.320500000E-05
0,4,solve_z, 2.079020000E-04
0,4,solve_y, 1.098950000E-04
0,4,solve_x, 1.132600000E-04
0,4,etc, 1.452000000E-06
0,4,comm, 4.109100000E-05
0,4,tdma_z_comm, 5.300000000E-05
0,4,tdma_y_comm, 0.000000000E+00
0,4,tdma_x_comm, 0.000000000E+00
0,4,tdma_z_gpu, 8.678400144E-05
0,4,tdma_y_gpu, 0.000000000E+00
0,4,tdma_x_gpu, 0.000000000E+00
0,5,rhs, 2.322500000E-05
0,5,solve_z, 2.079920000E-04
0,5,solve_y, 1.117180000E-04
0,5,solve_x, 1.130200000E-04
0,5,etc, 1.402000000E-06
0,5,comm, 4.202300000E-05
0,5,tdma_z_comm, 5.363100000E-05
0,5,tdma_y_comm, 0.000000000E+00
0,5,tdma_x_comm, 0.000000000E+00
0,5,tdma_z_gpu, 8.681600168E-05
0,5,tdma_y_gpu, 0.000000000E+00
0,5,tdma_x_gpu, 0.000000000E+00
0,6,rhs, 2.341600000E-05
0,6,solve_z, 2.061890000E-04
0,6,solve_y, 1.109860000E-04
0,6,solve_x, 1.119980000E-04
0,6,etc, 1.442000000E-06
0,6,comm, 4.121100000E-05
0,6,tdma_z_comm, 5.137800000E-05
0,6,tdma_y_comm, 0.000000000E+00
0,6,tdma_x_comm, 0.000000000E+00
0,6,tdma_z_gpu, 8.739199862E-05
0,6,tdma_y_gpu, 0.000000000E+00
0,6,tdma_x_gpu, 0.000000000E+00
0,7,rhs, 2.347500000E-05
0,7,solve_z, 2.065810000E-04
0,7,solve_y, 1.139710000E-04
0,7,solve_x, 1.119180000E-04
0,7,etc, 1.403000000E-06
0,7,comm, 4.131200000E-05
0,7,tdma_z_comm, 5.157800000E-05
0,7,tdma_y_comm, 0.000000000E+00
0,7,tdma_x_comm, 0.000000000E+00
0,7,tdma_z_gpu, 8.665599953E-05
0,7,tdma_y_gpu, 0.000000000E+00
0,7,tdma_x_gpu, 0.000000000E+00
0,8,rhs, 2.368600000E-05
0,8,solve_z, 2.050570000E-04
0,8,solve_y, 1.139310000E-04
0,8,solve_x, 1.114170000E-04
0,8,etc, 1.392000000E-06
0,8,comm, 4.281400000E-05
0,8,tdma_z_comm, 5.274000000E-05
0,8,tdma_y_comm, 0.000000000E+00
0,8,tdma_x_comm, 0.000000000E+00
0,8,tdma_z_gpu, 8.694400080E-05
0,8,tdma_y_gpu, 0.000000000E+00
0,8,tdma_x_gpu, 0.000000000E+00
0,9,rhs, 2.338500000E-05
0,9,solve_z, 2.344620000E-04
0,9,solve_y, 1.108060000E-04
0,9,solve_x, 1.137610000E-04
0,9,etc, 1.392000000E-06
0,9,comm, 4.121200000E-05
0,9,tdma_z_comm, 5.024500000E-05
0,9,tdma_y_comm, 0.000000000E+00
0,9,tdma_x_comm, 0.000000000E+00
0,9,tdma_z_gpu, 8.707199898E-05
0,9,tdma_y_gpu, 0.000000000E+00
0,9,tdma_x_gpu, 0.000000000E+00
0,10,rhs, 2.359500000E-05
0,10,solve_z, 2.097850000E-04
0,10,solve_y, 1.115980000E-04
0,10,solve_x, 1.126800000E-04
0,10,etc, 1.432000000E-06
0,10,comm, 4.202300000E-05
