# grid=257x257x513, np=2 (1,1,2), dt= 6.104E-05, Nt=30, solver_kind=filtered_v2
rank,t_step,event,time_sec
0,1,rhs, 2.463300000E-04
0,1,solve_z, 9.391490000E-04
0,1,solve_y, 6.804210000E-04
0,1,solve_x, 7.232950000E-04
0,1,etc, 1.372000000E-06
0,1,comm, 4.891400000E-05
0,1,tdma_z_comm, 1.390100000E-05
0,1,tdma_y_comm, 0.000000000E+00
0,1,tdma_x_comm, 0.000000000E+00
0,1,tdma_z_gpu, 6.528960466E-04
0,1,tdma_y_gpu, 0.000000000E+00
0,1,tdma_x_gpu, 0.000000000E+00
0,2,rhs, 2.472010000E-04
0,2,solve_z, 9.452290000E-04
0,2,solve_y, 6.829750000E-04
0,2,solve_x, 7.270610000E-04
0,2,etc, 1.392000000E-06
0,2,comm, 4.933400000E-05
0,2,tdma_z_comm, 1.851800000E-05
0,2,tdma_y_comm, 0.000000000E+00
0,2,tdma_x_comm, 0.000000000E+00
0,2,tdma_z_gpu, 6.532480121E-04
0,2,tdma_y_gpu, 0.000000000E+00
0,2,tdma_x_gpu, 0.000000000E+00
0,3,rhs, 2.468000000E-04
0,3,solve_z, 9.427650000E-04
0,3,solve_y, 6.824940000E-04
0,3,solve_x, 7.229150000E-04
0,3,etc, 1.392000000E-06
0,3,comm, 4.815200000E-05
0,3,tdma_z_comm, 2.031100000E-05
0,3,tdma_y_comm, 0.000000000E+00
0,3,tdma_x_comm, 0.000000000E+00
0,3,tdma_z_gpu, 6.500160098E-04
0,3,tdma_y_gpu, 0.000000000E+00
0,3,tdma_x_gpu, 0.000000000E+00
0,4,rhs, 2.461090000E-04
0,4,solve_z, 9.442870000E-04
0,4,solve_y, 6.823940000E-04
0,4,solve_x, 7.222750000E-04
0,4,etc, 1.392000000E-06
0,4,comm, 4.891300000E-05
0,4,tdma_z_comm, 1.636500000E-05
0,4,tdma_y_comm, 0.000000000E+00
0,4,tdma_x_comm, 0.000000000E+00
0,4,tdma_z_gpu, 6.548480392E-04
0,4,tdma_y_gpu, 0.000000000E+00
0,4,tdma_x_gpu, 0.000000000E+00
0,5,rhs, 2.466700000E-04
0,5,solve_z, 9.372670000E-04
0,5,solve_y, 6.859700000E-04
0,5,solve_x, 7.245170000E-04
0,5,etc, 1.403000000E-06
0,5,comm, 5.129700000E-05
0,5,tdma_z_comm, 1.702500000E-05
0,5,tdma_y_comm, 0.000000000E+00
0,5,tdma_x_comm, 0.000000000E+00
0,5,tdma_z_gpu, 6.479359865E-04
0,5,tdma_y_gpu, 0.000000000E+00
0,5,tdma_x_gpu, 0.000000000E+00
0,6,rhs, 2.464500000E-04
0,6,solve_z, 9.414530000E-04
0,6,solve_y, 6.836560000E-04
0,6,solve_x, 7.282930000E-04
0,6,etc, 1.392000000E-06
0,6,comm, 4.841300000E-05
0,6,tdma_z_comm, 1.454200000E-05
0,6,tdma_y_comm, 0.000000000E+00
0,6,tdma_x_comm, 0.000000000E+00
0,6,tdma_z_gpu, 6.540160179E-04
0,6,tdma_y_gpu, 0.000000000E+00
0,6,tdma_x_gpu, 0.000000000E+00
0,7,rhs, 2.464390000E-04
0,7,solve_z, 9.434160000E-04
0,7,solve_y, 6.852380000E-04
0,7,solve_x, 7.258590000E-04
0,7,etc, 1.382000000E-06
0,7,comm, 4.920400000E-05
0,7,tdma_z_comm, 1.846700000E-05
0,7,tdma_y_comm, 0.000000000E+00
0,7,tdma_x_comm, 0.000000000E+00
0,7,tdma_z_gpu, 6.498239636E-04
0,7,tdma_y_gpu, 0.000000000E+00
0,7,tdma_x_gpu, 0.000000000E+00
0,8,rhs, 2.465500000E-04
0,8,solve_z, 9.432860000E-04
0,8,solve_y, 6.827640000E-04
0,8,solve_x, 7.319890000E-04
0,8,etc, 1.402000000E-06
0,8,comm, 4.869300000E-05
0,8,tdma_z_comm, 1.520300000E-05
0,8,tdma_y_comm, 0.000000000E+00
0,8,tdma_x_comm, 0.000000000E+00
0,8,tdma_z_gpu, 6.549760103E-04
0,8,tdma_y_gpu, 0.000000000E+00
0,8,tdma_x_gpu, 0.000000000E+00
0,9,rhs, 2.457080000E-04
0,9,solve_z, 9.410130000E-04
0,9,solve_y, 6.842670000E-04
0,9,solve_x, 7.262700000E-04
0,9,etc, 1.382000000E-06
0,9,comm, 4.923400000E-05
0,9,tdma_z_comm, 2.031000000E-05
0,9,tdma_y_comm, 0.000000000E+00
0,9,tdma_x_comm, 0.000000000E+00
0,9,tdma_z_gpu, 6.489599943E-04
0,9,tdma_y_gpu, 0.000000000E+00
0,9,tdma_x_gpu, 0.000000000E+00
0,10,rhs, 2.468210000E-04
0,10,solve_z, 9.413530000E-04
0,10,solve_y, 6.839560000E-04
0,10,solve_x, 7.258200000E-04
0,10,etc, 1.382000000E-06
0,10,comm, 4.809200000E-05
0,10,tdma_z_comm, 1.578400000E-05
0,10,tdma_y_comm, 0.000000000E+00
0,10,tdma_x_comm, 0.000000000E+00
0,10,tdma_z_gpu, 6.530559659E-04
0,10,tdma_y_gpu, 0.000000000E+00
0,10,tdma_x_gpu, 0.000000000E+00
0,11,rhs, 2.471910000E-04
0,11,solve_z, 9.408720000E-04
0,11,solve_y, 6.855190000E-04
0,11,solve_x, 7.234050000E-04
0,11,etc, 1.391000000E-06
0,11,comm, 4.842300000E-05
0,11,tdma_z_comm, 2.039100000E-05
0,11,tdma_y_comm, 0.000000000E+00
0,11,tdma_x_comm, 0.000000000E+00
0,11,tdma_z_gpu, 6.489920020E-04
