# grid=129x129x1025, np=2 (1,1,2), dt= 3.815E-06, Nt=30, solver_kind=pascal
rank,t_step,event,time_sec
0,1,rhs, 1.285630000E-04
0,1,solve_z, 1.253631000E-03
0,1,solve_y, 3.415230000E-04
0,1,solve_x, 3.738910000E-04
0,1,etc, 1.392000000E-06
0,1,comm, 4.960400000E-05
0,1,tdma_z_comm, 5.198800000E-05
0,1,tdma_y_comm, 0.000000000E+00
0,1,tdma_x_comm, 0.000000000E+00
0,1,tdma_z_gpu, 1.007903993E-03
0,1,tdma_y_gpu, 0.000000000E+00
0,1,tdma_x_gpu, 0.000000000E+00
0,2,rhs, 1.294340000E-04
0,2,solve_z, 1.252249000E-03
0,2,solve_y, 3.416530000E-04
0,2,solve_x, 3.664800000E-04
0,2,etc, 1.492000000E-06
0,2,comm, 4.693000000E-05
0,2,tdma_z_comm, 5.437200000E-05
0,2,tdma_y_comm, 0.000000000E+00
0,2,tdma_x_comm, 0.000000000E+00
0,2,tdma_z_gpu, 1.002432006E-03
0,2,tdma_y_gpu, 0.000000000E+00
0,2,tdma_x_gpu, 0.000000000E+00
0,3,rhs, 1.281820000E-04
0,3,solve_z, 1.244658000E-03
0,3,solve_y, 3.418330000E-04
0,3,solve_x, 3.707470000E-04
0,3,etc, 1.412000000E-06
0,3,comm, 4.651000000E-05
0,3,tdma_z_comm, 5.152800000E-05
0,3,tdma_y_comm, 0.000000000E+00
0,3,tdma_x_comm, 0.000000000E+00
0,3,tdma_z_gpu, 1.001376010E-03
0,3,tdma_y_gpu, 0.000000000E+00
0,3,tdma_x_gpu, 0.000000000E+00
0,4,rhs, 1.283130000E-04
0,4,solve_z, 1.251708000E-03
0,4,solve_y, 3.419430000E-04
0,4,solve_x, 3.705160000E-04
0,4,etc, 1.402000000E-06
0,4,comm, 4.511800000E-05
0,4,tdma_z_comm, 5.519300000E-05
0,4,tdma_y_comm, 0.000000000E+00
0,4,tdma_x_comm, 0.000000000E+00
0,4,tdma_z_gpu, 1.000703977E-03
0,4,tdma_y_gpu, 0.000000000E+00
0,4,tdma_x_gpu, 0.000000000E+00
0,5,rhs, 1.285630000E-04
0,5,solve_z, 1.251458000E-03
0,5,solve_y, 3.417630000E-04
0,5,solve_x, 3.706960000E-04
0,5,etc, 1.432000000E-06
0,5,comm, 4.615900000E-05
0,5,tdma_z_comm, 4.858300000E-05
0,5,tdma_y_comm, 0.000000000E+00
0,5,tdma_x_comm, 0.000000000E+00
0,5,tdma_z_gpu, 1.009184005E-03
0,5,tdma_y_gpu, 0.000000000E+00
0,5,tdma_x_gpu, 0.000000000E+00
0,6,rhs, 1.285630000E-04
0,6,solve_z, 1.253051000E-03
0,6,solve_y, 3.419230000E-04
0,6,solve_x, 3.685230000E-04
0,6,etc, 1.432000000E-06
0,6,comm, 4.711100000E-05
0,6,tdma_z_comm, 5.009600000E-05
0,6,tdma_y_comm, 0.000000000E+00
0,6,tdma_x_comm, 0.000000000E+00
0,6,tdma_z_gpu, 1.006687999E-03
0,6,tdma_y_gpu, 0.000000000E+00
0,6,tdma_x_gpu, 0.000000000E+00
0,7,rhs, 1.279820000E-04
0,7,solve_z, 1.251459000E-03
0,7,solve_y, 3.409520000E-04
0,7,solve_x, 3.715570000E-04
0,7,etc, 1.403000000E-06
0,7,comm, 4.629900000E-05
0,7,tdma_z_comm, 5.367000000E-05
0,7,tdma_y_comm, 0.000000000E+00
0,7,tdma_x_comm, 0.000000000E+00
0,7,tdma_z_gpu, 1.001888023E-03
0,7,tdma_y_gpu, 0.000000000E+00
0,7,tdma_x_gpu, 0.000000000E+00
0,8,rhs, 1.282930000E-04
0,8,solve_z, 1.246200000E-03
0,8,solve_y, 3.417230000E-04
0,8,solve_x, 3.724180000E-04
0,8,etc, 1.432000000E-06
0,8,comm, 4.812200000E-05
0,8,tdma_z_comm, 4.928400000E-05
0,8,tdma_y_comm, 0.000000000E+00
0,8,tdma_x_comm, 0.000000000E+00
