# grid=65x65x513, np=2 (1,1,2), dt= 1.526E-05, Nt=30, solver_kind=filtered_v2
rank,t_step,event,time_sec
0,1,rhs, 2.314500000E-05
0,1,solve_z, 3.105160000E-04
0,1,solve_y, 6.986500000E-05
0,1,solve_x, 7.465200000E-05
0,1,etc, 1.383000000E-06
0,1,comm, 3.931000000E-05
0,1,tdma_z_comm, 1.921800000E-05
0,1,tdma_y_comm, 0.000000000E+00
0,1,tdma_x_comm, 0.000000000E+00
0,1,tdma_z_gpu, 2.490559965E-04
0,1,tdma_y_gpu, 0.000000000E+00
0,1,tdma_x_gpu, 0.000000000E+00
0,2,rhs, 2.316500000E-05
0,2,solve_z, 3.121890000E-04
0,2,solve_y, 7.115700000E-05
0,2,solve_x, 7.581400000E-05
0,2,etc, 1.382000000E-06
0,2,comm, 3.842800000E-05
0,2,tdma_z_comm, 1.475200000E-05
0,2,tdma_y_comm, 0.000000000E+00
0,2,tdma_x_comm, 0.000000000E+00
0,2,tdma_z_gpu, 2.549760044E-04
0,2,tdma_y_gpu, 0.000000000E+00
0,2,tdma_x_gpu, 0.000000000E+00
0,3,rhs, 2.294500000E-05
0,3,solve_z, 3.156330000E-04
0,3,solve_y, 7.191800000E-05
0,3,solve_x, 7.549400000E-05
0,3,etc, 1.382000000E-06
0,3,comm, 3.923900000E-05
0,3,tdma_z_comm, 2.483800000E-05
0,3,tdma_y_comm, 0.000000000E+00
0,3,tdma_x_comm, 0.000000000E+00
0,3,tdma_z_gpu, 2.486079931E-04
0,3,tdma_y_gpu, 0.000000000E+00
0,3,tdma_x_gpu, 0.000000000E+00
0,4,rhs, 2.376600000E-05
0,4,solve_z, 3.143920000E-04
0,4,solve_y, 7.098700000E-05
0,4,solve_x, 7.601400000E-05
0,4,etc, 1.412000000E-06
0,4,comm, 3.995100000E-05
0,4,tdma_z_comm, 2.262400000E-05
0,4,tdma_y_comm, 0.000000000E+00
0,4,tdma_x_comm, 0.000000000E+00
