# grid=513x513x1025, np=2 (1,1,2), dt= 1.526E-05, Nt=30, solver_kind=pascal
rank,t_step,event,time_sec
0,1,rhs, 1.890458000E-03
0,1,solve_z, 6.884403000E-03
0,1,solve_y, 4.829238000E-03
0,1,solve_x, 5.151301000E-03
0,1,etc, 1.423000000E-06
0,1,comm, 7.751600000E-05
0,1,tdma_z_comm, 7.524300000E-05
0,1,tdma_y_comm, 0.000000000E+00
0,1,tdma_x_comm, 0.000000000E+00
0,1,tdma_z_gpu, 4.667263932E-03
0,1,tdma_y_gpu, 0.000000000E+00
0,1,tdma_x_gpu, 0.000000000E+00
0,2,rhs, 1.890657000E-03
0,2,solve_z, 6.878514000E-03
0,2,solve_y, 4.843089000E-03
0,2,solve_x, 5.183780000E-03
0,2,etc, 1.412000000E-06
0,2,comm, 7.865800000E-05
0,2,tdma_z_comm, 7.089700000E-05
0,2,tdma_y_comm, 0.000000000E+00
0,2,tdma_x_comm, 0.000000000E+00
0,2,tdma_z_gpu, 4.670144003E-03
0,2,tdma_y_gpu, 0.000000000E+00
0,2,tdma_x_gpu, 0.000000000E+00
0,3,rhs, 1.892440000E-03
0,3,solve_z, 6.906566000E-03
0,3,solve_y, 4.829989000E-03
0,3,solve_x, 5.165642000E-03
0,3,etc, 1.402000000E-06
0,3,comm, 7.763600000E-05
0,3,tdma_z_comm, 9.583300000E-05
0,3,tdma_y_comm, 0.000000000E+00
0,3,tdma_x_comm, 0.000000000E+00
0,3,tdma_z_gpu, 4.682015917E-03
0,3,tdma_y_gpu, 0.000000000E+00
0,3,tdma_x_gpu, 0.000000000E+00
0,4,rhs, 1.892050000E-03
0,4,solve_z, 6.890291000E-03
0,4,solve_y, 4.840806000E-03
0,4,solve_x, 5.136930000E-03
0,4,etc, 1.413000000E-06
0,4,comm, 7.861800000E-05
0,4,tdma_z_comm, 7.621400000E-05
0,4,tdma_y_comm, 0.000000000E+00
0,4,tdma_x_comm, 0.000000000E+00
0,4,tdma_z_gpu, 4.676991923E-03
0,4,tdma_y_gpu, 0.000000000E+00
0,4,tdma_x_gpu, 0.000000000E+00
0,5,rhs, 1.893202000E-03
0,5,solve_z, 6.900357000E-03
0,5,solve_y, 4.840034000E-03
0,5,solve_x, 5.149729000E-03
0,5,etc, 1.402000000E-06
0,5,comm, 7.813700000E-05
0,5,tdma_z_comm, 7.582300000E-05
0,5,tdma_y_comm, 0.000000000E+00
0,5,tdma_x_comm, 0.000000000E+00
0,5,tdma_z_gpu, 4.679200079E-03
0,5,tdma_y_gpu, 0.000000000E+00
0,5,tdma_x_gpu, 0.000000000E+00
0,6,rhs, 1.900082000E-03
0,6,solve_z, 6.878423000E-03
0,6,solve_y, 4.829829000E-03
0,6,solve_x, 5.156880000E-03
0,6,etc, 1.382000000E-06
