study,case,np,backend,rho,grid,cells,wall_per_step_s,rhs,solve_x,solve_y,solve_z,comm
refine,128x128x128,2,filtered_v2,025,129x129x129,2146689,4.561812e-04,2.352720e-05,1.198063e-04,1.196461e-04,1.527488e-04,4.045285e-05
refine,128x128x128,2,filtered_v2,040,129x129x129,2146689,4.701947e-04,2.347655e-05,1.192744e-04,1.197554e-04,1.672159e-04,4.047235e-05
refine,128x128x128,2,pascal,025,129x129x129,2146689,5.229284e-04,2.370760e-05,1.169489e-04,1.165444e-04,2.232228e-04,4.250470e-05
refine,128x128x128,2,pascal,040,129x129x129,2146689,5.234884e-04,2.365755e-05,1.173236e-04,1.175589e-04,2.221863e-04,4.276200e-05
refine,128x128x256,2,filtered_v2,025,129x129x257,4276737,7.132409e-04,3.851805e-05,1.722325e-04,1.669556e-04,2.935267e-04,4.200795e-05
refine,128x128x256,2,filtered_v2,040,129x129x257,4276737,7.313823e-04,3.845165e-05,1.734067e-04,1.681644e-04,3.098351e-04,4.152445e-05
refine,128x128x256,2,pascal,025,129x129x257,4276737,7.864253e-04,3.848225e-05,1.700802e-04,1.648058e-04,3.685875e-04,4.446955e-05
refine,128x128x256,2,pascal,040,129x129x257,4276737,7.831797e-04,3.849530e-05,1.686925e-04,1.635149e-04,3.687513e-04,4.372565e-05
refine,128x128x512,2,filtered_v2,025,129x129x513,8536833,1.090794e-03,6.817195e-05,2.434859e-04,2.297242e-04,5.060456e-04,4.336650e-05
refine,128x128x512,2,filtered_v2,040,129x129x513,8536833,1.112346e-03,6.806475e-05,2.432780e-04,2.289947e-04,5.285664e-04,4.344175e-05
refine,128x128x512,2,pascal,025,129x129x513,8536833,1.219415e-03,6.804750e-05,2.404413e-04,2.258740e-04,6.400681e-04,4.498440e-05
refine,128x128x512,2,pascal,040,129x129x513,8536833,1.217819e-03,6.812070e-05,2.400864e-04,2.254032e-04,6.396964e-04,4.451230e-05
refine,256x256x1024,2,filtered_v2,025,257x257x1025,67700225,4.533856e-03,4.803735e-04,1.260387e-03,1.175424e-03,1.563398e-03,5.427350e-05
refine,256x256x1024,2,filtered_v2,040,257x257x1025,67700225,4.587541e-03,4.870003e-04,1.260011e-03,1.175808e-03,1.610557e-03,5.416485e-05
refine,256x256x1024,2,pascal,025,257x257x1025,67700225,4.994079e-03,4.810445e-04,1.258302e-03,1.174865e-03,2.023182e-03,5.668585e-05
refine,256x256x1024,2,pascal,040,257x257x1025,67700225,4.992374e-03,4.803724e-04,1.258790e-03,1.172456e-03,2.024154e-03,5.660150e-05
refine,256x256x256,2,filtered_v2,025,257x257x257,16974593,1.640400e-03,1.298474e-04,4.791861e-04,4.554320e-04,5.300728e-04,4.586190e-05
refine,256x256x256,2,filtered_v2,040,257x257x257,16974593,1.681989e-03,1.293287e-04,4.788596e-04,4.548452e-04,5.735112e-04,4.544425e-05
refine,256x256x256,2,pascal,025,257x257x257,16974593,1.718870e-03,1.293599e-04,4.757376e-04,4.523089e-04,6.140375e-04,4.742605e-05
refine,256x256x256,2,pascal,040,257x257x257,16974593,1.717467e-03,1.296297e-04,4.759708e-04,4.520259e-04,6.125962e-04,4.724435e-05
refine,256x256x512,2,filtered_v2,025,257x257x513,33883137,2.570805e-03,2.478741e-04,7.209609e-04,6.772744e-04,8.759332e-04,4.876210e-05
refine,256x256x512,2,filtered_v2,040,257x257x513,33883137,2.615802e-03,2.471007e-04,7.219084e-04,6.772171e-04,9.197364e-04,4.983975e-05
refine,256x256x512,2,pascal,025,257x257x513,33883137,2.767398e-03,2.465756e-04,7.183957e-04,6.736859e-04,1.079169e-03,4.957190e-05
refine,256x256x512,2,pascal,040,257x257x513,33883137,2.771331e-03,2.471110e-04,7.191649e-04,6.743240e-04,1.080615e-03,5.011580e-05
refine,64x64x128,2,filtered_v2,025,65x65x129,545025,2.681420e-04,1.233250e-05,5.297505e-05,4.901950e-05,1.180998e-04,3.571520e-05
refine,64x64x128,2,filtered_v2,040,65x65x129,545025,2.844673e-04,1.242230e-05,5.341220e-05,4.957540e-05,1.327982e-04,3.625920e-05
refine,64x64x128,2,pascal,025,65x65x129,545025,3.443721e-04,1.265405e-05,5.218240e-05,4.887895e-05,1.925596e-04,3.809710e-05
refine,64x64x128,2,pascal,040,65x65x129,545025,3.432139e-04,1.247110e-05,5.126625e-05,4.745830e-05,1.922149e-04,3.980325e-05
refine,64x64x256,2,filtered_v2,025,65x65x257,1085825,3.355786e-04,1.590590e-05,5.737165e-05,5.470885e-05,1.712266e-04,3.636555e-05
refine,64x64x256,2,filtered_v2,040,65x65x257,1085825,3.526586e-04,1.602195e-05,5.738610e-05,5.427055e-05,1.871634e-04,3.781665e-05
refine,64x64x256,2,pascal,025,65x65x257,1085825,4.312820e-04,1.618265e-05,5.573570e-05,5.284215e-05,2.681308e-04,3.839070e-05
refine,64x64x256,2,pascal,040,65x65x257,1085825,4.306767e-04,1.606915e-05,5.582975e-05,5.269305e-05,2.677779e-04,3.830680e-05
refine,64x64x64,2,filtered_v2,025,65x65x65,274625,2.281817e-04,1.024505e-05,4.772565e-05,4.494390e-05,8.907680e-05,3.619030e-05
refine,64x64x64,2,filtered_v2,040,65x65x65,274625,2.391216e-04,1.038915e-05,4.764105e-05,4.525575e-05,9.962530e-05,3.621035e-05
refine,64x64x64,2,pascal,025,65x65x65,274625,2.988605e-04,1.041100e-05,4.662460e-05,4.305610e-05,1.605043e-04,3.826450e-05
refine,64x64x64,2,pascal,040,65x65x65,274625,2.972765e-04,1.062655e-05,4.676465e-05,4.319085e-05,1.586228e-04,3.807165e-05
strong,128x128x1024,2,filtered_v2,025,129x129x1025,17057025,1.810269e-03,1.293976e-04,3.716842e-04,3.422773e-04,9.204770e-04,4.643270e-05
strong,128x128x1024,2,filtered_v2,040,129x129x1025,17057025,1.835508e-03,1.293191e-04,3.710193e-04,3.416581e-04,9.476312e-04,4.587985e-05
strong,128x128x1024,2,pascal,025,129x129x1025,17057025,2.060477e-03,1.293362e-04,3.686034e-04,3.385880e-04,1.176770e-03,4.717965e-05
strong,128x128x1024,2,pascal,040,129x129x1025,17057025,2.058891e-03,1.291913e-04,3.686872e-04,3.387165e-04,1.175049e-03,4.724740e-05
strong,128x128x1024,4,filtered_v2,025,129x129x1025,17057025,1.127044e-03,6.866805e-05,2.443163e-04,2.303718e-04,5.247269e-04,5.896050e-05
strong,128x128x1024,4,filtered_v2,040,129x129x1025,17057025,1.152857e-03,6.935305e-05,2.445556e-04,2.302110e-04,5.492974e-04,5.943980e-05
strong,128x128x1024,4,pascal,025,129x129x1025,17057025,1.309400e-03,6.870655e-05,2.404304e-04,2.258377e-04,7.139833e-04,6.044175e-05
strong,128x128x1024,4,pascal,040,129x129x1025,17057025,1.311432e-03,6.877220e-05,2.404990e-04,2.259281e-04,7.147643e-04,6.146840e-05
strong,128x128x1024,8,filtered_v2,025,129x129x1025,17057025,7.549266e-04,3.953290e-05,1.738630e-04,1.689710e-04,3.134414e-04,5.911825e-05
strong,128x128x1024,8,filtered_v2,040,129x129x1025,17057025,8.130039e-04,3.922895e-05,1.745444e-04,2.068019e-04,3.323580e-04,6.007065e-05
strong,128x128x1024,8,pascal,025,129x129x1025,17057025,9.376318e-04,3.909820e-05,1.694387e-04,1.641502e-04,5.053157e-04,5.962900e-05
strong,128x128x1024,8,pascal,040,129x129x1025,17057025,9.961028e-04,3.942315e-05,1.696101e-04,1.634583e-04,5.620148e-04,6.159630e-05
strong,256x256x2048,2,filtered_v2,025,257x257x2049,135334401,8.854870e-03,9.487126e-04,2.552582e-03,2.354116e-03,2.929002e-03,7.045880e-05
strong,256x256x2048,2,filtered_v2,040,257x257x2049,135334401,8.902675e-03,9.483002e-04,2.550837e-03,2.355250e-03,2.977452e-03,7.083585e-05
strong,256x256x2048,2,pascal,025,257x257x2049,135334401,9.816471e-03,9.491792e-04,2.545189e-03,2.350605e-03,3.899713e-03,7.178475e-05
strong,256x256x2048,2,pascal,040,257x257x2049,135334401,9.818169e-03,9.480751e-04,2.546671e-03,2.352019e-03,3.899460e-03,7.194410e-05
strong,256x256x2048,4,filtered_v2,025,257x257x2049,135334401,4.580771e-03,4.828662e-04,1.264016e-03,1.176049e-03,1.587282e-03,7.055730e-05
strong,256x256x2048,4,filtered_v2,040,257x257x2049,135334401,4.627180e-03,4.824354e-04,1.262384e-03,1.175912e-03,1.635587e-03,7.086295e-05
strong,256x256x2048,4,pascal,025,257x257x2049,135334401,5.154413e-03,4.823638e-04,1.259564e-03,1.172528e-03,2.167192e-03,7.276520e-05
strong,256x256x2048,4,pascal,040,257x257x2049,135334401,5.145750e-03,4.817906e-04,1.256625e-03,1.172353e-03,2.162455e-03,7.252600e-05
strong,256x256x2048,8,filtered_v2,025,257x257x2049,135334401,2.624303e-03,2.478814e-04,7.241563e-04,6.787051e-04,9.076087e-04,6.595135e-05
strong,256x256x2048,8,filtered_v2,040,257x257x2049,135334401,2.674623e-03,2.486496e-04,7.240492e-04,6.785928e-04,9.571933e-04,6.613765e-05
strong,256x256x2048,8,pascal,025,257x257x2049,135334401,2.964057e-03,2.482285e-04,7.198026e-04,6.751727e-04,1.252224e-03,6.862895e-05
strong,256x256x2048,8,pascal,040,257x257x2049,135334401,2.964216e-03,2.486712e-04,7.205163e-04,6.752332e-04,1.251596e-03,6.819935e-05
strong,64x64x512,2,filtered_v2,025,65x65x513,2167425,5.181434e-04,2.371360e-05,8.065155e-05,7.706400e-05,2.954554e-04,4.125885e-05
strong,64x64x512,2,filtered_v2,040,65x65x513,2167425,5.302253e-04,2.369960e-05,7.981125e-05,7.644975e-05,3.098169e-04,4.044775e-05
strong,64x64x512,2,pascal,025,65x65x513,2167425,6.349016e-04,2.370920e-05,7.626835e-05,7.263620e-05,4.200304e-04,4.225750e-05
strong,64x64x512,2,pascal,040,65x65x513,2167425,6.355904e-04,2.381350e-05,7.723285e-05,7.321940e-05,4.194575e-04,4.186710e-05
strong,64x64x512,4,filtered_v2,025,65x65x513,2167425,3.767559e-04,1.664690e-05,5.844210e-05,5.601060e-05,1.929903e-04,5.266600e-05
strong,64x64x512,4,filtered_v2,040,65x65x513,2167425,3.868245e-04,1.653675e-05,5.832950e-05,5.542915e-05,2.050868e-04,5.144230e-05
strong,64x64x512,4,pascal,025,65x65x513,2167425,5.071609e-04,1.643720e-05,5.526150e-05,5.287235e-05,3.296696e-04,5.292035e-05
strong,64x64x512,4,pascal,040,65x65x513,2167425,5.072994e-04,1.658745e-05,5.566950e-05,5.279635e-05,3.290683e-04,5.317780e-05
strong,64x64x512,8,filtered_v2,025,65x65x513,2167425,3.109267e-04,1.301450e-05,5.398550e-05,5.001665e-05,1.412636e-04,5.264650e-05
strong,64x64x512,8,filtered_v2,040,65x65x513,2167425,3.231310e-04,1.304815e-05,5.370525e-05,4.999170e-05,1.538841e-04,5.250175e-05
strong,64x64x512,8,pascal,025,65x65x513,2167425,4.766999e-04,1.314365e-05,5.177155e-05,4.819380e-05,3.101397e-04,5.345115e-05
strong,64x64x512,8,pascal,040,65x65x513,2167425,4.741615e-04,1.301405e-05,5.156700e-05,4.843525e-05,3.081113e-04,5.303385e-05
weak,128cube,2,filtered_v2,025,129x129x257,4276737,7.126825e-04,3.849825e-05,1.720161e-04,1.668534e-04,2.935755e-04,4.173920e-05
weak,128cube,2,filtered_v2,040,129x129x257,4276737,7.294946e-04,3.847670e-05,1.721042e-04,1.670961e-04,3.102301e-04,4.158745e-05
weak,128cube,2,pascal,025,129x129x257,4276737,7.881287e-04,3.861140e-05,1.713497e-04,1.651444e-04,3.695184e-04,4.350485e-05
weak,128cube,2,pascal,040,129x129x257,4276737,7.829409e-04,3.863000e-05,1.685475e-04,1.634347e-04,3.685021e-04,4.382665e-05
weak,128cube,4,filtered_v2,025,129x129x513,8536833,7.489824e-04,3.896695e-05,1.725906e-04,1.671784e-04,3.118383e-04,5.840815e-05
weak,128cube,4,filtered_v2,040,129x129x513,8536833,7.671174e-04,3.885760e-05,1.741143e-04,1.687678e-04,3.276378e-04,5.773985e-05
weak,128cube,4,pascal,025,129x129x513,8536833,8.735979e-04,3.890935e-05,1.701122e-04,1.644779e-04,4.416092e-04,5.848925e-05
weak,128cube,4,pascal,040,129x129x513,8536833,8.773636e-04,3.906555e-05,1.705755e-04,1.645306e-04,4.434449e-04,5.974715e-05
weak,128cube,8,filtered_v2,025,129x129x1025,17057025,7.598761e-04,3.926840e-05,1.777873e-04,1.679170e-04,3.139793e-04,6.092405e-05
weak,128cube,8,filtered_v2,040,129x129x1025,17057025,7.739738e-04,3.974565e-05,1.734758e-04,1.679039e-04,3.336682e-04,5.918025e-05
weak,128cube,8,pascal,025,129x129x1025,17057025,9.387499e-04,3.936910e-05,1.693411e-04,1.641651e-04,5.051495e-04,6.072525e-05
weak,128cube,8,pascal,040,129x129x1025,17057025,9.390334e-04,3.933410e-05,1.709090e-04,1.649155e-04,5.035717e-04,6.030305e-05
weak,256cube,2,filtered_v2,025,257x257x513,33883137,2.570662e-03,2.470397e-04,7.217286e-04,6.775576e-04,8.755110e-04,4.882485e-05
