study,case,np,backend,rho,grid,cells,wall_per_step_s,rhs,solve_x,solve_y,solve_z,comm
refine,128x128x128,2,filtered_v2,025,129x129x129,2146689,1.139981e-03,6.974225e-05,2.983792e-04,3.013732e-04,4.193074e-04,5.117925e-05
refine,128x128x128,2,filtered_v2,040,129x129x129,2146689,1.141200e-03,6.152870e-05,2.863542e-04,2.882100e-04,4.532197e-04,5.188685e-05
refine,128x128x128,2,pascal,025,129x129x129,2146689,1.304735e-03,6.124325e-05,2.819222e-04,2.843678e-04,6.214962e-04,5.570510e-05
refine,128x128x128,2,pascal,040,129x129x129,2146689,1.350092e-03,6.980330e-05,2.947322e-04,2.978295e-04,6.302783e-04,5.744855e-05
refine,128x128x256,2,filtered_v2,025,129x129x257,4276737,1.751993e-03,1.268522e-04,4.539997e-04,4.552786e-04,6.614754e-04,5.438750e-05
refine,128x128x256,2,filtered_v2,040,129x129x257,4276737,1.757914e-03,1.102102e-04,4.489439e-04,4.447396e-04,6.980934e-04,5.592700e-05
refine,128x128x256,2,pascal,025,129x129x257,4276737,1.977169e-03,1.102717e-04,4.443504e-04,4.405804e-04,9.221224e-04,5.984460e-05
refine,128x128x256,2,pascal,040,129x129x257,4276737,2.010028e-03,1.270880e-04,4.490038e-04,4.502054e-04,9.256787e-04,5.805170e-05
refine,128x128x512,2,filtered_v2,025,129x129x513,8536833,2.992494e-03,2.386428e-04,7.948841e-04,7.796762e-04,1.124895e-03,5.439600e-05
refine,128x128x512,2,filtered_v2,040,129x129x513,8536833,2.995608e-03,2.073704e-04,7.962550e-04,7.754473e-04,1.158797e-03,5.773755e-05
refine,128x128x512,2,pascal,025,129x129x513,8536833,3.376337e-03,2.078629e-04,7.941684e-04,7.718931e-04,1.535185e-03,6.722775e-05
refine,128x128x512,2,pascal,040,129x129x513,8536833,3.404913e-03,2.352000e-04,7.914532e-04,7.752688e-04,1.537980e-03,6.501110e-05
refine,256x256x1024,2,filtered_v2,025,257x257x1025,67700225,1.991262e-02,1.658063e-03,6.046213e-03,5.993331e-03,6.132691e-03,8.232135e-05
refine,256x256x1024,2,filtered_v2,040,257x257x1025,67700225,2.004894e-02,1.657658e-03,6.046156e-03,5.988765e-03,6.276235e-03,8.012240e-05
refine,256x256x1024,2,pascal,025,257x257x1025,67700225,2.265041e-02,1.658242e-03,6.042649e-03,5.993162e-03,8.865146e-03,9.121320e-05
refine,256x256x1024,2,pascal,040,257x257x1025,67700225,2.263549e-02,1.658232e-03,6.040304e-03,5.986418e-03,8.861615e-03,8.891835e-05
refine,256x256x256,2,filtered_v2,025,257x257x257,16974593,5.451113e-03,4.607226e-04,1.547729e-03,1.532034e-03,1.832439e-03,7.818780e-05
refine,256x256x256,2,filtered_v2,040,257x257x257,16974593,5.525785e-03,4.246887e-04,1.549069e-03,1.524341e-03,1.951556e-03,7.613115e-05
refine,256x256x256,2,pascal,025,257x257x257,16974593,6.105879e-03,4.252910e-04,1.546425e-03,1.519546e-03,2.526495e-03,8.812160e-05
refine,256x256x256,2,pascal,040,257x257x257,16974593,6.086522e-03,4.251444e-04,1.546066e-03,1.518805e-03,2.512214e-03,8.429275e-05
refine,256x256x512,2,filtered_v2,025,257x257x513,33883137,1.005748e-02,8.359385e-04,2.978039e-03,2.890157e-03,3.270518e-03,8.283105e-05
refine,256x256x512,2,filtered_v2,040,257x257x513,33883137,1.023554e-02,8.372939e-04,2.979293e-03,2.929938e-03,3.402753e-03,8.626660e-05
refine,256x256x512,2,pascal,025,257x257x513,33883137,1.145534e-02,8.362087e-04,2.977511e-03,2.908936e-03,4.639484e-03,9.319610e-05
refine,256x256x512,2,pascal,040,257x257x513,33883137,1.148171e-02,8.777742e-04,2.975163e-03,2.881917e-03,4.653306e-03,9.355295e-05
refine,64x64x128,2,filtered_v2,025,65x65x129,545025,4.788496e-04,2.181775e-05,1.018560e-04,1.029187e-04,2.156724e-04,3.658475e-05
refine,64x64x128,2,filtered_v2,040,65x65x129,545025,5.078962e-04,2.204195e-05,1.019372e-04,1.035295e-04,2.391328e-04,4.125470e-05
refine,64x64x128,2,pascal,025,65x65x129,545025,6.839456e-04,2.214245e-05,9.815830e-05,9.985265e-05,4.167430e-04,4.704920e-05
refine,64x64x128,2,pascal,040,65x65x129,545025,6.907051e-04,2.228885e-05,9.807285e-05,9.964955e-05,4.220603e-04,4.863360e-05
refine,64x64x256,2,filtered_v2,025,65x65x257,1085825,7.627465e-04,3.953390e-05,1.499962e-04,1.503736e-04,3.806331e-04,4.220965e-05
refine,64x64x256,2,filtered_v2,040,65x65x257,1085825,7.636553e-04,3.532870e-05,1.429564e-04,1.441000e-04,3.950028e-04,4.626740e-05
refine,64x64x256,2,pascal,025,65x65x257,1085825,9.425403e-04,3.540575e-05,1.387991e-04,1.408499e-04,5.792172e-04,4.826835e-05
refine,64x64x256,2,pascal,040,65x65x257,1085825,9.859416e-04,4.058430e-05,1.466839e-04,1.470594e-04,6.019434e-04,4.967060e-05
refine,64x64x64,2,filtered_v2,025,65x65x65,274625,3.044315e-04,1.559375e-05,5.939685e-05,5.946980e-05,1.308786e-04,3.909255e-05
refine,64x64x64,2,filtered_v2,040,65x65x65,274625,3.097614e-04,1.564440e-05,5.931385e-05,5.978735e-05,1.367465e-04,3.826925e-05
refine,64x64x64,2,pascal,025,65x65x65,274625,5.041123e-04,1.587995e-05,5.773915e-05,5.733910e-05,3.276535e-04,4.550060e-05
refine,64x64x64,2,pascal,040,65x65x65,274625,5.005321e-04,1.570975e-05,5.751615e-05,5.734925e-05,3.260390e-04,4.391795e-05
