# grid=257x257x1025, np=2 (1,1,2), dt= 1.526E-05, Nt=30, solver_kind=pascal
rank,t_step,event,time_sec
0,1,rhs, 4.797500000E-04
0,1,solve_z, 2.081995000E-03
0,1,solve_y, 1.170907000E-03
0,1,solve_x, 1.261483000E-03
0,1,etc, 1.402000000E-06
0,1,comm, 5.353000000E-05
0,2,rhs, 4.815130000E-04
0,2,solve_z, 2.080582000E-03
0,2,solve_y, 1.173140000E-03
0,2,solve_x, 1.253452000E-03
0,2,etc, 1.442000000E-06
0,2,comm, 5.625400000E-05
0,3,rhs, 4.802310000E-04
0,3,solve_z, 2.084478000E-03
0,3,solve_y, 1.172159000E-03
0,3,solve_x, 1.255644000E-03
0,3,etc, 1.392000000E-06
0,3,comm, 5.538300000E-05
0,4,rhs, 4.806310000E-04
0,4,solve_z, 2.077859000E-03
0,4,solve_y, 1.171238000E-03
0,4,solve_x, 1.256856000E-03
0,4,etc, 1.382000000E-06
0,4,comm, 5.402100000E-05
0,5,rhs, 4.797700000E-04
0,5,solve_z, 2.079151000E-03
0,5,solve_y, 1.172119000E-03
0,5,solve_x, 1.248975000E-03
0,5,etc, 1.402000000E-06
0,5,comm, 5.489200000E-05
0,6,rhs, 4.811720000E-04
0,6,solve_z, 2.081404000E-03
0,6,solve_y, 1.173521000E-03
0,6,solve_x, 1.254233000E-03
0,6,etc, 1.402000000E-06
0,6,comm, 5.581400000E-05
0,7,rhs, 4.800010000E-04
0,7,solve_z, 2.074493000E-03
0,7,solve_y, 1.172229000E-03
0,7,solve_x, 1.250727000E-03
0,7,etc, 1.472000000E-06
0,7,comm, 5.587400000E-05
0,8,rhs, 4.799710000E-04
0,8,solve_z, 2.085119000E-03
0,8,solve_y, 1.172720000E-03
0,8,solve_x, 1.251128000E-03
0,8,etc, 1.433000000E-06
0,8,comm, 5.434100000E-05
0,9,rhs, 4.807510000E-04
0,9,solve_z, 2.076207000E-03
0,9,solve_y, 1.172951000E-03
0,9,solve_x, 1.251608000E-03
0,9,etc, 1.372000000E-06
0,9,comm, 5.547300000E-05
0,10,rhs, 4.806210000E-04
0,10,solve_z, 2.078499000E-03
0,10,solve_y, 1.171799000E-03
0,10,solve_x, 1.258699000E-03
0,10,etc, 1.452000000E-06
0,10,comm, 5.476200000E-05
0,11,rhs, 4.821730000E-04
0,11,solve_z, 2.077858000E-03
