# grid=257x257x257, np=2 (1,1,2), dt= 2.441E-04, Nt=30, solver_kind=filtered_v2
rank,t_step,event,time_sec
0,1,rhs, 1.284930000E-04
0,1,solve_z, 5.916980000E-04
0,1,solve_y, 4.631260000E-04
0,1,solve_x, 4.797500000E-04
0,1,etc, 1.382000000E-06
0,1,comm, 4.345600000E-05
0,1,tdma_z_comm, 1.511300000E-05
0,1,tdma_y_comm, 0.000000000E+00
0,1,tdma_x_comm, 0.000000000E+00
0,1,tdma_z_gpu, 4.251199961E-04
0,1,tdma_y_gpu, 0.000000000E+00
0,1,tdma_x_gpu, 0.000000000E+00
0,2,rhs, 1.294740000E-04
0,2,solve_z, 5.925490000E-04
0,2,solve_y, 4.604710000E-04
0,2,solve_x, 4.818330000E-04
0,2,etc, 1.372000000E-06
0,2,comm, 4.526800000E-05
0,2,tdma_z_comm, 1.829800000E-05
0,2,tdma_y_comm, 0.000000000E+00
0,2,tdma_x_comm, 0.000000000E+00
0,2,tdma_z_gpu, 4.223999977E-04
0,2,tdma_y_gpu, 0.000000000E+00
0,2,tdma_x_gpu, 0.000000000E+00
0,3,rhs, 1.285530000E-04
0,3,solve_z, 5.930090000E-04
0,3,solve_y, 4.616030000E-04
0,3,solve_x, 4.813430000E-04
0,3,etc, 1.382000000E-06
0,3,comm, 4.598900000E-05
0,3,tdma_z_comm, 1.752700000E-05
0,3,tdma_y_comm, 0.000000000E+00
0,3,tdma_x_comm, 0.000000000E+00
0,3,tdma_z_gpu, 4.228159785E-04
0,3,tdma_y_gpu, 0.000000000E+00
0,3,tdma_x_gpu, 0.000000000E+00
0,4,rhs, 1.288530000E-04
0,4,solve_z, 5.915280000E-04
0,4,solve_y, 4.614120000E-04
0,4,solve_x, 4.828740000E-04
0,4,etc, 1.392000000E-06
0,4,comm, 4.561800000E-05
0,4,tdma_z_comm, 1.514300000E-05
0,4,tdma_y_comm, 0.000000000E+00
0,4,tdma_x_comm, 0.000000000E+00
0,4,tdma_z_gpu, 4.243839979E-04
0,4,tdma_y_gpu, 0.000000000E+00
0,4,tdma_x_gpu, 0.000000000E+00
0,5,rhs, 1.291740000E-04
0,5,solve_z, 5.944620000E-04
0,5,solve_y, 4.631650000E-04
0,5,solve_x, 4.836260000E-04
0,5,etc, 1.382000000E-06
0,5,comm, 4.540800000E-05
0,5,tdma_z_comm, 1.714600000E-05
0,5,tdma_y_comm, 0.000000000E+00
0,5,tdma_x_comm, 0.000000000E+00
0,5,tdma_z_gpu, 4.255999923E-04
0,5,tdma_y_gpu, 0.000000000E+00
0,5,tdma_x_gpu, 0.000000000E+00
