# grid=257x257x2049, np=8 (1,1,8), dt= 9.537E-07, Nt=30, solver_kind=pascal
rank,t_step,event,time_sec
0,1,rhs, 2.484430000E-04
0,1,solve_z, 1.282284000E-03
0,1,solve_y, 6.802110000E-04
0,1,solve_x, 7.153130000E-04
0,1,etc, 1.513000000E-06
0,1,comm, 5.817700000E-05
0,1,tdma_z_comm, 2.053680000E-04
0,1,tdma_y_comm, 0.000000000E+00
0,1,tdma_x_comm, 0.000000000E+00
0,1,tdma_z_gpu, 7.513599787E-04
0,1,tdma_y_gpu, 0.000000000E+00
0,1,tdma_x_gpu, 0.000000000E+00
0,2,rhs, 2.486730000E-04
0,2,solve_z, 1.299100000E-03
0,2,solve_y, 6.782480000E-04
0,2,solve_x, 7.175360000E-04
0,2,etc, 1.542000000E-06
0,2,comm, 6.123200000E-05
0,2,tdma_z_comm, 2.194500000E-04
0,2,tdma_y_comm, 0.000000000E+00
0,2,tdma_x_comm, 0.000000000E+00
0,2,tdma_z_gpu, 7.498880196E-04
0,2,tdma_y_gpu, 0.000000000E+00
0,2,tdma_x_gpu, 0.000000000E+00
0,3,rhs, 2.484230000E-04
0,3,solve_z, 1.277728000E-03
0,3,solve_y, 6.831450000E-04
0,3,solve_x, 7.209720000E-04
0,3,etc, 1.532000000E-06
0,3,comm, 5.821700000E-05
0,3,tdma_z_comm, 2.108360000E-04
0,3,tdma_y_comm, 0.000000000E+00
0,3,tdma_x_comm, 0.000000000E+00
0,3,tdma_z_gpu, 7.516799793E-04
0,3,tdma_y_gpu, 0.000000000E+00
0,3,tdma_x_gpu, 0.000000000E+00
0,4,rhs, 2.484920000E-04
0,4,solve_z, 1.293130000E-03
0,4,solve_y, 6.803520000E-04
0,4,solve_x, 7.227650000E-04
0,4,etc, 1.523000000E-06
0,4,comm, 5.897900000E-05
0,4,tdma_z_comm, 2.224430000E-04
0,4,tdma_y_comm, 0.000000000E+00
0,4,tdma_x_comm, 0.000000000E+00
0,4,tdma_z_gpu, 7.516479976E-04
0,4,tdma_y_gpu, 0.000000000E+00
0,4,tdma_x_gpu, 0.000000000E+00
0,5,rhs, 2.479920000E-04
0,5,solve_z, 1.288033000E-03
0,5,solve_y, 6.802310000E-04
0,5,solve_x, 7.253580000E-04
0,5,etc, 1.513000000E-06
0,5,comm, 6.106200000E-05
0,5,tdma_z_comm, 2.107460000E-04
0,5,tdma_y_comm, 0.000000000E+00
0,5,tdma_x_comm, 0.000000000E+00
0,5,tdma_z_gpu, 7.515519690E-04
0,5,tdma_y_gpu, 0.000000000E+00
0,5,tdma_x_gpu, 0.000000000E+00
0,6,rhs, 2.480120000E-04
0,6,solve_z, 1.284057000E-03
0,6,solve_y, 6.805410000E-04
0,6,solve_x, 7.190990000E-04
0,6,etc, 1.492000000E-06
0,6,comm, 6.256400000E-05
0,6,tdma_z_comm, 2.023140000E-04
0,6,tdma_y_comm, 0.000000000E+00
0,6,tdma_x_comm, 0.000000000E+00
0,6,tdma_z_gpu, 7.544000149E-04
0,6,tdma_y_gpu, 0.000000000E+00
0,6,tdma_x_gpu, 0.000000000E+00
0,7,rhs, 2.482320000E-04
0,7,solve_z, 1.276977000E-03
0,7,solve_y, 6.790390000E-04
0,7,solve_x, 7.229960000E-04
0,7,etc, 1.492000000E-06
0,7,comm, 5.961000000E-05
0,7,tdma_z_comm, 2.035350000E-04
0,7,tdma_y_comm, 0.000000000E+00
0,7,tdma_x_comm, 0.000000000E+00
0,7,tdma_z_gpu, 7.520319801E-04
0,7,tdma_y_gpu, 0.000000000E+00
0,7,tdma_x_gpu, 0.000000000E+00
0,8,rhs, 2.472210000E-04
0,8,solve_z, 1.285399000E-03
0,8,solve_y, 6.796600000E-04
0,8,solve_x, 7.243670000E-04
0,8,etc, 1.532000000E-06
0,8,comm, 5.904900000E-05
0,8,tdma_z_comm, 2.098450000E-04
0,8,tdma_y_comm, 0.000000000E+00
0,8,tdma_x_comm, 0.000000000E+00
0,8,tdma_z_gpu, 7.544320161E-04
0,8,tdma_y_gpu, 0.000000000E+00
0,8,tdma_x_gpu, 0.000000000E+00
0,9,rhs, 2.476010000E-04
0,9,solve_z, 1.284448000E-03
0,9,solve_y, 6.790490000E-04
0,9,solve_x, 7.232550000E-04
0,9,etc, 1.492000000E-06
0,9,comm, 5.788700000E-05
0,9,tdma_z_comm, 2.008720000E-04
0,9,tdma_y_comm, 0.000000000E+00
0,9,tdma_x_comm, 0.000000000E+00
0,9,tdma_z_gpu, 7.550400179E-04
0,9,tdma_y_gpu, 0.000000000E+00
0,9,tdma_x_gpu, 0.000000000E+00
0,10,rhs, 2.485630000E-04
0,10,solve_z, 1.280682000E-03
0,10,solve_y, 6.801900000E-04
0,10,solve_x, 7.195300000E-04
0,10,etc, 1.512000000E-06
0,10,comm, 5.923800000E-05
0,10,tdma_z_comm, 2.080120000E-04
0,10,tdma_y_comm, 0.000000000E+00
0,10,tdma_x_comm, 0.000000000E+00
0,10,tdma_z_gpu, 7.514239997E-04
0,10,tdma_y_gpu, 0.000000000E+00
0,10,tdma_x_gpu, 0.000000000E+00
0,11,rhs, 2.484930000E-04
0,11,solve_z, 1.286531000E-03
0,11,solve_y, 6.810220000E-04
0,11,solve_x, 7.249880000E-04
0,11,etc, 1.472000000E-06
0,11,comm, 5.937900000E-05
0,11,tdma_z_comm, 2.095140000E-04
0,11,tdma_y_comm, 0.000000000E+00
0,11,tdma_x_comm, 0.000000000E+00
0,11,tdma_z_gpu, 7.528960221E-04
0,11,tdma_y_gpu, 0.000000000E+00
0,11,tdma_x_gpu, 0.000000000E+00
0,12,rhs, 2.476120000E-04
0,12,solve_z, 1.293281000E-03
0,12,solve_y, 6.807710000E-04
0,12,solve_x, 7.229850000E-04
0,12,etc, 1.493000000E-06
0,12,comm, 6.306500000E-05
0,12,tdma_z_comm, 2.093340000E-04
0,12,tdma_y_comm, 0.000000000E+00
0,12,tdma_x_comm, 0.000000000E+00
0,12,tdma_z_gpu, 7.534080157E-04
0,12,tdma_y_gpu, 0.000000000E+00
0,12,tdma_x_gpu, 0.000000000E+00
0,13,rhs, 2.484830000E-04
0,13,solve_z, 1.275695000E-03
0,13,solve_y, 6.803710000E-04
0,13,solve_x, 7.135910000E-04
0,13,etc, 1.492000000E-06
0,13,comm, 5.813800000E-05
0,13,tdma_z_comm, 2.019040000E-04
0,13,tdma_y_comm, 0.000000000E+00
0,13,tdma_x_comm, 0.000000000E+00
0,13,tdma_z_gpu, 7.542719971E-04
0,13,tdma_y_gpu, 0.000000000E+00
0,13,tdma_x_gpu, 0.000000000E+00
0,14,rhs, 2.496340000E-04
0,14,solve_z, 1.278679000E-03
0,14,solve_y, 6.794800000E-04
0,14,solve_x, 7.139220000E-04
0,14,etc, 1.492000000E-06
0,14,comm, 5.927900000E-05
0,14,tdma_z_comm, 2.078520000E-04
0,14,tdma_y_comm, 0.000000000E+00
0,14,tdma_x_comm, 0.000000000E+00
0,14,tdma_z_gpu, 7.531840364E-04
0,14,tdma_y_gpu, 0.000000000E+00
0,14,tdma_x_gpu, 0.000000000E+00
0,15,rhs, 2.487840000E-04
0,15,solve_z, 1.283326000E-03
0,15,solve_y, 6.804810000E-04
0,15,solve_x, 7.124890000E-04
0,15,etc, 1.482000000E-06
0,15,comm, 5.844700000E-05
0,15,tdma_z_comm, 2.084530000E-04
0,15,tdma_y_comm, 0.000000000E+00
0,15,tdma_x_comm, 0.000000000E+00
0,15,tdma_z_gpu, 7.514560018E-04
0,15,tdma_y_gpu, 0.000000000E+00
0,15,tdma_x_gpu, 0.000000000E+00
0,16,rhs, 2.476320000E-04
0,16,solve_z, 1.287022000E-03
0,16,solve_y, 6.804510000E-04
0,16,solve_x, 7.248780000E-04
0,16,etc, 1.532000000E-06
0,16,comm, 5.809700000E-05
0,16,tdma_z_comm, 2.161350000E-04
0,16,tdma_y_comm, 0.000000000E+00
0,16,tdma_x_comm, 0.000000000E+00
0,16,tdma_z_gpu, 7.487040171E-04
0,16,tdma_y_gpu, 0.000000000E+00
0,16,tdma_x_gpu, 0.000000000E+00
0,17,rhs, 2.482430000E-04
0,17,solve_z, 1.283226000E-03
0,17,solve_y, 6.766150000E-04
0,17,solve_x, 7.186890000E-04
0,17,etc, 1.512000000E-06
0,17,comm, 5.805800000E-05
0,17,tdma_z_comm, 2.103960000E-04
0,17,tdma_y_comm, 0.000000000E+00
0,17,tdma_x_comm, 0.000000000E+00
0,17,tdma_z_gpu, 7.515840242E-04
0,17,tdma_y_gpu, 0.000000000E+00
0,17,tdma_x_gpu, 0.000000000E+00
0,18,rhs, 2.481230000E-04
0,18,solve_z, 1.284037000E-03
0,18,solve_y, 6.803610000E-04
0,18,solve_x, 7.227140000E-04
0,18,etc, 1.503000000E-06
0,18,comm, 5.940900000E-05
0,18,tdma_z_comm, 2.061390000E-04
0,18,tdma_y_comm, 0.000000000E+00
0,18,tdma_x_comm, 0.000000000E+00
0,18,tdma_z_gpu, 7.527039815E-04
0,18,tdma_y_gpu, 0.000000000E+00
0,18,tdma_x_gpu, 0.000000000E+00
0,19,rhs, 2.474910000E-04
0,19,solve_z, 1.286010000E-03
0,19,solve_y, 6.809420000E-04
0,19,solve_x, 7.210420000E-04
0,19,etc, 1.482000000E-06
0,19,comm, 5.967900000E-05
0,19,tdma_z_comm, 2.111660000E-04
0,19,tdma_y_comm, 0.000000000E+00
0,19,tdma_x_comm, 0.000000000E+00
0,19,tdma_z_gpu, 7.512640134E-04
0,19,tdma_y_gpu, 0.000000000E+00
0,19,tdma_x_gpu, 0.000000000E+00
0,20,rhs, 2.476720000E-04
0,20,solve_z, 1.276436000E-03
0,20,solve_y, 6.778470000E-04
0,20,solve_x, 7.234960000E-04
0,20,etc, 1.482000000E-06
0,20,comm, 6.143300000E-05
0,20,tdma_z_comm, 2.063690000E-04
0,20,tdma_y_comm, 0.000000000E+00
0,20,tdma_x_comm, 0.000000000E+00
0,20,tdma_z_gpu, 7.536639804E-04
0,20,tdma_y_gpu, 0.000000000E+00
0,20,tdma_x_gpu, 0.000000000E+00
1,1,rhs, 2.481530000E-04
1,1,solve_z, 1.293090000E-03
1,1,solve_y, 6.791900000E-04
1,1,solve_x, 7.324090000E-04
1,1,etc, 1.803000000E-06
1,1,comm, 7.418100000E-05
1,1,tdma_z_comm, 2.104450000E-04
1,1,tdma_y_comm, 0.000000000E+00
1,1,tdma_x_comm, 0.000000000E+00
1,1,tdma_z_gpu, 7.514879927E-04
1,1,tdma_y_gpu, 0.000000000E+00
1,1,tdma_x_gpu, 0.000000000E+00
1,2,rhs, 2.489130000E-04
1,2,solve_z, 1.300652000E-03
1,2,solve_y, 6.803810000E-04
1,2,solve_x, 7.272310000E-04
1,2,etc, 1.823000000E-06
1,2,comm, 6.742200000E-05
1,2,tdma_z_comm, 2.138310000E-04
1,2,tdma_y_comm, 0.000000000E+00
1,2,tdma_x_comm, 0.000000000E+00
1,2,tdma_z_gpu, 7.538879812E-04
1,2,tdma_y_gpu, 0.000000000E+00
1,2,tdma_x_gpu, 0.000000000E+00
1,3,rhs, 2.477120000E-04
1,3,solve_z, 1.293872000E-03
1,3,solve_y, 6.800310000E-04
1,3,solve_x, 7.227450000E-04
1,3,etc, 1.803000000E-06
1,3,comm, 6.664000000E-05
1,3,tdma_z_comm, 2.132500000E-04
1,3,tdma_y_comm, 0.000000000E+00
1,3,tdma_x_comm, 0.000000000E+00
1,3,tdma_z_gpu, 7.526719654E-04
1,3,tdma_y_gpu, 0.000000000E+00
1,3,tdma_x_gpu, 0.000000000E+00
1,4,rhs, 2.477120000E-04
1,4,solve_z, 1.297568000E-03
1,4,solve_y, 6.814230000E-04
1,4,solve_x, 7.236260000E-04
1,4,etc, 1.773000000E-06
1,4,comm, 6.765200000E-05
1,4,tdma_z_comm, 2.094840000E-04
1,4,tdma_y_comm, 0.000000000E+00
1,4,tdma_x_comm, 0.000000000E+00
1,4,tdma_z_gpu, 7.602879740E-04
1,4,tdma_y_gpu, 0.000000000E+00
1,4,tdma_x_gpu, 0.000000000E+00
1,5,rhs, 2.488430000E-04
1,5,solve_z, 1.287973000E-03
1,5,solve_y, 6.811520000E-04
1,5,solve_x, 7.201610000E-04
1,5,etc, 1.622000000E-06
1,5,comm, 6.825200000E-05
1,5,tdma_z_comm, 2.052880000E-04
1,5,tdma_y_comm, 0.000000000E+00
1,5,tdma_x_comm, 0.000000000E+00
1,5,tdma_z_gpu, 7.563199773E-04
1,5,tdma_y_gpu, 0.000000000E+00
1,5,tdma_x_gpu, 0.000000000E+00
1,6,rhs, 2.484230000E-04
1,6,solve_z, 1.289675000E-03
1,6,solve_y, 6.829450000E-04
1,6,solve_x, 7.329690000E-04
1,6,etc, 1.662000000E-06
1,6,comm, 6.966500000E-05
1,6,tdma_z_comm, 2.097740000E-04
1,6,tdma_y_comm, 0.000000000E+00
1,6,tdma_x_comm, 0.000000000E+00
1,6,tdma_z_gpu, 7.510720193E-04
1,6,tdma_y_gpu, 0.000000000E+00
1,6,tdma_x_gpu, 0.000000000E+00
1,7,rhs, 2.483730000E-04
1,7,solve_z, 1.287392000E-03
1,7,solve_y, 6.799800000E-04
1,7,solve_x, 7.165050000E-04
1,7,etc, 1.793000000E-06
1,7,comm, 6.611900000E-05
1,7,tdma_z_comm, 2.035060000E-04
1,7,tdma_y_comm, 0.000000000E+00
1,7,tdma_x_comm, 0.000000000E+00
1,7,tdma_z_gpu, 7.542079836E-04
1,7,tdma_y_gpu, 0.000000000E+00
1,7,tdma_x_gpu, 0.000000000E+00
1,8,rhs, 2.461890000E-04
1,8,solve_z, 1.288394000E-03
1,8,solve_y, 6.802510000E-04
1,8,solve_x, 7.224250000E-04
1,8,etc, 1.773000000E-06
1,8,comm, 6.635900000E-05
1,8,tdma_z_comm, 2.072410000E-04
1,8,tdma_y_comm, 0.000000000E+00
1,8,tdma_x_comm, 0.000000000E+00
1,8,tdma_z_gpu, 7.561920192E-04
1,8,tdma_y_gpu, 0.000000000E+00
1,8,tdma_x_gpu, 0.000000000E+00
1,9,rhs, 2.459490000E-04
1,9,solve_z, 1.288604000E-03
1,9,solve_y, 6.786180000E-04
1,9,solve_x, 7.189290000E-04
1,9,etc, 1.612000000E-06
1,9,comm, 6.667000000E-05
1,9,tdma_z_comm, 2.059680000E-04
1,9,tdma_y_comm, 0.000000000E+00
1,9,tdma_x_comm, 0.000000000E+00
1,9,tdma_z_gpu, 7.541440316E-04
1,9,tdma_y_gpu, 0.000000000E+00
1,9,tdma_x_gpu, 0.000000000E+00
1,10,rhs, 2.462400000E-04
1,10,solve_z, 1.295264000E-03
1,10,solve_y, 6.814030000E-04
1,10,solve_x, 7.271410000E-04
1,10,etc, 1.662000000E-06
1,10,comm, 6.532800000E-05
1,10,tdma_z_comm, 2.127790000E-04
1,10,tdma_y_comm, 0.000000000E+00
1,10,tdma_x_comm, 0.000000000E+00
1,10,tdma_z_gpu, 7.505920017E-04
1,10,tdma_y_gpu, 0.000000000E+00
1,10,tdma_x_gpu, 0.000000000E+00
1,11,rhs, 2.453480000E-04
1,11,solve_z, 1.290297000E-03
1,11,solve_y, 6.818730000E-04
1,11,solve_x, 7.233660000E-04
1,11,etc, 1.802000000E-06
1,11,comm, 6.652000000E-05
1,11,tdma_z_comm, 2.069520000E-04
1,11,tdma_y_comm, 0.000000000E+00
1,11,tdma_x_comm, 0.000000000E+00
1,11,tdma_z_gpu, 7.541119987E-04
1,11,tdma_y_gpu, 0.000000000E+00
1,11,tdma_x_gpu, 0.000000000E+00
1,12,rhs, 2.465700000E-04
1,12,solve_z, 1.297768000E-03
1,12,solve_y, 6.794790000E-04
1,12,solve_x, 7.289940000E-04
1,12,etc, 1.622000000E-06
1,12,comm, 6.768100000E-05
1,12,tdma_z_comm, 2.083620000E-04
1,12,tdma_y_comm, 0.000000000E+00
1,12,tdma_x_comm, 0.000000000E+00
1,12,tdma_z_gpu, 7.549440302E-04
1,12,tdma_y_gpu, 0.000000000E+00
1,12,tdma_x_gpu, 0.000000000E+00
1,13,rhs, 2.459490000E-04
1,13,solve_z, 1.292610000E-03
1,13,solve_y, 6.804120000E-04
1,13,solve_x, 7.261200000E-04
1,13,etc, 1.823000000E-06
1,13,comm, 6.520800000E-05
1,13,tdma_z_comm, 2.069700000E-04
1,13,tdma_y_comm, 0.000000000E+00
1,13,tdma_x_comm, 0.000000000E+00
1,13,tdma_z_gpu, 7.530880030E-04
1,13,tdma_y_gpu, 0.000000000E+00
1,13,tdma_x_gpu, 0.000000000E+00
1,14,rhs, 2.459190000E-04
1,14,solve_z, 1.289836000E-03
1,14,solve_y, 6.806720000E-04
1,14,solve_x, 7.315380000E-04
1,14,etc, 1.652000000E-06
1,14,comm, 6.546800000E-05
