# grid=65x65x513, np=4 (1,1,4), dt= 1.526E-05, Nt=30, solver_kind=filtered_v2
rank,t_step,event,time_sec
0,1,rhs, 1.576400000E-05
0,1,solve_z, 1.845460000E-04
0,1,solve_y, 5.440100000E-05
0,1,solve_x, 5.708500000E-05
0,1,etc, 1.432000000E-06
0,1,comm, 4.579900000E-05
0,2,rhs, 1.553300000E-05
0,2,solve_z, 1.854480000E-04
0,2,solve_y, 5.491200000E-05
0,2,solve_x, 5.629400000E-05
0,2,etc, 1.443000000E-06
0,2,comm, 4.858300000E-05
0,3,rhs, 1.588400000E-05
0,3,solve_z, 1.842570000E-04
0,3,solve_y, 5.454200000E-05
0,3,solve_x, 5.651500000E-05
0,3,etc, 1.442000000E-06
0,3,comm, 4.694000000E-05
0,4,rhs, 1.641500000E-05
0,4,solve_z, 1.863690000E-04
0,4,solve_y, 5.403100000E-05
0,4,solve_x, 5.666500000E-05
0,4,etc, 1.452000000E-06
0,4,comm, 4.516800000E-05
0,5,rhs, 1.573400000E-05
0,5,solve_z, 1.842160000E-04
0,5,solve_y, 5.447200000E-05
0,5,solve_x, 5.718500000E-05
0,5,etc, 1.422000000E-06
0,5,comm, 4.859300000E-05
0,6,rhs, 1.589400000E-05
0,6,solve_z, 1.847470000E-04
0,6,solve_y, 5.408100000E-05
0,6,solve_x, 5.661500000E-05
0,6,etc, 1.433000000E-06
0,6,comm, 4.563800000E-05
0,7,rhs, 1.589400000E-05
0,7,solve_z, 1.845870000E-04
0,7,solve_y, 5.432100000E-05
0,7,solve_x, 5.682600000E-05
0,7,etc, 1.462000000E-06
0,7,comm, 4.614900000E-05
0,8,rhs, 1.601400000E-05
0,8,solve_z, 1.847970000E-04
0,8,solve_y, 5.480200000E-05
0,8,solve_x, 5.672500000E-05
0,8,etc, 1.442000000E-06
0,8,comm, 4.566900000E-05
0,9,rhs, 1.594400000E-05
0,9,solve_z, 1.882620000E-04
0,9,solve_y, 5.412100000E-05
0,9,solve_x, 5.726600000E-05
0,9,etc, 1.442000000E-06
0,9,comm, 4.528800000E-05
0,10,rhs, 1.582400000E-05
0,10,solve_z, 1.893540000E-04
0,10,solve_y, 5.456200000E-05
0,10,solve_x, 5.700600000E-05
0,10,etc, 1.432000000E-06
0,10,comm, 4.459700000E-05
0,11,rhs, 1.568300000E-05
0,11,solve_z, 1.850580000E-04
0,11,solve_y, 5.407100000E-05
0,11,solve_x, 5.647400000E-05
0,11,etc, 1.423000000E-06
0,11,comm, 4.540800000E-05
0,12,rhs, 1.617500000E-05
0,12,solve_z, 1.820130000E-04
0,12,solve_y, 5.503300000E-05
0,12,solve_x, 5.713600000E-05
0,12,etc, 1.462000000E-06
0,12,comm, 4.656000000E-05
0,13,rhs, 1.585400000E-05
0,13,solve_z, 1.830450000E-04
0,13,solve_y, 5.401100000E-05
0,13,solve_x, 5.700600000E-05
0,13,etc, 1.442000000E-06
0,13,comm, 4.781200000E-05
0,14,rhs, 1.586400000E-05
0,14,solve_z, 1.827540000E-04
0,14,solve_y, 5.476200000E-05
