# grid=129x129x513, np=4 (1,1,4), dt= 1.526E-05, Nt=30, solver_kind=pascal
rank,t_step,event,time_sec
0,1,rhs, 3.816700000E-05
0,1,solve_z, 4.688140000E-04
0,1,solve_y, 1.559840000E-04
0,1,solve_x, 1.614730000E-04
0,1,etc, 1.493000000E-06
0,1,comm, 5.174800000E-05
0,1,tdma_z_comm, 1.234850000E-04
0,1,tdma_y_comm, 0.000000000E+00
0,1,tdma_x_comm, 0.000000000E+00
0,1,tdma_z_gpu, 2.431040024E-04
0,1,tdma_y_gpu, 0.000000000E+00
0,1,tdma_x_gpu, 0.000000000E+00
0,2,rhs, 3.935900000E-05
0,2,solve_z, 4.658090000E-04
0,2,solve_y, 1.522080000E-04
0,2,solve_x, 1.593700000E-04
0,2,etc, 1.562000000E-06
0,2,comm, 5.349000000E-05
0,2,tdma_z_comm, 1.232860000E-04
0,2,tdma_y_comm, 0.000000000E+00
0,2,tdma_x_comm, 0.000000000E+00
0,2,tdma_z_gpu, 2.424639948E-04
0,2,tdma_y_gpu, 0.000000000E+00
0,2,tdma_x_gpu, 0.000000000E+00
0,3,rhs, 3.866800000E-05
0,3,solve_z, 4.620730000E-04
0,3,solve_y, 1.553440000E-04
0,3,solve_x, 1.597500000E-04
0,3,etc, 1.502000000E-06
0,3,comm, 5.268900000E-05
0,3,tdma_z_comm, 1.172260000E-04
0,3,tdma_y_comm, 0.000000000E+00
0,3,tdma_x_comm, 0.000000000E+00
0,3,tdma_z_gpu, 2.440319946E-04
0,3,tdma_y_gpu, 0.000000000E+00
0,3,tdma_x_gpu, 0.000000000E+00
0,4,rhs, 3.851800000E-05
0,4,solve_z, 4.624040000E-04
0,4,solve_y, 1.535200000E-04
0,4,solve_x, 1.568750000E-04
0,4,etc, 1.482000000E-06
0,4,comm, 5.146700000E-05
0,4,tdma_z_comm, 1.210330000E-04
0,4,tdma_y_comm, 0.000000000E+00
0,4,tdma_x_comm, 0.000000000E+00
0,4,tdma_z_gpu, 2.407039972E-04
0,4,tdma_y_gpu, 0.000000000E+00
0,4,tdma_x_gpu, 0.000000000E+00
0,5,rhs, 3.848800000E-05
0,5,solve_z, 4.836160000E-04
0,5,solve_y, 1.541710000E-04
0,5,solve_x, 1.595400000E-04
0,5,etc, 1.482000000E-06
0,5,comm, 5.418200000E-05
0,5,tdma_z_comm, 1.414720000E-04
0,5,tdma_y_comm, 0.000000000E+00
0,5,tdma_x_comm, 0.000000000E+00
0,5,tdma_z_gpu, 2.424639929E-04
0,5,tdma_y_gpu, 0.000000000E+00
0,5,tdma_x_gpu, 0.000000000E+00
0,6,rhs, 3.862800000E-05
0,6,solve_z, 4.607420000E-04
0,6,solve_y, 1.546620000E-04
0,6,solve_x, 1.585180000E-04
0,6,etc, 1.462000000E-06
0,6,comm, 5.613400000E-05
0,6,tdma_z_comm, 1.203410000E-04
0,6,tdma_y_comm, 0.000000000E+00
0,6,tdma_x_comm, 0.000000000E+00
0,6,tdma_z_gpu, 2.400319967E-04
0,6,tdma_y_gpu, 0.000000000E+00
0,6,tdma_x_gpu, 0.000000000E+00
0,7,rhs, 3.820700000E-05
0,7,solve_z, 4.697450000E-04
0,7,solve_y, 1.538510000E-04
0,7,solve_x, 1.593500000E-04
0,7,etc, 1.482000000E-06
0,7,comm, 5.088700000E-05
0,7,tdma_z_comm, 1.209320000E-04
0,7,tdma_y_comm, 0.000000000E+00
0,7,tdma_x_comm, 0.000000000E+00
0,7,tdma_z_gpu, 2.406719998E-04
0,7,tdma_y_gpu, 0.000000000E+00
0,7,tdma_x_gpu, 0.000000000E+00
0,8,rhs, 3.847800000E-05
0,8,solve_z, 4.635360000E-04
0,8,solve_y, 1.535010000E-04
0,8,solve_x, 1.659490000E-04
0,8,etc, 1.493000000E-06
0,8,comm, 5.151800000E-05
0,8,tdma_z_comm, 1.207710000E-04
0,8,tdma_y_comm, 0.000000000E+00
0,8,tdma_x_comm, 0.000000000E+00
0,8,tdma_z_gpu, 2.419519993E-04
0,8,tdma_y_gpu, 0.000000000E+00
0,8,tdma_x_gpu, 0.000000000E+00
0,9,rhs, 3.897900000E-05
0,9,solve_z, 4.624640000E-04
0,9,solve_y, 1.550530000E-04
0,9,solve_x, 1.608920000E-04
0,9,etc, 1.493000000E-06
0,9,comm, 5.326000000E-05
0,9,tdma_z_comm, 1.191280000E-04
0,9,tdma_y_comm, 0.000000000E+00
0,9,tdma_x_comm, 0.000000000E+00
0,9,tdma_z_gpu, 2.409599945E-04
0,9,tdma_y_gpu, 0.000000000E+00
0,9,tdma_x_gpu, 0.000000000E+00
0,10,rhs, 3.862800000E-05
0,10,solve_z, 4.536200000E-04
0,10,solve_y, 1.552840000E-04
