# grid=513x513x1025, np=2 (1,1,2), dt= 1.526E-05, Nt=30, solver_kind=filtered_v2
rank,t_step,event,time_sec
0,1,rhs, 1.886291000E-03
0,1,solve_z, 5.170720000E-03
0,1,solve_y, 4.742547000E-03
0,1,solve_x, 5.055377000E-03
0,1,etc, 1.362000000E-06
0,1,comm, 7.633400000E-05
0,2,rhs, 1.887382000E-03
0,2,solve_z, 5.179532000E-03
0,2,solve_y, 4.721976000E-03
0,2,solve_x, 5.039592000E-03
0,2,etc, 1.403000000E-06
0,2,comm, 7.640400000E-05
0,3,rhs, 1.887603000E-03
0,3,solve_z, 5.179623000E-03
0,3,solve_y, 4.720965000E-03
0,3,solve_x, 5.048196000E-03
0,3,etc, 1.372000000E-06
0,3,comm, 7.735600000E-05
0,4,rhs, 1.887212000E-03
0,4,solve_z, 5.180244000E-03
0,4,solve_y, 4.719663000E-03
0,4,solve_x, 5.083679000E-03
0,4,etc, 1.372000000E-06
0,4,comm, 7.667500000E-05
0,5,rhs, 1.888594000E-03
0,5,solve_z, 5.178220000E-03
0,5,solve_y, 4.724319000E-03
0,5,solve_x, 5.057169000E-03
0,5,etc, 1.362000000E-06
0,5,comm, 7.677500000E-05
0,6,rhs, 1.889095000E-03
0,6,solve_z, 5.179853000E-03
0,6,solve_y, 4.732362000E-03
0,6,solve_x, 5.040173000E-03
0,6,etc, 1.412000000E-06
0,6,comm, 7.511300000E-05
0,7,rhs, 1.889676000E-03
0,7,solve_z, 5.171010000E-03
0,7,solve_y, 4.731140000E-03
0,7,solve_x, 5.047796000E-03
0,7,etc, 1.392000000E-06
0,7,comm, 7.783600000E-05
0,8,rhs, 1.889406000E-03
0,8,solve_z, 5.178090000E-03
0,8,solve_y, 4.724881000E-03
0,8,solve_x, 5.033383000E-03
0,8,etc, 1.382000000E-06
0,8,comm, 7.747700000E-05
0,9,rhs, 1.892451000E-03
0,9,solve_z, 5.183148000E-03
0,9,solve_y, 4.716428000E-03
0,9,solve_x, 5.054955000E-03
0,9,etc, 1.372000000E-06
0,9,comm, 7.578400000E-05
0,10,rhs, 1.889356000E-03
0,10,solve_z, 5.183709000E-03
0,10,solve_y, 4.735156000E-03
0,10,solve_x, 5.042727000E-03
0,10,etc, 1.362000000E-06
0,10,comm, 7.673600000E-05
0,11,rhs, 1.892289000E-03
0,11,solve_z, 5.171049000E-03
0,11,solve_y, 4.727244000E-03
0,11,solve_x, 5.067124000E-03
0,11,etc, 1.372000000E-06
0,11,comm, 7.622500000E-05
0,12,rhs, 1.891398000E-03
0,12,solve_z, 5.186413000E-03
0,12,solve_y, 4.738370000E-03
0,12,solve_x, 5.069929000E-03
0,12,etc, 1.392000000E-06
0,12,comm, 7.719600000E-05
0,13,rhs, 1.891338000E-03
0,13,solve_z, 5.182627000E-03
0,13,solve_y, 4.726723000E-03
0,13,solve_x, 5.043229000E-03
0,13,etc, 1.362000000E-06
0,13,comm, 7.724600000E-05
0,14,rhs, 1.889826000E-03
0,14,solve_z, 5.175847000E-03
0,14,solve_y, 4.743188000E-03
0,14,solve_x, 5.043789000E-03
0,14,etc, 1.362000000E-06
0,14,comm, 7.661500000E-05
0,15,rhs, 1.894102000E-03
0,15,solve_z, 5.172583000E-03
0,15,solve_y, 4.716137000E-03
0,15,solve_x, 5.038922000E-03
0,15,etc, 1.382000000E-06
0,15,comm, 7.582400000E-05
0,16,rhs, 1.894303000E-03
0,16,solve_z, 5.177750000E-03
0,16,solve_y, 4.731840000E-03
0,16,solve_x, 5.073413000E-03
0,16,etc, 1.402000000E-06
0,16,comm, 7.725600000E-05
0,17,rhs, 1.904599000E-03
0,17,solve_z, 5.180183000E-03
0,17,solve_y, 4.723939000E-03
0,17,solve_x, 5.066583000E-03
0,17,etc, 1.382000000E-06
0,17,comm, 7.455200000E-05
0,18,rhs, 1.893241000E-03
0,18,solve_z, 5.178662000E-03
0,18,solve_y, 4.722947000E-03
0,18,solve_x, 5.073854000E-03
0,18,etc, 1.402000000E-06
0,18,comm, 7.669500000E-05
0,19,rhs, 1.893131000E-03
0,19,solve_z, 5.175957000E-03
0,19,solve_y, 4.742597000E-03
0,19,solve_x, 5.045892000E-03
0,19,etc, 1.392000000E-06
0,19,comm, 7.801700000E-05
0,20,rhs, 1.898730000E-03
0,20,solve_z, 5.181195000E-03
0,20,solve_y, 4.725111000E-03
0,20,solve_x, 5.040945000E-03
0,20,etc, 1.392000000E-06
0,20,comm, 7.521300000E-05
1,1,rhs, 1.893381000E-03
1,1,solve_z, 5.173494000E-03
1,1,solve_y, 4.731240000E-03
1,1,solve_x, 5.064190000E-03
1,1,etc, 1.462000000E-06
