study,case,np,backend,rho,grid,cells,wall_per_step_s,rhs,solve_x,solve_y,solve_z,comm
refine,128x128x128,2,filtered_v2,025,129x129x129,2146689,0.00047449347368421055,2.3436736842105263e-05,0.0001210032105263158,0.00012148615789473686,0.00016571331578947368,4.139252631578947e-05
refine,128x128x128,2,filtered_v2,040,129x129x129,2146689,0.00048477705263157893,2.3526315789473687e-05,0.00012099473684210526,0.00012184136842105265,0.00017585505263157893,4.108478947368421e-05
refine,128x128x128,2,pascal,025,129x129x129,2146689,0.0005214965263157895,2.3719473684210526e-05,0.0001160435263157895,0.00011663873684210527,0.00022149663157894733,4.209852631578947e-05
refine,128x128x128,2,pascal,040,129x129x129,2146689,0.0005211548947368421,2.3707578947368424e-05,0.00011682673684210528,0.00011656284210526314,0.00022008547368421053,4.245426315789474e-05
refine,128x128x256,2,filtered_v2,025,129x129x257,4276737,0.0007221845263157896,3.8525e-05,0.00016806589473684208,0.00016241278947368422,0.00030984668421052636,4.185826315789473e-05
refine,128x128x256,2,filtered_v2,040,129x129x257,4276737,0.0007402478947368421,3.8474684210526314e-05,0.0001687101052631579,0.00016367552631578946,0.00032586110526315793,4.2038894736842104e-05
refine,128x128x256,2,pascal,025,129x129x257,4276737,0.0007954901578947368,3.8553631578947366e-05,0.000161492,0.00015543015789473686,0.00039532110526315786,4.318736842105263e-05
refine,128x128x256,2,pascal,040,129x129x257,4276737,0.0007942151578947369,3.882568421052632e-05,0.000161067,0.00015626821052631577,0.00039310647368421045,4.3443473684210526e-05
refine,128x128x512,2,filtered_v2,025,129x129x513,8536833,0.001120770789473684,6.812636842105264e-05,0.0002476828421052632,0.00023318005263157893,0.0005272232105263157,4.307663157894736e-05
refine,128x128x512,2,filtered_v2,040,129x129x513,8536833,0.0011469445789473686,6.805215789473683e-05,0.0002475305263157895,0.00023319894736842107,0.0005539271578947368,4.275994736842105e-05
refine,128x128x512,2,pascal,025,129x129x513,8536833,0.001267781157894737,6.824600000000001e-05,0.000244275,0.00022983184210526318,0.0006793395263157895,4.458042105263158e-05
refine,128x128x512,2,pascal,040,129x129x513,8536833,0.001263806157894737,6.809752631578949e-05,0.00024494610526315795,0.00022971484210526313,0.0006753492105263159,4.417563157894736e-05
refine,256x256x1024,2,filtered_v2,025,257x257x1025,67700225,0.004592814842105263,0.0004810585789473684,0.0012699905789473685,0.0011824556315789471,0.0016020995263157894,5.569247368421053e-05
refine,256x256x1024,2,filtered_v2,040,257x257x1025,67700225,0.004646131368421053,0.00048074947368421055,0.0012669097368421054,0.0011825501052631579,0.001660105736842105,5.4336894736842094e-05
refine,256x256x1024,2,pascal,025,257x257x1025,67700225,0.005088605263157894,0.0004818162105263157,0.0012654144736842104,0.0011795892631578948,0.0021046411578947368,5.564726315789473e-05
refine,256x256x1024,2,pascal,040,257x257x1025,67700225,0.005110759157894737,0.00048112363157894726,0.0012666694736842106,0.001178516,0.002125054421052632,5.789494736842105e-05
refine,256x256x256,2,filtered_v2,025,257x257x257,16974593,0.001674522263157895,0.00012960321052631575,0.0004856297368421053,0.0004631961578947369,0.0005485142105263157,4.610563157894737e-05
refine,256x256x256,2,filtered_v2,040,257x257x257,16974593,0.0017190544210526316,0.0001293034736842105,0.00048620499999999997,0.0004627576842105263,0.0005935368947368421,4.5777e-05
refine,256x256x256,2,pascal,025,257x257x257,16974593,0.0017578865789473683,0.00012944584210526316,0.0004821862105263159,0.0004587752631578947,0.0006385863157894736,4.738705263157895e-05
refine,256x256x256,2,pascal,040,257x257x257,16974593,0.0017571127368421055,0.00012950973684210524,0.00048337605263157893,0.00045913805263157894,0.0006362211578947369,4.7361105263157893e-05
refine,256x256x512,2,filtered_v2,025,257x257x513,33883137,0.002614451263157895,0.0002479284210526316,0.000730028157894737,0.0006845171578947368,0.0009016953684210527,4.8821052631578944e-05
refine,256x256x512,2,filtered_v2,040,257x257x513,33883137,0.002664045210526316,0.0002476964210526316,0.0007297873684210526,0.000685130842105263,0.000951004,4.894763157894736e-05
