# grid=257x257x1025, np=2 (1,1,2), dt= 1.526E-05, Nt=30, solver_kind=filtered_v2
rank,t_step,event,time_sec
0,1,rhs, 1.660415000E-03
0,1,solve_z, 6.281528000E-03
0,1,solve_y, 5.955580000E-03
0,1,solve_x, 6.043420000E-03
0,1,etc, 1.770000000E-06
0,1,comm, 9.893700000E-05
0,2,rhs, 1.658778000E-03
0,2,solve_z, 6.271690000E-03
0,2,solve_y, 5.991018000E-03
0,2,solve_x, 6.045044000E-03
0,2,etc, 1.766000000E-06
0,2,comm, 8.585100000E-05
0,3,rhs, 1.654418000E-03
0,3,solve_z, 6.262932000E-03
0,3,solve_y, 5.986775000E-03
0,3,solve_x, 6.038593000E-03
0,3,etc, 1.736000000E-06
0,3,comm, 7.517000000E-05
0,4,rhs, 1.656413000E-03
0,4,solve_z, 6.276356000E-03
0,4,solve_y, 5.980130000E-03
0,4,solve_x, 6.028975000E-03
0,4,etc, 1.760000000E-06
0,4,comm, 7.630400000E-05
0,5,rhs, 1.658122000E-03
0,5,solve_z, 6.285125000E-03
0,5,solve_y, 5.983552000E-03
0,5,solve_x, 6.051425000E-03
0,5,etc, 1.697000000E-06
0,5,comm, 7.443100000E-05
0,6,rhs, 1.656778000E-03
0,6,solve_z, 6.277959000E-03
0,6,solve_y, 5.977170000E-03
0,6,solve_x, 6.025413000E-03
0,6,etc, 1.820000000E-06
0,6,comm, 7.872500000E-05
0,7,rhs, 1.651960000E-03
0,7,solve_z, 6.286746000E-03
0,7,solve_y, 5.971346000E-03
0,7,solve_x, 6.036438000E-03
0,7,etc, 1.666000000E-06
0,7,comm, 8.272100000E-05
0,8,rhs, 1.655170000E-03
0,8,solve_z, 6.307216000E-03
0,8,solve_y, 6.005812000E-03
0,8,solve_x, 6.041112000E-03
0,8,etc, 1.787000000E-06
0,8,comm, 8.114500000E-05
0,9,rhs, 1.657250000E-03
0,9,solve_z, 6.274234000E-03
0,9,solve_y, 5.980040000E-03
0,9,solve_x, 6.030384000E-03
0,9,etc, 1.865000000E-06
0,9,comm, 7.824600000E-05
0,10,rhs, 1.655688000E-03
0,10,solve_z, 6.278582000E-03
0,10,solve_y, 5.982978000E-03
0,10,solve_x, 6.036975000E-03
0,10,etc, 1.738000000E-06
0,10,comm, 7.384300000E-05
0,11,rhs, 1.656471000E-03
