# grid=65x65x65, np=2 (1,1,2), dt= 9.766E-04, Nt=30, solver_kind=pascal
rank,t_step,event,time_sec
0,1,rhs, 1.495200000E-05
0,1,solve_z, 3.204790000E-04
0,1,solve_y, 5.664800000E-05
0,1,solve_x, 5.720300000E-05
0,1,etc, 1.615000000E-06
0,1,comm, 4.333200000E-05
0,2,rhs, 1.576600000E-05
0,2,solve_z, 3.226290000E-04
0,2,solve_y, 5.642600000E-05
0,2,solve_x, 5.711600000E-05
0,2,etc, 1.673000000E-06
0,2,comm, 5.146500000E-05
0,3,rhs, 1.557200000E-05
0,3,solve_z, 3.241970000E-04
0,3,solve_y, 5.628300000E-05
0,3,solve_x, 5.703800000E-05
0,3,etc, 1.745000000E-06
0,3,comm, 4.317300000E-05
0,4,rhs, 1.529200000E-05
0,4,solve_z, 3.198010000E-04
0,4,solve_y, 5.680700000E-05
0,4,solve_x, 5.748600000E-05
0,4,etc, 1.647000000E-06
0,4,comm, 4.039900000E-05
0,5,rhs, 1.597600000E-05
0,5,solve_z, 3.299710000E-04
0,5,solve_y, 5.754900000E-05
0,5,solve_x, 5.759000000E-05
0,5,etc, 1.623000000E-06
0,5,comm, 4.096800000E-05
0,6,rhs, 1.594500000E-05
0,6,solve_z, 3.114630000E-04
0,6,solve_y, 6.122700000E-05
0,6,solve_x, 5.764500000E-05
0,6,etc, 1.615000000E-06
0,6,comm, 4.571800000E-05
0,7,rhs, 1.589400000E-05
0,7,solve_z, 3.200150000E-04
0,7,solve_y, 5.737500000E-05
0,7,solve_x, 5.785100000E-05
0,7,etc, 1.703000000E-06
0,7,comm, 4.752800000E-05
0,8,rhs, 1.510100000E-05
0,8,solve_z, 3.240480000E-04
0,8,solve_y, 5.807100000E-05
0,8,solve_x, 5.836900000E-05
0,8,etc, 1.815000000E-06
0,8,comm, 4.394800000E-05
0,9,rhs, 1.567400000E-05
0,9,solve_z, 3.313160000E-04
0,9,solve_y, 5.711700000E-05
0,9,solve_x, 5.660000000E-05
0,9,etc, 1.592000000E-06
0,9,comm, 4.273900000E-05
0,10,rhs, 1.533200000E-05
0,10,solve_z, 3.211770000E-04
0,10,solve_y, 5.714900000E-05
0,10,solve_x, 5.671300000E-05
0,10,etc, 1.564000000E-06
0,10,comm, 4.361800000E-05
0,11,rhs, 1.643700000E-05
0,11,solve_z, 3.281350000E-04
0,11,solve_y, 5.695300000E-05
0,11,solve_x, 5.702600000E-05
0,11,etc, 1.685000000E-06
0,11,comm, 4.273800000E-05
0,12,rhs, 1.596400000E-05
0,12,solve_z, 3.368000000E-04
0,12,solve_y, 5.726100000E-05
0,12,solve_x, 5.783000000E-05
0,12,etc, 1.608000000E-06
0,12,comm, 5.080500000E-05
0,13,rhs, 1.614800000E-05
0,13,solve_z, 3.366150000E-04
0,13,solve_y, 5.671800000E-05
0,13,solve_x, 5.747700000E-05
0,13,etc, 1.863000000E-06
0,13,comm, 4.542400000E-05
0,14,rhs, 1.622500000E-05
0,14,solve_z, 3.352880000E-04
0,14,solve_y, 5.728900000E-05
0,14,solve_x, 5.683600000E-05
0,14,etc, 2.183000000E-06
0,14,comm, 4.286900000E-05
0,15,rhs, 1.627700000E-05
0,15,solve_z, 3.309570000E-04
0,15,solve_y, 5.581700000E-05
0,15,solve_x, 5.732300000E-05
0,15,etc, 1.681000000E-06
0,15,comm, 4.425500000E-05
0,16,rhs, 1.615400000E-05
0,16,solve_z, 3.388070000E-04
0,16,solve_y, 5.719800000E-05
0,16,solve_x, 5.906800000E-05
0,16,etc, 1.637000000E-06
0,16,comm, 4.490600000E-05
0,17,rhs, 1.561400000E-05
0,17,solve_z, 3.325880000E-04
0,17,solve_y, 5.662100000E-05
0,17,solve_x, 5.764400000E-05
0,17,etc, 1.740000000E-06
0,17,comm, 5.263400000E-05
0,18,rhs, 1.535000000E-05
0,18,solve_z, 3.341040000E-04
0,18,solve_y, 5.638100000E-05
0,18,solve_x, 5.648500000E-05
0,18,etc, 1.639000000E-06
0,18,comm, 5.081500000E-05
0,19,rhs, 1.567500000E-05
0,19,solve_z, 3.286540000E-04
0,19,solve_y, 5.617600000E-05
0,19,solve_x, 5.766400000E-05
