# grid=129x129x1025, np=4 (1,1,4), dt= 1.526E-05, Nt=30, solver_kind=pascal
rank,t_step,event,time_sec
0,1,rhs, 2.078780000E-04
0,1,solve_z, 1.800151000E-03
0,1,solve_y, 7.739800000E-04
0,1,solve_x, 7.880770000E-04
0,1,etc, 1.851000000E-06
0,1,comm, 9.477900000E-05
0,2,rhs, 2.080070000E-04
0,2,solve_z, 1.781916000E-03
0,2,solve_y, 7.734650000E-04
0,2,solve_x, 7.873150000E-04
0,2,etc, 1.820000000E-06
0,2,comm, 9.075500000E-05
0,3,rhs, 2.072290000E-04
0,3,solve_z, 1.734190000E-03
0,3,solve_y, 7.630830000E-04
0,3,solve_x, 7.976220000E-04
0,3,etc, 1.971000000E-06
0,3,comm, 8.940400000E-05
0,4,rhs, 2.078980000E-04
0,4,solve_z, 1.765077000E-03
0,4,solve_y, 7.700250000E-04
0,4,solve_x, 7.968390000E-04
0,4,etc, 1.760000000E-06
0,4,comm, 8.592700000E-05
0,5,rhs, 2.073290000E-04
0,5,solve_z, 1.768182000E-03
0,5,solve_y, 7.682320000E-04
0,5,solve_x, 7.945550000E-04
0,5,etc, 1.907000000E-06
0,5,comm, 9.047900000E-05
0,6,rhs, 2.081370000E-04
0,6,solve_z, 1.775535000E-03
0,6,solve_y, 7.803150000E-04
0,6,solve_x, 7.939380000E-04
0,6,etc, 2.162000000E-06
0,6,comm, 9.563800000E-05
0,7,rhs, 2.073270000E-04
0,7,solve_z, 1.753046000E-03
0,7,solve_y, 7.681890000E-04
0,7,solve_x, 7.863780000E-04
0,7,etc, 1.778000000E-06
0,7,comm, 9.004100000E-05
0,8,rhs, 2.088510000E-04
0,8,solve_z, 1.753030000E-03
0,8,solve_y, 7.646030000E-04
0,8,solve_x, 7.954820000E-04
0,8,etc, 2.027000000E-06
0,8,comm, 8.836600000E-05
0,9,rhs, 2.076860000E-04
0,9,solve_z, 1.768867000E-03
0,9,solve_y, 7.771330000E-04
0,9,solve_x, 7.990240000E-04
0,9,etc, 2.015000000E-06
0,9,comm, 9.761900000E-05
0,10,rhs, 2.083140000E-04
0,10,solve_z, 1.761526000E-03
0,10,solve_y, 7.753110000E-04
0,10,solve_x, 7.965050000E-04
0,10,etc, 1.805000000E-06
0,10,comm, 9.021400000E-05
0,11,rhs, 2.073380000E-04
0,11,solve_z, 1.770371000E-03
0,11,solve_y, 7.637790000E-04
0,11,solve_x, 7.960920000E-04
0,11,etc, 1.791000000E-06
0,11,comm, 9.856200000E-05
0,12,rhs, 2.072850000E-04
0,12,solve_z, 1.772722000E-03
0,12,solve_y, 7.627080000E-04
0,12,solve_x, 7.916110000E-04
0,12,etc, 1.775000000E-06
0,12,comm, 9.344700000E-05
0,13,rhs, 2.073890000E-04
0,13,solve_z, 1.739145000E-03
0,13,solve_y, 7.723480000E-04
0,13,solve_x, 7.894360000E-04
0,13,etc, 1.815000000E-06
0,13,comm, 9.483700000E-05
0,14,rhs, 2.083300000E-04
0,14,solve_z, 1.759385000E-03
0,14,solve_y, 7.732830000E-04
0,14,solve_x, 7.904820000E-04
0,14,etc, 1.894000000E-06
0,14,comm, 8.648600000E-05
0,15,rhs, 2.079940000E-04
0,15,solve_z, 1.754629000E-03
0,15,solve_y, 7.648140000E-04
0,15,solve_x, 7.921160000E-04
0,15,etc, 1.899000000E-06
0,15,comm, 8.128800000E-05
0,16,rhs, 2.079310000E-04
0,16,solve_z, 1.734535000E-03
0,16,solve_y, 7.751470000E-04
0,16,solve_x, 7.939560000E-04
0,16,etc, 1.829000000E-06
0,16,comm, 8.171900000E-05
0,17,rhs, 2.075960000E-04
0,17,solve_z, 1.764164000E-03
0,17,solve_y, 7.807070000E-04
0,17,solve_x, 7.876700000E-04
