# grid=257x257x2049, np=1 (1,1,1), dt= 3.815E-06, Nt=30, solver_kind=filtered_v2
rank,t_step,event,time_sec
0,1,rhs, 6.605572000E-03
0,1,solve_z, 2.212989700E-02
0,1,solve_y, 3.016910900E-02
0,1,solve_x, 2.866885000E-02
0,1,etc, 1.483000000E-06
0,1,comm, 3.400000000E-06
0,2,rhs, 6.606373000E-03
0,2,solve_z, 2.229498300E-02
0,2,solve_y, 3.037429900E-02
0,2,solve_x, 2.838352300E-02
0,2,etc, 1.475000000E-06
0,2,comm, 3.181000000E-06
0,3,rhs, 6.597237000E-03
0,3,solve_z, 2.233206300E-02
0,3,solve_y, 2.982172100E-02
0,3,solve_x, 2.836709300E-02
0,3,etc, 1.358000000E-06
0,3,comm, 2.835000000E-06
0,4,rhs, 6.595393000E-03
0,4,solve_z, 2.233257700E-02
0,4,solve_y, 3.012701500E-02
0,4,solve_x, 2.866164200E-02
0,4,etc, 1.467000000E-06
0,4,comm, 2.609000000E-06
0,5,rhs, 6.601161000E-03
0,5,solve_z, 2.236192700E-02
0,5,solve_y, 3.005715900E-02
0,5,solve_x, 2.832229800E-02
0,5,etc, 1.385000000E-06
0,5,comm, 2.527000000E-06
0,6,rhs, 6.600191000E-03
0,6,solve_z, 2.216969200E-02
0,6,solve_y, 2.996473100E-02
0,6,solve_x, 2.871668000E-02
0,6,etc, 1.446000000E-06
0,6,comm, 2.431000000E-06
0,7,rhs, 6.603494000E-03
0,7,solve_z, 2.230631300E-02
0,7,solve_y, 3.003651700E-02
0,7,solve_x, 2.835042500E-02
0,7,etc, 1.514000000E-06
0,7,comm, 2.567000000E-06
0,8,rhs, 6.596287000E-03
0,8,solve_z, 2.227542900E-02
0,8,solve_y, 3.100139100E-02
0,8,solve_x, 2.825345800E-02
0,8,etc, 1.485000000E-06
0,8,comm, 2.412000000E-06
0,9,rhs, 6.595120000E-03
0,9,solve_z, 2.233735000E-02
0,9,solve_y, 3.012235500E-02
0,9,solve_x, 2.870497000E-02
0,9,etc, 1.451000000E-06
0,9,comm, 2.369000000E-06
0,10,rhs, 6.596944000E-03
0,10,solve_z, 2.217701400E-02
0,10,solve_y, 3.113839600E-02
0,10,solve_x, 2.838624400E-02
0,10,etc, 1.374000000E-06
0,10,comm, 2.281000000E-06
0,11,rhs, 6.610160000E-03
0,11,solve_z, 2.228077700E-02
0,11,solve_y, 3.087090100E-02
0,11,solve_x, 2.830450800E-02
0,11,etc, 2.717000000E-06
0,11,comm, 3.123000000E-06
0,12,rhs, 6.602590000E-03
0,12,solve_z, 2.227784100E-02
0,12,solve_y, 3.041391900E-02
0,12,solve_x, 2.839265900E-02
0,12,etc, 1.396000000E-06
0,12,comm, 2.749000000E-06
0,13,rhs, 6.598552000E-03
0,13,solve_z, 2.227757900E-02
0,13,solve_y, 3.020903400E-02
0,13,solve_x, 2.821619300E-02
0,13,etc, 1.520000000E-06
0,13,comm, 2.591000000E-06
0,14,rhs, 6.598055000E-03
0,14,solve_z, 2.216493600E-02
0,14,solve_y, 3.026620000E-02
0,14,solve_x, 2.832820100E-02
0,14,etc, 1.429000000E-06
0,14,comm, 3.956000000E-06
0,15,rhs, 6.602655000E-03
0,15,solve_z, 2.227905800E-02
0,15,solve_y, 3.013051500E-02
0,15,solve_x, 2.831529800E-02
0,15,etc, 1.478000000E-06
0,15,comm, 2.694000000E-06
0,16,rhs, 6.604214000E-03
0,16,solve_z, 2.222247700E-02
0,16,solve_y, 3.014855700E-02
0,16,solve_x, 2.841695200E-02
0,16,etc, 2.550000000E-06
0,16,comm, 2.735000000E-06
0,17,rhs, 6.600694000E-03
0,17,solve_z, 2.214541800E-02
0,17,solve_y, 3.031874600E-02
0,17,solve_x, 2.849042300E-02
0,17,etc, 1.342000000E-06
0,17,comm, 2.870000000E-06
0,18,rhs, 6.599403000E-03
0,18,solve_z, 2.223382800E-02
0,18,solve_y, 3.013344000E-02
0,18,solve_x, 2.833581300E-02
0,18,etc, 1.405000000E-06
0,18,comm, 2.157000000E-06
0,19,rhs, 6.595865000E-03
0,19,solve_z, 2.230598700E-02
0,19,solve_y, 3.052161200E-02
0,19,solve_x, 2.869474200E-02
0,19,etc, 1.348000000E-06
0,19,comm, 2.567000000E-06
0,20,rhs, 6.595271000E-03
0,20,solve_z, 2.227498300E-02
0,20,solve_y, 3.039422000E-02
0,20,solve_x, 2.845855600E-02
0,20,etc, 1.393000000E-06
0,20,comm, 2.958000000E-06
