# grid=129x129x129, np=1 (1,1,1), dt= 9.766E-04, Nt=30, solver_kind=pascal
rank,t_step,event,time_sec
0,1,rhs, 1.111440000E-04
0,1,solve_z, 4.276670000E-04
0,1,solve_y, 4.422560000E-04
0,1,solve_x, 4.419120000E-04
0,1,etc, 1.352000000E-06
0,1,comm, 1.844000000E-06
0,2,rhs, 1.121130000E-04
0,2,solve_z, 4.271630000E-04
0,2,solve_y, 4.412110000E-04
0,2,solve_x, 4.449350000E-04
0,2,etc, 1.387000000E-06
0,2,comm, 1.850000000E-06
0,3,rhs, 1.113400000E-04
0,3,solve_z, 4.318760000E-04
0,3,solve_y, 4.369590000E-04
0,3,solve_x, 4.424660000E-04
0,3,etc, 1.371000000E-06
0,3,comm, 1.615000000E-06
0,4,rhs, 1.108250000E-04
0,4,solve_z, 4.304550000E-04
0,4,solve_y, 4.368650000E-04
0,4,solve_x, 4.411430000E-04
0,4,etc, 1.620000000E-06
0,4,comm, 1.666000000E-06
0,5,rhs, 1.098010000E-04
0,5,solve_z, 4.274520000E-04
0,5,solve_y, 4.431650000E-04
0,5,solve_x, 4.403560000E-04
0,5,etc, 1.356000000E-06
0,5,comm, 1.885000000E-06
0,6,rhs, 1.103160000E-04
0,6,solve_z, 4.336470000E-04
0,6,solve_y, 4.421550000E-04
0,6,solve_x, 4.405120000E-04
0,6,etc, 1.355000000E-06
0,6,comm, 1.524000000E-06
0,7,rhs, 1.089140000E-04
0,7,solve_z, 4.294580000E-04
0,7,solve_y, 4.372540000E-04
0,7,solve_x, 4.407730000E-04
0,7,etc, 1.374000000E-06
0,7,comm, 1.985000000E-06
0,8,rhs, 1.103360000E-04
0,8,solve_z, 4.264590000E-04
0,8,solve_y, 4.399510000E-04
0,8,solve_x, 4.432280000E-04
0,8,etc, 1.355000000E-06
0,8,comm, 1.578000000E-06
0,9,rhs, 1.106790000E-04
0,9,solve_z, 4.408330000E-04
0,9,solve_y, 4.366280000E-04
0,9,solve_x, 4.391410000E-04
0,9,etc, 1.368000000E-06
0,9,comm, 1.563000000E-06
0,10,rhs, 1.103890000E-04
0,10,solve_z, 4.255150000E-04
0,10,solve_y, 4.426020000E-04
0,10,solve_x, 4.393960000E-04
0,10,etc, 1.372000000E-06
0,10,comm, 1.546000000E-06
0,11,rhs, 1.102900000E-04
0,11,solve_z, 4.307100000E-04
0,11,solve_y, 4.378020000E-04
0,11,solve_x, 4.416370000E-04
0,11,etc, 1.364000000E-06
0,11,comm, 1.514000000E-06
0,12,rhs, 1.106040000E-04
0,12,solve_z, 4.263940000E-04
0,12,solve_y, 4.369910000E-04
0,12,solve_x, 4.400130000E-04
0,12,etc, 1.350000000E-06
0,12,comm, 1.539000000E-06
0,13,rhs, 1.094460000E-04
0,13,solve_z, 4.340030000E-04
0,13,solve_y, 4.353020000E-04
0,13,solve_x, 4.421990000E-04
0,13,etc, 1.356000000E-06
0,13,comm, 1.524000000E-06
0,14,rhs, 1.111740000E-04
0,14,solve_z, 4.306020000E-04
0,14,solve_y, 4.413630000E-04
0,14,solve_x, 4.377080000E-04
0,14,etc, 1.373000000E-06
0,14,comm, 1.803000000E-06
0,15,rhs, 1.105750000E-04
0,15,solve_z, 4.285500000E-04
0,15,solve_y, 4.416430000E-04
0,15,solve_x, 4.440990000E-04
0,15,etc, 1.400000000E-06
0,15,comm, 1.502000000E-06
0,16,rhs, 1.103390000E-04
0,16,solve_z, 4.304670000E-04
0,16,solve_y, 4.393270000E-04
0,16,solve_x, 4.410910000E-04
0,16,etc, 1.401000000E-06
0,16,comm, 1.646000000E-06
0,17,rhs, 1.117000000E-04
0,17,solve_z, 4.278040000E-04
0,17,solve_y, 4.368030000E-04
0,17,solve_x, 4.432630000E-04
0,17,etc, 1.490000000E-06
0,17,comm, 1.628000000E-06
0,18,rhs, 1.112730000E-04
0,18,solve_z, 4.328000000E-04
0,18,solve_y, 4.393690000E-04
0,18,solve_x, 4.425820000E-04
0,18,etc, 1.353000000E-06
0,18,comm, 1.586000000E-06
0,19,rhs, 1.120260000E-04
0,19,solve_z, 4.275690000E-04
0,19,solve_y, 4.418980000E-04
0,19,solve_x, 4.418910000E-04
0,19,etc, 1.480000000E-06
0,19,comm, 1.852000000E-06
0,20,rhs, 1.101190000E-04
0,20,solve_z, 4.305540000E-04
0,20,solve_y, 4.347630000E-04
0,20,solve_x, 4.401280000E-04
0,20,etc, 1.366000000E-06
0,20,comm, 1.708000000E-06
