# grid=513x513x2049, np=4 (1,1,4), dt= 3.815E-06, Nt=30, solver_kind=filtered_v2
rank,t_step,event,time_sec
0,1,rhs, 7.251690000E-03
0,1,solve_z, 2.934668500E-02
0,1,solve_y, 3.460870800E-02
0,1,solve_x, 3.010513900E-02
0,1,etc, 1.710000000E-06
0,1,comm, 1.922610000E-04
0,2,rhs, 7.260569000E-03
0,2,solve_z, 2.931476900E-02
0,2,solve_y, 3.316902500E-02
0,2,solve_x, 3.037966800E-02
0,2,etc, 1.966000000E-06
0,2,comm, 1.866310000E-04
0,3,rhs, 7.239175000E-03
0,3,solve_z, 2.915533200E-02
0,3,solve_y, 3.312545500E-02
0,3,solve_x, 2.934662000E-02
0,3,etc, 1.772000000E-06
0,3,comm, 1.801350000E-04
0,4,rhs, 7.258659000E-03
0,4,solve_z, 2.930626400E-02
0,4,solve_y, 3.403524900E-02
0,4,solve_x, 2.926644100E-02
0,4,etc, 1.809000000E-06
0,4,comm, 1.735590000E-04
0,5,rhs, 7.258181000E-03
0,5,solve_z, 2.929080200E-02
0,5,solve_y, 3.315072200E-02
0,5,solve_x, 3.035526300E-02
0,5,etc, 1.727000000E-06
0,5,comm, 1.747890000E-04
0,6,rhs, 7.258113000E-03
0,6,solve_z, 2.941058700E-02
0,6,solve_y, 3.318276600E-02
0,6,solve_x, 3.029306900E-02
0,6,etc, 1.861000000E-06
0,6,comm, 1.759990000E-04
0,7,rhs, 7.259444000E-03
0,7,solve_z, 2.937156900E-02
0,7,solve_y, 3.304837500E-02
0,7,solve_x, 2.944542100E-02
0,7,etc, 1.714000000E-06
0,7,comm, 1.728810000E-04
0,8,rhs, 7.241327000E-03
0,8,solve_z, 2.938372800E-02
0,8,solve_y, 3.320444900E-02
0,8,solve_x, 2.947156800E-02
0,8,etc, 1.863000000E-06
0,8,comm, 2.366800000E-04
0,9,rhs, 7.266499000E-03
0,9,solve_z, 2.931547700E-02
0,9,solve_y, 3.453764900E-02
0,9,solve_x, 2.945303100E-02
0,9,etc, 2.236000000E-06
0,9,comm, 1.883740000E-04
