# grid=257x257x513, np=2 (1,1,2), dt= 1.526E-05, Nt=30, solver_kind=filtered_v2
rank,t_step,event,time_sec
0,1,rhs, 8.322990000E-04
0,1,solve_z, 5.418964000E-03
0,1,solve_y, 2.890005000E-03
0,1,solve_x, 2.992462000E-03
0,1,etc, 1.511000000E-06
0,1,comm, 5.987600000E-05
0,2,rhs, 8.368130000E-04
0,2,solve_z, 5.160110000E-03
0,2,solve_y, 2.885748000E-03
0,2,solve_x, 2.972351000E-03
0,2,etc, 1.644000000E-06
0,2,comm, 6.624100000E-05
0,3,rhs, 8.367650000E-04
0,3,solve_z, 5.168908000E-03
0,3,solve_y, 2.887166000E-03
0,3,solve_x, 2.978894000E-03
0,3,etc, 1.597000000E-06
0,3,comm, 6.097500000E-05
0,4,rhs, 8.386450000E-04
0,4,solve_z, 5.168903000E-03
0,4,solve_y, 2.897397000E-03
0,4,solve_x, 2.984115000E-03
0,4,etc, 1.549000000E-06
0,4,comm, 6.028600000E-05
0,5,rhs, 8.368200000E-04
0,5,solve_z, 5.169771000E-03
0,5,solve_y, 2.906996000E-03
0,5,solve_x, 2.982099000E-03
0,5,etc, 1.549000000E-06
0,5,comm, 6.055900000E-05
0,6,rhs, 8.364690000E-04
0,6,solve_z, 5.177455000E-03
0,6,solve_y, 2.879666000E-03
0,6,solve_x, 2.995619000E-03
0,6,etc, 1.495000000E-06
0,6,comm, 6.052700000E-05
0,7,rhs, 8.412300000E-04
0,7,solve_z, 5.207944000E-03
0,7,solve_y, 2.900334000E-03
0,7,solve_x, 2.982326000E-03
0,7,etc, 1.523000000E-06
0,7,comm, 5.953900000E-05
0,8,rhs, 8.336610000E-04
0,8,solve_z, 5.150994000E-03
0,8,solve_y, 2.886055000E-03
0,8,solve_x, 2.980222000E-03
0,8,etc, 1.519000000E-06
0,8,comm, 6.130300000E-05
0,9,rhs, 8.383590000E-04
0,9,solve_z, 5.179756000E-03
0,9,solve_y, 2.892138000E-03
0,9,solve_x, 2.983968000E-03
0,9,etc, 1.491000000E-06
0,9,comm, 6.019900000E-05
0,10,rhs, 8.356810000E-04
0,10,solve_z, 5.169127000E-03
0,10,solve_y, 2.879415000E-03
0,10,solve_x, 2.988004000E-03
0,10,etc, 1.481000000E-06
0,10,comm, 5.964700000E-05
0,11,rhs, 8.345660000E-04
0,11,solve_z, 5.160200000E-03
0,11,solve_y, 2.887022000E-03
0,11,solve_x, 2.979987000E-03
0,11,etc, 1.472000000E-06
0,11,comm, 6.353800000E-05
0,12,rhs, 8.378440000E-04
0,12,solve_z, 5.173280000E-03
0,12,solve_y, 2.903974000E-03
0,12,solve_x, 2.977105000E-03
0,12,etc, 1.474000000E-06
0,12,comm, 6.238400000E-05
0,13,rhs, 8.348380000E-04
0,13,solve_z, 5.179264000E-03
0,13,solve_y, 2.895575000E-03
0,13,solve_x, 2.992639000E-03
0,13,etc, 1.451000000E-06
0,13,comm, 6.513100000E-05
0,14,rhs, 8.385430000E-04
0,14,solve_z, 5.158128000E-03
0,14,solve_y, 2.886855000E-03
0,14,solve_x, 2.983227000E-03
0,14,etc, 1.471000000E-06
0,14,comm, 1.408380000E-04
0,15,rhs, 8.357900000E-04
0,15,solve_z, 5.167460000E-03
0,15,solve_y, 2.888458000E-03
0,15,solve_x, 2.981832000E-03
0,15,etc, 1.446000000E-06
0,15,comm, 6.142900000E-05
0,16,rhs, 8.360750000E-04
0,16,solve_z, 5.167484000E-03
0,16,solve_y, 2.903240000E-03
0,16,solve_x, 2.986027000E-03
0,16,etc, 1.489000000E-06
0,16,comm, 5.952800000E-05
0,17,rhs, 8.352180000E-04
0,17,solve_z, 5.141085000E-03
0,17,solve_y, 2.895635000E-03
0,17,solve_x, 2.980333000E-03
0,17,etc, 1.476000000E-06
0,17,comm, 6.065800000E-05
0,18,rhs, 8.353770000E-04
0,18,solve_z, 5.155899000E-03
0,18,solve_y, 2.900624000E-03
0,18,solve_x, 2.979080000E-03
0,18,etc, 1.462000000E-06
0,18,comm, 6.043900000E-05
0,19,rhs, 8.351530000E-04
0,19,solve_z, 5.186411000E-03
0,19,solve_y, 2.885487000E-03
0,19,solve_x, 2.973479000E-03
0,19,etc, 1.479000000E-06
0,19,comm, 6.017900000E-05
0,20,rhs, 8.349570000E-04
0,20,solve_z, 5.164207000E-03
0,20,solve_y, 2.913853000E-03
0,20,solve_x, 2.989529000E-03
0,20,etc, 1.488000000E-06
0,20,comm, 5.896100000E-05
1,1,rhs, 8.369980000E-04
1,1,solve_z, 5.404224000E-03
1,1,solve_y, 2.888246000E-03
1,1,solve_x, 2.989877000E-03
1,1,etc, 1.468000000E-06
1,1,comm, 6.025100000E-05
1,2,rhs, 8.343500000E-04
1,2,solve_z, 5.153880000E-03
1,2,solve_y, 2.903388000E-03
1,2,solve_x, 2.976441000E-03
1,2,etc, 1.577000000E-06
1,2,comm, 6.554800000E-05
1,3,rhs, 8.361830000E-04
1,3,solve_z, 5.155001000E-03
1,3,solve_y, 2.897479000E-03
1,3,solve_x, 2.988257000E-03
1,3,etc, 1.578000000E-06
1,3,comm, 5.928600000E-05
1,4,rhs, 8.386200000E-04
1,4,solve_z, 5.176986000E-03
1,4,solve_y, 2.897960000E-03
1,4,solve_x, 2.982312000E-03
1,4,etc, 1.497000000E-06
1,4,comm, 6.007700000E-05
1,5,rhs, 8.384570000E-04
1,5,solve_z, 5.161151000E-03
1,5,solve_y, 2.887535000E-03
1,5,solve_x, 2.980133000E-03
1,5,etc, 1.472000000E-06
1,5,comm, 6.025200000E-05
1,6,rhs, 8.354540000E-04
1,6,solve_z, 5.167640000E-03
1,6,solve_y, 2.904106000E-03
1,6,solve_x, 2.980357000E-03
1,6,etc, 1.495000000E-06
1,6,comm, 6.022600000E-05
1,7,rhs, 8.408860000E-04
1,7,solve_z, 5.195434000E-03
1,7,solve_y, 2.914210000E-03
1,7,solve_x, 2.981146000E-03
1,7,etc, 1.462000000E-06
1,7,comm, 5.906000000E-05
1,8,rhs, 8.369670000E-04
1,8,solve_z, 5.160047000E-03
1,8,solve_y, 2.885321000E-03
1,8,solve_x, 2.989334000E-03
1,8,etc, 1.471000000E-06
1,8,comm, 6.028500000E-05
1,9,rhs, 8.355110000E-04
1,9,solve_z, 5.157979000E-03
1,9,solve_y, 2.911004000E-03
1,9,solve_x, 2.972852000E-03
1,9,etc, 1.496000000E-06
1,9,comm, 6.018100000E-05
1,10,rhs, 8.361670000E-04
1,10,solve_z, 5.161615000E-03
1,10,solve_y, 2.900882000E-03
1,10,solve_x, 2.971899000E-03
1,10,etc, 1.479000000E-06
1,10,comm, 5.991200000E-05
1,11,rhs, 8.349120000E-04
1,11,solve_z, 5.160012000E-03
1,11,solve_y, 2.897156000E-03
1,11,solve_x, 2.975466000E-03
1,11,etc, 1.478000000E-06
1,11,comm, 6.219300000E-05
1,12,rhs, 8.352200000E-04
1,12,solve_z, 5.158702000E-03
1,12,solve_y, 2.891850000E-03
1,12,solve_x, 2.978524000E-03
1,12,etc, 1.472000000E-06
1,12,comm, 6.181200000E-05
1,13,rhs, 8.358930000E-04
1,13,solve_z, 5.167373000E-03
1,13,solve_y, 2.899937000E-03
1,13,solve_x, 2.989669000E-03
1,13,etc, 1.464000000E-06
1,13,comm, 6.447100000E-05
1,14,rhs, 8.438210000E-04
1,14,solve_z, 5.162368000E-03
1,14,solve_y, 2.921131000E-03
1,14,solve_x, 2.991376000E-03
1,14,etc, 3.061000000E-06
1,14,comm, 1.462070000E-04
1,15,rhs, 8.355550000E-04
1,15,solve_z, 5.160797000E-03
1,15,solve_y, 2.901254000E-03
1,15,solve_x, 2.997229000E-03
1,15,etc, 1.522000000E-06
1,15,comm, 6.130700000E-05
1,16,rhs, 8.379240000E-04
1,16,solve_z, 5.172460000E-03
1,16,solve_y, 2.887228000E-03
1,16,solve_x, 2.987480000E-03
1,16,etc, 1.504000000E-06
1,16,comm, 5.974800000E-05
1,17,rhs, 8.368840000E-04
1,17,solve_z, 5.158130000E-03
1,17,solve_y, 2.887356000E-03
1,17,solve_x, 2.989086000E-03
1,17,etc, 1.508000000E-06
1,17,comm, 5.940800000E-05
1,18,rhs, 8.345020000E-04
1,18,solve_z, 5.157248000E-03
1,18,solve_y, 2.906887000E-03
1,18,solve_x, 2.981960000E-03
1,18,etc, 1.476000000E-06
1,18,comm, 6.045300000E-05
1,19,rhs, 8.349900000E-04
1,19,solve_z, 5.172452000E-03
1,19,solve_y, 2.905989000E-03
1,19,solve_x, 2.983502000E-03
1,19,etc, 1.463000000E-06
1,19,comm, 5.947300000E-05
1,20,rhs, 8.371720000E-04
1,20,solve_z, 5.164148000E-03
1,20,solve_y, 2.895161000E-03
1,20,solve_x, 2.992634000E-03
1,20,etc, 1.484000000E-06
1,20,comm, 5.900600000E-05
