# grid=257x257x513, np=2 (1,1,2), dt= 6.104E-05, Nt=30, solver_kind=pascal
rank,t_step,event,time_sec
0,1,rhs, 8.360590000E-04
0,1,solve_z, 4.643997000E-03
0,1,solve_y, 2.915405000E-03
0,1,solve_x, 3.000818000E-03
0,1,etc, 1.582000000E-06
0,1,comm, 6.646300000E-05
0,2,rhs, 8.363150000E-04
0,2,solve_z, 4.631384000E-03
0,2,solve_y, 2.895145000E-03
0,2,solve_x, 2.979880000E-03
0,2,etc, 1.652000000E-06
0,2,comm, 7.097700000E-05
0,3,rhs, 8.368660000E-04
0,3,solve_z, 4.639093000E-03
0,3,solve_y, 2.902176000E-03
0,3,solve_x, 2.982753000E-03
0,3,etc, 1.611000000E-06
0,3,comm, 6.775000000E-05
0,4,rhs, 8.360390000E-04
0,4,solve_z, 4.630202000E-03
0,4,solve_y, 2.873324000E-03
0,4,solve_x, 2.980879000E-03
0,4,etc, 1.613000000E-06
0,4,comm, 6.542300000E-05
0,5,rhs, 8.347020000E-04
0,5,solve_z, 4.647286000E-03
0,5,solve_y, 2.884704000E-03
0,5,solve_x, 2.970630000E-03
0,5,etc, 1.643000000E-06
0,5,comm, 6.381000000E-05
0,6,rhs, 8.369590000E-04
0,6,solve_z, 4.628496000E-03
0,6,solve_y, 2.893467000E-03
0,6,solve_x, 2.979129000E-03
0,6,etc, 1.645000000E-06
0,6,comm, 6.465900000E-05
0,7,rhs, 8.349310000E-04
0,7,solve_z, 4.621048000E-03
0,7,solve_y, 2.881460000E-03
0,7,solve_x, 2.987494000E-03
0,7,etc, 1.628000000E-06
0,7,comm, 6.415200000E-05
0,8,rhs, 8.363610000E-04
0,8,solve_z, 4.637383000E-03
0,8,solve_y, 2.885328000E-03
0,8,solve_x, 2.981564000E-03
0,8,etc, 1.596000000E-06
0,8,comm, 6.527500000E-05
0,9,rhs, 8.365610000E-04
0,9,solve_z, 4.634198000E-03
0,9,solve_y, 2.918729000E-03
0,9,solve_x, 2.976916000E-03
0,9,etc, 1.634000000E-06
0,9,comm, 6.423900000E-05
0,10,rhs, 8.386510000E-04
0,10,solve_z, 4.621356000E-03
0,10,solve_y, 2.896608000E-03
0,10,solve_x, 2.984797000E-03
0,10,etc, 1.618000000E-06
0,10,comm, 6.596600000E-05
0,11,rhs, 8.359460000E-04
0,11,solve_z, 4.639979000E-03
0,11,solve_y, 2.921623000E-03
0,11,solve_x, 2.985695000E-03
0,11,etc, 1.606000000E-06
0,11,comm, 6.513100000E-05
0,12,rhs, 8.361740000E-04
0,12,solve_z, 4.631746000E-03
0,12,solve_y, 2.890523000E-03
0,12,solve_x, 2.990754000E-03
0,12,etc, 1.587000000E-06
0,12,comm, 6.468900000E-05
0,13,rhs, 8.379660000E-04
0,13,solve_z, 4.636528000E-03
0,13,solve_y, 2.888615000E-03
0,13,solve_x, 2.981028000E-03
0,13,etc, 1.587000000E-06
0,13,comm, 6.721700000E-05
0,14,rhs, 8.344130000E-04
0,14,solve_z, 4.877669000E-03
0,14,solve_y, 2.914805000E-03
0,14,solve_x, 2.993046000E-03
0,14,etc, 1.606000000E-06
0,14,comm, 6.455600000E-05
0,15,rhs, 8.380020000E-04
0,15,solve_z, 5.256892000E-03
0,15,solve_y, 2.878938000E-03
0,15,solve_x, 2.989643000E-03
0,15,etc, 1.638000000E-06
0,15,comm, 1.034070000E-04
0,16,rhs, 8.382280000E-04
0,16,solve_z, 4.650513000E-03
0,16,solve_y, 2.896342000E-03
0,16,solve_x, 2.977598000E-03
0,16,etc, 1.714000000E-06
0,16,comm, 7.124400000E-05
0,17,rhs, 8.373990000E-04
0,17,solve_z, 4.652311000E-03
0,17,solve_y, 2.886691000E-03
0,17,solve_x, 2.985827000E-03
0,17,etc, 1.630000000E-06
0,17,comm, 6.474100000E-05
0,18,rhs, 8.342500000E-04
0,18,solve_z, 4.626531000E-03
0,18,solve_y, 2.882763000E-03
0,18,solve_x, 2.996659000E-03
0,18,etc, 1.680000000E-06
0,18,comm, 6.477700000E-05
0,19,rhs, 8.370300000E-04
0,19,solve_z, 4.633025000E-03
