# grid=257x257x2049, np=1 (1,1,1), dt= 3.815E-06, Nt=30, solver_kind=filtered_v2
rank,t_step,event,time_sec
0,1,rhs, 6.604489000E-03
0,1,solve_z, 2.239818700E-02
0,1,solve_y, 3.137727800E-02
0,1,solve_x, 2.894943800E-02
0,1,etc, 1.388000000E-06
0,1,comm, 1.436000000E-06
0,2,rhs, 6.612210000E-03
0,2,solve_z, 2.243446700E-02
0,2,solve_y, 3.070808500E-02
0,2,solve_x, 2.850271700E-02
0,2,etc, 1.391000000E-06
0,2,comm, 1.893000000E-06
0,3,rhs, 6.610741000E-03
0,3,solve_z, 2.229919900E-02
0,3,solve_y, 3.040393500E-02
0,3,solve_x, 2.853825000E-02
0,3,etc, 1.397000000E-06
0,3,comm, 2.120000000E-06
0,4,rhs, 6.609890000E-03
0,4,solve_z, 2.234223300E-02
0,4,solve_y, 3.037303900E-02
0,4,solve_x, 2.836023400E-02
0,4,etc, 1.398000000E-06
0,4,comm, 1.837000000E-06
0,5,rhs, 6.612746000E-03
0,5,solve_z, 2.239069000E-02
0,5,solve_y, 3.036726300E-02
0,5,solve_x, 2.855147700E-02
0,5,etc, 1.364000000E-06
0,5,comm, 2.518000000E-06
0,6,rhs, 6.609590000E-03
0,6,solve_z, 2.249783200E-02
0,6,solve_y, 3.141747300E-02
0,6,solve_x, 2.860687600E-02
0,6,etc, 1.381000000E-06
0,6,comm, 1.602000000E-06
0,7,rhs, 6.607732000E-03
0,7,solve_z, 2.220507100E-02
0,7,solve_y, 3.047238300E-02
0,7,solve_x, 2.856774100E-02
0,7,etc, 1.373000000E-06
0,7,comm, 1.634000000E-06
0,8,rhs, 6.622665000E-03
0,8,solve_z, 2.240205300E-02
0,8,solve_y, 3.041633400E-02
0,8,solve_x, 2.857053900E-02
0,8,etc, 3.298000000E-06
0,8,comm, 1.330600000E-05
0,9,rhs, 6.604141000E-03
0,9,solve_z, 2.243663600E-02
0,9,solve_y, 3.104405400E-02
0,9,solve_x, 2.887190500E-02
0,9,etc, 1.392000000E-06
0,9,comm, 1.706000000E-06
0,10,rhs, 6.610502000E-03
0,10,solve_z, 2.224561600E-02
0,10,solve_y, 3.017863300E-02
0,10,solve_x, 2.893994500E-02
0,10,etc, 1.401000000E-06
0,10,comm, 1.577000000E-06
0,11,rhs, 6.610201000E-03
0,11,solve_z, 2.227794900E-02
0,11,solve_y, 3.051069000E-02
0,11,solve_x, 2.845452400E-02
0,11,etc, 1.402000000E-06
0,11,comm, 1.615000000E-06
0,12,rhs, 6.611041000E-03
0,12,solve_z, 2.222486800E-02
0,12,solve_y, 3.036004200E-02
0,12,solve_x, 2.853665900E-02
0,12,etc, 1.385000000E-06
0,12,comm, 1.598000000E-06
0,13,rhs, 6.625182000E-03
0,13,solve_z, 2.232166800E-02
0,13,solve_y, 3.022559300E-02
0,13,solve_x, 2.877930700E-02
0,13,etc, 3.188000000E-06
0,13,comm, 1.313100000E-05
0,14,rhs, 6.608810000E-03
0,14,solve_z, 2.231128800E-02
0,14,solve_y, 3.159953700E-02
0,14,solve_x, 2.859867700E-02
0,14,etc, 1.466000000E-06
0,14,comm, 2.257000000E-06
0,15,rhs, 6.610153000E-03
0,15,solve_z, 2.232891600E-02
0,15,solve_y, 3.056987200E-02
0,15,solve_x, 2.857199100E-02
0,15,etc, 1.415000000E-06
0,15,comm, 1.917000001E-06
0,16,rhs, 6.612474000E-03
0,16,solve_z, 2.238825400E-02
0,16,solve_y, 3.028243300E-02
0,16,solve_x, 2.853390100E-02
0,16,etc, 1.380000000E-06
0,16,comm, 1.663000000E-06
0,17,rhs, 6.609539000E-03
0,17,solve_z, 2.246061600E-02
0,17,solve_y, 3.039422700E-02
0,17,solve_x, 2.855183400E-02
0,17,etc, 1.416000000E-06
0,17,comm, 1.687000000E-06
0,18,rhs, 6.601196000E-03
0,18,solve_z, 2.240415700E-02
0,18,solve_y, 3.062029200E-02
0,18,solve_x, 2.842071900E-02
0,18,etc, 1.393000000E-06
0,18,comm, 1.572000000E-06
0,19,rhs, 6.606217000E-03
0,19,solve_z, 2.241114600E-02
0,19,solve_y, 3.036148900E-02
0,19,solve_x, 2.855780400E-02
0,19,etc, 1.375000000E-06
0,19,comm, 1.587000000E-06
0,20,rhs, 6.613842000E-03
0,20,solve_z, 2.241435900E-02
0,20,solve_y, 3.033464700E-02
0,20,solve_x, 2.897016200E-02
0,20,etc, 2.609000000E-06
0,20,comm, 2.457000000E-06
