# grid=257x257x2049, np=1 (1,1,1), dt= 9.537E-07, Nt=30, solver_kind=pascal
rank,t_step,event,time_sec
0,1,rhs, 6.629873000E-03
0,1,solve_z, 2.245136100E-02
0,1,solve_y, 3.039774300E-02
0,1,solve_x, 2.883109300E-02
0,1,etc, 1.371000000E-06
0,1,comm, 1.882000000E-06
0,2,rhs, 6.623825000E-03
0,2,solve_z, 2.234076200E-02
0,2,solve_y, 3.021736900E-02
0,2,solve_x, 2.857310900E-02
0,2,etc, 1.430000000E-06
0,2,comm, 1.867000000E-06
0,3,rhs, 6.627270000E-03
0,3,solve_z, 2.245760100E-02
0,3,solve_y, 3.084052800E-02
0,3,solve_x, 2.861047300E-02
0,3,etc, 1.364000000E-06
0,3,comm, 1.618000000E-06
0,4,rhs, 6.630993000E-03
0,4,solve_z, 2.244699900E-02
0,4,solve_y, 3.032308900E-02
0,4,solve_x, 2.860355200E-02
0,4,etc, 1.415000000E-06
0,4,comm, 5.156000000E-06
0,5,rhs, 6.621212000E-03
0,5,solve_z, 2.227026100E-02
0,5,solve_y, 3.048297800E-02
0,5,solve_x, 2.851410600E-02
0,5,etc, 1.378000000E-06
0,5,comm, 1.610000000E-06
0,6,rhs, 6.624332000E-03
0,6,solve_z, 2.245826300E-02
0,6,solve_y, 3.031607500E-02
0,6,solve_x, 2.862165000E-02
0,6,etc, 1.360000000E-06
0,6,comm, 2.048000000E-06
0,7,rhs, 6.625445000E-03
0,7,solve_z, 2.223922100E-02
0,7,solve_y, 3.016070500E-02
0,7,solve_x, 2.864467200E-02
0,7,etc, 1.392000000E-06
0,7,comm, 1.648000000E-06
0,8,rhs, 6.651398000E-03
0,8,solve_z, 2.245031100E-02
0,8,solve_y, 3.101840500E-02
0,8,solve_x, 2.862357000E-02
0,8,etc, 1.456000000E-06
0,8,comm, 1.482600000E-05
0,9,rhs, 6.621620000E-03
0,9,solve_z, 2.229775400E-02
0,9,solve_y, 3.046376400E-02
0,9,solve_x, 2.860642300E-02
0,9,etc, 1.449000000E-06
0,9,comm, 1.771000000E-06
0,10,rhs, 6.621923000E-03
0,10,solve_z, 2.222339700E-02
0,10,solve_y, 3.110750400E-02
0,10,solve_x, 2.863111100E-02
0,10,etc, 1.365000000E-06
0,10,comm, 1.569000000E-06
0,11,rhs, 6.633311000E-03
0,11,solve_z, 2.228812900E-02
0,11,solve_y, 3.061269000E-02
0,11,solve_x, 2.894817900E-02
0,11,etc, 2.440000000E-06
0,11,comm, 2.597000000E-06
0,12,rhs, 6.626392000E-03
0,12,solve_z, 2.225941800E-02
0,12,solve_y, 3.063368000E-02
0,12,solve_x, 2.881516100E-02
0,12,etc, 1.394000000E-06
0,12,comm, 1.578000000E-06
0,13,rhs, 6.646780000E-03
0,13,solve_z, 2.232643100E-02
0,13,solve_y, 3.041568600E-02
0,13,solve_x, 2.877944700E-02
0,13,etc, 1.437000000E-06
0,13,comm, 1.396000000E-05
0,14,rhs, 6.623154000E-03
0,14,solve_z, 2.235560000E-02
0,14,solve_y, 3.043435800E-02
0,14,solve_x, 2.878795000E-02
0,14,etc, 1.382000000E-06
0,14,comm, 1.818000000E-06
0,15,rhs, 6.629115000E-03
0,15,solve_z, 2.240693400E-02
0,15,solve_y, 3.079895700E-02
0,15,solve_x, 2.876570300E-02
0,15,etc, 1.360000000E-06
0,15,comm, 1.577000000E-06
0,16,rhs, 6.627583000E-03
0,16,solve_z, 2.233478200E-02
0,16,solve_y, 3.035697600E-02
0,16,solve_x, 2.876049000E-02
0,16,etc, 1.372000000E-06
0,16,comm, 1.782000000E-06
0,17,rhs, 6.630609000E-03
0,17,solve_z, 2.231128400E-02
0,17,solve_y, 3.016333300E-02
0,17,solve_x, 2.881563200E-02
0,17,etc, 1.387000000E-06
0,17,comm, 1.709000000E-06
0,18,rhs, 6.624518000E-03
0,18,solve_z, 2.244666700E-02
0,18,solve_y, 3.039749200E-02
0,18,solve_x, 2.867615300E-02
0,18,etc, 1.366000000E-06
0,18,comm, 1.615000000E-06
0,19,rhs, 6.623756000E-03
0,19,solve_z, 2.242710600E-02
0,19,solve_y, 3.055187400E-02
0,19,solve_x, 2.856819900E-02
0,19,etc, 1.393000000E-06
0,19,comm, 1.669000000E-06
0,20,rhs, 6.625848000E-03
0,20,solve_z, 2.239148900E-02
0,20,solve_y, 3.016636700E-02
0,20,solve_x, 2.838636400E-02
0,20,etc, 1.371000000E-06
0,20,comm, 2.451000000E-06
