# grid=513x513x513, np=1 (1,1,1), dt= 6.104E-05, Nt=30, solver_kind=pascal
rank,t_step,event,time_sec
0,1,rhs, 7.274167000E-03
0,1,solve_z, 2.720895700E-02
0,1,solve_y, 3.348441200E-02
0,1,solve_x, 3.067256300E-02
0,1,etc, 2.458000000E-06
0,1,comm, 2.280000000E-06
0,2,rhs, 7.288142000E-03
0,2,solve_z, 2.724821300E-02
0,2,solve_y, 3.336804000E-02
0,2,solve_x, 2.970734800E-02
0,2,etc, 1.354000000E-06
0,2,comm, 1.887000000E-06
0,3,rhs, 7.277423000E-03
0,3,solve_z, 2.830096900E-02
0,3,solve_y, 3.507078500E-02
0,3,solve_x, 3.056049400E-02
0,3,etc, 1.378000000E-06
0,3,comm, 2.029000000E-06
0,4,rhs, 7.288081000E-03
0,4,solve_z, 2.821026800E-02
0,4,solve_y, 3.355442800E-02
0,4,solve_x, 2.974843200E-02
0,4,etc, 1.387000000E-06
0,4,comm, 1.619000000E-06
0,5,rhs, 7.269276000E-03
0,5,solve_z, 2.831285500E-02
0,5,solve_y, 3.351683500E-02
0,5,solve_x, 2.981177300E-02
0,5,etc, 1.383000000E-06
0,5,comm, 1.594000000E-06
0,6,rhs, 7.292934000E-03
0,6,solve_z, 2.736880400E-02
0,6,solve_y, 3.341603700E-02
0,6,solve_x, 2.960811700E-02
0,6,etc, 1.381000000E-06
0,6,comm, 2.312000000E-06
0,7,rhs, 7.275200000E-03
0,7,solve_z, 2.824420100E-02
0,7,solve_y, 3.358760200E-02
0,7,solve_x, 3.046204400E-02
0,7,etc, 1.347000000E-06
0,7,comm, 1.697000000E-06
0,8,rhs, 7.275829000E-03
0,8,solve_z, 2.837723400E-02
0,8,solve_y, 3.421034500E-02
0,8,solve_x, 2.945716800E-02
0,8,etc, 1.376000000E-06
0,8,comm, 1.617000000E-06
0,9,rhs, 7.288618000E-03
0,9,solve_z, 2.732916100E-02
0,9,solve_y, 3.462446300E-02
0,9,solve_x, 3.066849500E-02
0,9,etc, 1.465000000E-06
0,9,comm, 1.531700000E-05
0,10,rhs, 7.273901000E-03
0,10,solve_z, 2.828471200E-02
0,10,solve_y, 3.334448400E-02
0,10,solve_x, 2.962079900E-02
0,10,etc, 1.399000000E-06
0,10,comm, 2.149000000E-06
0,11,rhs, 7.273496000E-03
0,11,solve_z, 2.739234000E-02
0,11,solve_y, 3.341553900E-02
0,11,solve_x, 2.971814200E-02
0,11,etc, 1.348000000E-06
0,11,comm, 1.596000000E-06
0,12,rhs, 7.285692000E-03
0,12,solve_z, 2.730211500E-02
0,12,solve_y, 3.390688900E-02
0,12,solve_x, 3.064217000E-02
0,12,etc, 1.352000000E-06
0,12,comm, 1.731000000E-06
0,13,rhs, 7.272845000E-03
0,13,solve_z, 2.740467900E-02
0,13,solve_y, 3.417498200E-02
0,13,solve_x, 2.976632800E-02
0,13,etc, 1.389000000E-06
0,13,comm, 1.547000000E-06
0,14,rhs, 7.277702000E-03
0,14,solve_z, 2.814799000E-02
0,14,solve_y, 3.449788300E-02
0,14,solve_x, 3.060633500E-02
0,14,etc, 1.355000000E-06
0,14,comm, 2.432000000E-06
0,15,rhs, 7.277193000E-03
0,15,solve_z, 2.719382700E-02
0,15,solve_y, 3.416738300E-02
0,15,solve_x, 2.962215700E-02
0,15,etc, 1.376000000E-06
0,15,comm, 1.587000000E-06
0,16,rhs, 7.277793000E-03
0,16,solve_z, 2.720530700E-02
0,16,solve_y, 3.444517800E-02
0,16,solve_x, 2.974525600E-02
0,16,etc, 1.380000000E-06
0,16,comm, 1.637000000E-06
0,17,rhs, 7.282166000E-03
0,17,solve_z, 2.729499900E-02
0,17,solve_y, 3.360928500E-02
0,17,solve_x, 3.026404400E-02
0,17,etc, 1.373000000E-06
0,17,comm, 1.827000000E-06
0,18,rhs, 7.290752000E-03
0,18,solve_z, 2.809116700E-02
0,18,solve_y, 3.336068300E-02
0,18,solve_x, 2.964042100E-02
0,18,etc, 1.360000000E-06
0,18,comm, 1.679000000E-06
0,19,rhs, 7.272965000E-03
0,19,solve_z, 2.823922700E-02
0,19,solve_y, 3.514826400E-02
0,19,solve_x, 2.956287600E-02
0,19,etc, 1.443000000E-06
0,19,comm, 1.907000000E-06
0,20,rhs, 7.267577000E-03
0,20,solve_z, 2.823619100E-02
0,20,solve_y, 3.386346300E-02
0,20,solve_x, 2.974958300E-02
0,20,etc, 1.369000000E-06
0,20,comm, 3.233000000E-06
