# grid=513x513x1025, np=2 (1,1,2), dt= 3.815E-06, Nt=30, solver_kind=filtered_v2
rank,t_step,event,time_sec
0,1,rhs, 7.300632000E-03
0,1,solve_z, 4.839994100E-02
0,1,solve_y, 3.464428200E-02
0,1,solve_x, 3.069660400E-02
0,1,etc, 1.553000000E-06
0,1,comm, 1.359310000E-04
0,2,rhs, 7.287681000E-03
0,2,solve_z, 4.956893600E-02
0,2,solve_y, 3.514604200E-02
0,2,solve_x, 2.962254100E-02
0,2,etc, 1.534000000E-06
0,2,comm, 1.555620000E-04
0,3,rhs, 7.287926000E-03
0,3,solve_z, 4.897391500E-02
0,3,solve_y, 3.443301300E-02
0,3,solve_x, 3.064358000E-02
0,3,etc, 1.572000000E-06
0,3,comm, 1.360620000E-04
0,4,rhs, 7.291042000E-03
0,4,solve_z, 4.917136500E-02
0,4,solve_y, 3.403413200E-02
0,4,solve_x, 3.057274500E-02
0,4,etc, 1.569000000E-06
0,4,comm, 1.349660000E-04
0,5,rhs, 7.279186000E-03
0,5,solve_z, 4.841068300E-02
0,5,solve_y, 3.415761700E-02
0,5,solve_x, 3.061902700E-02
0,5,etc, 1.567000000E-06
0,5,comm, 1.936590000E-04
0,6,rhs, 7.276880000E-03
0,6,solve_z, 4.862116700E-02
0,6,solve_y, 3.414903400E-02
0,6,solve_x, 2.974228500E-02
0,6,etc, 3.317000000E-06
0,6,comm, 1.811360000E-04
0,7,rhs, 7.282710000E-03
0,7,solve_z, 4.881774400E-02
0,7,solve_y, 3.497203700E-02
0,7,solve_x, 3.059499800E-02
0,7,etc, 1.504000000E-06
0,7,comm, 1.338720000E-04
0,8,rhs, 7.288329000E-03
0,8,solve_z, 4.889856000E-02
0,8,solve_y, 3.500328000E-02
0,8,solve_x, 2.968148100E-02
0,8,etc, 1.745000000E-06
0,8,comm, 1.402080000E-04
0,9,rhs, 7.292590000E-03
0,9,solve_z, 4.951425400E-02
0,9,solve_y, 3.412671700E-02
0,9,solve_x, 3.070654200E-02
0,9,etc, 1.600000000E-06
0,9,comm, 1.772890000E-04
0,10,rhs, 7.274550000E-03
0,10,solve_z, 4.864455300E-02
0,10,solve_y, 3.559582500E-02
0,10,solve_x, 3.059908000E-02
0,10,etc, 1.573000000E-06
0,10,comm, 1.349790000E-04
0,11,rhs, 7.263465000E-03
0,11,solve_z, 4.880600600E-02
0,11,solve_y, 3.409470300E-02
0,11,solve_x, 2.969533200E-02
0,11,etc, 1.496000000E-06
0,11,comm, 1.365060000E-04
0,12,rhs, 7.277192000E-03
0,12,solve_z, 4.871068100E-02
0,12,solve_y, 3.493607700E-02
0,12,solve_x, 2.977852800E-02
0,12,etc, 1.542000000E-06
0,12,comm, 1.352050000E-04
0,13,rhs, 7.294387000E-03
0,13,solve_z, 4.937458800E-02
0,13,solve_y, 3.505465800E-02
0,13,solve_x, 2.946284400E-02
0,13,etc, 1.665000000E-06
0,13,comm, 1.451450000E-04
0,14,rhs, 7.289294000E-03
0,14,solve_z, 4.840486200E-02
0,14,solve_y, 3.395587700E-02
0,14,solve_x, 3.059459100E-02
0,14,etc, 1.528000000E-06
0,14,comm, 1.458850000E-04
0,15,rhs, 7.264251000E-03
0,15,solve_z, 4.861669700E-02
0,15,solve_y, 3.397302600E-02
0,15,solve_x, 3.073924800E-02
0,15,etc, 1.475000000E-06
0,15,comm, 1.370080000E-04
0,16,rhs, 7.287700000E-03
0,16,solve_z, 4.857107800E-02
0,16,solve_y, 3.520554500E-02
0,16,solve_x, 2.972292600E-02
0,16,etc, 1.596000000E-06
0,16,comm, 1.373460000E-04
0,17,rhs, 7.268666000E-03
0,17,solve_z, 4.888261200E-02
0,17,solve_y, 3.486711500E-02
0,17,solve_x, 2.965437100E-02
0,17,etc, 1.592000000E-06
0,17,comm, 1.342350000E-04
0,18,rhs, 7.292797000E-03
0,18,solve_z, 4.796596900E-02
0,18,solve_y, 3.425209500E-02
0,18,solve_x, 2.962356300E-02
0,18,etc, 1.545000000E-06
0,18,comm, 1.366660000E-04
