# grid=257x257x257, np=2 (1,1,2), dt= 2.441E-04, Nt=30, solver_kind=filtered_v2
rank,t_step,event,time_sec
0,1,rhs, 1.290340000E-04
0,1,solve_z, 5.729200000E-04
0,1,solve_y, 4.595600000E-04
0,1,solve_x, 4.851180000E-04
0,1,etc, 1.392000000E-06
0,1,comm, 4.374600000E-05
0,1,tdma_z_comm, 1.906900000E-05
0,1,tdma_y_comm, 0.000000000E+00
0,1,tdma_x_comm, 0.000000000E+00
0,1,tdma_z_gpu, 4.033599794E-04
0,1,tdma_y_gpu, 0.000000000E+00
0,1,tdma_x_gpu, 0.000000000E+00
0,2,rhs, 1.289330000E-04
0,2,solve_z, 5.731200000E-04
0,2,solve_y, 4.593390000E-04
0,2,solve_x, 4.818730000E-04
0,2,etc, 1.392000000E-06
0,2,comm, 4.621900000E-05
0,2,tdma_z_comm, 1.592400000E-05
0,2,tdma_y_comm, 0.000000000E+00
0,2,tdma_x_comm, 0.000000000E+00
0,2,tdma_z_gpu, 4.045760036E-04
0,2,tdma_y_gpu, 0.000000000E+00
0,2,tdma_x_gpu, 0.000000000E+00
0,3,rhs, 1.281020000E-04
0,3,solve_z, 5.722790000E-04
0,3,solve_y, 4.592590000E-04
0,3,solve_x, 4.857890000E-04
0,3,etc, 1.393000000E-06
0,3,comm, 4.494700000E-05
0,3,tdma_z_comm, 1.749600000E-05
0,3,tdma_y_comm, 0.000000000E+00
0,3,tdma_x_comm, 0.000000000E+00
0,3,tdma_z_gpu, 4.025920033E-04
0,3,tdma_y_gpu, 0.000000000E+00
0,3,tdma_x_gpu, 0.000000000E+00
0,4,rhs, 1.282420000E-04
0,4,solve_z, 5.767950000E-04
0,4,solve_y, 4.646470000E-04
0,4,solve_x, 4.871910000E-04
0,4,etc, 1.392000000E-06
0,4,comm, 4.428700000E-05
0,4,tdma_z_comm, 2.096100000E-05
0,4,tdma_y_comm, 0.000000000E+00
0,4,tdma_x_comm, 0.000000000E+00
0,4,tdma_z_gpu, 4.025599957E-04
0,4,tdma_y_gpu, 0.000000000E+00
0,4,tdma_x_gpu, 0.000000000E+00
0,5,rhs, 1.281930000E-04
0,5,solve_z, 5.750540000E-04
0,5,solve_y, 4.595690000E-04
0,5,solve_x, 4.849680000E-04
0,5,etc, 1.392000000E-06
0,5,comm, 4.649000000E-05
0,5,tdma_z_comm, 1.554300000E-05
0,5,tdma_y_comm, 0.000000000E+00
0,5,tdma_x_comm, 0.000000000E+00
0,5,tdma_z_gpu, 4.058879912E-04
0,5,tdma_y_gpu, 0.000000000E+00
0,5,tdma_x_gpu, 0.000000000E+00
0,6,rhs, 1.282330000E-04
0,6,solve_z, 5.721090000E-04
0,6,solve_y, 4.602200000E-04
0,6,solve_x, 4.828450000E-04
0,6,etc, 1.382000000E-06
0,6,comm, 4.571800000E-05
0,6,tdma_z_comm, 1.540400000E-05
0,6,tdma_y_comm, 0.000000000E+00
0,6,tdma_x_comm, 0.000000000E+00
0,6,tdma_z_gpu, 4.038720131E-04
0,6,tdma_y_gpu, 0.000000000E+00
0,6,tdma_x_gpu, 0.000000000E+00
0,7,rhs, 1.283320000E-04
0,7,solve_z, 5.735610000E-04
0,7,solve_y, 4.608110000E-04
0,7,solve_x, 4.827750000E-04
0,7,etc, 1.403000000E-06
0,7,comm, 4.658000000E-05
0,7,tdma_z_comm, 1.617400000E-05
0,7,tdma_y_comm, 0.000000000E+00
0,7,tdma_x_comm, 0.000000000E+00
0,7,tdma_z_gpu, 4.045760036E-04
0,7,tdma_y_gpu, 0.000000000E+00
