# grid=257x257x257, np=2 (1,1,2), dt= 6.104E-05, Nt=30, solver_kind=pascal
rank,t_step,event,time_sec
0,1,rhs, 1.295540000E-04
0,1,solve_z, 6.252880000E-04
0,1,solve_y, 4.582270000E-04
0,1,solve_x, 4.817530000E-04
0,1,etc, 1.432000000E-06
0,1,comm, 4.655000000E-05
0,1,tdma_z_comm, 4.466800000E-05
0,1,tdma_y_comm, 0.000000000E+00
0,1,tdma_x_comm, 0.000000000E+00
0,1,tdma_z_gpu, 3.997439742E-04
0,1,tdma_y_gpu, 0.000000000E+00
0,1,tdma_x_gpu, 0.000000000E+00
0,2,rhs, 1.297850000E-04
0,2,solve_z, 6.299460000E-04
0,2,solve_y, 4.566350000E-04
0,2,solve_x, 4.804200000E-04
0,2,etc, 1.422000000E-06
0,2,comm, 4.961500000E-05
0,2,tdma_z_comm, 4.988500000E-05
0,2,tdma_y_comm, 0.000000000E+00
0,2,tdma_x_comm, 0.000000000E+00
0,2,tdma_z_gpu, 3.997119963E-04
0,2,tdma_y_gpu, 0.000000000E+00
0,2,tdma_x_gpu, 0.000000000E+00
0,3,rhs, 1.295250000E-04
0,3,solve_z, 6.216330000E-04
0,3,solve_y, 4.595500000E-04
0,3,solve_x, 4.815730000E-04
0,3,etc, 1.452000000E-06
0,3,comm, 4.772100000E-05
0,3,tdma_z_comm, 4.490800000E-05
0,3,tdma_y_comm, 0.000000000E+00
0,3,tdma_x_comm, 0.000000000E+00
0,3,tdma_z_gpu, 3.973760009E-04
0,3,tdma_y_gpu, 0.000000000E+00
0,3,tdma_x_gpu, 0.000000000E+00
0,4,rhs, 1.292240000E-04
0,4,solve_z, 6.381670000E-04
0,4,solve_y, 4.565050000E-04
0,4,solve_x, 4.795090000E-04
0,4,etc, 1.402000000E-06
0,4,comm, 4.670000000E-05
0,4,tdma_z_comm, 5.500300000E-05
0,4,tdma_y_comm, 0.000000000E+00
0,4,tdma_x_comm, 0.000000000E+00
0,4,tdma_z_gpu, 3.995520175E-04
0,4,tdma_y_gpu, 0.000000000E+00
0,4,tdma_x_gpu, 0.000000000E+00
0,5,rhs, 1.293340000E-04
0,5,solve_z, 6.323390000E-04
0,5,solve_y, 4.582180000E-04
0,5,solve_x, 4.807110000E-04
0,5,etc, 1.422000000E-06
0,5,comm, 4.663000000E-05
0,5,tdma_z_comm, 5.280900000E-05
0,5,tdma_y_comm, 0.000000000E+00
0,5,tdma_x_comm, 0.000000000E+00
0,5,tdma_z_gpu, 3.987520039E-04
0,5,tdma_y_gpu, 0.000000000E+00
0,5,tdma_x_gpu, 0.000000000E+00
