# grid=129x129x1025, np=4 (1,1,4), dt= 3.815E-06, Nt=30, solver_kind=pascal
rank,t_step,event,time_sec
0,1,rhs, 6.767100000E-05
0,1,solve_z, 7.391590000E-04
0,1,solve_y, 2.273510000E-04
0,1,solve_x, 2.406810000E-04
0,1,etc, 1.662000000E-06
0,1,comm, 5.390100000E-05
0,1,tdma_z_comm, 1.096940000E-04
0,1,tdma_y_comm, 0.000000000E+00
0,1,tdma_x_comm, 0.000000000E+00
0,1,tdma_z_gpu, 5.106880069E-04
0,1,tdma_y_gpu, 0.000000000E+00
0,1,tdma_x_gpu, 0.000000000E+00
0,2,rhs, 6.828200000E-05
0,2,solve_z, 7.391590000E-04
0,2,solve_y, 2.255180000E-04
0,2,solve_x, 2.444970000E-04
0,2,etc, 1.662000000E-06
0,2,comm, 5.570400000E-05
0,2,tdma_z_comm, 1.130400000E-04
0,2,tdma_y_comm, 0.000000000E+00
0,2,tdma_x_comm, 0.000000000E+00
0,2,tdma_z_gpu, 5.077759624E-04
0,2,tdma_y_gpu, 0.000000000E+00
0,2,tdma_x_gpu, 0.000000000E+00
0,3,rhs, 6.779200000E-05
0,3,solve_z, 7.403810000E-04
0,3,solve_y, 2.269000000E-04
0,3,solve_x, 2.420730000E-04
0,3,etc, 1.703000000E-06
0,3,comm, 5.346000000E-05
0,3,tdma_z_comm, 1.111070000E-04
0,3,tdma_y_comm, 0.000000000E+00
0,3,tdma_x_comm, 0.000000000E+00
0,3,tdma_z_gpu, 5.101119876E-04
0,3,tdma_y_gpu, 0.000000000E+00
0,3,tdma_x_gpu, 0.000000000E+00
0,4,rhs, 6.792200000E-05
0,4,solve_z, 7.455790000E-04
0,4,solve_y, 2.277820000E-04
0,4,solve_x, 2.443970000E-04
0,4,etc, 1.622000000E-06
0,4,comm, 5.591400000E-05
0,4,tdma_z_comm, 1.225340000E-04
0,4,tdma_y_comm, 0.000000000E+00
0,4,tdma_x_comm, 0.000000000E+00
0,4,tdma_z_gpu, 5.034559965E-04
0,4,tdma_y_gpu, 0.000000000E+00
0,4,tdma_x_gpu, 0.000000000E+00
0,5,rhs, 6.812200000E-05
0,5,solve_z, 7.480620000E-04
0,5,solve_y, 2.269610000E-04
0,5,solve_x, 2.415430000E-04
0,5,etc, 1.693000000E-06
0,5,comm, 5.462200000E-05
0,5,tdma_z_comm, 1.148910000E-04
0,5,tdma_y_comm, 0.000000000E+00
0,5,tdma_x_comm, 0.000000000E+00
0,5,tdma_z_gpu, 5.119360089E-04
0,5,tdma_y_gpu, 0.000000000E+00
0,5,tdma_x_gpu, 0.000000000E+00
0,6,rhs, 6.826200000E-05
0,6,solve_z, 7.367660000E-04
0,6,solve_y, 2.271610000E-04
0,6,solve_x, 2.440760000E-04
0,6,etc, 1.552000000E-06
0,6,comm, 5.659500000E-05
0,6,tdma_z_comm, 1.105960000E-04
0,6,tdma_y_comm, 0.000000000E+00
0,6,tdma_x_comm, 0.000000000E+00
0,6,tdma_z_gpu, 5.040640235E-04
0,6,tdma_y_gpu, 0.000000000E+00
0,6,tdma_x_gpu, 0.000000000E+00
0,7,rhs, 6.859300000E-05
0,7,solve_z, 7.522180000E-04
0,7,solve_y, 2.283120000E-04
0,7,solve_x, 2.397500000E-04
0,7,etc, 1.673000000E-06
0,7,comm, 5.398100000E-05
0,7,tdma_z_comm, 1.271100000E-04
0,7,tdma_y_comm, 0.000000000E+00
0,7,tdma_x_comm, 0.000000000E+00
0,7,tdma_z_gpu, 5.066239834E-04
0,7,tdma_y_gpu, 0.000000000E+00
0,7,tdma_x_gpu, 0.000000000E+00
0,8,rhs, 6.823200000E-05
0,8,solve_z, 7.446070000E-04
0,8,solve_y, 2.276520000E-04
0,8,solve_x, 2.438760000E-04
0,8,etc, 1.662000000E-06
0,8,comm, 5.355100000E-05
0,8,tdma_z_comm, 1.219530000E-04
0,8,tdma_y_comm, 0.000000000E+00
0,8,tdma_x_comm, 0.000000000E+00
0,8,tdma_z_gpu, 5.057280064E-04
0,8,tdma_y_gpu, 0.000000000E+00
0,8,tdma_x_gpu, 0.000000000E+00
0,9,rhs, 6.780100000E-05
0,9,solve_z, 7.390390000E-04
0,9,solve_y, 2.302060000E-04
0,9,solve_x, 2.407920000E-04
0,9,etc, 1.823000000E-06
0,9,comm, 5.429200000E-05
0,9,tdma_z_comm, 1.120280000E-04
0,9,tdma_y_comm, 0.000000000E+00
0,9,tdma_x_comm, 0.000000000E+00
0,9,tdma_z_gpu, 5.054399967E-04
0,9,tdma_y_gpu, 0.000000000E+00
0,9,tdma_x_gpu, 0.000000000E+00
0,10,rhs, 6.810200000E-05
0,10,solve_z, 7.369860000E-04
0,10,solve_y, 2.282530000E-04
0,10,solve_x, 2.439260000E-04
0,10,etc, 1.642000000E-06
0,10,comm, 5.257900000E-05
0,10,tdma_z_comm, 1.129200000E-04
0,10,tdma_y_comm, 0.000000000E+00
0,10,tdma_x_comm, 0.000000000E+00
0,10,tdma_z_gpu, 5.042240024E-04
0,10,tdma_y_gpu, 0.000000000E+00
0,10,tdma_x_gpu, 0.000000000E+00
0,11,rhs, 6.840300000E-05
0,11,solve_z, 7.356740000E-04
0,11,solve_y, 2.276720000E-04
0,11,solve_x, 2.436360000E-04
0,11,etc, 1.733000000E-06
0,11,comm, 5.396100000E-05
0,11,tdma_z_comm, 1.101750000E-04
0,11,tdma_y_comm, 0.000000000E+00
0,11,tdma_x_comm, 0.000000000E+00
0,11,tdma_z_gpu, 5.055039525E-04
0,11,tdma_y_gpu, 0.000000000E+00
0,11,tdma_x_gpu, 0.000000000E+00
0,12,rhs, 6.787200000E-05
0,12,solve_z, 7.352530000E-04
0,12,solve_y, 2.273220000E-04
0,12,solve_x, 2.394190000E-04
0,12,etc, 1.683000000E-06
0,12,comm, 5.331000000E-05
0,12,tdma_z_comm, 1.091950000E-04
0,12,tdma_y_comm, 0.000000000E+00
0,12,tdma_x_comm, 0.000000000E+00
0,12,tdma_z_gpu, 5.047039986E-04
0,12,tdma_y_gpu, 0.000000000E+00
0,12,tdma_x_gpu, 0.000000000E+00
0,13,rhs, 6.798200000E-05
0,13,solve_z, 7.353330000E-04
0,13,solve_y, 2.263690000E-04
0,13,solve_x, 2.450880000E-04
0,13,etc, 1.683000000E-06
0,13,comm, 5.552300000E-05
0,13,tdma_z_comm, 1.083230000E-04
0,13,tdma_y_comm, 0.000000000E+00
0,13,tdma_x_comm, 0.000000000E+00
0,13,tdma_z_gpu, 5.092800260E-04
0,13,tdma_y_gpu, 0.000000000E+00
0,13,tdma_x_gpu, 0.000000000E+00
0,14,rhs, 6.803200000E-05
0,14,solve_z, 7.420440000E-04
0,14,solve_y, 2.300350000E-04
0,14,solve_x, 2.432550000E-04
0,14,etc, 1.803000000E-06
0,14,comm, 5.337000000E-05
0,14,tdma_z_comm, 1.173370000E-04
0,14,tdma_y_comm, 0.000000000E+00
0,14,tdma_x_comm, 0.000000000E+00
0,14,tdma_z_gpu, 5.074239969E-04
0,14,tdma_y_gpu, 0.000000000E+00
0,14,tdma_x_gpu, 0.000000000E+00
0,15,rhs, 6.798200000E-05
0,15,solve_z, 7.415130000E-04
0,15,solve_y, 2.289240000E-04
0,15,solve_x, 2.405410000E-04
0,15,etc, 1.652000000E-06
0,15,comm, 5.448200000E-05
0,15,tdma_z_comm, 1.124690000E-04
0,15,tdma_y_comm, 0.000000000E+00
0,15,tdma_x_comm, 0.000000000E+00
0,15,tdma_z_gpu, 5.059520006E-04
0,15,tdma_y_gpu, 0.000000000E+00
0,15,tdma_x_gpu, 0.000000000E+00
0,16,rhs, 6.790200000E-05
0,16,solve_z, 7.340620000E-04
0,16,solve_y, 2.280420000E-04
0,16,solve_x, 2.409110000E-04
0,16,etc, 1.783000000E-06
0,16,comm, 5.403100000E-05
0,16,tdma_z_comm, 1.097740000E-04
0,16,tdma_y_comm, 0.000000000E+00
0,16,tdma_x_comm, 0.000000000E+00
0,16,tdma_z_gpu, 5.043839812E-04
0,16,tdma_y_gpu, 0.000000000E+00
0,16,tdma_x_gpu, 0.000000000E+00
0,17,rhs, 6.786200000E-05
0,17,solve_z, 7.471510000E-04
0,17,solve_y, 2.278120000E-04
0,17,solve_x, 2.431540000E-04
0,17,etc, 1.643000000E-06
0,17,comm, 5.296900000E-05
0,17,tdma_z_comm, 1.125180000E-04
0,17,tdma_y_comm, 0.000000000E+00
0,17,tdma_x_comm, 0.000000000E+00
0,17,tdma_z_gpu, 5.091199875E-04
0,17,tdma_y_gpu, 0.000000000E+00
0,17,tdma_x_gpu, 0.000000000E+00
0,18,rhs, 6.876400000E-05
0,18,solve_z, 7.450880000E-04
0,18,solve_y, 2.286730000E-04
0,18,solve_x, 2.445370000E-04
0,18,etc, 1.663000000E-06
0,18,comm, 5.269900000E-05
0,18,tdma_z_comm, 1.176560000E-04
0,18,tdma_y_comm, 0.000000000E+00
0,18,tdma_x_comm, 0.000000000E+00
0,18,tdma_z_gpu, 5.036799908E-04
0,18,tdma_y_gpu, 0.000000000E+00
0,18,tdma_x_gpu, 0.000000000E+00
0,19,rhs, 6.844300000E-05
0,19,solve_z, 7.457890000E-04
0,19,solve_y, 2.285130000E-04
0,19,solve_x, 2.436150000E-04
0,19,etc, 1.862000000E-06
0,19,comm, 5.303000000E-05
0,19,tdma_z_comm, 1.165660000E-04
0,19,tdma_y_comm, 0.000000000E+00
0,19,tdma_x_comm, 0.000000000E+00
0,19,tdma_z_gpu, 5.099840164E-04
0,19,tdma_y_gpu, 0.000000000E+00
0,19,tdma_x_gpu, 0.000000000E+00
0,20,rhs, 6.772100000E-05
0,20,solve_z, 7.341110000E-04
0,20,solve_y, 2.281820000E-04
0,20,solve_x, 2.407510000E-04
0,20,etc, 1.653000000E-06
0,20,comm, 5.392100000E-05
0,20,tdma_z_comm, 1.076420000E-04
0,20,tdma_y_comm, 0.000000000E+00
0,20,tdma_x_comm, 0.000000000E+00
0,20,tdma_z_gpu, 5.075840354E-04
0,20,tdma_y_gpu, 0.000000000E+00
0,20,tdma_x_gpu, 0.000000000E+00
1,1,rhs, 6.850300000E-05
1,1,solve_z, 7.472720000E-04
1,1,solve_y, 2.290240000E-04
1,1,solve_x, 2.442270000E-04
1,1,etc, 1.772000000E-06
1,1,comm, 6.062100000E-05
1,1,tdma_z_comm, 1.164250000E-04
1,1,tdma_y_comm, 0.000000000E+00
1,1,tdma_x_comm, 0.000000000E+00
1,1,tdma_z_gpu, 5.048959851E-04
1,1,tdma_y_gpu, 0.000000000E+00
1,1,tdma_x_gpu, 0.000000000E+00
1,2,rhs, 6.937400000E-05
1,2,solve_z, 7.476720000E-04
1,2,solve_y, 2.289540000E-04
1,2,solve_x, 2.435860000E-04
1,2,etc, 1.602000000E-06
1,2,comm, 6.248300000E-05
1,2,tdma_z_comm, 1.222230000E-04
1,2,tdma_y_comm, 0.000000000E+00
1,2,tdma_x_comm, 0.000000000E+00
1,2,tdma_z_gpu, 5.010879636E-04
1,2,tdma_y_gpu, 0.000000000E+00
1,2,tdma_x_gpu, 0.000000000E+00
1,3,rhs, 6.804200000E-05
1,3,solve_z, 7.473720000E-04
1,3,solve_y, 2.281020000E-04
1,3,solve_x, 2.454380000E-04
1,3,etc, 1.663000000E-06
1,3,comm, 6.019000000E-05
1,3,tdma_z_comm, 1.194600000E-04
1,3,tdma_y_comm, 0.000000000E+00
1,3,tdma_x_comm, 0.000000000E+00
1,3,tdma_z_gpu, 5.059199929E-04
1,3,tdma_y_gpu, 0.000000000E+00
1,3,tdma_x_gpu, 0.000000000E+00
1,4,rhs, 6.912400000E-05
1,4,solve_z, 7.568660000E-04
1,4,solve_y, 2.285130000E-04
1,4,solve_x, 2.450770000E-04
1,4,etc, 1.623000000E-06
1,4,comm, 6.142300000E-05
1,4,tdma_z_comm, 1.213920000E-04
1,4,tdma_y_comm, 0.000000000E+00
1,4,tdma_x_comm, 0.000000000E+00
1,4,tdma_z_gpu, 5.080640316E-04
1,4,tdma_y_gpu, 0.000000000E+00
1,4,tdma_x_gpu, 0.000000000E+00
1,5,rhs, 6.881300000E-05
1,5,solve_z, 7.459390000E-04
1,5,solve_y, 2.292540000E-04
1,5,solve_x, 2.440760000E-04
1,5,etc, 1.623000000E-06
1,5,comm, 6.074100000E-05
1,5,tdma_z_comm, 1.210210000E-04
1,5,tdma_y_comm, 0.000000000E+00
1,5,tdma_x_comm, 0.000000000E+00
1,5,tdma_z_gpu, 5.039039850E-04
1,5,tdma_y_gpu, 0.000000000E+00
1,5,tdma_x_gpu, 0.000000000E+00
1,6,rhs, 6.852300000E-05
1,6,solve_z, 7.477510000E-04
1,6,solve_y, 2.283730000E-04
1,6,solve_x, 2.465500000E-04
1,6,etc, 1.592000000E-06
1,6,comm, 6.137200000E-05
1,6,tdma_z_comm, 1.182270000E-04
1,6,tdma_y_comm, 0.000000000E+00
1,6,tdma_x_comm, 0.000000000E+00
1,6,tdma_z_gpu, 5.026879907E-04
1,6,tdma_y_gpu, 0.000000000E+00
1,6,tdma_x_gpu, 0.000000000E+00
1,7,rhs, 6.833300000E-05
1,7,solve_z, 7.532500000E-04
1,7,solve_y, 2.298450000E-04
1,7,solve_x, 2.399200000E-04
1,7,etc, 1.623000000E-06
1,7,comm, 5.991000000E-05
1,7,tdma_z_comm, 1.232360000E-04
1,7,tdma_y_comm, 0.000000000E+00
1,7,tdma_x_comm, 0.000000000E+00
1,7,tdma_z_gpu, 5.056639910E-04
1,7,tdma_y_gpu, 0.000000000E+00
1,7,tdma_x_gpu, 0.000000000E+00
1,8,rhs, 6.903400000E-05
1,8,solve_z, 7.464200000E-04
1,8,solve_y, 2.290230000E-04
1,8,solve_x, 2.453480000E-04
1,8,etc, 1.783000000E-06
1,8,comm, 5.988000000E-05
1,8,tdma_z_comm, 1.242470000E-04
1,8,tdma_y_comm, 0.000000000E+00
1,8,tdma_x_comm, 0.000000000E+00
1,8,tdma_z_gpu, 5.021439791E-04
1,8,tdma_y_gpu, 0.000000000E+00
1,8,tdma_x_gpu, 0.000000000E+00
1,9,rhs, 6.866300000E-05
1,9,solve_z, 7.471010000E-04
1,9,solve_y, 2.253080000E-04
1,9,solve_x, 2.430640000E-04
1,9,etc, 1.752000000E-06
1,9,comm, 6.084100000E-05
1,9,tdma_z_comm, 1.169850000E-04
1,9,tdma_y_comm, 0.000000000E+00
1,9,tdma_x_comm, 0.000000000E+00
1,9,tdma_z_gpu, 5.029119849E-04
1,9,tdma_y_gpu, 0.000000000E+00
1,9,tdma_x_gpu, 0.000000000E+00
1,10,rhs, 6.891300000E-05
1,10,solve_z, 7.476820000E-04
1,10,solve_y, 2.276020000E-04
1,10,solve_x, 2.437150000E-04
1,10,etc, 1.592000000E-06
1,10,comm, 5.873800000E-05
1,10,tdma_z_comm, 1.175570000E-04
1,10,tdma_y_comm, 0.000000000E+00
1,10,tdma_x_comm, 0.000000000E+00
1,10,tdma_z_gpu, 5.016639829E-04
1,10,tdma_y_gpu, 0.000000000E+00
1,10,tdma_x_gpu, 0.000000000E+00
1,11,rhs, 6.926400000E-05
1,11,solve_z, 7.407520000E-04
1,11,solve_y, 2.289240000E-04
1,11,solve_x, 2.420230000E-04
1,11,etc, 1.762000000E-06
1,11,comm, 6.073100000E-05
1,11,tdma_z_comm, 1.157730000E-04
1,11,tdma_y_comm, 0.000000000E+00
1,11,tdma_x_comm, 0.000000000E+00
1,11,tdma_z_gpu, 5.051519871E-04
1,11,tdma_y_gpu, 0.000000000E+00
1,11,tdma_x_gpu, 0.000000000E+00
1,12,rhs, 6.856200000E-05
1,12,solve_z, 7.530400000E-04
1,12,solve_y, 2.301560000E-04
1,12,solve_x, 2.435860000E-04
1,12,etc, 1.583000000E-06
1,12,comm, 6.056100000E-05
1,12,tdma_z_comm, 1.271610000E-04
1,12,tdma_y_comm, 0.000000000E+00
1,12,tdma_x_comm, 0.000000000E+00
1,12,tdma_z_gpu, 5.005120039E-04
1,12,tdma_y_gpu, 0.000000000E+00
1,12,tdma_x_gpu, 0.000000000E+00
1,13,rhs, 6.854300000E-05
1,13,solve_z, 7.576870000E-04
1,13,solve_y, 2.290740000E-04
1,13,solve_x, 2.461700000E-04
1,13,etc, 1.653000000E-06
1,13,comm, 6.219400000E-05
1,13,tdma_z_comm, 1.282820000E-04
1,13,tdma_y_comm, 0.000000000E+00
1,13,tdma_x_comm, 0.000000000E+00
1,13,tdma_z_gpu, 5.027520061E-04
1,13,tdma_y_gpu, 0.000000000E+00
1,13,tdma_x_gpu, 0.000000000E+00
1,14,rhs, 6.889400000E-05
1,14,solve_z, 7.433160000E-04
1,14,solve_y, 2.279520000E-04
1,14,solve_x, 2.425340000E-04
1,14,etc, 1.623000000E-06
1,14,comm, 5.905900000E-05
1,14,tdma_z_comm, 1.149130000E-04
1,14,tdma_y_comm, 0.000000000E+00
1,14,tdma_x_comm, 0.000000000E+00
1,14,tdma_z_gpu, 5.025279522E-04
1,14,tdma_y_gpu, 0.000000000E+00
1,14,tdma_x_gpu, 0.000000000E+00
1,15,rhs, 6.839300000E-05
1,15,solve_z, 7.530500000E-04
1,15,solve_y, 2.272310000E-04
