# grid=257x257x2049, np=1 (1,1,1), dt= 3.815E-06, Nt=30, solver_kind=filtered_v2
rank,t_step,event,time_sec
0,1,rhs, 1.879059000E-03
0,1,solve_z, 5.071530000E-03
0,1,solve_y, 4.642666000E-03
0,1,solve_x, 5.015376000E-03
0,1,etc, 1.352000000E-06
0,1,comm, 7.430200000E-05
0,1,tdma_z_comm, 0.000000000E+00
0,1,tdma_y_comm, 0.000000000E+00
0,1,tdma_x_comm, 0.000000000E+00
0,1,tdma_z_gpu, 0.000000000E+00
0,1,tdma_y_gpu, 0.000000000E+00
0,1,tdma_x_gpu, 0.000000000E+00
0,2,rhs, 1.878880000E-03
0,2,solve_z, 5.070608000E-03
0,2,solve_y, 4.643979000E-03
0,2,solve_x, 5.002036000E-03
0,2,etc, 1.362000000E-06
0,2,comm, 7.477200000E-05
0,2,tdma_z_comm, 0.000000000E+00
0,2,tdma_y_comm, 0.000000000E+00
0,2,tdma_x_comm, 0.000000000E+00
0,2,tdma_z_gpu, 0.000000000E+00
0,2,tdma_y_gpu, 0.000000000E+00
0,2,tdma_x_gpu, 0.000000000E+00
0,3,rhs, 1.879921000E-03
0,3,solve_z, 5.072632000E-03
0,3,solve_y, 4.649627000E-03
0,3,solve_x, 5.016617000E-03
0,3,etc, 1.382000000E-06
0,3,comm, 7.326000000E-05
0,3,tdma_z_comm, 0.000000000E+00
0,3,tdma_y_comm, 0.000000000E+00
0,3,tdma_x_comm, 0.000000000E+00
0,3,tdma_z_gpu, 0.000000000E+00
0,3,tdma_y_gpu, 0.000000000E+00
0,3,tdma_x_gpu, 0.000000000E+00
0,4,rhs, 1.879710000E-03
0,4,solve_z, 5.071681000E-03
0,4,solve_y, 4.651660000E-03
0,4,solve_x, 5.000494000E-03
0,4,etc, 1.393000000E-06
0,4,comm, 7.408200000E-05
0,4,tdma_z_comm, 0.000000000E+00
0,4,tdma_y_comm, 0.000000000E+00
0,4,tdma_x_comm, 0.000000000E+00
0,4,tdma_z_gpu, 0.000000000E+00
0,4,tdma_y_gpu, 0.000000000E+00
0,4,tdma_x_gpu, 0.000000000E+00
0,5,rhs, 1.879821000E-03
0,5,solve_z, 5.066653000E-03
0,5,solve_y, 4.654054000E-03
0,5,solve_x, 5.023208000E-03
0,5,etc, 1.352000000E-06
0,5,comm, 7.523300000E-05
0,5,tdma_z_comm, 0.000000000E+00
0,5,tdma_y_comm, 0.000000000E+00
0,5,tdma_x_comm, 0.000000000E+00
0,5,tdma_z_gpu, 0.000000000E+00
0,5,tdma_y_gpu, 0.000000000E+00
0,5,tdma_x_gpu, 0.000000000E+00
0,6,rhs, 1.879200000E-03
0,6,solve_z, 5.072963000E-03
0,6,solve_y, 4.646923000E-03
0,6,solve_x, 5.011390000E-03
0,6,etc, 1.362000000E-06
0,6,comm, 7.359000000E-05
0,6,tdma_z_comm, 0.000000000E+00
0,6,tdma_y_comm, 0.000000000E+00
0,6,tdma_x_comm, 0.000000000E+00
0,6,tdma_z_gpu, 0.000000000E+00
0,6,tdma_y_gpu, 0.000000000E+00
0,6,tdma_x_gpu, 0.000000000E+00
0,7,rhs, 1.881984000E-03
0,7,solve_z, 5.070418000E-03
0,7,solve_y, 4.650478000E-03
0,7,solve_x, 5.029538000E-03
0,7,etc, 1.373000000E-06
0,7,comm, 7.336000000E-05
0,7,tdma_z_comm, 0.000000000E+00
0,7,tdma_y_comm, 0.000000000E+00
0,7,tdma_x_comm, 0.000000000E+00
0,7,tdma_z_gpu, 0.000000000E+00
0,7,tdma_y_gpu, 0.000000000E+00
0,7,tdma_x_gpu, 0.000000000E+00
0,8,rhs, 1.880011000E-03
0,8,solve_z, 5.071480000E-03
0,8,solve_y, 4.666182000E-03
0,8,solve_x, 5.016909000E-03
0,8,etc, 1.392000000E-06
0,8,comm, 7.385100000E-05
0,8,tdma_z_comm, 0.000000000E+00
0,8,tdma_y_comm, 0.000000000E+00
0,8,tdma_x_comm, 0.000000000E+00
0,8,tdma_z_gpu, 0.000000000E+00
0,8,tdma_y_gpu, 0.000000000E+00
0,8,tdma_x_gpu, 0.000000000E+00
0,9,rhs, 1.879130000E-03
0,9,solve_z, 5.067965000E-03
0,9,solve_y, 4.645420000E-03
0,9,solve_x, 4.986503000E-03
0,9,etc, 1.362000000E-06
0,9,comm, 7.414100000E-05
0,9,tdma_z_comm, 0.000000000E+00
0,9,tdma_y_comm, 0.000000000E+00
0,9,tdma_x_comm, 0.000000000E+00
0,9,tdma_z_gpu, 0.000000000E+00
0,9,tdma_y_gpu, 0.000000000E+00
0,9,tdma_x_gpu, 0.000000000E+00
0,10,rhs, 1.879841000E-03
0,10,solve_z, 5.071901000E-03
0,10,solve_y, 4.643027000E-03
0,10,solve_x, 5.036438000E-03
0,10,etc, 1.382000000E-06
0,10,comm, 7.526300000E-05
0,10,tdma_z_comm, 0.000000000E+00
0,10,tdma_y_comm, 0.000000000E+00
0,10,tdma_x_comm, 0.000000000E+00
0,10,tdma_z_gpu, 0.000000000E+00
0,10,tdma_y_gpu, 0.000000000E+00
0,10,tdma_x_gpu, 0.000000000E+00
0,11,rhs, 1.883146000E-03
0,11,solve_z, 5.076187000E-03
0,11,solve_y, 4.651610000E-03
0,11,solve_x, 5.028435000E-03
0,11,etc, 1.402000000E-06
0,11,comm, 7.463200000E-05
0,11,tdma_z_comm, 0.000000000E+00
0,11,tdma_y_comm, 0.000000000E+00
0,11,tdma_x_comm, 0.000000000E+00
0,11,tdma_z_gpu, 0.000000000E+00
0,11,tdma_y_gpu, 0.000000000E+00
0,11,tdma_x_gpu, 0.000000000E+00
0,12,rhs, 1.879721000E-03
0,12,solve_z, 5.068536000E-03
0,12,solve_y, 4.643678000E-03
0,12,solve_x, 5.010318000E-03
0,12,etc, 1.392000000E-06
0,12,comm, 7.271900000E-05
0,12,tdma_z_comm, 0.000000000E+00
0,12,tdma_y_comm, 0.000000000E+00
0,12,tdma_x_comm, 0.000000000E+00
0,12,tdma_z_gpu, 0.000000000E+00
0,12,tdma_y_gpu, 0.000000000E+00
0,12,tdma_x_gpu, 0.000000000E+00
0,13,rhs, 1.884187000E-03
0,13,solve_z, 5.072241000E-03
0,13,solve_y, 4.643778000E-03
0,13,solve_x, 5.009306000E-03
0,13,etc, 1.372000000E-06
0,13,comm, 7.542400000E-05
0,13,tdma_z_comm, 0.000000000E+00
0,13,tdma_y_comm, 0.000000000E+00
0,13,tdma_x_comm, 0.000000000E+00
0,13,tdma_z_gpu, 0.000000000E+00
