# grid=1025x1025x1025, np=2 (1,1,2), dt= 3.815E-06, Nt=30, solver_kind=filtered_v2
rank,t_step,event,time_sec
0,1,rhs, 7.578964000E-03
0,1,solve_z, 2.044144600E-02
0,1,solve_y, 1.887575600E-02
0,1,solve_x, 2.034712400E-02
0,1,etc, 1.392000000E-06
0,1,comm, 1.364050000E-04
0,1,tdma_z_comm, 5.636400000E-05
0,1,tdma_y_comm, 0.000000000E+00
0,1,tdma_x_comm, 0.000000000E+00
0,1,tdma_z_gpu, 1.196595192E-02
0,1,tdma_y_gpu, 0.000000000E+00
0,1,tdma_x_gpu, 0.000000000E+00
0,2,rhs, 7.579604000E-03
0,2,solve_z, 2.045062000E-02
0,2,solve_y, 1.892785500E-02
0,2,solve_x, 2.029901200E-02
0,2,etc, 1.442000000E-06
0,2,comm, 1.602700000E-04
0,2,tdma_z_comm, 5.620400000E-05
0,2,tdma_y_comm, 0.000000000E+00
0,2,tdma_x_comm, 0.000000000E+00
0,2,tdma_z_gpu, 1.196691227E-02
0,2,tdma_y_gpu, 0.000000000E+00
0,2,tdma_x_gpu, 0.000000000E+00
0,3,rhs, 7.562618000E-03
0,3,solve_z, 2.043493600E-02
0,3,solve_y, 1.889206100E-02
0,3,solve_x, 2.025721900E-02
0,3,etc, 1.372000000E-06
0,3,comm, 1.381980000E-04
0,3,tdma_z_comm, 5.563300000E-05
0,3,tdma_y_comm, 0.000000000E+00
0,3,tdma_x_comm, 0.000000000E+00
0,3,tdma_z_gpu, 1.195376015E-02
0,3,tdma_y_gpu, 0.000000000E+00
0,3,tdma_x_gpu, 0.000000000E+00
0,4,rhs, 7.565573000E-03
0,4,solve_z, 2.044536200E-02
0,4,solve_y, 1.893944200E-02
0,4,solve_x, 2.032129500E-02
0,4,etc, 1.382000000E-06
0,4,comm, 1.372560000E-04
0,4,tdma_z_comm, 5.653500000E-05
0,4,tdma_y_comm, 0.000000000E+00
0,4,tdma_x_comm, 0.000000000E+00
0,4,tdma_z_gpu, 1.196816063E-02
0,4,tdma_y_gpu, 0.000000000E+00
0,4,tdma_x_gpu, 0.000000000E+00
0,5,rhs, 7.564732000E-03
0,5,solve_z, 2.064823700E-02
0,5,solve_y, 1.890211600E-02
0,5,solve_x, 2.029578700E-02
0,5,etc, 1.412000000E-06
0,5,comm, 1.396490000E-04
0,5,tdma_z_comm, 5.612500000E-05
0,5,tdma_y_comm, 0.000000000E+00
0,5,tdma_x_comm, 0.000000000E+00
0,5,tdma_z_gpu, 1.196607971E-02
0,5,tdma_y_gpu, 0.000000000E+00
0,5,tdma_x_gpu, 0.000000000E+00
0,6,rhs, 7.557121000E-03
0,6,solve_z, 2.044852700E-02
0,6,solve_y, 1.891664800E-02
0,6,solve_x, 2.027631800E-02
0,6,etc, 1.733000000E-06
0,6,comm, 1.553330000E-04
0,6,tdma_z_comm, 5.957900000E-05
0,6,tdma_y_comm, 0.000000000E+00
0,6,tdma_x_comm, 0.000000000E+00
0,6,tdma_z_gpu, 1.195932770E-02
0,6,tdma_y_gpu, 0.000000000E+00
0,6,tdma_x_gpu, 0.000000000E+00
0,7,rhs, 7.564822000E-03
0,7,solve_z, 2.045137000E-02
0,7,solve_y, 1.895180100E-02
0,7,solve_x, 2.026662300E-02
0,7,etc, 1.382000000E-06
0,7,comm, 1.374160000E-04
0,7,tdma_z_comm, 5.642500000E-05
0,7,tdma_y_comm, 0.000000000E+00
0,7,tdma_x_comm, 0.000000000E+00
0,7,tdma_z_gpu, 1.196588802E-02
0,7,tdma_y_gpu, 0.000000000E+00
0,7,tdma_x_gpu, 0.000000000E+00
0,8,rhs, 7.566515000E-03
0,8,solve_z, 2.044723500E-02
0,8,solve_y, 1.892739300E-02
0,8,solve_x, 2.031341300E-02
0,8,etc, 1.391000000E-06
0,8,comm, 1.380570000E-04
