# grid=1025x1025x1025, np=4 (1,1,4), dt= 1.526E-05, Nt=30, solver_kind=pascal
rank,t_step,event,time_sec
0,1,rhs, 3.814745000E-03
0,1,solve_z, 1.531339100E-02
0,1,solve_y, 9.768008000E-03
0,1,solve_x, 1.051056300E-02
0,1,etc, 1.503000000E-06
0,1,comm, 1.247070000E-04
0,1,tdma_z_comm, 1.737748000E-03
0,1,tdma_y_comm, 0.000000000E+00
0,1,tdma_x_comm, 0.000000000E+00
0,1,tdma_z_gpu, 9.235263955E-03
0,1,tdma_y_gpu, 0.000000000E+00
0,1,tdma_x_gpu, 0.000000000E+00
0,2,rhs, 3.791189000E-03
0,2,solve_z, 1.529449200E-02
0,2,solve_y, 9.783201000E-03
0,2,solve_x, 1.051515000E-02
0,2,etc, 1.493000000E-06
0,2,comm, 1.250480000E-04
0,2,tdma_z_comm, 1.719611000E-03
0,2,tdma_y_comm, 0.000000000E+00
0,2,tdma_x_comm, 0.000000000E+00
0,2,tdma_z_gpu, 9.229919910E-03
0,2,tdma_y_gpu, 0.000000000E+00
0,2,tdma_x_gpu, 0.000000000E+00
0,3,rhs, 3.791940000E-03
0,3,solve_z, 1.515045500E-02
0,3,solve_y, 9.761098000E-03
0,3,solve_x, 1.052098900E-02
0,3,etc, 1.502000000E-06
0,3,comm, 1.258690000E-04
0,3,tdma_z_comm, 1.579000000E-03
0,3,tdma_y_comm, 0.000000000E+00
0,3,tdma_x_comm, 0.000000000E+00
0,3,tdma_z_gpu, 9.221024167E-03
0,3,tdma_y_gpu, 0.000000000E+00
0,3,tdma_x_gpu, 0.000000000E+00
0,4,rhs, 3.793052000E-03
0,4,solve_z, 1.532380500E-02
0,4,solve_y, 9.776952000E-03
0,4,solve_x, 1.048176000E-02
0,4,etc, 1.512000000E-06
0,4,comm, 1.259690000E-04
0,4,tdma_z_comm, 1.725300000E-03
0,4,tdma_y_comm, 0.000000000E+00
0,4,tdma_x_comm, 0.000000000E+00
0,4,tdma_z_gpu, 9.246912122E-03
0,4,tdma_y_gpu, 0.000000000E+00
0,4,tdma_x_gpu, 0.000000000E+00
0,5,rhs, 3.792872000E-03
0,5,solve_z, 1.524292500E-02
0,5,solve_y, 9.786085000E-03
0,5,solve_x, 1.054003700E-02
0,5,etc, 1.522000000E-06
0,5,comm, 1.256390000E-04
0,5,tdma_z_comm, 1.637627000E-03
0,5,tdma_y_comm, 0.000000000E+00
0,5,tdma_x_comm, 0.000000000E+00
0,5,tdma_z_gpu, 9.259615727E-03
0,5,tdma_y_gpu, 0.000000000E+00
0,5,tdma_x_gpu, 0.000000000E+00
0,6,rhs, 3.792341000E-03
0,6,solve_z, 1.534299500E-02
0,6,solve_y, 9.780547000E-03
0,6,solve_x, 1.054665700E-02
0,6,etc, 1.492000000E-06
0,6,comm, 1.240370000E-04
0,6,tdma_z_comm, 1.758499000E-03
0,6,tdma_y_comm, 0.000000000E+00
0,6,tdma_x_comm, 0.000000000E+00
0,6,tdma_z_gpu, 9.237023838E-03
0,6,tdma_y_gpu, 0.000000000E+00
0,6,tdma_x_gpu, 0.000000000E+00
0,7,rhs, 3.798450000E-03
0,7,solve_z, 1.530287500E-02
0,7,solve_y, 9.776421000E-03
