# grid=129x129x129, np=1 (1,1,1), dt= 2.441E-04, Nt=30, solver_kind=filtered_v2
rank,t_step,event,time_sec
0,1,rhs, 3.789700000E-05
0,1,solve_z, 1.563650000E-04
0,1,solve_y, 1.567750000E-04
0,1,solve_x, 1.626340000E-04
0,1,etc, 1.352000000E-06
0,1,comm, 1.803700000E-05
0,1,tdma_z_comm, 0.000000000E+00
0,1,tdma_y_comm, 0.000000000E+00
0,1,tdma_x_comm, 0.000000000E+00
0,1,tdma_z_gpu, 0.000000000E+00
0,1,tdma_y_gpu, 0.000000000E+00
0,1,tdma_x_gpu, 0.000000000E+00
0,2,rhs, 3.753600000E-05
0,2,solve_z, 1.564850000E-04
0,2,solve_y, 1.598800000E-04
0,2,solve_x, 1.648770000E-04
0,2,etc, 1.373000000E-06
0,2,comm, 1.895800000E-05
0,2,tdma_z_comm, 0.000000000E+00
0,2,tdma_y_comm, 0.000000000E+00
0,2,tdma_x_comm, 0.000000000E+00
0,2,tdma_z_gpu, 0.000000000E+00
0,2,tdma_y_gpu, 0.000000000E+00
0,2,tdma_x_gpu, 0.000000000E+00
0,3,rhs, 3.794700000E-05
0,3,solve_z, 1.569160000E-04
0,3,solve_y, 1.582470000E-04
0,3,solve_x, 1.653880000E-04
0,3,etc, 1.352000000E-06
0,3,comm, 1.841700000E-05
0,3,tdma_z_comm, 0.000000000E+00
0,3,tdma_y_comm, 0.000000000E+00
0,3,tdma_x_comm, 0.000000000E+00
0,3,tdma_z_gpu, 0.000000000E+00
0,3,tdma_y_gpu, 0.000000000E+00
0,3,tdma_x_gpu, 0.000000000E+00
0,4,rhs, 3.775600000E-05
0,4,solve_z, 1.582180000E-04
0,4,solve_y, 1.553930000E-04
0,4,solve_x, 1.627540000E-04
0,4,etc, 1.353000000E-06
0,4,comm, 1.879900000E-05
0,4,tdma_z_comm, 0.000000000E+00
0,4,tdma_y_comm, 0.000000000E+00
0,4,tdma_x_comm, 0.000000000E+00
0,4,tdma_z_gpu, 0.000000000E+00
0,4,tdma_y_gpu, 0.000000000E+00
0,4,tdma_x_gpu, 0.000000000E+00
0,5,rhs, 3.758700000E-05
0,5,solve_z, 1.576560000E-04
0,5,solve_y, 1.618830000E-04
0,5,solve_x, 1.654390000E-04
0,5,etc, 1.382000000E-06
0,5,comm, 1.789700000E-05
0,5,tdma_z_comm, 0.000000000E+00
0,5,tdma_y_comm, 0.000000000E+00
0,5,tdma_x_comm, 0.000000000E+00
0,5,tdma_z_gpu, 0.000000000E+00
0,5,tdma_y_gpu, 0.000000000E+00
0,5,tdma_x_gpu, 0.000000000E+00
0,6,rhs, 3.798700000E-05
0,6,solve_z, 1.559840000E-04
0,6,solve_y, 1.608710000E-04
0,6,solve_x, 1.609410000E-04
0,6,etc, 1.372000000E-06
0,6,comm, 1.803700000E-05
0,6,tdma_z_comm, 0.000000000E+00
0,6,tdma_y_comm, 0.000000000E+00
0,6,tdma_x_comm, 0.000000000E+00
0,6,tdma_z_gpu, 0.000000000E+00
0,6,tdma_y_gpu, 0.000000000E+00
0,6,tdma_x_gpu, 0.000000000E+00
0,7,rhs, 3.793700000E-05
0,7,solve_z, 1.574660000E-04
0,7,solve_y, 1.583080000E-04
0,7,solve_x, 1.622730000E-04
0,7,etc, 1.352000000E-06
0,7,comm, 1.950000000E-05
0,7,tdma_z_comm, 0.000000000E+00
0,7,tdma_y_comm, 0.000000000E+00
0,7,tdma_x_comm, 0.000000000E+00
0,7,tdma_z_gpu, 0.000000000E+00
0,7,tdma_y_gpu, 0.000000000E+00
0,7,tdma_x_gpu, 0.000000000E+00
0,8,rhs, 3.772600000E-05
0,8,solve_z, 1.566040000E-04
0,8,solve_y, 1.575360000E-04
0,8,solve_x, 1.619830000E-04
0,8,etc, 1.352000000E-06
0,8,comm, 1.838800000E-05
0,8,tdma_z_comm, 0.000000000E+00
0,8,tdma_y_comm, 0.000000000E+00
0,8,tdma_x_comm, 0.000000000E+00
0,8,tdma_z_gpu, 0.000000000E+00
0,8,tdma_y_gpu, 0.000000000E+00
0,8,tdma_x_gpu, 0.000000000E+00
0,9,rhs, 3.780600000E-05
0,9,solve_z, 1.565950000E-04
0,9,solve_y, 1.574160000E-04
0,9,solve_x, 1.622830000E-04
0,9,etc, 1.382000000E-06
0,9,comm, 1.888800000E-05
0,9,tdma_z_comm, 0.000000000E+00
0,9,tdma_y_comm, 0.000000000E+00
0,9,tdma_x_comm, 0.000000000E+00
0,9,tdma_z_gpu, 0.000000000E+00
0,9,tdma_y_gpu, 0.000000000E+00
0,9,tdma_x_gpu, 0.000000000E+00
0,10,rhs, 3.803700000E-05
0,10,solve_z, 1.596190000E-04
0,10,solve_y, 1.572260000E-04
0,10,solve_x, 1.613120000E-04
0,10,etc, 1.402000000E-06
0,10,comm, 1.818700000E-05
0,10,tdma_z_comm, 0.000000000E+00
0,10,tdma_y_comm, 0.000000000E+00
0,10,tdma_x_comm, 0.000000000E+00
0,10,tdma_z_gpu, 0.000000000E+00
0,10,tdma_y_gpu, 0.000000000E+00
0,10,tdma_x_gpu, 0.000000000E+00
0,11,rhs, 3.846800000E-05
0,11,solve_z, 1.578370000E-04
0,11,solve_y, 1.579070000E-04
0,11,solve_x, 1.610510000E-04
0,11,etc, 1.352000000E-06
0,11,comm, 1.898900000E-05
0,11,tdma_z_comm, 0.000000000E+00
0,11,tdma_y_comm, 0.000000000E+00
0,11,tdma_x_comm, 0.000000000E+00
0,11,tdma_z_gpu, 0.000000000E+00
0,11,tdma_y_gpu, 0.000000000E+00
0,11,tdma_x_gpu, 0.000000000E+00
0,12,rhs, 3.807700000E-05
0,12,solve_z, 1.579470000E-04
0,12,solve_y, 1.592690000E-04
0,12,solve_x, 1.633650000E-04
0,12,etc, 1.351000000E-06
0,12,comm, 1.923800000E-05
0,12,tdma_z_comm, 0.000000000E+00
0,12,tdma_y_comm, 0.000000000E+00
0,12,tdma_x_comm, 0.000000000E+00
0,12,tdma_z_gpu, 0.000000000E+00
0,12,tdma_y_gpu, 0.000000000E+00
0,12,tdma_x_gpu, 0.000000000E+00
0,13,rhs, 3.784700000E-05
0,13,solve_z, 1.565950000E-04
0,13,solve_y, 1.548820000E-04
0,13,solve_x, 1.670110000E-04
0,13,etc, 1.352000000E-06
0,13,comm, 1.866800000E-05
0,13,tdma_z_comm, 0.000000000E+00
0,13,tdma_y_comm, 0.000000000E+00
0,13,tdma_x_comm, 0.000000000E+00
0,13,tdma_z_gpu, 0.000000000E+00
0,13,tdma_y_gpu, 0.000000000E+00
0,13,tdma_x_gpu, 0.000000000E+00
0,14,rhs, 3.780700000E-05
0,14,solve_z, 1.578270000E-04
0,14,solve_y, 1.586580000E-04
0,14,solve_x, 1.624140000E-04
0,14,etc, 1.352000000E-06
0,14,comm, 1.884800000E-05
0,14,tdma_z_comm, 0.000000000E+00
0,14,tdma_y_comm, 0.000000000E+00
0,14,tdma_x_comm, 0.000000000E+00
0,14,tdma_z_gpu, 0.000000000E+00
0,14,tdma_y_gpu, 0.000000000E+00
0,14,tdma_x_gpu, 0.000000000E+00
0,15,rhs, 3.786700000E-05
0,15,solve_z, 1.581370000E-04
0,15,solve_y, 1.576070000E-04
0,15,solve_x, 1.626240000E-04
0,15,etc, 1.382000000E-06
0,15,comm, 1.841800000E-05
0,15,tdma_z_comm, 0.000000000E+00
0,15,tdma_y_comm, 0.000000000E+00
0,15,tdma_x_comm, 0.000000000E+00
0,15,tdma_z_gpu, 0.000000000E+00
0,15,tdma_y_gpu, 0.000000000E+00
0,15,tdma_x_gpu, 0.000000000E+00
0,16,rhs, 3.791700000E-05
0,16,solve_z, 1.547220000E-04
0,16,solve_y, 1.574470000E-04
0,16,solve_x, 1.599910000E-04
0,16,etc, 1.392000000E-06
0,16,comm, 1.858800000E-05
0,16,tdma_z_comm, 0.000000000E+00
0,16,tdma_y_comm, 0.000000000E+00
0,16,tdma_x_comm, 0.000000000E+00
0,16,tdma_z_gpu, 0.000000000E+00
0,16,tdma_y_gpu, 0.000000000E+00
0,16,tdma_x_gpu, 0.000000000E+00
0,17,rhs, 3.822700000E-05
0,17,solve_z, 1.654390000E-04
0,17,solve_y, 1.607510000E-04
0,17,solve_x, 1.645070000E-04
0,17,etc, 1.372000000E-06
0,17,comm, 1.883800000E-05
0,17,tdma_z_comm, 0.000000000E+00
0,17,tdma_y_comm, 0.000000000E+00
0,17,tdma_x_comm, 0.000000000E+00
0,17,tdma_z_gpu, 0.000000000E+00
0,17,tdma_y_gpu, 0.000000000E+00
0,17,tdma_x_gpu, 0.000000000E+00
0,18,rhs, 3.782600000E-05
0,18,solve_z, 1.587690000E-04
