# grid=513x513x513, np=2 (2,1,1), dt= 1.000E-03, Tmax=11, solver_kind=pascal
rank,t_step,event,time_sec
0,1,rhs, 3.486911000E-03
0,1,solve_z, 1.150509500E-02
0,1,solve_y, 1.173096600E-02
0,1,solve_x, 2.272941200E-02
0,1,etc, 1.995000000E-06
0,1,comm, 3.280140000E-04
0,2,rhs, 3.481846000E-03
0,2,solve_z, 1.153870900E-02
0,2,solve_y, 1.177768700E-02
0,2,solve_x, 2.318921700E-02
0,2,etc, 1.947000000E-06
0,2,comm, 3.270530000E-04
0,3,rhs, 3.480699000E-03
0,3,solve_z, 1.153655700E-02
0,3,solve_y, 1.170316300E-02
0,3,solve_x, 2.321710400E-02
0,3,etc, 1.911000000E-06
0,3,comm, 3.150520000E-04
0,4,rhs, 3.478263000E-03
0,4,solve_z, 1.152498600E-02
0,4,solve_y, 1.172759800E-02
0,4,solve_x, 2.320403100E-02
0,4,etc, 2.243000000E-06
0,4,comm, 3.126730000E-04
0,5,rhs, 3.474211000E-03
0,5,solve_z, 1.152385200E-02
0,5,solve_y, 1.173430100E-02
0,5,solve_x, 2.261128000E-02
0,5,etc, 1.893000000E-06
0,5,comm, 3.166760000E-04
0,6,rhs, 3.474092000E-03
0,6,solve_z, 1.151897000E-02
0,6,solve_y, 1.178416700E-02
0,6,solve_x, 2.320289700E-02
0,6,etc, 1.825000000E-06
0,6,comm, 3.147990000E-04
0,7,rhs, 3.475232000E-03
0,7,solve_z, 1.153353700E-02
0,7,solve_y, 1.173213600E-02
0,7,solve_x, 2.324083600E-02
0,7,etc, 1.775000000E-06
0,7,comm, 3.161200000E-04
0,8,rhs, 3.477283000E-03
0,8,solve_z, 1.148677100E-02
0,8,solve_y, 1.173885300E-02
0,8,solve_x, 2.264096500E-02
0,8,etc, 1.937000000E-06
0,8,comm, 3.132430000E-04
0,9,rhs, 3.476690000E-03
0,9,solve_z, 1.149928700E-02
0,9,solve_y, 1.177061200E-02
0,9,solve_x, 2.326308200E-02
0,9,etc, 1.810000000E-06
0,9,comm, 3.165300000E-04
0,10,rhs, 3.480016000E-03
0,10,solve_z, 1.150642500E-02
0,10,solve_y, 1.174109100E-02
0,10,solve_x, 2.284126100E-02
0,10,etc, 1.799000000E-06
0,10,comm, 3.134940000E-04
1,1,rhs, 3.480130000E-03
1,1,solve_z, 1.148078300E-02
1,1,solve_y, 1.179924100E-02
1,1,solve_x, 2.273891500E-02
1,1,etc, 1.996000000E-06
1,1,comm, 3.298800000E-04
1,2,rhs, 3.469226000E-03
1,2,solve_z, 1.152421800E-02
1,2,solve_y, 1.175203600E-02
1,2,solve_x, 2.322775000E-02
1,2,etc, 1.814000000E-06
1,2,comm, 3.261430000E-04
1,3,rhs, 3.482640000E-03
1,3,solve_z, 1.151235800E-02
1,3,solve_y, 1.175120200E-02
1,3,solve_x, 2.319848400E-02
1,3,etc, 1.771000000E-06
1,3,comm, 3.151780000E-04
1,4,rhs, 3.612398000E-03
1,4,solve_z, 1.150151700E-02
1,4,solve_y, 1.173506800E-02
1,4,solve_x, 2.318792500E-02
1,4,etc, 1.760000000E-06
1,4,comm, 3.137900000E-04
1,5,rhs, 3.481548000E-03
1,5,solve_z, 1.150108400E-02
1,5,solve_y, 1.176578700E-02
1,5,solve_x, 2.259011800E-02
1,5,etc, 1.833000000E-06
1,5,comm, 3.167970000E-04
1,6,rhs, 3.483920000E-03
1,6,solve_z, 1.149712200E-02
1,6,solve_y, 1.177969400E-02
1,6,solve_x, 2.318013300E-02
1,6,etc, 1.699000000E-06
1,6,comm, 3.140420000E-04
1,7,rhs, 3.480835000E-03
1,7,solve_z, 1.149137700E-02
1,7,solve_y, 1.174244400E-02
1,7,solve_x, 2.322773000E-02
1,7,etc, 1.758000000E-06
1,7,comm, 3.139000000E-04
1,8,rhs, 3.480803000E-03
1,8,solve_z, 1.151487500E-02
1,8,solve_y, 1.175158200E-02
1,8,solve_x, 2.265019000E-02
1,8,etc, 1.623000000E-06
1,8,comm, 3.143200000E-04
1,9,rhs, 3.485126000E-03
1,9,solve_z, 1.151311000E-02
1,9,solve_y, 1.172744300E-02
1,9,solve_x, 2.323406900E-02
1,9,etc, 1.741000000E-06
1,9,comm, 3.161760000E-04
1,10,rhs, 3.482465000E-03
1,10,solve_z, 1.153775000E-02
1,10,solve_y, 1.179099100E-02
1,10,solve_x, 2.281380400E-02
1,10,etc, 1.710000000E-06
1,10,comm, 3.139200000E-04
