# grid=513x513x513, np=8 (2,2,2), dt= 1.000E-03, Tmax=11, solver_kind=filtered_v2
rank,t_step,event,time_sec
0,1,rhs, 8.386000000E-04
0,1,solve_z, 4.089818000E-03
0,1,solve_y, 4.131586000E-03
0,1,solve_x, 4.204634000E-03
0,1,etc, 1.930000000E-06
0,1,comm, 2.323100000E-04
0,2,rhs, 8.375190000E-04
0,2,solve_z, 4.068017000E-03
0,2,solve_y, 4.131249000E-03
0,2,solve_x, 4.237417000E-03
0,2,etc, 1.849000000E-06
0,2,comm, 2.143140000E-04
0,3,rhs, 8.357230000E-04
0,3,solve_z, 4.073924000E-03
0,3,solve_y, 4.132676000E-03
0,3,solve_x, 4.198512000E-03
0,3,etc, 1.851000000E-06
0,3,comm, 2.126920000E-04
0,4,rhs, 8.389220000E-04
0,4,solve_z, 4.082807000E-03
0,4,solve_y, 4.114311000E-03
0,4,solve_x, 4.230244000E-03
0,4,etc, 1.683000000E-06
0,4,comm, 2.047440000E-04
0,5,rhs, 8.347930000E-04
0,5,solve_z, 4.071812000E-03
0,5,solve_y, 4.121928000E-03
0,5,solve_x, 4.200607000E-03
0,5,etc, 1.663000000E-06
0,5,comm, 2.030810000E-04
0,6,rhs, 8.382030000E-04
0,6,solve_z, 4.076747000E-03
0,6,solve_y, 4.104518000E-03
0,6,solve_x, 4.204368000E-03
0,6,etc, 2.220000000E-06
0,6,comm, 2.011800000E-04
0,7,rhs, 8.367180000E-04
0,7,solve_z, 4.061351000E-03
0,7,solve_y, 4.122493000E-03
0,7,solve_x, 4.227119000E-03
0,7,etc, 1.901000000E-06
0,7,comm, 2.043350000E-04
0,8,rhs, 8.380390000E-04
0,8,solve_z, 4.067801000E-03
0,8,solve_y, 4.119285000E-03
0,8,solve_x, 4.219159000E-03
0,8,etc, 2.107000000E-06
0,8,comm, 2.075420000E-04
0,9,rhs, 8.376140000E-04
0,9,solve_z, 4.070853000E-03
0,9,solve_y, 4.139874000E-03
0,9,solve_x, 4.212212000E-03
0,9,etc, 1.760000000E-06
0,9,comm, 2.053740000E-04
0,10,rhs, 8.353890000E-04
0,10,solve_z, 4.081672000E-03
0,10,solve_y, 4.127433000E-03
0,10,solve_x, 4.213578000E-03
0,10,etc, 1.894000000E-06
0,10,comm, 2.023690000E-04
1,1,rhs, 8.391760000E-04
1,1,solve_z, 4.087673000E-03
1,1,solve_y, 4.133673000E-03
1,1,solve_x, 4.207526000E-03
1,1,etc, 1.983000000E-06
1,1,comm, 2.313160000E-04
1,2,rhs, 8.339620000E-04
1,2,solve_z, 4.067676000E-03
1,2,solve_y, 4.139633000E-03
1,2,solve_x, 4.213591000E-03
1,2,etc, 1.869000000E-06
1,2,comm, 2.145370000E-04
1,3,rhs, 8.377640000E-04
1,3,solve_z, 4.065218000E-03
1,3,solve_y, 4.137345000E-03
1,3,solve_x, 4.216330000E-03
1,3,etc, 1.790000000E-06
1,3,comm, 2.125090000E-04
1,4,rhs, 8.366370000E-04
1,4,solve_z, 4.077691000E-03
1,4,solve_y, 4.113564000E-03
1,4,solve_x, 4.221627000E-03
1,4,etc, 1.745000000E-06
1,4,comm, 2.044410000E-04
1,5,rhs, 8.380110000E-04
1,5,solve_z, 4.065157000E-03
1,5,solve_y, 4.131219000E-03
1,5,solve_x, 4.206309000E-03
1,5,etc, 1.716000000E-06
1,5,comm, 2.025390000E-04
1,6,rhs, 8.367340000E-04
1,6,solve_z, 4.070169000E-03
1,6,solve_y, 4.117609000E-03
1,6,solve_x, 4.210866000E-03
1,6,etc, 1.792000000E-06
1,6,comm, 2.011650000E-04
1,7,rhs, 8.370650000E-04
1,7,solve_z, 4.055505000E-03
1,7,solve_y, 4.128233000E-03
1,7,solve_x, 4.209572000E-03
1,7,etc, 1.689000000E-06
1,7,comm, 2.025890000E-04
1,8,rhs, 8.361980000E-04
1,8,solve_z, 4.057427000E-03
1,8,solve_y, 4.122884000E-03
1,8,solve_x, 4.205006000E-03
1,8,etc, 1.765000000E-06
1,8,comm, 2.066810000E-04
1,9,rhs, 8.353750000E-04
1,9,solve_z, 4.065750000E-03
1,9,solve_y, 4.123449000E-03
1,9,solve_x, 4.212057000E-03
1,9,etc, 1.676000000E-06
1,9,comm, 2.049380000E-04
1,10,rhs, 8.344660000E-04
1,10,solve_z, 4.078782000E-03
1,10,solve_y, 4.107552000E-03
1,10,solve_x, 4.215388000E-03
1,10,etc, 1.736000000E-06
1,10,comm, 2.025950000E-04
2,1,rhs, 8.410210000E-04
2,1,solve_z, 4.053445000E-03
2,1,solve_y, 4.127081000E-03
2,1,solve_x, 4.228223000E-03
2,1,etc, 1.963000000E-06
2,1,comm, 2.188020000E-04
2,2,rhs, 8.363390000E-04
2,2,solve_z, 4.032760000E-03
2,2,solve_y, 4.122750000E-03
2,2,solve_x, 4.248855000E-03
2,2,etc, 1.757000000E-06
2,2,comm, 1.975900000E-04
2,3,rhs, 8.380320000E-04
2,3,solve_z, 4.055019000E-03
2,3,solve_y, 4.130340000E-03
2,3,solve_x, 4.229778000E-03
2,3,etc, 1.773000000E-06
2,3,comm, 1.966860000E-04
2,4,rhs, 8.360590000E-04
2,4,solve_z, 4.039100000E-03
2,4,solve_y, 4.104781000E-03
2,4,solve_x, 4.240131000E-03
2,4,etc, 1.699000000E-06
2,4,comm, 1.913240000E-04
2,5,rhs, 8.375360000E-04
