# grid=1025x1025x513, np=4 (2,2,1), dt= 1.000E-03, Tmax=11, solver_kind=pascal
rank,t_step,event,time_sec
0,1,rhs, 7.261927000E-03
0,1,solve_z, 2.696026200E-02
0,1,solve_y, 5.257014100E-02
0,1,solve_x, 4.955761600E-02
0,1,etc, 1.868000000E-06
0,1,comm, 4.423890000E-04
0,2,rhs, 7.245232000E-03
0,2,solve_z, 2.796170100E-02
0,2,solve_y, 5.445904000E-02
0,2,solve_x, 5.020410500E-02
0,2,etc, 1.862000000E-06
0,2,comm, 4.136350000E-04
0,3,rhs, 7.251348000E-03
0,3,solve_z, 2.698929500E-02
0,3,solve_y, 5.420903800E-02
0,3,solve_x, 4.899333600E-02
0,3,etc, 1.809000000E-06
0,3,comm, 4.543980000E-04
0,4,rhs, 7.250550000E-03
0,4,solve_z, 2.692384200E-02
0,4,solve_y, 5.366457400E-02
0,4,solve_x, 4.983449300E-02
0,4,etc, 1.751000000E-06
0,4,comm, 4.171970000E-04
0,5,rhs, 7.235814000E-03
0,5,solve_z, 2.789272600E-02
0,5,solve_y, 5.437394000E-02
0,5,solve_x, 4.968296100E-02
0,5,etc, 1.759000000E-06
0,5,comm, 4.079240000E-04
0,6,rhs, 7.248269000E-03
0,6,solve_z, 2.705579000E-02
0,6,solve_y, 5.284858600E-02
0,6,solve_x, 4.963894500E-02
0,6,etc, 1.719000000E-06
0,6,comm, 4.077210000E-04
0,7,rhs, 7.254027000E-03
0,7,solve_z, 2.784136800E-02
0,7,solve_y, 5.316803300E-02
0,7,solve_x, 5.002274700E-02
0,7,etc, 1.760000000E-06
0,7,comm, 4.071380000E-04
0,8,rhs, 7.244600000E-03
0,8,solve_z, 2.795256700E-02
0,8,solve_y, 5.338012500E-02
0,8,solve_x, 4.799258800E-02
0,8,etc, 1.781000000E-06
0,8,comm, 4.072460000E-04
0,9,rhs, 7.246011000E-03
0,9,solve_z, 2.708739400E-02
0,9,solve_y, 5.258518500E-02
0,9,solve_x, 5.014549800E-02
0,9,etc, 1.731000000E-06
0,9,comm, 4.073410000E-04
0,10,rhs, 7.258267000E-03
0,10,solve_z, 2.750405200E-02
0,10,solve_y, 5.304708900E-02
0,10,solve_x, 4.897925600E-02
0,10,etc, 1.911000000E-06
0,10,comm, 4.064550000E-04
1,1,rhs, 7.259215000E-03
1,1,solve_z, 2.795716700E-02
1,1,solve_y, 5.259251400E-02
1,1,solve_x, 4.964117300E-02
1,1,etc, 1.912000000E-06
1,1,comm, 4.421770000E-04
1,2,rhs, 7.285840000E-03
1,2,solve_z, 2.702636300E-02
1,2,solve_y, 5.403604900E-02
1,2,solve_x, 5.020099200E-02
1,2,etc, 1.897000000E-06
1,2,comm, 4.128590000E-04
1,3,rhs, 7.252099000E-03
1,3,solve_z, 2.684998400E-02
1,3,solve_y, 5.377238500E-02
1,3,solve_x, 4.828559000E-02
1,3,etc, 1.780000000E-06
1,3,comm, 4.545940000E-04
1,4,rhs, 7.264953000E-03
1,4,solve_z, 2.796344800E-02
1,4,solve_y, 5.268744400E-02
1,4,solve_x, 5.009482600E-02
1,4,etc, 1.847000000E-06
1,4,comm, 4.153520000E-04
1,5,rhs, 7.258926000E-03
1,5,solve_z, 2.797861200E-02
1,5,solve_y, 5.439301900E-02
1,5,solve_x, 4.970561600E-02
1,5,etc, 1.773000000E-06
1,5,comm, 4.060870000E-04
1,6,rhs, 7.230037000E-03
1,6,solve_z, 2.770250600E-02
1,6,solve_y, 5.245392500E-02
1,6,solve_x, 4.969072800E-02
1,6,etc, 1.794000000E-06
1,6,comm, 4.075910000E-04
1,7,rhs, 7.256824000E-03
1,7,solve_z, 2.796286600E-02
1,7,solve_y, 5.453121100E-02
1,7,solve_x, 5.013375600E-02
1,7,etc, 1.758000000E-06
1,7,comm, 4.066330000E-04
1,8,rhs, 7.240521000E-03
1,8,solve_z, 2.786819200E-02
1,8,solve_y, 5.383587000E-02
1,8,solve_x, 4.898429200E-02
1,8,etc, 1.729000000E-06
1,8,comm, 4.064500000E-04
1,9,rhs, 7.265201000E-03
1,9,solve_z, 2.699532600E-02
1,9,solve_y, 5.213114300E-02
1,9,solve_x, 5.016410300E-02
1,9,etc, 1.721000000E-06
1,9,comm, 4.067880000E-04
1,10,rhs, 7.249653000E-03
