# grid=257x257x257, np=8 (2,2,2), dt= 1.000E-03, Tmax=11, solver_kind=filtered_v2
rank,t_step,event,time_sec
0,1,rhs, 1.286730000E-04
0,1,solve_z, 7.862610000E-04
0,1,solve_y, 7.942140000E-04
0,1,solve_x, 7.896500000E-04
0,1,etc, 2.041000000E-06
0,1,comm, 1.561790000E-04
0,2,rhs, 1.274800000E-04
0,2,solve_z, 7.854980000E-04
0,2,solve_y, 8.012780000E-04
0,2,solve_x, 7.901340000E-04
0,2,etc, 1.978000000E-06
0,2,comm, 1.317300000E-04
0,3,rhs, 1.262280000E-04
0,3,solve_z, 7.850550000E-04
0,3,solve_y, 8.069200000E-04
0,3,solve_x, 7.952290000E-04
0,3,etc, 1.838000000E-06
0,3,comm, 1.270380000E-04
0,4,rhs, 1.257700000E-04
0,4,solve_z, 7.844270000E-04
0,4,solve_y, 7.932890000E-04
0,4,solve_x, 7.918890000E-04
0,4,etc, 1.846000000E-06
0,4,comm, 1.243010000E-04
0,5,rhs, 1.261620000E-04
0,5,solve_z, 7.920050000E-04
0,5,solve_y, 7.976670000E-04
0,5,solve_x, 7.902800000E-04
0,5,etc, 1.838000000E-06
0,5,comm, 1.227890000E-04
0,6,rhs, 1.275530000E-04
0,6,solve_z, 7.912470000E-04
0,6,solve_y, 7.886400000E-04
0,6,solve_x, 7.828370000E-04
0,6,etc, 1.783000000E-06
0,6,comm, 1.251230000E-04
0,7,rhs, 1.270410000E-04
0,7,solve_z, 7.812430000E-04
0,7,solve_y, 7.927540000E-04
0,7,solve_x, 8.005860000E-04
0,7,etc, 1.889000000E-06
0,7,comm, 1.251160000E-04
0,8,rhs, 1.273380000E-04
0,8,solve_z, 7.883650000E-04
0,8,solve_y, 7.848550000E-04
0,8,solve_x, 7.926510000E-04
0,8,etc, 1.742000000E-06
0,8,comm, 1.220970000E-04
0,9,rhs, 1.262200000E-04
0,9,solve_z, 7.777510000E-04
0,9,solve_y, 7.914340000E-04
0,9,solve_x, 7.874170000E-04
0,9,etc, 1.724000000E-06
0,9,comm, 1.226450000E-04
0,10,rhs, 1.275340000E-04
0,10,solve_z, 7.831110000E-04
0,10,solve_y, 7.796070000E-04
0,10,solve_x, 7.832220000E-04
0,10,etc, 1.749000000E-06
0,10,comm, 1.251130000E-04
1,1,rhs, 1.110090000E-04
1,1,solve_z, 7.759820000E-04
1,1,solve_y, 7.637230000E-04
1,1,solve_x, 7.772470000E-04
1,1,etc, 1.902000000E-06
1,1,comm, 1.540350000E-04
1,2,rhs, 1.087040000E-04
1,2,solve_z, 7.769900000E-04
1,2,solve_y, 7.646390000E-04
1,2,solve_x, 7.897280000E-04
1,2,etc, 1.792000000E-06
1,2,comm, 1.300510000E-04
1,3,rhs, 1.092150000E-04
1,3,solve_z, 7.762190000E-04
1,3,solve_y, 7.663280000E-04
1,3,solve_x, 7.787300000E-04
1,3,etc, 1.713000000E-06
1,3,comm, 1.250460000E-04
1,4,rhs, 1.094660000E-04
1,4,solve_z, 7.766420000E-04
1,4,solve_y, 7.653660000E-04
1,4,solve_x, 7.855740000E-04
1,4,etc, 1.684000000E-06
1,4,comm, 1.221600000E-04
1,5,rhs, 1.090990000E-04
1,5,solve_z, 7.800470000E-04
1,5,solve_y, 7.715420000E-04
1,5,solve_x, 7.770470000E-04
1,5,etc, 1.712000000E-06
1,5,comm, 1.217520000E-04
1,6,rhs, 1.082830000E-04
1,6,solve_z, 7.809310000E-04
1,6,solve_y, 7.594150000E-04
1,6,solve_x, 7.856380000E-04
1,6,etc, 1.625000000E-06
1,6,comm, 1.234270000E-04
1,7,rhs, 1.077790000E-04
1,7,solve_z, 7.740210000E-04
1,7,solve_y, 7.587220000E-04
1,7,solve_x, 7.893000000E-04
1,7,etc, 1.649000000E-06
1,7,comm, 1.231270000E-04
1,8,rhs, 1.105710000E-04
1,8,solve_z, 7.772550000E-04
1,8,solve_y, 7.621300000E-04
1,8,solve_x, 7.836430000E-04
