==============================================
 Job     : ch_filtered_tdma  (ID=28106)
 Input   : /shared/home/wel1come1234/workspace/Filtered_TDMA/channel/PARA_INPUT.dat
 MPI     : np1=4  np2=4  np3=2  -> NP=32
 Binary  : /shared/home/wel1come1234/workspace/Filtered_TDMA/build/bin/channel.out
==============================================
[2026-04-25 00:29:55] Starting  mpirun -np 32
====== Channel Config ======
  meshes:    n1m=256 n2m=256 n3m=256 (n1=257 n2=257 n3=257)
  MPI_procs: np1=4 np2=4 np3=2 (total=32)
  periodic:  pbc1=1 pbc2=1 pbc3=0 (z is wall-normal)
  uniform:   1 1 0   stretch gamma: 0 0 1.3
  domain:    Lx=12.5664 Ly=6.28319 Lz=2 (H=2, Aspect1=6.28319 Aspect2=3.14159)
  flow:      Re_b=2857 MaxCFL=0.5
  time:      dtStart=0.05 tStart=0 Timestepmax=30000
  forcing:   MASS_FLOW  Ub_target=1  dPdx_target=0
  restart:   in=0 out=1  './restart_in/' './restart_out/'
  output:    nmonitor=1  nstat_start=20000  nstat=1
             nout_stats=10000  nout=30000  out_stats=1  out_field=1
             stat_dir='./statistics/' instant_dir='./instant/'
  tdma:      backend=pascal
============================
====== MpiTopology ======
  dims=(4,4,2)  total=32
  periodic=(1,1,0)
=========================

    Timestep         Time           dt      maxDivU          WSS        u_tau          U_b      rho_max      rho_min
           1  1.62010e-02  1.62010e-02  2.64788e-14  1.01869e-03  3.19169e-02  1.00000e+00  1.81987e-01  1.96140e-02
           2  3.19832e-02  1.57821e-02  2.70062e-14  1.02658e-03  3.20403e-02  1.00000e+00  1.78951e-01  1.91263e-02
           3  4.75364e-02  1.55532e-02  1.70419e-14  1.01495e-03  3.18582e-02  1.00000e+00  1.77268e-01  1.88593e-02
           4  6.28315e-02  1.52951e-02  2.34812e-14  1.00524e-03  3.17055e-02  1.00000e+00  1.75349e-01  1.85579e-02
           5  7.76639e-02  1.48324e-02  3.21757e-14  9.85715e-04  3.13961e-02  1.00000e+00  1.71852e-01  1.80168e-02
           6  9.18745e-02  1.42106e-02  4.99600e-14  9.48133e-04  3.07918e-02  1.00000e+00  1.67033e-01  1.72876e-02
           7  1.05492e-01  1.36178e-02  6.72240e-14  8.74970e-04  2.95799e-02  1.00000e+00  1.62308e-01  1.65904e-02
           8  1.18019e-01  1.25263e-02  8.08242e-14  7.52085e-04  2.74242e-02  1.00000e+00  1.53252e-01  1.53013e-02
           9  1.29503e-01  1.14844e-02  1.02585e-13  5.56412e-04  2.35884e-02  1.00000e+00  1.44148e-01  1.40644e-02
          10  1.39664e-01  1.01608e-02  1.35891e-13  2.97377e-04  1.72446e-02  1.00000e+00  1.31879e-01  1.24839e-02

    Timestep         Time           dt      maxDivU          WSS        u_tau          U_b      rho_max      rho_min
          11  1.48561e-01  8.89681e-03  1.36779e-13  1.00493e-05  3.17006e-03  1.00000e+00  1.19356e-01  1.09650e-02
          12  1.56179e-01  7.61797e-03  1.37668e-13  3.17495e-04  1.78184e-02  1.00000e+00  1.05798e-01  9.41855e-03
          13  1.62966e-01  6.78758e-03  1.49325e-13  6.46763e-04  2.54315e-02  1.00000e+00  9.64719e-02  8.40916e-03
          14  1.68856e-01  5.88990e-03  1.50990e-13  9.35367e-04  3.05838e-02  1.00000e+00  8.58858e-02  7.31328e-03
          15  1.73984e-01  5.12801e-03  1.47438e-13  1.17893e-03  3.43355e-02  1.00000e+00  7.64604e-02  6.37934e-03
          16  1.78759e-01  4.77447e-03  1.66978e-13  1.43997e-03  3.79470e-02  1.00000e+00  7.19409e-02  5.94476e-03
          17  1.82255e-01  3.49630e-03  1.46549e-13  1.49280e-03  3.86368e-02  1.00000e+00  5.47733e-02  4.36719e-03
          18  1.85495e-01  3.24054e-03  1.42109e-13  1.56864e-03  3.96061e-02  1.00000e+00  5.11730e-02  4.05031e-03
          19  1.88248e-01  2.75271e-03  1.42109e-13  1.59497e-03  3.99370e-02  1.00000e+00  4.41437e-02  3.44478e-03
          20  1.90602e-01  2.35391e-03  1.70530e-13  1.59357e-03  3.99196e-02  1.00000e+00  3.82332e-02  2.94866e-03

    Timestep         Time           dt      maxDivU          WSS        u_tau          U_b      rho_max      rho_min
          21  1.93113e-01  2.51116e-03  1.77636e-13  1.63866e-03  4.04803e-02  1.00000e+00  4.05819e-02  3.14441e-03
          22  1.95104e-01  1.99039e-03  2.41585e-13  1.62312e-03  4.02880e-02  1.00000e+00  3.27118e-02  2.49557e-03
          23  1.96979e-01  1.87577e-03  2.26485e-13  1.61236e-03  4.01543e-02  1.00000e+00  3.09436e-02  2.35253e-03
          24  1.98462e-01  1.48304e-03  2.16716e-13  1.57776e-03  3.97210e-02  1.00000e+00  2.47833e-02  1.86182e-03
          25  1.99726e-01  1.26356e-03  1.84741e-13  1.54042e-03  3.92482e-02  1.00000e+00  2.12701e-02  1.58715e-03
          26  2.00963e-01  1.23757e-03  1.98952e-13  1.50919e-03  3.88483e-02  1.00000e+00  2.08507e-02  1.55460e-03
          27  2.02158e-01  1.19416e-03  2.27374e-13  1.48129e-03  3.84876e-02  1.00000e+00  2.01486e-02  1.50024e-03
          28  2.03163e-01  1.00505e-03  2.55795e-13  1.45027e-03  3.80824e-02  1.00000e+00  1.70658e-02  1.26326e-03
          29  2.04138e-01  9.75525e-04  2.27374e-13  1.42256e-03  3.77169e-02  1.00000e+00  1.65809e-02  1.22624e-03
          30  2.05197e-01  1.05873e-03  3.41061e-13  1.40166e-03  3.74387e-02  1.00000e+00  1.79449e-02  1.33055e-03

    Timestep         Time           dt      maxDivU          WSS        u_tau          U_b      rho_max      rho_min
          31  2.06115e-01  9.18072e-04  3.41061e-13  1.37825e-03  3.71248e-02  1.00000e+00  1.56347e-02  1.15419e-03
          32  2.06996e-01  8.80631e-04  3.41061e-13  1.35687e-03  3.68358e-02  1.00000e+00  1.50160e-02  1.10722e-03
