==============================================
 Job     : ch_filtered_tdma  (ID=28109)
 Input   : /shared/home/wel1come1234/workspace/Filtered_TDMA/channel/PARA_INPUT.dat
 MPI     : np1=4  np2=4  np3=2  -> NP=32
 Binary  : /shared/home/wel1come1234/workspace/Filtered_TDMA/build/bin/channel.out
==============================================
[2026-04-25 01:06:32] Starting  mpirun -np 32
====== Channel Config ======
  meshes:    n1m=256 n2m=256 n3m=256 (n1=257 n2=257 n3=257)
  MPI_procs: np1=4 np2=4 np3=2 (total=32)
  periodic:  pbc1=1 pbc2=1 pbc3=0 (z is wall-normal)
  uniform:   1 1 0   stretch gamma: 0 0 1.3
  domain:    Lx=12.5664 Ly=6.28319 Lz=2 (H=2, Aspect1=6.28319 Aspect2=3.14159)
  flow:      Re_b=2857 MaxCFL=1
  time:      dtStart=0.05 tStart=0 Timestepmax=30000
  forcing:   MASS_FLOW  Ub_target=1  dPdx_target=0  pert_amp=0
  restart:   in=0 out=1  './restart_in/' './restart_out/'
  output:    nmonitor=1  nstat_start=20000  nstat=1
             nout_stats=10000  nout=30000  out_stats=1  out_field=1
             stat_dir='./statistics/' instant_dir='./instant/'
  tdma:      backend=pascal
============================
====== MpiTopology ======
  dims=(4,4,2)  total=32
  periodic=(1,1,0)
=========================

    Timestep         Time           dt      maxDivU          WSS        u_tau          U_b      rho_max      rho_min
           1  3.27261e-02  3.27261e-02  2.80735e-15  9.45515e-04  3.07492e-02  1.00000e+00  2.68712e-01  3.80961e-02
           2  6.54428e-02  3.27167e-02  4.44729e-15  1.03916e-03  3.22361e-02  1.00000e+00  2.68676e-01  3.80861e-02
           3  9.81501e-02  3.27073e-02  4.51586e-15  9.44517e-04  3.07330e-02  1.00000e+00  2.68640e-01  3.80759e-02
           4  1.30848e-01  3.26978e-02  4.51819e-15  1.03864e-03  3.22280e-02  1.00000e+00  2.68604e-01  3.80657e-02
           5  1.63536e-01  3.26885e-02  4.52084e-15  9.59199e-04  3.09709e-02  1.00000e+00  2.68568e-01  3.80557e-02
           6  1.96216e-01  3.26793e-02  4.52182e-15  1.06953e-03  3.27037e-02  1.00000e+00  2.68533e-01  3.80458e-02
           7  2.28886e-01  3.26703e-02  4.52297e-15  9.97378e-04  3.15813e-02  1.00000e+00  2.68498e-01  3.80361e-02
           8  2.61547e-01  3.26615e-02  4.52019e-15  1.13214e-03  3.36473e-02  1.00000e+00  2.68464e-01  3.80266e-02
           9  2.94200e-01  3.26530e-02  4.52278e-15  1.06602e-03  3.26500e-02  1.00000e+00  2.68432e-01  3.80176e-02
          10  3.26845e-01  3.26441e-02  4.52273e-15  1.23516e-03  3.51448e-02  1.00000e+00  2.68397e-01  3.80079e-02

    Timestep         Time           dt      maxDivU          WSS        u_tau          U_b      rho_max      rho_min
          11  3.59479e-01  3.26349e-02  4.52174e-15  1.17841e-03  3.43280e-02  1.00000e+00  2.68362e-01  3.79981e-02
          12  3.92106e-01  3.26263e-02  4.52157e-15  1.39750e-03  3.73832e-02  1.00000e+00  2.68329e-01  3.79888e-02
          13  4.24724e-01  3.26185e-02  4.52251e-15  1.36105e-03  3.68925e-02  1.00000e+00  2.68299e-01  3.79804e-02
          14  4.57335e-01  3.26108e-02  4.52251e-15  1.65876e-03  4.07279e-02  1.00000e+00  2.68269e-01  3.79721e-02
          15  4.89938e-01  3.26026e-02  4.52222e-15  1.67168e-03  4.08862e-02  1.00000e+00  2.68238e-01  3.79633e-02
          16  5.22533e-01  3.25957e-02  4.52307e-15  2.11083e-03  4.59438e-02  1.00000e+00  2.68211e-01  3.79559e-02
          17  5.55122e-01  3.25891e-02  4.52141e-15  2.25710e-03  4.75089e-02  1.00000e+00  2.68185e-01  3.79487e-02
          18  5.87705e-01  3.25828e-02  4.52164e-15  3.01430e-03  5.49026e-02  1.00000e+00  2.68161e-01  3.79420e-02
          19  6.20283e-01  3.25779e-02  4.52161e-15  3.60264e-03  6.00220e-02  1.00000e+00  2.68143e-01  3.79367e-02
          20  6.52857e-01  3.25735e-02  4.52237e-15  5.41857e-03  7.36109e-02  1.00000e+00  2.68126e-01  3.79320e-02

    Timestep         Time           dt      maxDivU          WSS        u_tau          U_b      rho_max      rho_min
          21  6.85428e-01  3.25708e-02  4.52258e-15  8.31206e-03  9.11705e-02  1.00000e+00  2.68115e-01  3.79291e-02
          22  7.17998e-01  3.25708e-02  4.52272e-15  1.79124e-02  1.33837e-01  1.00000e+00  2.68115e-01  3.79290e-02
          23  7.50572e-01  3.25739e-02  4.52057e-15  5.94697e-02  2.43864e-01  1.00000e+00  2.68127e-01  3.79324e-02
          24  7.83167e-01  3.25947e-02  9.03089e-15  2.71450e-01  5.21008e-01  1.00000e+00  2.68207e-01  3.79548e-02
          25  7.99335e-01  1.61682e-02  4.52191e-15  3.09888e-03  5.56676e-02  1.00000e+00  1.81751e-01  1.95759e-02
          26  8.31749e-01  3.24144e-02  4.52260e-15  1.00972e-02  1.00485e-01  1.00000e+00  2.67510e-01  3.77606e-02
          27  8.63890e-01  3.21403e-02  4.52108e-15  1.05701e-02  1.02811e-01  1.00000e+00  2.66444e-01  3.74653e-02
          28  8.95901e-01  3.20118e-02  9.01737e-15  1.14157e-04  1.06844e-02  1.00000e+00  2.65940e-01  3.73266e-02
          29  9.10541e-01  1.46390e-02  7.22331e-14  3.14460e-03  5.60767e-02  1.00000e+00  1.70368e-01  1.77903e-02
          30  9.12463e-01  1.92242e-03  2.88706e-13  7.12650e-03  8.44186e-02  1.00000e+00  3.16647e-02  2.41075e-03

