==============================================
 Job     : ch_filtered_tdma  (ID=28113)
 Input   : /shared/home/wel1come1234/workspace/Filtered_TDMA/channel/PARA_INPUT.dat
 MPI     : np1=4  np2=4  np3=2  -> NP=32
 Binary  : /shared/home/wel1come1234/workspace/Filtered_TDMA/build/bin/channel.out
==============================================
[2026-04-25 10:12:21] Starting  mpirun -np 32
====== Channel Config ======
  meshes:    n1m=256 n2m=256 n3m=256 (n1=257 n2=257 n3=257)
  MPI_procs: np1=4 np2=4 np3=2 (total=32)
  periodic:  pbc1=1 pbc2=1 pbc3=0 (z is wall-normal)
  uniform:   1 1 0   stretch gamma: 0 0 1.3
  domain:    Lx=12.5664 Ly=6.28319 Lz=2 (H=2, Aspect1=6.28319 Aspect2=3.14159)
  flow:      Re_b=2857 MaxCFL=1
  time:      dtStart=0.05 tStart=0 Timestepmax=30000
  forcing:   MASS_FLOW  Ub_target=1  dPdx_target=0  pert_amp=0.4
  restart:   in=0 out=1  './restart_in/' './restart_out/'
  output:    nmonitor=1  nstat_start=20000  nstat=1
             nout_stats=10000  nout=30000  out_stats=1  out_field=1
             stat_dir='./statistics/' instant_dir='./instant/'
  tdma:      backend=pascal
============================
====== MpiTopology ======
  dims=(4,4,2)  total=32
  periodic=(1,1,0)
=========================

    Timestep         Time           dt      maxDivU          WSS        u_tau          U_b      rho_max      rho_min
           1  2.33766e-02  2.33766e-02  8.15348e-13  1.05043e-03  3.24104e-02  1.00000e+00  2.26406e-01  2.78179e-02
           2  3.88911e-02  1.55145e-02  5.50671e-13  7.22825e-04  2.68854e-02  1.00000e+00  1.76981e-01  1.88141e-02
           3  5.48179e-02  1.59269e-02  9.85878e-14  7.88705e-04  2.80839e-02  1.00000e+00  1.80007e-01  1.92950e-02
           4  7.13432e-02  1.65252e-02  3.55271e-14  7.75727e-04  2.78519e-02  1.00000e+00  1.84298e-01  1.99908e-02
           5  8.78222e-02  1.64791e-02  4.44089e-14  7.67107e-04  2.76967e-02  1.00000e+00  1.83971e-01  1.99372e-02
           6  1.04385e-01  1.65632e-02  4.17444e-14  7.61905e-04  2.76026e-02  1.00000e+00  1.84567e-01  2.00349e-02
           7  1.22161e-01  1.77752e-02  4.24105e-14  7.53188e-04  2.74443e-02  1.00000e+00  1.92906e-01  2.14381e-02
           8  1.40428e-01  1.82678e-02  4.30767e-14  7.55163e-04  2.74802e-02  1.00000e+00  1.96173e-01  2.20061e-02
           9  1.59304e-01  1.88757e-02  4.08562e-14  7.56233e-04  2.74997e-02  1.00000e+00  2.00111e-01  2.27051e-02
          10  1.79278e-01  1.99735e-02  4.66294e-14  7.56789e-04  2.75098e-02  1.00000e+00  2.06973e-01  2.39624e-02

    Timestep         Time           dt      maxDivU          WSS        u_tau          U_b      rho_max      rho_min
          11  1.99396e-01  2.01185e-02  4.26326e-14  7.63455e-04  2.76307e-02  1.00000e+00  2.07856e-01  2.41279e-02
          12  2.20295e-01  2.08985e-02  3.95239e-14  7.66367e-04  2.76833e-02  1.00000e+00  2.12519e-01  2.50166e-02
          13  2.41420e-01  2.11253e-02  4.86000e-14  7.72970e-04  2.78023e-02  1.00000e+00  2.13848e-01  2.52744e-02
          14  2.63128e-01  2.17080e-02  3.85803e-14  7.77673e-04  2.78868e-02  1.00000e+00  2.17206e-01  2.59353e-02
          15  2.85164e-01  2.20356e-02  4.08562e-14  7.83885e-04  2.79979e-02  1.00000e+00  2.19060e-01  2.63062e-02
          16  3.07340e-01  2.21766e-02  3.69704e-14  7.90089e-04  2.81085e-02  1.00000e+00  2.19850e-01  2.64655e-02
          17  3.29898e-01  2.25578e-02  3.41949e-14  7.95675e-04  2.82077e-02  1.00000e+00  2.21966e-01  2.68960e-02
          18  3.52753e-01  2.28555e-02  3.98570e-14  8.01633e-04  2.83131e-02  1.00000e+00  2.23597e-01  2.72316e-02
          19  3.75440e-01  2.26862e-02  3.46390e-14  8.08058e-04  2.84264e-02  1.00000e+00  2.22672e-01  2.70408e-02
          20  3.99524e-01  2.40847e-02  3.79696e-14  8.11824e-04  2.84925e-02  1.00000e+00  2.30135e-01  2.86124e-02

    Timestep         Time           dt      maxDivU          WSS        u_tau          U_b      rho_max      rho_min
          21  4.23854e-01  2.43293e-02  3.62609e-14  8.18378e-04  2.86073e-02  1.00000e+00  2.31400e-01  2.88862e-02
          22  4.47614e-01  2.37603e-02  3.13083e-14  8.24468e-04  2.87135e-02  1.00000e+00  2.28440e-01  2.82488e-02
          23  4.72137e-01  2.45229e-02  3.07532e-14  8.28827e-04  2.87894e-02  1.00000e+00  2.32393e-01  2.91027e-02
          24  4.97322e-01  2.51847e-02  3.01981e-14  8.34029e-04  2.88796e-02  1.00000e+00  2.35733e-01  2.98412e-02
          25  5.22242e-01  2.49203e-02  2.62013e-14  8.39576e-04  2.89754e-02  1.00000e+00  2.34409e-01  2.95464e-02
          26  5.46837e-01  2.45953e-02  2.26485e-14  8.44547e-04  2.90611e-02  1.00000e+00  2.32763e-01  2.91836e-02
          27  5.72317e-01  2.54798e-02  2.26485e-14  8.48651e-04  2.91316e-02  1.00000e+00  2.37196e-01  3.01697e-02
          28  5.97844e-01  2.55274e-02  2.40363e-14  8.53596e-04  2.92164e-02  1.00000e+00  2.37431e-01  3.02227e-02
          29  6.24026e-01  2.61816e-02  2.04281e-14  8.57642e-04  2.92855e-02  1.00000e+00  2.40613e-01  3.09493e-02
          30  6.50445e-01  2.64188e-02  2.32037e-14  8.62076e-04  2.93611e-02  1.00000e+00  2.41748e-01  3.12122e-02

    Timestep         Time           dt      maxDivU          WSS        u_tau          U_b      rho_max      rho_min
          31  6.77114e-01  2.66692e-02  2.00395e-14  8.66137e-04  2.94302e-02  1.00000e+00  2.42935e-01  3.14894e-02
          32  7.03970e-01  2.68558e-02  2.01783e-14  8.70135e-04  2.94980e-02  1.00000e+00  2.43813e-01  3.16958e-02
          33  7.31061e-01  2.70911e-02  1.95954e-14  8.73935e-04  2.95624e-02  1.00000e+00  2.44912e-01  3.19557e-02
          34  7.58076e-01  2.70154e-02  1.76525e-14  8.77702e-04  2.96260e-02  1.00000e+00  2.44559e-01  3.18721e-02
          35  7.85755e-01  2.76788e-02  1.76803e-14  8.81044e-04  2.96824e-02  1.00000e+00  2.47617e-01  3.26038e-02
          36  8.13715e-01  2.79594e-02  1.67644e-14  8.84554e-04  2.97415e-02  1.00000e+00  2.48888e-01  3.29125e-02
          37  8.41898e-01  2.81838e-02  1.46272e-14  8.87826e-04  2.97964e-02  1.00000e+00  2.49896e-01  3.31592e-02
          38  8.69894e-01  2.79960e-02  1.47937e-14  8.91071e-04  2.98508e-02  1.00000e+00  2.49053e-01  3.29528e-02
          39  8.97890e-01  2.79961e-02  1.29341e-14  8.94058e-04  2.99008e-02  1.00000e+00  2.49053e-01  3.29529e-02
          40  9.26208e-01  2.83172e-02  1.24414e-14  8.96917e-04  2.99486e-02  1.00000e+00  2.50491e-01  3.33056e-02

    Timestep         Time           dt      maxDivU          WSS        u_tau          U_b      rho_max      rho_min
          41  9.54538e-01  2.83301e-02  1.27676e-14  8.99744e-04  2.99957e-02  1.00000e+00  2.50548e-01  3.33198e-02
          42  9.83125e-01  2.85874e-02  1.33435e-14  9.02374e-04  3.00395e-02  1.00000e+00  2.51689e-01  3.36021e-02
          43  1.01160e+00  2.84745e-02  1.20459e-14  9.04988e-04  3.00830e-02  1.00000e+00  2.51190e-01  3.34783e-02
          44  1.03991e+00  2.83071e-02  1.08386e-14  9.07437e-04  3.01237e-02  1.00000e+00  2.50446e-01  3.32945e-02
          45  1.06819e+00  2.82814e-02  1.06443e-14  9.09768e-04  3.01624e-02  1.00000e+00  2.50332e-01  3.32664e-02
          46  1.09698e+00  2.87874e-02  1.01030e-14  9.11967e-04  3.01988e-02  1.00000e+00  2.52567e-01  3.38212e-02
          47  1.12614e+00  2.91694e-02  1.11716e-14  9.14153e-04  3.02350e-02  1.00000e+00  2.54230e-01  3.42393e-02
          48  1.15530e+00  2.91533e-02  1.00753e-14  9.16273e-04  3.02700e-02  1.00000e+00  2.54160e-01  3.42217e-02
