# grid=129x129x1025, np=2 (1,1,2), dt= 3.815E-06, Nt=30, solver_kind=filtered_v2
rank,t_step,event,time_sec
0,1,rhs, 1.286330000E-04
0,1,solve_z, 9.518090000E-04
0,1,solve_y, 3.433950000E-04
0,1,solve_x, 3.714370000E-04
0,1,etc, 1.382000000E-06
0,1,comm, 4.872300000E-05
0,1,tdma_z_comm, 1.873800000E-05
0,1,tdma_y_comm, 0.000000000E+00
0,1,tdma_x_comm, 0.000000000E+00
0,1,tdma_z_gpu, 7.833279967E-04
0,1,tdma_y_gpu, 0.000000000E+00
0,1,tdma_x_gpu, 0.000000000E+00
0,2,rhs, 1.294240000E-04
0,2,solve_z, 9.525100000E-04
0,2,solve_y, 3.444070000E-04
0,2,solve_x, 3.739510000E-04
0,2,etc, 1.362000000E-06
0,2,comm, 4.542800000E-05
0,2,tdma_z_comm, 1.893800000E-05
0,2,tdma_y_comm, 0.000000000E+00
0,2,tdma_x_comm, 0.000000000E+00
0,2,tdma_z_gpu, 7.820799947E-04
0,2,tdma_y_gpu, 0.000000000E+00
0,2,tdma_x_gpu, 0.000000000E+00
0,3,rhs, 1.285530000E-04
0,3,solve_z, 9.500560000E-04
0,3,solve_y, 3.441870000E-04
0,3,solve_x, 3.751230000E-04
0,3,etc, 1.362000000E-06
0,3,comm, 4.572900000E-05
0,3,tdma_z_comm, 1.697500000E-05
0,3,tdma_y_comm, 0.000000000E+00
0,3,tdma_x_comm, 0.000000000E+00
0,3,tdma_z_gpu, 7.820159793E-04
0,3,tdma_y_gpu, 0.000000000E+00
0,3,tdma_x_gpu, 0.000000000E+00
0,4,rhs, 1.284130000E-04
0,4,solve_z, 9.512380000E-04
0,4,solve_y, 3.443470000E-04
0,4,solve_x, 3.723690000E-04
0,4,etc, 1.392000000E-06
0,4,comm, 4.580900000E-05
0,4,tdma_z_comm, 2.045000000E-05
0,4,tdma_y_comm, 0.000000000E+00
0,4,tdma_x_comm, 0.000000000E+00
0,4,tdma_z_gpu, 7.813760042E-04
0,4,tdma_y_gpu, 0.000000000E+00
0,4,tdma_x_gpu, 0.000000000E+00
0,5,rhs, 1.283320000E-04
0,5,solve_z, 9.515580000E-04
0,5,solve_y, 3.431350000E-04
0,5,solve_x, 3.729190000E-04
0,5,etc, 1.422000000E-06
0,5,comm, 4.424700000E-05
0,5,tdma_z_comm, 1.944900000E-05
0,5,tdma_y_comm, 0.000000000E+00
0,5,tdma_x_comm, 0.000000000E+00
0,5,tdma_z_gpu, 7.816640139E-04
