# grid=513x513x513, np=2 (2,1,1), dt= 1.526E-05, Tmax=128, solver_kind=pascal
rank,t_step,event,time_sec
0,1,rhs, 3.493826000E-03
0,1,solve_z, 1.139325900E-02
0,1,solve_y, 1.171651700E-02
0,1,solve_x, 2.356604000E-02
0,1,etc, 1.833000000E-06
0,1,comm, 3.344200000E-04
0,2,rhs, 3.487779000E-03
0,2,solve_z, 1.140966900E-02
0,2,solve_y, 1.166326500E-02
0,2,solve_x, 2.355126400E-02
0,2,etc, 1.731000000E-06
0,2,comm, 3.247280000E-04
0,3,rhs, 3.487842000E-03
0,3,solve_z, 1.139848000E-02
0,3,solve_y, 1.168157400E-02
0,3,solve_x, 2.355041000E-02
0,3,etc, 1.708000000E-06
0,3,comm, 3.207810000E-04
0,4,rhs, 3.494860000E-03
0,4,solve_z, 1.140658500E-02
0,4,solve_y, 1.169602100E-02
0,4,solve_x, 2.303261100E-02
0,4,etc, 1.652000000E-06
0,4,comm, 3.195650000E-04
0,5,rhs, 3.494313000E-03
0,5,solve_z, 1.139550800E-02
0,5,solve_y, 1.169420800E-02
0,5,solve_x, 2.344584800E-02
0,5,etc, 1.714000000E-06
0,5,comm, 3.209160000E-04
0,6,rhs, 3.493055000E-03
0,6,solve_z, 1.139206500E-02
0,6,solve_y, 1.166007400E-02
0,6,solve_x, 2.297539800E-02
0,6,etc, 1.568000000E-06
0,6,comm, 3.235580000E-04
0,7,rhs, 3.491315000E-03
0,7,solve_z, 1.140237500E-02
0,7,solve_y, 1.166737100E-02
0,7,solve_x, 2.350389800E-02
0,7,etc, 1.571000000E-06
0,7,comm, 3.204140000E-04
0,8,rhs, 3.486108000E-03
0,8,solve_z, 1.138701300E-02
0,8,solve_y, 1.166758200E-02
0,8,solve_x, 2.367383500E-02
0,8,etc, 1.559000000E-06
0,8,comm, 3.180600000E-04
0,9,rhs, 3.493874000E-03
0,9,solve_z, 1.143694700E-02
0,9,solve_y, 1.169230400E-02
0,9,solve_x, 2.305140000E-02
0,9,etc, 1.539000000E-06
0,9,comm, 3.286210000E-04
0,10,rhs, 3.535512000E-03
0,10,solve_z, 1.140990900E-02
0,10,solve_y, 1.170805400E-02
0,10,solve_x, 2.308080700E-02
0,10,etc, 1.594000000E-06
0,10,comm, 3.218970000E-04
0,11,rhs, 3.492260000E-03
0,11,solve_z, 1.141530700E-02
0,11,solve_y, 1.168901900E-02
0,11,solve_x, 2.287672200E-02
0,11,etc, 1.740000000E-06
0,11,comm, 3.257970000E-04
0,12,rhs, 3.487778000E-03
0,12,solve_z, 1.138057700E-02
0,12,solve_y, 1.170840900E-02
0,12,solve_x, 2.319459600E-02
0,12,etc, 1.600000000E-06
0,12,comm, 3.195940000E-04
0,13,rhs, 3.486640000E-03
0,13,solve_z, 1.138812100E-02
0,13,solve_y, 1.164912500E-02
0,13,solve_x, 2.353497600E-02
0,13,etc, 1.657000000E-06
0,13,comm, 3.384680000E-04
0,14,rhs, 3.491886000E-03
0,14,solve_z, 1.140770700E-02
0,14,solve_y, 1.171785500E-02
0,14,solve_x, 2.290840300E-02
0,14,etc, 1.639000000E-06
0,14,comm, 3.200740000E-04
0,15,rhs, 3.492086000E-03
0,15,solve_z, 1.138239800E-02
0,15,solve_y, 1.165677300E-02
0,15,solve_x, 2.304672300E-02
0,15,etc, 1.652000000E-06
0,15,comm, 3.175780000E-04
0,16,rhs, 3.494140000E-03
0,16,solve_z, 1.136684300E-02
0,16,solve_y, 1.167924500E-02
0,16,solve_x, 2.321824600E-02
0,16,etc, 1.704000000E-06
0,16,comm, 3.165780000E-04
0,17,rhs, 3.491935000E-03
0,17,solve_z, 1.140114400E-02
0,17,solve_y, 1.175193600E-02
0,17,solve_x, 2.357313800E-02
0,17,etc, 1.589000000E-06
0,17,comm, 3.478680000E-04
0,18,rhs, 3.494527000E-03
0,18,solve_z, 1.142347500E-02
0,18,solve_y, 1.169446600E-02
0,18,solve_x, 2.352268200E-02
0,18,etc, 2.104000000E-06
0,18,comm, 3.372480000E-04
0,19,rhs, 3.497087000E-03
0,19,solve_z, 1.138695400E-02
