# grid=513x513x513, np=4 (2,2,1), dt= 1.526E-05, Tmax=128, solver_kind=filtered
rank,t_step,event,time_sec
0,1,rhs, 1.672567000E-03
0,1,solve_z, 5.612285000E-03
0,1,solve_y, 8.018877000E-03
0,1,solve_x, 7.947191000E-03
0,1,etc, 2.444000000E-06
0,1,comm, 2.866430000E-04
0,2,rhs, 1.658845000E-03
0,2,solve_z, 5.598402000E-03
0,2,solve_y, 7.943686000E-03
0,2,solve_x, 7.943827000E-03
0,2,etc, 2.197000000E-06
0,2,comm, 2.592500000E-04
0,3,rhs, 1.661116000E-03
0,3,solve_z, 5.606692000E-03
0,3,solve_y, 7.972235000E-03
0,3,solve_x, 7.955410000E-03
0,3,etc, 1.799000000E-06
0,3,comm, 2.497960000E-04
0,4,rhs, 1.659712000E-03
0,4,solve_z, 5.592980000E-03
0,4,solve_y, 7.988248000E-03
0,4,solve_x, 7.957951000E-03
0,4,etc, 2.128000000E-06
0,4,comm, 2.527180000E-04
0,5,rhs, 1.660939000E-03
0,5,solve_z, 5.600334000E-03
0,5,solve_y, 7.970048000E-03
0,5,solve_x, 7.944222000E-03
0,5,etc, 1.995000000E-06
0,5,comm, 2.496460000E-04
0,6,rhs, 1.662618000E-03
0,6,solve_z, 5.601575000E-03
0,6,solve_y, 7.980959000E-03
0,6,solve_x, 7.952172000E-03
0,6,etc, 2.204000000E-06
0,6,comm, 2.470020000E-04
0,7,rhs, 1.663180000E-03
0,7,solve_z, 5.599614000E-03
0,7,solve_y, 7.980135000E-03
0,7,solve_x, 7.940265000E-03
0,7,etc, 2.298000000E-06
0,7,comm, 2.477850000E-04
0,8,rhs, 1.658994000E-03
0,8,solve_z, 5.598011000E-03
0,8,solve_y, 7.961643000E-03
0,8,solve_x, 7.959674000E-03
0,8,etc, 2.191000000E-06
0,8,comm, 2.485590000E-04
0,9,rhs, 1.664142000E-03
0,9,solve_z, 5.613648000E-03
0,9,solve_y, 7.941455000E-03
0,9,solve_x, 7.941133000E-03
0,9,etc, 1.749000000E-06
0,9,comm, 2.510410000E-04
0,10,rhs, 1.660944000E-03
0,10,solve_z, 5.602785000E-03
0,10,solve_y, 7.969159000E-03
0,10,solve_x, 7.942808000E-03
0,10,etc, 1.952000000E-06
0,10,comm, 2.559330000E-04
0,11,rhs, 1.661890000E-03
0,11,solve_z, 5.605162000E-03
0,11,solve_y, 7.943807000E-03
0,11,solve_x, 7.939359000E-03
0,11,etc, 2.043000000E-06
0,11,comm, 2.482880000E-04
0,12,rhs, 1.662095000E-03
0,12,solve_z, 5.601402000E-03
0,12,solve_y, 7.952891000E-03
0,12,solve_x, 7.947625000E-03
0,12,etc, 1.997000000E-06
0,12,comm, 2.442650000E-04
0,13,rhs, 1.661726000E-03
0,13,solve_z, 5.591219000E-03
0,13,solve_y, 7.971145000E-03
0,13,solve_x, 7.952001000E-03
0,13,etc, 1.805000000E-06
0,13,comm, 2.378850000E-04
0,14,rhs, 1.660838000E-03
0,14,solve_z, 5.597888000E-03
0,14,solve_y, 7.960978000E-03
0,14,solve_x, 7.958330000E-03
0,14,etc, 2.109000000E-06
0,14,comm, 2.516230000E-04
0,15,rhs, 1.661416000E-03
0,15,solve_z, 5.597558000E-03
0,15,solve_y, 7.998423000E-03
0,15,solve_x, 7.974376000E-03
0,15,etc, 2.198000000E-06
0,15,comm, 2.484350000E-04
0,16,rhs, 1.664618000E-03
0,16,solve_z, 5.604142000E-03
0,16,solve_y, 7.957688000E-03
0,16,solve_x, 7.956557000E-03
0,16,etc, 2.127000000E-06
0,16,comm, 2.484440000E-04
0,17,rhs, 1.661298000E-03
0,17,solve_z, 5.594362000E-03
0,17,solve_y, 7.950995000E-03
0,17,solve_x, 7.954911000E-03
0,17,etc, 2.303000000E-06
0,17,comm, 2.408740000E-04
0,18,rhs, 1.662573000E-03
0,18,solve_z, 5.601547000E-03
0,18,solve_y, 7.956355000E-03
0,18,solve_x, 7.956981000E-03
0,18,etc, 2.430000000E-06
0,18,comm, 2.514830000E-04
0,19,rhs, 1.661545000E-03
0,19,solve_z, 5.590046000E-03
0,19,solve_y, 7.968313000E-03
0,19,solve_x, 7.968572000E-03
0,19,etc, 2.186000000E-06
0,19,comm, 3.520180000E-04
0,20,rhs, 1.661785000E-03
0,20,solve_z, 5.592895000E-03
0,20,solve_y, 7.978019000E-03
0,20,solve_x, 7.946619000E-03
0,20,etc, 2.323000000E-06
0,20,comm, 2.576140000E-04
0,21,rhs, 1.662245000E-03
0,21,solve_z, 5.607989000E-03
0,21,solve_y, 7.987419000E-03
0,21,solve_x, 7.962581000E-03
0,21,etc, 2.337000000E-06
0,21,comm, 2.478050000E-04
0,22,rhs, 1.663204000E-03
0,22,solve_z, 5.602495000E-03
0,22,solve_y, 7.944466000E-03
0,22,solve_x, 7.966689000E-03
0,22,etc, 2.255000000E-06
0,22,comm, 2.449070000E-04
0,23,rhs, 1.660952000E-03
0,23,solve_z, 5.602085000E-03
0,23,solve_y, 7.950881000E-03
0,23,solve_x, 7.949180000E-03
0,23,etc, 2.128000000E-06
0,23,comm, 2.471220000E-04
0,24,rhs, 1.662698000E-03
0,24,solve_z, 5.602455000E-03
0,24,solve_y, 7.942270000E-03
0,24,solve_x, 7.934189000E-03
0,24,etc, 2.152000000E-06
0,24,comm, 2.500490000E-04
0,25,rhs, 1.666600000E-03
0,25,solve_z, 5.610043000E-03
0,25,solve_y, 7.948720000E-03
0,25,solve_x, 7.944464000E-03
0,25,etc, 2.041000000E-06
0,25,comm, 2.462530000E-04
0,26,rhs, 1.662924000E-03
0,26,solve_z, 5.588732000E-03
0,26,solve_y, 7.967276000E-03
0,26,solve_x, 7.936179000E-03
0,26,etc, 2.622000000E-06
0,26,comm, 2.547700000E-04
0,27,rhs, 1.666079000E-03
0,27,solve_z, 5.603692000E-03
0,27,solve_y, 7.955342000E-03
0,27,solve_x, 7.996638000E-03
0,27,etc, 2.287000000E-06
0,27,comm, 2.432480000E-04
0,28,rhs, 1.661949000E-03
0,28,solve_z, 5.597466000E-03
0,28,solve_y, 7.945015000E-03
0,28,solve_x, 7.939657000E-03
0,28,etc, 2.322000000E-06
0,28,comm, 2.510240000E-04
0,29,rhs, 1.659699000E-03
0,29,solve_z, 5.601320000E-03
0,29,solve_y, 7.955366000E-03
0,29,solve_x, 7.936060000E-03
0,29,etc, 2.169000000E-06
0,29,comm, 2.563160000E-04
0,30,rhs, 1.660117000E-03
0,30,solve_z, 5.605817000E-03
0,30,solve_y, 7.972988000E-03
0,30,solve_x, 7.952268000E-03
0,30,etc, 2.216000000E-06
0,30,comm, 2.515640000E-04
0,31,rhs, 1.659118000E-03
0,31,solve_z, 5.614891000E-03
0,31,solve_y, 7.976851000E-03
0,31,solve_x, 7.955285000E-03
0,31,etc, 1.902000000E-06
0,31,comm, 2.643070000E-04
0,32,rhs, 1.661837000E-03
0,32,solve_z, 5.592897000E-03
0,32,solve_y, 7.951201000E-03
0,32,solve_x, 7.949563000E-03
0,32,etc, 2.200000000E-06
0,32,comm, 2.615040000E-04
0,33,rhs, 1.662576000E-03
0,33,solve_z, 5.605557000E-03
0,33,solve_y, 7.969838000E-03
0,33,solve_x, 7.953631000E-03
0,33,etc, 2.086000000E-06
0,33,comm, 2.551460000E-04
0,34,rhs, 1.667010000E-03
0,34,solve_z, 5.594261000E-03
0,34,solve_y, 7.953601000E-03
0,34,solve_x, 7.951524000E-03
0,34,etc, 1.935000000E-06
0,34,comm, 2.562660000E-04
0,35,rhs, 1.663152000E-03
0,35,solve_z, 5.608682000E-03
0,35,solve_y, 7.952480000E-03
0,35,solve_x, 7.939223000E-03
0,35,etc, 2.069000000E-06
0,35,comm, 2.531770000E-04
0,36,rhs, 1.661650000E-03
0,36,solve_z, 5.604237000E-03
0,36,solve_y, 7.975013000E-03
0,36,solve_x, 7.969974000E-03
0,36,etc, 2.209000000E-06
0,36,comm, 2.481040000E-04
0,37,rhs, 1.661036000E-03
0,37,solve_z, 5.606096000E-03
0,37,solve_y, 7.963569000E-03
0,37,solve_x, 7.957351000E-03
0,37,etc, 2.401000000E-06
0,37,comm, 2.504540000E-04
0,38,rhs, 1.662272000E-03
0,38,solve_z, 5.598888000E-03
0,38,solve_y, 7.951549000E-03
0,38,solve_x, 7.961599000E-03
0,38,etc, 2.415000000E-06
0,38,comm, 2.429250000E-04
0,39,rhs, 1.660795000E-03
0,39,solve_z, 5.600637000E-03
0,39,solve_y, 7.958313000E-03
0,39,solve_x, 7.957455000E-03
0,39,etc, 1.865000000E-06
0,39,comm, 2.437230000E-04
0,40,rhs, 1.661792000E-03
0,40,solve_z, 5.595899000E-03
0,40,solve_y, 7.976828000E-03
0,40,solve_x, 7.989635000E-03
0,40,etc, 1.888000000E-06
0,40,comm, 2.445580000E-04
0,41,rhs, 1.658965000E-03
0,41,solve_z, 5.590152000E-03
0,41,solve_y, 7.953715000E-03
0,41,solve_x, 7.940705000E-03
0,41,etc, 1.881000000E-06
0,41,comm, 2.443930000E-04
0,42,rhs, 1.661696000E-03
0,42,solve_z, 5.605059000E-03
0,42,solve_y, 7.940880000E-03
0,42,solve_x, 7.951572000E-03
0,42,etc, 2.401000000E-06
0,42,comm, 2.488480000E-04
0,43,rhs, 1.663525000E-03
0,43,solve_z, 5.590119000E-03
0,43,solve_y, 7.929995000E-03
0,43,solve_x, 7.933423000E-03
0,43,etc, 2.038000000E-06
0,43,comm, 2.630590000E-04
0,44,rhs, 1.662323000E-03
0,44,solve_z, 5.591704000E-03
0,44,solve_y, 7.951552000E-03
0,44,solve_x, 7.949501000E-03
0,44,etc, 2.303000000E-06
0,44,comm, 2.484040000E-04
0,45,rhs, 1.659917000E-03
0,45,solve_z, 5.600548000E-03
0,45,solve_y, 7.948738000E-03
0,45,solve_x, 7.928275000E-03
0,45,etc, 2.060000000E-06
0,45,comm, 2.463690000E-04
0,46,rhs, 1.661411000E-03
0,46,solve_z, 5.616518000E-03
0,46,solve_y, 7.969310000E-03
0,46,solve_x, 7.952208000E-03
0,46,etc, 1.858000000E-06
0,46,comm, 2.485020000E-04
0,47,rhs, 1.660745000E-03
0,47,solve_z, 5.589066000E-03
0,47,solve_y, 7.944144000E-03
0,47,solve_x, 7.949775000E-03
0,47,etc, 2.087000000E-06
0,47,comm, 2.586510000E-04
0,48,rhs, 1.661107000E-03
0,48,solve_z, 5.593547000E-03
0,48,solve_y, 7.948770000E-03
0,48,solve_x, 7.941078000E-03
0,48,etc, 1.970000000E-06
0,48,comm, 2.451950000E-04
0,49,rhs, 1.662312000E-03
0,49,solve_z, 5.613071000E-03
0,49,solve_y, 7.958768000E-03
0,49,solve_x, 7.945782000E-03
0,49,etc, 2.077000000E-06
0,49,comm, 2.395360000E-04
0,50,rhs, 1.665937000E-03
0,50,solve_z, 5.606977000E-03
0,50,solve_y, 7.958966000E-03
0,50,solve_x, 7.958303000E-03
0,50,etc, 1.945000000E-06
0,50,comm, 2.444120000E-04
0,51,rhs, 1.663856000E-03
0,51,solve_z, 5.598584000E-03
0,51,solve_y, 7.937976000E-03
0,51,solve_x, 7.949538000E-03
0,51,etc, 2.217000000E-06
0,51,comm, 2.464940000E-04
0,52,rhs, 1.661076000E-03
0,52,solve_z, 5.599738000E-03
0,52,solve_y, 7.962421000E-03
0,52,solve_x, 7.957607000E-03
0,52,etc, 2.173000000E-06
0,52,comm, 2.481900000E-04
0,53,rhs, 1.662497000E-03
0,53,solve_z, 5.594259000E-03
0,53,solve_y, 7.964226000E-03
0,53,solve_x, 7.973838000E-03
0,53,etc, 2.025000000E-06
0,53,comm, 2.552270000E-04
0,54,rhs, 1.663491000E-03
0,54,solve_z, 5.599111000E-03
0,54,solve_y, 7.929978000E-03
0,54,solve_x, 7.962013000E-03
0,54,etc, 1.972000000E-06
0,54,comm, 2.474460000E-04
0,55,rhs, 1.661728000E-03
0,55,solve_z, 5.595905000E-03
0,55,solve_y, 7.959309000E-03
0,55,solve_x, 7.932227000E-03
0,55,etc, 1.833000000E-06
0,55,comm, 2.471800000E-04
0,56,rhs, 1.658036000E-03
0,56,solve_z, 5.598809000E-03
0,56,solve_y, 7.975618000E-03
0,56,solve_x, 7.949322000E-03
0,56,etc, 1.767000000E-06
0,56,comm, 2.513170000E-04
0,57,rhs, 1.663133000E-03
0,57,solve_z, 5.588672000E-03
0,57,solve_y, 7.966339000E-03
0,57,solve_x, 7.951202000E-03
0,57,etc, 2.295000000E-06
0,57,comm, 2.567630000E-04
0,58,rhs, 1.659951000E-03
0,58,solve_z, 5.611327000E-03
0,58,solve_y, 7.945757000E-03
0,58,solve_x, 7.952101000E-03
0,58,etc, 1.916000000E-06
0,58,comm, 2.583170000E-04
0,59,rhs, 1.662212000E-03
0,59,solve_z, 5.607794000E-03
0,59,solve_y, 7.964118000E-03
0,59,solve_x, 7.960404000E-03
0,59,etc, 1.980000000E-06
0,59,comm, 2.564890000E-04
0,60,rhs, 1.664627000E-03
0,60,solve_z, 5.613287000E-03
0,60,solve_y, 7.953029000E-03
0,60,solve_x, 7.951161000E-03
0,60,etc, 1.765000000E-06
0,60,comm, 2.471140000E-04
0,61,rhs, 1.663374000E-03
0,61,solve_z, 5.612488000E-03
0,61,solve_y, 7.937476000E-03
0,61,solve_x, 7.935074000E-03
0,61,etc, 2.337000000E-06
0,61,comm, 2.519690000E-04
0,62,rhs, 1.662619000E-03
0,62,solve_z, 5.598185000E-03
0,62,solve_y, 7.947224000E-03
0,62,solve_x, 7.947759000E-03
0,62,etc, 2.208000000E-06
0,62,comm, 2.501940000E-04
0,63,rhs, 1.659877000E-03
0,63,solve_z, 5.594685000E-03
0,63,solve_y, 7.965185000E-03
0,63,solve_x, 7.959609000E-03
0,63,etc, 2.090000000E-06
0,63,comm, 2.472560000E-04
0,64,rhs, 1.660557000E-03
0,64,solve_z, 5.596232000E-03
0,64,solve_y, 7.965615000E-03
0,64,solve_x, 7.959224000E-03
0,64,etc, 2.217000000E-06
0,64,comm, 2.499760000E-04
0,65,rhs, 1.661186000E-03
0,65,solve_z, 5.611473000E-03
0,65,solve_y, 7.942821000E-03
0,65,solve_x, 7.945656000E-03
0,65,etc, 2.127000000E-06
0,65,comm, 2.554700000E-04
0,66,rhs, 1.656099000E-03
0,66,solve_z, 5.599245000E-03
0,66,solve_y, 7.952308000E-03
0,66,solve_x, 7.950099000E-03
0,66,etc, 2.027000000E-06
0,66,comm, 2.620780000E-04
0,67,rhs, 1.659866000E-03
