# grid=65x65x65, np=4 (2,2,1), dt= 9.766E-04, Tmax=2, solver_kind=filtered_v2
rank,t_step,event,time_sec
0,1,rhs, 1.239300000E-05
0,1,solve_z, 5.621400000E-05
0,1,solve_y, 1.329060000E-04
0,1,solve_x, 1.467930000E-04
0,1,etc, 1.903000000E-06
0,1,comm, 8.681600000E-05
1,1,rhs, 1.294900000E-05
1,1,solve_z, 5.612300000E-05
1,1,solve_y, 1.300940000E-04
1,1,solve_x, 1.370610000E-04
1,1,etc, 1.935000000E-06
1,1,comm, 8.691800000E-05
2,1,rhs, 1.395000000E-05
2,1,solve_z, 6.619300000E-05
2,1,solve_y, 1.503250000E-04
2,1,solve_x, 1.460380000E-04
2,1,etc, 1.884000000E-06
2,1,comm, 8.813800000E-05
3,1,rhs, 1.283300000E-05
3,1,solve_z, 5.636100000E-05
3,1,solve_y, 1.446180000E-04
3,1,solve_x, 1.338790000E-04
3,1,etc, 1.945000000E-06
3,1,comm, 8.687100000E-05
